X1_obs         X2_obs         X3_obs         X4_obs         X1_true        X2_true        X3_true        X4_true        Y1_obs         Y2_obs         Y3_obs         Y4_obs         Y5_obs         Y1_unbiased    Y2_unbiased    Y3_unbiased    Y4_unbiased    Y5_unbiased    Y1_sim         Y2_sim         Y3_sim         Y4_sim         Y5_sim         Y1_res         Y2_res         Y3_res         Y4_res         Y5_res         Y1_stdres      Y2_stdres      Y3_stdres      Y4_stdres      Y5_stdres      
   0.100000E+01   0.100000E+01   0.222500E+01   0.342000E+04   0.100000E+01   0.100000E+01   0.222500E+01   0.342000E+04   0.194961E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.194961E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.186335E+00   0.162000E+00   0.898088E+00   0.500000E+02   0.287133E+03   0.862575E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.171095E+01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.431000E+01   0.342000E+04   0.100000E+01   0.100000E+01   0.431000E+01   0.342000E+04   0.188079E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.188079E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.184312E+00   0.162000E+00   0.897190E+00   0.500000E+02   0.287133E+03   0.376670E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.747138E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.527000E+01   0.342000E+04   0.100000E+01   0.100000E+01   0.527000E+01   0.342000E+04   0.185210E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.185210E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.183388E+00   0.162000E+00   0.896740E+00   0.500000E+02   0.287133E+03   0.182188E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.361375E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.624000E+01   0.342000E+04   0.100000E+01   0.100000E+01   0.624000E+01   0.342000E+04   0.182934E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.182934E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.182461E+00   0.162000E+00   0.896248E+00   0.500000E+02   0.287133E+03   0.473837E-03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.939872E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.831500E+01   0.342000E+04   0.100000E+01   0.100000E+01   0.831500E+01   0.342000E+04   0.176736E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.176736E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.180497E+00   0.162000E+00   0.895091E+00   0.500000E+02   0.287133E+03  -0.376109E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.746025E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.911500E+01   0.342000E+04   0.100000E+01   0.100000E+01   0.911500E+01   0.342000E+04   0.174495E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.174495E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.179747E+00   0.162000E+00   0.894607E+00   0.500000E+02   0.287133E+03  -0.525250E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.104185E+01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.925000E+01   0.342000E+04   0.100000E+01   0.100000E+01   0.925000E+01   0.342000E+04   0.174483E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.174483E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.179621E+00   0.162000E+00   0.894523E+00   0.500000E+02   0.287133E+03  -0.513799E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.101914E+01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.102500E+02   0.342000E+04   0.100000E+01   0.100000E+01   0.102500E+02   0.342000E+04   0.173773E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.173773E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.178694E+00   0.162000E+00   0.893868E+00   0.500000E+02   0.287133E+03  -0.492068E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.976033E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.112500E+02   0.342000E+04   0.100000E+01   0.100000E+01   0.112500E+02   0.342000E+04   0.173256E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.173256E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.177773E+00   0.162000E+00   0.893180E+00   0.500000E+02   0.287133E+03  -0.451649E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.895862E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.122500E+02   0.342000E+04   0.100000E+01   0.100000E+01   0.122500E+02   0.342000E+04   0.172893E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.172893E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.176860E+00   0.162000E+00   0.892445E+00   0.500000E+02   0.287133E+03  -0.396723E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.786913E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.132500E+02   0.342000E+04   0.100000E+01   0.100000E+01   0.132500E+02   0.342000E+04   0.172961E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.172961E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.175957E+00   0.162000E+00   0.891664E+00   0.500000E+02   0.287133E+03  -0.299614E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.594295E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.200000E+01   0.100000E+01   0.222500E+01   0.342000E+04   0.200000E+01   0.100000E+01   0.222500E+01   0.342000E+04   0.190288E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.190288E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.185772E+00   0.162000E+00   0.901144E+00   0.500000E+02   0.287133E+03   0.451683E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.895929E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.200000E+01   0.100000E+01   0.297500E+01   0.342000E+04   0.200000E+01   0.100000E+01   0.297500E+01   0.342000E+04   0.191185E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.191185E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.185011E+00   0.162000E+00   0.900999E+00   0.500000E+02   0.287133E+03   0.617453E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.122474E+01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.200000E+01   0.100000E+01   0.334500E+01   0.342000E+04   0.200000E+01   0.100000E+01   0.334500E+01   0.342000E+04   0.189261E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.189261E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.184636E+00   0.162000E+00   0.900925E+00   0.500000E+02   0.287133E+03   0.462518E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.917421E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.200000E+01   0.100000E+01   0.409500E+01   0.342000E+04   0.200000E+01   0.100000E+01   0.409500E+01   0.342000E+04   0.188204E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.188204E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.183877E+00   0.162000E+00   0.900769E+00   0.500000E+02   0.287133E+03   0.432721E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.858316E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.200000E+01   0.100000E+01   0.506000E+01   0.342000E+04   0.200000E+01   0.100000E+01   0.506000E+01   0.342000E+04   0.186426E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.186426E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.182903E+00   0.162000E+00   0.900554E+00   0.500000E+02   0.287133E+03   0.352290E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.698780E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.200000E+01   0.100000E+01   0.624000E+01   0.342000E+04   0.200000E+01   0.100000E+01   0.624000E+01   0.342000E+04   0.179732E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.179732E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.181716E+00   0.162000E+00   0.900273E+00   0.500000E+02   0.287133E+03  -0.198378E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.393489E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.200000E+01   0.100000E+01   0.699000E+01   0.342000E+04   0.200000E+01   0.100000E+01   0.699000E+01   0.342000E+04   0.181809E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.181809E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.180964E+00   0.162000E+00   0.900083E+00   0.500000E+02   0.287133E+03   0.845766E-03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.167761E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.200000E+01   0.100000E+01   0.803000E+01   0.342000E+04   0.200000E+01   0.100000E+01   0.803000E+01   0.342000E+04   0.179050E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.179050E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.179924E+00   0.162000E+00   0.899800E+00   0.500000E+02   0.287133E+03  -0.873966E-03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.173354E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.200000E+01   0.100000E+01   0.879500E+01   0.342000E+04   0.200000E+01   0.100000E+01   0.879500E+01   0.342000E+04   0.174362E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.174362E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.179162E+00   0.162000E+00   0.899577E+00   0.500000E+02   0.287133E+03  -0.479908E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.951913E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.200000E+01   0.100000E+01   0.906500E+01   0.342000E+04   0.200000E+01   0.100000E+01   0.906500E+01   0.342000E+04   0.176043E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.176043E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.178893E+00   0.162000E+00   0.899497E+00   0.500000E+02   0.287133E+03  -0.284956E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.565220E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.200000E+01   0.100000E+01   0.911500E+01   0.342000E+04   0.200000E+01   0.100000E+01   0.911500E+01   0.342000E+04   0.172176E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.172176E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.178843E+00   0.162000E+00   0.899482E+00   0.500000E+02   0.287133E+03  -0.666747E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.132252E+01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.200000E+01   0.100000E+01   0.954500E+01   0.342000E+04   0.200000E+01   0.100000E+01   0.954500E+01   0.342000E+04   0.174809E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.174809E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.178416E+00   0.162000E+00   0.899348E+00   0.500000E+02   0.287133E+03  -0.360748E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.715556E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.200000E+01   0.100000E+01   0.100300E+02   0.342000E+04   0.200000E+01   0.100000E+01   0.100300E+02   0.342000E+04   0.173821E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.173821E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.177935E+00   0.162000E+00   0.899195E+00   0.500000E+02   0.287133E+03  -0.411414E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.816054E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.200000E+01   0.100000E+01   0.113700E+02   0.342000E+04   0.200000E+01   0.100000E+01   0.113700E+02   0.342000E+04   0.170135E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.170135E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.176612E+00   0.162000E+00   0.898739E+00   0.500000E+02   0.287133E+03  -0.647748E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.128483E+01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.200000E+01   0.100000E+01   0.121200E+02   0.342000E+04   0.200000E+01   0.100000E+01   0.121200E+02   0.342000E+04   0.172357E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.172357E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.175875E+00   0.162000E+00   0.898466E+00   0.500000E+02   0.287133E+03  -0.351825E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.697858E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.200000E+01   0.100000E+01   0.123250E+02   0.342000E+04   0.200000E+01   0.100000E+01   0.123250E+02   0.342000E+04   0.171869E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.171869E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.175674E+00   0.162000E+00   0.898389E+00   0.500000E+02   0.287133E+03  -0.380548E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.754829E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.200000E+01   0.100000E+01   0.132900E+02   0.342000E+04   0.200000E+01   0.100000E+01   0.132900E+02   0.342000E+04   0.171523E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.171523E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.174731E+00   0.162000E+00   0.898012E+00   0.500000E+02   0.287133E+03  -0.320767E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.636253E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
