a0_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.100168E+03   0.654625E-03   0.102879E+02   0.105079E+02   0.115043E+02   0.124728E+02   0.170058E+03
   0.100168E+03   0.654625E-03   0.894049E+01   0.105079E+02   0.115043E+02   0.167933E+02   0.170021E+03
   0.100168E+03   0.654625E-03   0.102602E+02   0.105079E+02   0.115043E+02   0.167933E+02   0.170031E+03
   0.100168E+03   0.654625E-03   0.102602E+02   0.145334E+02   0.115043E+02   0.134157E+02   0.168219E+03
   0.100168E+03   0.973235E-03   0.841590E+01   0.145334E+02   0.138370E+02   0.134157E+02   0.168119E+03
   0.100168E+03   0.973235E-03   0.958374E+01   0.145334E+02   0.138370E+02   0.134157E+02   0.168338E+03
   0.100168E+03   0.973235E-03   0.972079E+01   0.138776E+02   0.126917E+02   0.154371E+02   0.168611E+03
   0.100168E+03   0.973235E-03   0.108852E+02   0.125239E+02   0.126917E+02   0.186593E+02   0.168455E+03
   0.100168E+03   0.973235E-03   0.108852E+02   0.125239E+02   0.133800E+02   0.172502E+02   0.169018E+03
   0.976996E+02   0.973235E-03   0.108852E+02   0.140773E+02   0.155081E+02   0.172502E+02   0.170789E+03
   0.976996E+02   0.973235E-03   0.745337E+01   0.124870E+02   0.140277E+02   0.144374E+02   0.171605E+03
   0.976996E+02   0.973235E-03   0.107126E+02   0.124977E+02   0.140277E+02   0.144374E+02   0.172257E+03
   0.976996E+02   0.973235E-03   0.838559E+01   0.990042E+01   0.140277E+02   0.199321E+02   0.171712E+03
   0.977531E+02   0.785406E-03   0.969932E+01   0.990042E+01   0.194083E+02   0.183790E+02   0.173577E+03
   0.977531E+02   0.785406E-03   0.969932E+01   0.977878E+01   0.209200E+02   0.114143E+02   0.173015E+03
   0.977531E+02   0.468252E-03   0.969932E+01   0.103495E+02   0.207605E+02   0.114143E+02   0.173547E+03
   0.977531E+02   0.468252E-03   0.904469E+01   0.103495E+02   0.207605E+02   0.140604E+02   0.174175E+03
   0.970660E+02   0.468252E-03   0.108416E+02   0.103495E+02   0.207605E+02   0.140604E+02   0.173659E+03
   0.964998E+02   0.468252E-03   0.102237E+02   0.110259E+02   0.207605E+02   0.141838E+02   0.172365E+03
   0.964998E+02   0.716593E-03   0.102237E+02   0.110259E+02   0.197194E+02   0.119487E+02   0.172541E+03
   0.964998E+02   0.716593E-03   0.102237E+02   0.110259E+02   0.193591E+02   0.125868E+02   0.172892E+03
   0.964998E+02   0.716593E-03   0.102237E+02   0.113220E+02   0.193591E+02   0.137137E+02   0.172990E+03
   0.964998E+02   0.841224E-03   0.122520E+02   0.110575E+02   0.193591E+02   0.137137E+02   0.171423E+03
   0.985192E+02   0.841224E-03   0.112228E+02   0.124221E+02   0.156251E+02   0.137137E+02   0.173372E+03
   0.985192E+02   0.841224E-03   0.713545E+01   0.123179E+02   0.152554E+02   0.123619E+02   0.172398E+03
   0.985192E+02   0.841224E-03   0.839303E+01   0.101385E+02   0.158283E+02   0.124639E+02   0.173973E+03
   0.972702E+02   0.841224E-03   0.125923E+02   0.101385E+02   0.158283E+02   0.188121E+02   0.172676E+03
   0.972702E+02   0.841224E-03   0.106753E+02   0.101385E+02   0.158283E+02   0.115820E+02   0.173742E+03
   0.972702E+02   0.841224E-03   0.106753E+02   0.113232E+02   0.149959E+02   0.115820E+02   0.173531E+03
   0.972702E+02   0.841224E-03   0.106753E+02   0.113232E+02   0.132118E+02   0.115820E+02   0.173456E+03
   0.972702E+02   0.841224E-03   0.106753E+02   0.113232E+02   0.136843E+02   0.115820E+02   0.173517E+03
   0.970544E+02   0.841224E-03   0.163304E+02   0.113232E+02   0.199771E+02   0.115820E+02   0.168614E+03
   0.970544E+02   0.638216E-03   0.161553E+02   0.874921E+01   0.185703E+02   0.115820E+02   0.171003E+03
   0.976232E+02   0.764905E-03   0.171503E+02   0.874921E+01   0.147190E+02   0.115820E+02   0.170676E+03
   0.976232E+02   0.764905E-03   0.155288E+02   0.874666E+01   0.128827E+02   0.108494E+02   0.171429E+03
   0.987086E+02   0.764905E-03   0.155288E+02   0.874666E+01   0.128827E+02   0.108494E+02   0.170888E+03
   0.987086E+02   0.764905E-03   0.121453E+02   0.874666E+01   0.181325E+02   0.108494E+02   0.172581E+03
   0.987086E+02   0.764905E-03   0.117465E+02   0.874666E+01   0.138511E+02   0.113004E+02   0.173671E+03
   0.987086E+02   0.764905E-03   0.961732E+01   0.874666E+01   0.137982E+02   0.113004E+02   0.174172E+03
   0.987086E+02   0.764905E-03   0.947699E+01   0.874666E+01   0.137982E+02   0.872487E+01   0.171760E+03
   0.987086E+02   0.764905E-03   0.982048E+01   0.874666E+01   0.129683E+02   0.872487E+01   0.171641E+03
   0.987086E+02   0.665626E-03   0.982048E+01   0.874666E+01   0.146055E+02   0.105576E+02   0.174172E+03
   0.100110E+03   0.665626E-03   0.852664E+01   0.105586E+02   0.146358E+02   0.105576E+02   0.169939E+03
   0.100110E+03   0.681268E-03   0.109507E+02   0.111978E+02   0.137655E+02   0.105576E+02   0.169789E+03
   0.988335E+02   0.681268E-03   0.109507E+02   0.111978E+02   0.123621E+02   0.140534E+02   0.174446E+03
   0.975439E+02   0.681268E-03   0.105959E+02   0.801381E+01   0.136733E+02   0.130859E+02   0.175467E+03
   0.975439E+02   0.681268E-03   0.869040E+01   0.801381E+01   0.172620E+02   0.130859E+02   0.175088E+03
   0.975439E+02   0.681268E-03   0.869040E+01   0.801381E+01   0.135075E+02   0.119631E+02   0.175126E+03
   0.975439E+02   0.681268E-03   0.722167E+01   0.801381E+01   0.135075E+02   0.133222E+02   0.174589E+03
   0.975897E+02   0.681268E-03   0.722167E+01   0.130203E+02   0.135075E+02   0.133222E+02   0.173867E+03
   0.975897E+02   0.681268E-03   0.822753E+01   0.129998E+02   0.177047E+02   0.151091E+02   0.174169E+03
   0.975897E+02   0.681268E-03   0.822753E+01   0.951529E+01   0.169231E+02   0.159229E+02   0.175421E+03
   0.975897E+02   0.681268E-03   0.601368E+01   0.851601E+01   0.169231E+02   0.179084E+02   0.172331E+03
   0.975897E+02   0.681268E-03   0.669818E+01   0.790195E+01   0.109538E+02   0.107855E+02   0.172074E+03
   0.975897E+02   0.681268E-03   0.653701E+01   0.106965E+02   0.137732E+02   0.107855E+02   0.173096E+03
   0.975897E+02   0.681268E-03   0.962727E+01   0.100256E+02   0.137732E+02   0.107855E+02   0.175071E+03
   0.975897E+02   0.681268E-03   0.962727E+01   0.100256E+02   0.120693E+02   0.145702E+02   0.175752E+03
   0.975897E+02   0.681268E-03   0.102936E+02   0.899848E+01   0.120693E+02   0.155139E+02   0.175595E+03
   0.975897E+02   0.403239E-03   0.102936E+02   0.899848E+01   0.120693E+02   0.155299E+02   0.174650E+03
   0.975897E+02   0.604244E-03   0.923695E+01   0.899848E+01   0.138583E+02   0.155299E+02   0.176276E+03
   0.975897E+02   0.604244E-03   0.923695E+01   0.899848E+01   0.149100E+02   0.155299E+02   0.176281E+03
   0.975897E+02   0.604244E-03   0.104552E+02   0.965128E+01   0.149100E+02   0.155299E+02   0.176264E+03
   0.975897E+02   0.604244E-03   0.104552E+02   0.954924E+01   0.152206E+02   0.152836E+02   0.176268E+03
   0.975897E+02   0.604244E-03   0.109371E+02   0.102687E+02   0.101084E+02   0.152836E+02   0.174557E+03
   0.975897E+02   0.604244E-03   0.115827E+02   0.102687E+02   0.113494E+02   0.121225E+02   0.174859E+03
   0.975897E+02   0.604244E-03   0.865528E+01   0.102687E+02   0.113494E+02   0.117073E+02   0.174993E+03
   0.975897E+02   0.604244E-03   0.103296E+02   0.102687E+02   0.147611E+02   0.191490E+02   0.175301E+03
   0.975897E+02   0.604244E-03   0.113157E+02   0.861076E+01   0.147611E+02   0.183690E+02   0.175211E+03
   0.975897E+02   0.604244E-03   0.994799E+01   0.999374E+01   0.171389E+02   0.161811E+02   0.175861E+03
   0.975897E+02   0.604244E-03   0.103207E+02   0.104595E+02   0.146954E+02   0.137073E+02   0.176248E+03
   0.975897E+02   0.604244E-03   0.106150E+02   0.104595E+02   0.146954E+02   0.134407E+02   0.176158E+03
   0.975897E+02   0.430168E-03   0.113690E+02   0.104595E+02   0.139064E+02   0.129772E+02   0.174989E+03
   0.975897E+02   0.430168E-03   0.992440E+01   0.105097E+02   0.139064E+02   0.146735E+02   0.175453E+03
   0.976361E+02   0.430168E-03   0.992440E+01   0.105097E+02   0.118387E+02   0.165505E+02   0.174746E+03
   0.976361E+02   0.889067E-03   0.108629E+02   0.105097E+02   0.120369E+02   0.158568E+02   0.173499E+03
   0.976361E+02   0.889067E-03   0.108629E+02   0.105082E+02   0.148919E+02   0.158568E+02   0.173892E+03
   0.983770E+02   0.889067E-03   0.913519E+01   0.105082E+02   0.148919E+02   0.148279E+02   0.174055E+03
   0.983770E+02   0.889067E-03   0.997248E+01   0.885919E+01   0.115520E+02   0.148279E+02   0.173489E+03
   0.983770E+02   0.889067E-03   0.133704E+02   0.885919E+01   0.115520E+02   0.148279E+02   0.172142E+03
   0.997543E+02   0.889067E-03   0.102996E+02   0.885919E+01   0.125871E+02   0.148279E+02   0.171832E+03
   0.969939E+02   0.889067E-03   0.102996E+02   0.116265E+02   0.125871E+02   0.161878E+02   0.172890E+03
   0.969939E+02   0.889067E-03   0.102996E+02   0.913153E+01   0.123811E+02   0.152327E+02   0.173384E+03
   0.972856E+02   0.801403E-03   0.102996E+02   0.913153E+01   0.123811E+02   0.150033E+02   0.174646E+03
   0.972856E+02   0.801403E-03   0.959403E+01   0.761042E+01   0.134256E+02   0.150033E+02   0.174285E+03
   0.972856E+02   0.801403E-03   0.959403E+01   0.761042E+01   0.155185E+02   0.189289E+02   0.173370E+03
   0.972856E+02   0.931409E-03   0.959403E+01   0.886385E+01   0.211111E+02   0.120180E+02   0.171281E+03
   0.972856E+02   0.367968E-03   0.788680E+01   0.956866E+01   0.149786E+02   0.184895E+02   0.173294E+03
   0.972856E+02   0.367968E-03   0.785373E+01   0.956866E+01   0.149786E+02   0.130844E+02   0.173932E+03
   0.972856E+02   0.367968E-03   0.999936E+01   0.919989E+01   0.149786E+02   0.130844E+02   0.174397E+03
   0.972856E+02   0.367968E-03   0.999936E+01   0.919989E+01   0.142829E+02   0.122980E+02   0.174217E+03
   0.972856E+02   0.367968E-03   0.820061E+01   0.919989E+01   0.154394E+02   0.122980E+02   0.173865E+03
