X1_obs         X2_obs         X3_obs         X4_obs         X1_true        X2_true        X3_true        X4_true        Y1_obs         Y2_obs         Y3_obs         Y4_obs         Y5_obs         Y1_unbiased    Y2_unbiased    Y3_unbiased    Y4_unbiased    Y5_unbiased    Y1_sim         Y2_sim         Y3_sim         Y4_sim         Y5_sim         Y1_res         Y2_res         Y3_res         Y4_res         Y5_res         Y1_stdres      Y2_stdres      Y3_stdres      Y4_stdres      Y5_stdres      
   0.100000E+01   0.100000E+01   0.600000E-01   0.342000E+04   0.100000E+01   0.100000E+01   0.600000E-01   0.342000E+04   0.112546E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.112546E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.112893E+00   0.120000E+00   0.622954E+00   0.975897E+02   0.100000E+02  -0.346735E-03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.315460E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.650000E+00   0.342000E+04   0.100000E+01   0.100000E+01   0.650000E+00   0.342000E+04   0.111933E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.111933E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.112276E+00   0.120000E+00   0.622977E+00   0.975897E+02   0.100000E+02  -0.343316E-03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.312349E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.165000E+01   0.342000E+04   0.100000E+01   0.100000E+01   0.165000E+01   0.342000E+04   0.111046E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.111046E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.111230E+00   0.120000E+00   0.623016E+00   0.975897E+02   0.100000E+02  -0.183940E-03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.167349E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.365000E+01   0.342000E+04   0.100000E+01   0.100000E+01   0.365000E+01   0.342000E+04   0.108083E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.108083E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109137E+00   0.120000E+00   0.623101E+00   0.975897E+02   0.100000E+02  -0.105322E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.958221E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.565000E+01   0.342000E+04   0.100000E+01   0.100000E+01   0.565000E+01   0.342000E+04   0.106061E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.106061E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.107042E+00   0.120000E+00   0.623197E+00   0.975897E+02   0.100000E+02  -0.980673E-03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.892217E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.765000E+01   0.342000E+04   0.100000E+01   0.100000E+01   0.765000E+01   0.342000E+04   0.104516E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.104516E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.104945E+00   0.120000E+00   0.623306E+00   0.975897E+02   0.100000E+02  -0.428941E-03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.390251E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.965000E+01   0.342000E+04   0.100000E+01   0.100000E+01   0.965000E+01   0.342000E+04   0.102142E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.102142E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.102846E+00   0.120000E+00   0.623428E+00   0.975897E+02   0.100000E+02  -0.704071E-03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.640564E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.116500E+02   0.342000E+04   0.100000E+01   0.100000E+01   0.116500E+02   0.342000E+04   0.100660E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.100660E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.100745E+00   0.120000E+00   0.623565E+00   0.975897E+02   0.100000E+02  -0.845669E-04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.769390E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.200000E+01   0.100000E+01   0.600000E-01   0.342000E+04   0.200000E+01   0.100000E+01   0.600000E-01   0.342000E+04   0.782550E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.782550E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.787255E-01   0.600000E-01   0.482719E+00   0.975897E+02   0.100000E+02  -0.470493E-03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.574288E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.200000E+01   0.100000E+01   0.650000E+00   0.342000E+04   0.200000E+01   0.100000E+01   0.650000E+00   0.342000E+04   0.776414E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.776414E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.780750E-01   0.600000E-01   0.483007E+00   0.975897E+02   0.100000E+02  -0.433539E-03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.529180E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
