a0_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.100168E+03   0.654625E-03   0.102879E+02   0.105079E+02   0.115043E+02   0.124728E+02   0.170058E+03  -0.823362E+01   0.000000E+00   0.178292E+03  -0.356583E+03
   0.100168E+03   0.654625E-03   0.894049E+01   0.105079E+02   0.115043E+02   0.167933E+02   0.170021E+03  -0.827130E+01   0.000000E+00   0.178292E+03  -0.356585E+03
   0.100168E+03   0.654625E-03   0.102602E+02   0.105079E+02   0.115043E+02   0.167933E+02   0.170031E+03  -0.826044E+01   0.000000E+00   0.178291E+03  -0.356583E+03
   0.100168E+03   0.654625E-03   0.102602E+02   0.145334E+02   0.115043E+02   0.134157E+02   0.168219E+03  -0.100730E+02   0.000000E+00   0.178292E+03  -0.356584E+03
   0.100168E+03   0.973235E-03   0.841590E+01   0.145334E+02   0.138370E+02   0.134157E+02   0.168119E+03  -0.962448E+01   0.000000E+00   0.177743E+03  -0.355487E+03
   0.100168E+03   0.973235E-03   0.958374E+01   0.145334E+02   0.138370E+02   0.134157E+02   0.168338E+03  -0.940523E+01   0.000000E+00   0.177743E+03  -0.355486E+03
   0.100168E+03   0.973235E-03   0.972079E+01   0.138776E+02   0.126917E+02   0.154371E+02   0.168611E+03  -0.913191E+01   0.000000E+00   0.177743E+03  -0.355486E+03
   0.100168E+03   0.973235E-03   0.108852E+02   0.125239E+02   0.126917E+02   0.186593E+02   0.168455E+03  -0.928808E+01   0.000000E+00   0.177743E+03  -0.355486E+03
   0.100168E+03   0.973235E-03   0.108852E+02   0.125239E+02   0.133800E+02   0.172502E+02   0.169018E+03  -0.872516E+01   0.000000E+00   0.177743E+03  -0.355486E+03
   0.976996E+02   0.973235E-03   0.108852E+02   0.140773E+02   0.155081E+02   0.172502E+02   0.170789E+03  -0.966903E+01   0.000000E+00   0.180458E+03  -0.360916E+03
   0.976996E+02   0.973235E-03   0.745337E+01   0.124870E+02   0.140277E+02   0.144374E+02   0.171605E+03  -0.885310E+01   0.000000E+00   0.180458E+03  -0.360916E+03
   0.976996E+02   0.973235E-03   0.107126E+02   0.124977E+02   0.140277E+02   0.144374E+02   0.172257E+03  -0.820085E+01   0.000000E+00   0.180458E+03  -0.360916E+03
   0.976996E+02   0.973235E-03   0.838559E+01   0.990042E+01   0.140277E+02   0.199321E+02   0.171712E+03  -0.874556E+01   0.000000E+00   0.180458E+03  -0.360915E+03
   0.977531E+02   0.785406E-03   0.969932E+01   0.990042E+01   0.194083E+02   0.183790E+02   0.173577E+03  -0.903816E+01   0.000000E+00   0.182615E+03  -0.365230E+03
   0.977531E+02   0.785406E-03   0.969932E+01   0.977878E+01   0.209200E+02   0.114143E+02   0.173015E+03  -0.959986E+01   0.000000E+00   0.182615E+03  -0.365230E+03
   0.977531E+02   0.468252E-03   0.969932E+01   0.103495E+02   0.207605E+02   0.114143E+02   0.173547E+03  -0.959451E+01   0.000000E+00   0.183142E+03  -0.366283E+03
   0.977531E+02   0.468252E-03   0.904469E+01   0.103495E+02   0.207605E+02   0.140604E+02   0.174175E+03  -0.896694E+01   0.000000E+00   0.183142E+03  -0.366284E+03
   0.970660E+02   0.468252E-03   0.108416E+02   0.103495E+02   0.207605E+02   0.140604E+02   0.173659E+03  -0.910375E+01   0.000000E+00   0.182763E+03  -0.365526E+03
