a0_min        a1_min        a2_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.100000E+03  0.000000E+00  0.000000E+00  0.500000E-03  0.100000E+02  0.100000E+02  0.150000E+02  0.150000E+02  0.169585E+03
  0.100000E+03  0.000000E+00  0.000000E+00  0.500000E-03  0.799930E+01  0.960025E+01  0.152304E+02  0.151652E+02  0.169175E+03
  0.100000E+03 -0.162804E+01  0.000000E+00  0.500000E-03  0.702451E+01  0.875261E+01  0.152304E+02  0.130647E+02  0.168052E+03
  0.100000E+03  0.666480E-01 -0.124631E+01  0.581317E-03  0.702451E+01  0.926622E+01  0.172152E+02  0.130647E+02  0.168951E+03
  0.100000E+03 -0.277271E+01 -0.124631E+01  0.581317E-03  0.771492E+01  0.985728E+01  0.171657E+02  0.141224E+02  0.169303E+03
  0.100000E+03 -0.277271E+01 -0.124631E+01  0.581317E-03  0.771492E+01  0.928662E+01  0.166549E+02  0.157422E+02  0.169325E+03
  0.100000E+03  0.228667E+01 -0.280108E+01  0.581317E-03  0.977212E+01  0.925485E+01  0.169911E+02  0.155751E+02  0.169227E+03
  0.100000E+03  0.228667E+01 -0.280108E+01  0.581317E-03  0.989335E+01  0.740824E+01  0.173205E+02  0.155751E+02  0.168309E+03
  0.100000E+03  0.228667E+01  0.610013E+01  0.846730E-03  0.981053E+01  0.871488E+01  0.157485E+02  0.162303E+02  0.172111E+03
  0.100000E+03  0.228667E+01  0.314087E+01  0.846730E-03  0.922929E+01  0.735867E+01  0.138318E+02  0.167197E+02  0.170928E+03
  0.100000E+03  0.228667E+01  0.679956E+01  0.846730E-03  0.989303E+01  0.860786E+01  0.144271E+02  0.158709E+02  0.172293E+03
  0.965674E+02  0.228667E+01 -0.250192E+01  0.846730E-03  0.989303E+01  0.103914E+02  0.156545E+02  0.154994E+02  0.173701E+03
  0.965674E+02  0.228667E+01 -0.250192E+01  0.846730E-03  0.956029E+01  0.106184E+02  0.118598E+02  0.147003E+02  0.173335E+03
  0.965674E+02  0.228667E+01 -0.115581E+02  0.846730E-03  0.107807E+02  0.103671E+02  0.118598E+02  0.160326E+02  0.171978E+03
  0.965674E+02  0.184379E+01 -0.969141E+01  0.763990E-03  0.116494E+02  0.100292E+02  0.101271E+02  0.157866E+02  0.171807E+03
  0.965674E+02  0.426461E+01 -0.969141E+01  0.763990E-03  0.103646E+02  0.100292E+02  0.101271E+02  0.152609E+02  0.171472E+03
  0.965674E+02  0.426461E+01 -0.567660E+01  0.763990E-03  0.905002E+01  0.995948E+01  0.101271E+02  0.133294E+02  0.172240E+03
  0.986872E+02  0.426461E+01 -0.567660E+01  0.763990E-03  0.829520E+01  0.825305E+01  0.107866E+02  0.126342E+02  0.171442E+03
  0.986872E+02  0.426461E+01 -0.567660E+01  0.763990E-03  0.829520E+01  0.901278E+01  0.107866E+02  0.137500E+02  0.171869E+03
  0.986872E+02  0.426461E+01 -0.890300E+00  0.763990E-03  0.829520E+01  0.927344E+01  0.107866E+02  0.113602E+02  0.172115E+03
  0.986872E+02  0.426461E+01 -0.411638E+00  0.763990E-03  0.846930E+01  0.905709E+01  0.107866E+02  0.113602E+02  0.172220E+03
  0.968743E+02  0.426461E+01 -0.131157E+02  0.763990E-03  0.846930E+01  0.913489E+01  0.113114E+02  0.114647E+02  0.170673E+03
  0.966212E+02 -0.280749E+01 -0.843499E+01  0.763990E-03  0.100048E+02  0.843573E+01  0.950220E+01  0.119768E+02  0.169965E+03
  0.966212E+02 -0.967567E+00 -0.163496E+01  0.763990E-03  0.100048E+02  0.730032E+01  0.115030E+02  0.119768E+02  0.172279E+03
  0.971660E+02 -0.967567E+00 -0.259118E+00  0.763990E-03  0.100048E+02  0.102955E+02  0.126594E+02  0.114347E+02  0.174081E+03
  0.971660E+02  0.220428E+00 -0.335937E+01  0.763990E-03  0.117060E+02  0.112953E+02  0.136525E+02  0.114347E+02  0.173844E+03
  0.971660E+02  0.220428E+00  0.435117E+01  0.763990E-03  0.117060E+02  0.112630E+02  0.140201E+02  0.117429E+02  0.173252E+03
  0.971660E+02  0.220428E+00  0.435117E+01  0.763990E-03  0.115251E+02  0.107310E+02  0.136193E+02  0.124662E+02  0.173720E+03
  0.983713E+02 -0.519086E+00  0.612742E+01  0.763990E-03  0.110485E+02  0.106408E+02  0.138054E+02  0.128004E+02  0.174522E+03
  0.983713E+02 -0.519086E+00  0.576216E+01  0.763990E-03  0.112996E+02  0.942369E+01  0.138054E+02  0.115027E+02  0.174154E+03
  0.983713E+02 -0.433510E+00 -0.357041E+00  0.763990E-03  0.127350E+02  0.981223E+01  0.121699E+02  0.113416E+02  0.173274E+03
  0.983713E+02 -0.433510E+00 -0.357041E+00  0.763990E-03  0.119765E+02  0.848112E+01  0.134562E+02  0.113416E+02  0.173769E+03
  0.983713E+02 -0.433510E+00  0.584537E+01  0.763990E-03  0.120286E+02  0.848112E+01  0.117847E+02  0.121925E+02  0.173468E+03
  0.983713E+02 -0.433510E+00  0.519308E+01  0.787631E-03  0.127027E+02  0.858765E+01  0.107057E+02  0.121925E+02  0.172445E+03
  0.983713E+02  0.245171E+01  0.800845E+01  0.787631E-03  0.100754E+02  0.767258E+01  0.107057E+02  0.109205E+02  0.171861E+03
  0.983713E+02  0.275282E+01  0.864281E+01  0.787631E-03  0.109356E+02  0.728393E+01  0.111541E+02  0.111466E+02  0.171586E+03
  0.983713E+02  0.153266E+01  0.194917E+01  0.599506E-03  0.976618E+01  0.739660E+01  0.111738E+02  0.111466E+02  0.173624E+03
  0.983713E+02 -0.358479E+01  0.856203E+01  0.599506E-03  0.108265E+02  0.828427E+01  0.122951E+02  0.113634E+02  0.172393E+03
  0.983713E+02 -0.198839E+01  0.808416E+00  0.599506E-03  0.115889E+02  0.906330E+01  0.127319E+02  0.146828E+02  0.174907E+03
  0.983713E+02 -0.198839E+01  0.808416E+00  0.599506E-03  0.125252E+02  0.802139E+01  0.127261E+02  0.131500E+02  0.174001E+03
  0.983713E+02 -0.198839E+01 -0.720321E+01  0.599506E-03  0.120398E+02  0.845688E+01  0.154209E+02  0.158543E+02  0.173169E+03
  0.983713E+02  0.271339E+01  0.418680E+01  0.588376E-03  0.118535E+02  0.905585E+01  0.153535E+02  0.150506E+02  0.175123E+03
  0.983713E+02  0.271339E+01  0.418680E+01  0.588376E-03  0.118535E+02  0.858048E+01  0.153535E+02  0.160969E+02  0.174878E+03
  0.969781E+02  0.271339E+01  0.418680E+01  0.588376E-03  0.123679E+02  0.858048E+01  0.146508E+02  0.167819E+02  0.173639E+03
  0.969781E+02  0.271339E+01 -0.259804E+01  0.588376E-03  0.134360E+02  0.832291E+01  0.160797E+02  0.167819E+02  0.173740E+03
  0.969781E+02 -0.171271E+00 -0.821418E+01  0.588376E-03  0.149518E+02  0.832291E+01  0.170923E+02  0.145673E+02  0.172053E+03
  0.969781E+02 -0.171271E+00 -0.821418E+01  0.588376E-03  0.152731E+02  0.644422E+01  0.177264E+02  0.145673E+02  0.169904E+03
  0.969781E+02 -0.171271E+00 -0.821418E+01  0.588376E-03  0.158982E+02  0.644422E+01  0.199681E+02  0.120852E+02  0.168239E+03
  0.969781E+02 -0.171271E+00 -0.980272E+01  0.806245E-03  0.157377E+02  0.644422E+01  0.193414E+02  0.126439E+02  0.167594E+03
  0.969781E+02 -0.171271E+00 -0.209919E+01  0.806245E-03  0.157377E+02  0.647049E+01  0.172826E+02  0.154154E+02  0.169279E+03
  0.969781E+02 -0.171271E+00  0.929518E-01  0.973308E-03  0.157377E+02  0.771580E+01  0.172826E+02  0.171956E+02  0.168290E+03
  0.969781E+02 -0.171271E+00 -0.746947E+01  0.973308E-03  0.158205E+02  0.758471E+01  0.172826E+02  0.160455E+02  0.168238E+03
  0.969781E+02 -0.171271E+00 -0.170081E+02  0.933943E-03  0.139785E+02  0.758471E+01  0.172826E+02  0.138255E+02  0.167739E+03
  0.969781E+02 -0.171271E+00 -0.193801E+02  0.911936E-03  0.134375E+02  0.758471E+01  0.178384E+02  0.147417E+02  0.167020E+03
  0.969781E+02  0.110898E+00 -0.173660E+02  0.785639E-03  0.129827E+02  0.743911E+01  0.203629E+02  0.135083E+02  0.167820E+03
  0.969781E+02  0.110898E+00 -0.874339E+01  0.785639E-03  0.141538E+02  0.704338E+01  0.202306E+02  0.139611E+02  0.169843E+03
  0.969781E+02  0.110898E+00 -0.978219E+01  0.785639E-03  0.153218E+02  0.737757E+01  0.202881E+02  0.139611E+02  0.169075E+03
  0.969781E+02  0.110898E+00 -0.978219E+01  0.785639E-03  0.138347E+02  0.691956E+01  0.188139E+02  0.119942E+02  0.169827E+03
  0.969781E+02  0.127543E+01 -0.388130E+00  0.785639E-03  0.138347E+02  0.761410E+01  0.174556E+02  0.118336E+02  0.171731E+03
  0.969781E+02 -0.823053E+00 -0.545475E+01  0.785639E-03  0.139607E+02  0.858829E+01  0.155629E+02  0.118336E+02  0.172169E+03
  0.969781E+02 -0.823053E+00 -0.545475E+01  0.785639E-03  0.129490E+02  0.821274E+01  0.155629E+02  0.129274E+02  0.172989E+03
  0.969781E+02  0.288808E+01 -0.545475E+01  0.785639E-03  0.108183E+02  0.777488E+01  0.155629E+02  0.162389E+02  0.173754E+03
  0.969781E+02  0.288808E+01 -0.304358E+01  0.785639E-03  0.110391E+02  0.937039E+01  0.161933E+02  0.162389E+02  0.174307E+03
  0.969781E+02 -0.156361E+01 -0.674710E+01  0.785639E-03  0.113495E+02  0.989427E+01  0.151692E+02  0.155888E+02  0.173726E+03
  0.969781E+02 -0.156361E+01 -0.674710E+01  0.785639E-03  0.118298E+02  0.989427E+01  0.151692E+02  0.157359E+02  0.173513E+03
  0.969781E+02  0.328922E+01 -0.140231E+00  0.785639E-03  0.105290E+02  0.991361E+01  0.148922E+02  0.131408E+02  0.174489E+03
  0.969781E+02  0.328922E+01 -0.140231E+00  0.785639E-03  0.958397E+01  0.101560E+02  0.139272E+02  0.114784E+02  0.174025E+03
  0.969781E+02  0.328922E+01 -0.140231E+00  0.785639E-03  0.880666E+01  0.927444E+01  0.138036E+02  0.119043E+02  0.174135E+03
  0.996474E+02  0.328922E+01  0.739123E+01  0.785639E-03  0.947192E+01  0.100560E+02  0.138036E+02  0.109254E+02  0.172414E+03
  0.996474E+02  0.444105E+01  0.116660E+02  0.785639E-03  0.934063E+01  0.100560E+02  0.153737E+02  0.892820E+01  0.169971E+03
  0.996474E+02  0.444105E+01  0.229950E+01  0.785639E-03  0.971111E+01  0.852445E+01  0.121130E+02  0.892820E+01  0.169081E+03
  0.996474E+02  0.444105E+01  0.229950E+01  0.785639E-03  0.913174E+01  0.996008E+01  0.117613E+02  0.118570E+02  0.171464E+03
  0.996474E+02  0.635061E+01  0.702786E+01  0.838194E-03  0.913174E+01  0.109413E+02  0.108598E+02  0.118570E+02  0.170177E+03
  0.996474E+02  0.635061E+01  0.702786E+01  0.838194E-03  0.928193E+01  0.105833E+02  0.135758E+02  0.125951E+02  0.171494E+03
  0.996474E+02  0.768218E+01  0.702786E+01  0.708548E-03  0.101817E+02  0.109418E+02  0.130693E+02  0.125951E+02  0.170539E+03
  0.996474E+02  0.768218E+01  0.702786E+01  0.708548E-03  0.101817E+02  0.102256E+02  0.168550E+02  0.124643E+02  0.170479E+03
