               a0_min         a1_min         a2_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   
N                 0.200100E+04   0.200100E+04   0.200100E+04   0.200100E+04   0.200100E+04   0.200100E+04   0.200100E+04   0.200100E+04
Minimum           0.950853E+02  -0.791693E+01  -0.149179E+02   0.337522E-03   0.501451E+01   0.538639E+01   0.789046E+01   0.783280E+01
Maximum           0.100985E+03   0.842007E+01   0.170317E+02   0.119226E-02   0.179353E+02   0.183713E+02   0.249091E+02   0.270488E+02
Range             0.589970E+01   0.163370E+02   0.319496E+02   0.854738E-03   0.129208E+02   0.129849E+02   0.170186E+02   0.192160E+02
Mean              0.977880E+02   0.961952E+00  -0.314878E-01   0.652211E-03   0.102052E+02   0.102614E+02   0.151431E+02   0.149971E+02
Median            0.977258E+02   0.107163E+01  -0.364420E+00   0.651074E-03   0.995191E+01   0.101027E+02   0.148545E+02   0.148727E+02
Q10%              0.967616E+02  -0.210623E+01  -0.745041E+01   0.484760E-03   0.781756E+01   0.776768E+01   0.114245E+02   0.114693E+02
Q25%              0.971982E+02  -0.761801E+00  -0.403876E+01   0.551092E-03   0.860258E+01   0.884210E+01   0.131249E+02   0.128028E+02
Q75%              0.983237E+02   0.259708E+01   0.399514E+01   0.738578E-03   0.114544E+02   0.114041E+02   0.168942E+02   0.167145E+02
Q90%              0.989365E+02   0.420981E+01   0.757422E+01   0.835300E-03   0.128975E+02   0.129743E+02   0.190127E+02   0.185619E+02
St.Dev.           0.825961E+00   0.245317E+01   0.571538E+01   0.141518E-03   0.207127E+01   0.210393E+01   0.299367E+01   0.285168E+01
Variance          0.682211E+00   0.601805E+01   0.326656E+02   0.200274E-07   0.429014E+01   0.442652E+01   0.896203E+01   0.813206E+01
CV                0.844644E-02   0.255020E+01   0.181511E+03   0.216982E+00   0.202961E+00   0.205033E+00   0.197692E+00   0.190149E+00
Skewness          0.281157E+00  -0.207898E-01   0.176354E+00   0.460201E+00   0.643372E+00   0.683571E+00   0.462104E+00   0.419420E+00
Kurtosis          0.179208E+00  -0.101975E+00  -0.272633E+00   0.371729E+00   0.453064E+00   0.844478E+00   0.223736E+00   0.460300E+00
MaxPost           0.976545E+02   0.699139E+00   0.164387E+00   0.638756E-03   0.907016E+01   0.968291E+01   0.143015E+02   0.145184E+02
