               a0_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.941717E+02   0.216377E-05   0.483622E+01   0.527239E+01   0.894113E+01   0.726251E+01
Maximum           0.104294E+03   0.293142E-02   0.196091E+02   0.185951E+02   0.255667E+02   0.286455E+02
Range             0.101223E+02   0.292926E-02   0.147729E+02   0.133227E+02   0.166256E+02   0.213830E+02
Mean              0.993726E+02   0.388848E-03   0.100698E+02   0.101387E+02   0.153360E+02   0.151561E+02
Median            0.993979E+02   0.310549E-03   0.981216E+01   0.993699E+01   0.150249E+02   0.149192E+02
Q10%              0.977675E+02   0.547104E-04   0.768292E+01   0.759141E+01   0.120462E+02   0.115671E+02
Q25%              0.985537E+02   0.140322E-03   0.858406E+01   0.872118E+01   0.132373E+02   0.129663E+02
Q75%              0.100255E+03   0.543394E-03   0.112221E+02   0.114488E+02   0.170495E+02   0.171230E+02
Q90%              0.100859E+03   0.840324E-03   0.128537E+02   0.127002E+02   0.190944E+02   0.194945E+02
St.Dev.           0.135906E+01   0.338094E-03   0.203866E+01   0.202148E+01   0.290083E+01   0.315226E+01
Variance          0.184704E+01   0.114308E-06   0.415614E+01   0.408639E+01   0.841479E+01   0.993672E+01
CV                0.136764E-01   0.869476E+00   0.202453E+00   0.199383E+00   0.189151E+00   0.207987E+00
Skewness         -0.105355E+00   0.188750E+01   0.671838E+00   0.461973E+00   0.717898E+00   0.518924E+00
Kurtosis          0.126832E+01   0.723767E+01   0.756360E+00   0.450928E+00   0.684735E+00   0.572227E+00
MaxPost           0.994776E+02   0.209862E-03   0.979643E+01   0.920014E+01   0.142921E+02   0.143200E+02
