a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.107693E+03  -0.460601E+01  -0.103733E+02  -0.463084E+02   0.626380E-03   0.909608E+01   0.109657E+02   0.185127E+02   0.129607E+02   0.357054E+02
   0.108262E+03   0.234061E+00   0.108516E+01  -0.564588E+02   0.764142E-03   0.116341E+02   0.117502E+02   0.139530E+02   0.117597E+02   0.361818E+02
   0.109067E+03   0.279446E+01  -0.408255E+01  -0.564588E+02   0.965164E-03   0.779432E+01   0.132842E+02   0.210107E+02   0.143901E+02   0.333066E+02
   0.112186E+03   0.371956E+01  -0.121915E+02  -0.564588E+02   0.169079E-02   0.871964E+01   0.105271E+02   0.152975E+02   0.124432E+02   0.335001E+02
   0.120917E+03  -0.109324E+02   0.204907E+02  -0.876473E+02   0.743911E-03   0.108222E+02   0.117798E+02   0.138180E+02   0.143366E+02   0.342003E+02
   0.120917E+03  -0.117710E+02   0.264065E+02  -0.876473E+02   0.153453E-02   0.695150E+01   0.998340E+01   0.197700E+02   0.215736E+02   0.287836E+02
   0.122473E+03  -0.143739E+02   0.328056E+02  -0.982832E+02   0.318678E-03   0.111900E+02   0.902933E+01   0.152988E+02   0.117882E+02   0.344966E+02
   0.122006E+03  -0.234127E+02   0.403121E+02  -0.982832E+02   0.104552E-03   0.896004E+01   0.100336E+02   0.208021E+02   0.164660E+02   0.313989E+02
   0.123207E+03  -0.278807E+02   0.476769E+02  -0.940444E+02   0.372168E-03   0.971289E+01   0.100669E+02   0.143346E+02   0.161310E+02   0.325112E+02
   0.123034E+03  -0.340855E+02   0.663250E+02  -0.940444E+02   0.169569E-02   0.108323E+02   0.105514E+02   0.141513E+02   0.141841E+02   0.324706E+02
   0.121794E+03  -0.273667E+02   0.519207E+02  -0.960779E+02   0.643810E-03   0.892182E+01   0.128358E+02   0.124263E+02   0.125592E+02   0.327022E+02
   0.120460E+03  -0.259346E+02   0.515829E+02  -0.933847E+02   0.145450E-02   0.149679E+02   0.106604E+02   0.195648E+02   0.124249E+02   0.299207E+02
   0.124082E+03  -0.274257E+02   0.515829E+02  -0.970099E+02   0.154182E-02   0.894756E+01   0.112804E+02   0.191088E+02   0.137375E+02   0.318782E+02
   0.126626E+03  -0.253329E+02   0.592929E+02  -0.104272E+03   0.168042E-02   0.873454E+01   0.110656E+02   0.135905E+02   0.158377E+02   0.314942E+02
   0.125365E+03  -0.369466E+02   0.707454E+02  -0.101889E+03   0.217313E-02   0.150068E+02   0.108806E+02   0.160334E+02   0.177410E+02   0.286708E+02
   0.128146E+03  -0.536864E+02   0.844165E+02  -0.102381E+03   0.164305E-02   0.130487E+02   0.770768E+01   0.158541E+02   0.128806E+02   0.306856E+02
   0.129955E+03  -0.380351E+02   0.652413E+02  -0.102381E+03   0.299889E-02   0.930191E+01   0.115552E+02   0.144275E+02   0.173518E+02   0.288779E+02
