a0_min         a0_flood       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.100000E+03   0.330000E+02   0.500000E-03   0.100000E+02   0.100000E+02   0.150000E+02   0.100000E-02  -0.146691E+03   0.747094E+00   0.000000E+00  -0.147438E+03   0.294876E+03
   0.111932E+03   0.330000E+02   0.500000E-03   0.975932E+01   0.799930E+01   0.144004E+02   0.146076E-02   0.284639E+02  -0.664013E-01   0.000000E+00   0.285303E+02  -0.570606E+02
   0.113584E+03   0.330000E+02   0.500000E-03   0.104159E+02   0.729067E+01   0.164161E+02   0.146076E-02   0.386437E+02  -0.889240E+00   0.000000E+00   0.395329E+02  -0.790659E+02
   0.113584E+03   0.330000E+02   0.500000E-03   0.103153E+02   0.805292E+01   0.188878E+02   0.768352E-04   0.382466E+02  -0.128634E+01   0.000000E+00   0.395329E+02  -0.790659E+02
   0.113584E+03   0.331247E+02   0.500000E-03   0.116385E+02   0.805292E+01   0.193476E+02   0.768352E-04   0.383120E+02  -0.185264E+01   0.000000E+00   0.401646E+02  -0.803293E+02
   0.113584E+03   0.331247E+02   0.148684E-02   0.122033E+02   0.805292E+01   0.173259E+02   0.768352E-04   0.449834E+02  -0.144749E+01   0.000000E+00   0.464309E+02  -0.928618E+02
   0.117267E+03   0.331247E+02   0.148684E-02   0.114494E+02   0.102884E+02   0.189014E+02   0.301572E-02   0.468054E+02  -0.226814E+01   0.000000E+00   0.490735E+02  -0.981471E+02
   0.117267E+03   0.328969E+02   0.428428E-03   0.114980E+02   0.102884E+02   0.170789E+02   0.301572E-02   0.519903E+02  -0.172803E+01   0.000000E+00   0.537183E+02  -0.107437E+03
   0.117267E+03   0.336107E+02   0.428428E-03   0.114766E+02   0.115086E+02   0.168393E+02   0.301572E-02   0.524246E+02  -0.201099E+01   0.000000E+00   0.544356E+02  -0.108871E+03
   0.119085E+03   0.336107E+02   0.428428E-03   0.114766E+02   0.115086E+02   0.168393E+02   0.301572E-02   0.536097E+02  -0.201099E+01   0.000000E+00   0.556207E+02  -0.111241E+03
   0.119085E+03   0.327825E+02   0.428428E-03   0.104286E+02   0.119453E+02   0.175089E+02   0.301572E-02   0.541411E+02  -0.205631E+01   0.000000E+00   0.561974E+02  -0.112395E+03
   0.119085E+03   0.327825E+02   0.428428E-03   0.907238E+01   0.106676E+02   0.179982E+02   0.301572E-02   0.544962E+02  -0.170120E+01   0.000000E+00   0.561974E+02  -0.112395E+03
   0.119085E+03   0.327825E+02   0.428428E-03   0.973612E+01   0.119168E+02   0.185935E+02   0.131820E-02   0.552968E+02  -0.900598E+00   0.000000E+00   0.561974E+02  -0.112395E+03
   0.119085E+03   0.327825E+02   0.428428E-03   0.109469E+02   0.127410E+02   0.185935E+02   0.136555E-02   0.546246E+02  -0.157282E+01   0.000000E+00   0.561974E+02  -0.112395E+03
   0.119085E+03   0.327825E+02   0.428428E-03   0.118319E+02   0.127410E+02   0.185935E+02   0.367333E-03   0.551556E+02  -0.104186E+01   0.000000E+00   0.561975E+02  -0.112395E+03
   0.119085E+03   0.327825E+02   0.428428E-03   0.114158E+02   0.127410E+02   0.196872E+02   0.367333E-03   0.549210E+02  -0.127639E+01   0.000000E+00   0.561974E+02  -0.112395E+03
   0.119085E+03   0.327825E+02   0.428428E-03   0.114158E+02   0.127857E+02   0.211413E+02   0.367333E-03   0.542770E+02  -0.192041E+01   0.000000E+00   0.561974E+02  -0.112395E+03
   0.119085E+03   0.327825E+02   0.428428E-03   0.110779E+02   0.116306E+02   0.208952E+02   0.367333E-03   0.550700E+02  -0.112740E+01   0.000000E+00   0.561974E+02  -0.112395E+03
   0.119085E+03   0.327825E+02   0.428428E-03   0.928976E+01   0.116306E+02   0.220898E+02   0.367333E-03   0.547543E+02  -0.144317E+01   0.000000E+00   0.561975E+02  -0.112395E+03
   0.119085E+03   0.327825E+02   0.428428E-03   0.979161E+01   0.112677E+02   0.201179E+02   0.158040E-03   0.554349E+02  -0.762526E+00   0.000000E+00   0.561974E+02  -0.112395E+03
   0.119085E+03   0.327825E+02   0.428428E-03   0.101753E+02   0.107890E+02   0.201179E+02   0.158040E-03   0.555476E+02  -0.649801E+00   0.000000E+00   0.561974E+02  -0.112395E+03
   0.119085E+03   0.327825E+02   0.428428E-03   0.971190E+01   0.112875E+02   0.201179E+02   0.158040E-03   0.554309E+02  -0.766524E+00   0.000000E+00   0.561974E+02  -0.112395E+03
   0.119085E+03   0.327825E+02   0.428428E-03   0.863742E+01   0.112875E+02   0.201179E+02   0.158040E-03   0.552906E+02  -0.906803E+00   0.000000E+00   0.561974E+02  -0.112395E+03
   0.119085E+03   0.327825E+02   0.428428E-03   0.863742E+01   0.115481E+02   0.188577E+02   0.158040E-03   0.556793E+02  -0.518118E+00   0.000000E+00   0.561974E+02  -0.112395E+03
