a0_min         a0_flood       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.100000E+03   0.330000E+02   0.500000E-03   0.100000E+02   0.100000E+02   0.150000E+02   0.100000E-02  -0.164624E+03   0.747094E+00   0.000000E+00  -0.165371E+03   0.330742E+03
   0.111932E+03   0.385535E+02   0.500000E-03   0.975932E+01   0.799930E+01   0.144004E+02   0.146076E-02   0.198127E+02  -0.664013E-01   0.000000E+00   0.198791E+02  -0.397582E+02
   0.113584E+03   0.385535E+02   0.500000E-03   0.104159E+02   0.729067E+01   0.164161E+02   0.146076E-02   0.214728E+02  -0.889240E+00   0.000000E+00   0.223620E+02  -0.447241E+02
   0.113584E+03   0.385535E+02   0.500000E-03   0.103153E+02   0.805292E+01   0.188878E+02   0.768352E-04   0.210758E+02  -0.128634E+01   0.000000E+00   0.223621E+02  -0.447243E+02
   0.113584E+03   0.385535E+02   0.500000E-03   0.116385E+02   0.805292E+01   0.193476E+02   0.768352E-04   0.205094E+02  -0.185264E+01   0.000000E+00   0.223620E+02  -0.447241E+02
   0.112868E+03   0.385535E+02   0.500000E-03   0.122033E+02   0.805292E+01   0.173259E+02   0.768352E-04   0.201881E+02  -0.144749E+01   0.000000E+00   0.216356E+02  -0.432712E+02
   0.116551E+03   0.325146E+02   0.500000E-03   0.114494E+02   0.102884E+02   0.189014E+02   0.301572E-02   0.303742E+02  -0.226814E+01   0.000000E+00   0.326423E+02  -0.652847E+02
   0.116551E+03   0.322868E+02   0.500000E-03   0.120818E+02   0.100941E+02   0.209056E+02   0.301572E-02   0.284575E+02  -0.332210E+01   0.000000E+00   0.317796E+02  -0.635592E+02
   0.116551E+03   0.345280E+02   0.165762E-03   0.132101E+02   0.100941E+02   0.192733E+02   0.181028E-02   0.347090E+02  -0.231628E+01   0.000000E+00   0.370253E+02  -0.740506E+02
   0.118370E+03   0.345280E+02   0.165762E-03   0.132101E+02   0.112458E+02   0.192733E+02   0.181028E-02   0.358325E+02  -0.259554E+01   0.000000E+00   0.384280E+02  -0.768561E+02
   0.118370E+03   0.336999E+02   0.165762E-03   0.121620E+02   0.116826E+02   0.192733E+02   0.181028E-02   0.373043E+02  -0.219106E+01   0.000000E+00   0.394954E+02  -0.789907E+02
   0.118370E+03   0.336999E+02   0.165762E-03   0.108058E+02   0.104048E+02   0.197627E+02   0.181028E-02   0.380347E+02  -0.146063E+01   0.000000E+00   0.394953E+02  -0.789907E+02
   0.118370E+03   0.336999E+02   0.165762E-03   0.114695E+02   0.116540E+02   0.203580E+02   0.112766E-03   0.377538E+02  -0.174146E+01   0.000000E+00   0.394953E+02  -0.789905E+02
   0.118370E+03   0.336999E+02   0.165762E-03   0.114695E+02   0.124782E+02   0.203580E+02   0.160113E-03   0.377187E+02  -0.177658E+01   0.000000E+00   0.394953E+02  -0.789906E+02
   0.118370E+03   0.336999E+02   0.165762E-03   0.123546E+02   0.124782E+02   0.203580E+02   0.160113E-03   0.373205E+02  -0.217479E+01   0.000000E+00   0.394953E+02  -0.789906E+02
   0.118370E+03   0.336999E+02   0.165762E-03   0.118219E+02   0.124782E+02   0.203580E+02   0.160113E-03   0.375733E+02  -0.192202E+01   0.000000E+00   0.394953E+02  -0.789906E+02
   0.118370E+03   0.336999E+02   0.165762E-03   0.118905E+02   0.124782E+02   0.204251E+02   0.160113E-03   0.375143E+02  -0.198098E+01   0.000000E+00   0.394953E+02  -0.789906E+02
   0.118370E+03   0.336999E+02   0.165762E-03   0.127592E+02   0.121403E+02   0.186924E+02   0.160113E-03   0.379210E+02  -0.157432E+01   0.000000E+00   0.394953E+02  -0.789906E+02
   0.118370E+03   0.336999E+02   0.165762E-03   0.120422E+02   0.103522E+02   0.186924E+02   0.160113E-03   0.389039E+02  -0.591440E+00   0.000000E+00   0.394953E+02  -0.789907E+02
   0.118370E+03   0.336999E+02   0.165762E-03   0.121749E+02   0.108540E+02   0.181481E+02   0.160113E-03   0.389054E+02  -0.589902E+00   0.000000E+00   0.394953E+02  -0.789906E+02
   0.118370E+03   0.341954E+02   0.165762E-03   0.108873E+02   0.110660E+02   0.187237E+02   0.160113E-03   0.387395E+02  -0.340154E+00   0.000000E+00   0.390797E+02  -0.781593E+02
   0.118370E+03   0.341954E+02   0.165762E-03   0.105932E+02   0.105447E+02   0.169132E+02   0.160113E-03   0.394932E+02   0.413569E+00   0.000000E+00   0.390796E+02  -0.781593E+02
   0.118370E+03   0.341954E+02   0.165762E-03   0.103925E+02   0.110699E+02   0.153015E+02   0.160113E-03   0.396681E+02   0.588418E+00   0.000000E+00   0.390797E+02  -0.781594E+02
   0.118370E+03   0.341954E+02   0.165762E-03   0.109908E+02   0.845304E+01   0.162917E+02   0.160113E-03   0.394218E+02   0.342157E+00   0.000000E+00   0.390796E+02  -0.781593E+02
   0.118370E+03   0.341954E+02   0.165762E-03   0.112204E+02   0.713752E+01   0.183529E+02   0.160113E-03   0.379052E+02  -0.117451E+01   0.000000E+00   0.390797E+02  -0.781594E+02
   0.118370E+03   0.341954E+02   0.165762E-03   0.112445E+02   0.789425E+01   0.184355E+02   0.160113E-03   0.384912E+02  -0.588444E+00   0.000000E+00   0.390796E+02  -0.781593E+02
   0.118370E+03   0.341954E+02   0.399172E-03   0.115944E+02   0.796391E+01   0.183976E+02   0.160113E-03   0.372860E+02  -0.665883E+00   0.000000E+00   0.379519E+02  -0.759038E+02
   0.118370E+03   0.341954E+02   0.399172E-03   0.122390E+02   0.801287E+01   0.171771E+02   0.160113E-03   0.373836E+02  -0.568284E+00   0.000000E+00   0.379519E+02  -0.759038E+02
   0.118370E+03   0.341954E+02   0.399172E-03   0.109127E+02   0.100664E+02   0.164758E+02   0.160113E-03   0.384591E+02   0.507298E+00   0.000000E+00   0.379518E+02  -0.759036E+02
   0.118370E+03   0.341954E+02   0.399172E-03   0.105813E+02   0.106751E+02   0.157372E+02   0.160113E-03   0.385611E+02   0.609249E+00   0.000000E+00   0.379519E+02  -0.759037E+02
   0.118370E+03   0.341954E+02   0.157048E-02   0.119163E+02   0.891303E+01   0.158700E+02   0.160113E-03   0.305761E+02   0.194981E+00   0.000000E+00   0.303811E+02  -0.607622E+02
   0.118370E+03   0.341954E+02   0.157048E-02   0.112572E+02   0.108182E+02   0.146003E+02   0.160113E-03   0.308504E+02   0.469296E+00   0.000000E+00   0.303811E+02  -0.607622E+02
   0.118370E+03   0.341954E+02   0.147360E-02   0.115023E+02   0.110237E+02   0.124741E+02   0.160113E-03   0.309392E+02   0.594320E-01   0.000000E+00   0.308798E+02  -0.617595E+02
   0.118370E+03   0.341954E+02   0.147360E-02   0.113214E+02   0.104917E+02   0.120733E+02   0.160113E-03   0.310156E+02   0.135787E+00   0.000000E+00   0.308798E+02  -0.617596E+02
   0.118370E+03   0.332710E+02   0.147360E-02   0.944603E+01   0.109184E+02   0.126972E+02   0.189681E-03   0.321914E+02   0.679163E+00   0.000000E+00   0.315122E+02  -0.630245E+02
   0.118370E+03   0.332710E+02   0.147360E-02   0.940038E+01   0.958363E+01   0.139004E+02   0.163999E-03   0.324706E+02   0.958388E+00   0.000000E+00   0.315122E+02  -0.630244E+02
   0.118370E+03   0.334166E+02   0.147360E-02   0.959838E+01   0.949925E+01   0.139004E+02   0.163999E-03   0.324427E+02   0.962799E+00   0.000000E+00   0.314799E+02  -0.629598E+02
   0.118370E+03   0.334166E+02   0.115130E-02   0.896566E+01   0.949925E+01   0.156475E+02   0.163999E-03   0.341410E+02   0.834716E+00   0.000000E+00   0.333063E+02  -0.666126E+02
   0.118370E+03   0.334166E+02   0.115130E-02   0.705905E+01   0.938318E+01   0.134541E+02   0.163999E-03   0.330330E+02  -0.273279E+00   0.000000E+00   0.333063E+02  -0.666126E+02
   0.118370E+03   0.334166E+02   0.115149E-02   0.747774E+01   0.871230E+01   0.127261E+02   0.163999E-03   0.331874E+02  -0.117707E+00   0.000000E+00   0.333051E+02  -0.666102E+02
   0.118370E+03   0.334166E+02   0.122241E-02   0.815185E+01   0.881883E+01   0.116472E+02   0.163999E-03   0.328626E+02  -0.156756E-01   0.000000E+00   0.328783E+02  -0.657566E+02
   0.118370E+03   0.334166E+02   0.122241E-02   0.815185E+01   0.726424E+01   0.116349E+02   0.163999E-03   0.319715E+02  -0.906870E+00   0.000000E+00   0.328784E+02  -0.657567E+02
