               a0_min_r_1     a0_flood_r_1   a1_flood_r_1   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   
N                 0.562600E+04   0.562600E+04   0.562600E+04   0.562600E+04   0.562600E+04   0.562600E+04   0.562600E+04   0.562600E+04
Minimum           0.100000E+03   0.181272E+02  -0.118552E+02   0.206760E-05   0.503117E+01   0.409344E+01   0.795744E+01   0.721031E+01
Maximum           0.141501E+03   0.606920E+02   0.160816E+02   0.142885E-02   0.213168E+02   0.209848E+02   0.312448E+02   0.319308E+02
Range             0.415010E+02   0.425648E+02   0.279368E+02   0.142678E-02   0.162856E+02   0.168914E+02   0.232874E+02   0.247205E+02
Mean              0.113530E+03   0.396362E+02   0.777509E+00   0.246563E-03   0.102013E+02   0.101095E+02   0.153478E+02   0.153621E+02
Median            0.112053E+03   0.407836E+02   0.543664E+00   0.200897E-03   0.100438E+02   0.996988E+01   0.150112E+02   0.149517E+02
Q10%              0.104877E+03   0.247957E+02  -0.430978E+01   0.338536E-04   0.781587E+01   0.775599E+01   0.116815E+02   0.117261E+02
Q25%              0.107240E+03   0.341855E+02  -0.188790E+01   0.904074E-04   0.871219E+01   0.869603E+01   0.130321E+02   0.130664E+02
Q75%              0.116926E+03   0.467644E+02   0.335894E+01   0.343325E-03   0.114328E+02   0.112887E+02   0.171845E+02   0.173986E+02
Q90%              0.124508E+03   0.505138E+02   0.606202E+01   0.516983E-03   0.128448E+02   0.126405E+02   0.197270E+02   0.195661E+02
St.Dev.           0.839495E+01   0.946431E+01   0.411461E+01   0.208550E-03   0.204526E+01   0.197889E+01   0.317944E+01   0.316631E+01
Variance          0.704751E+02   0.895732E+02   0.169300E+02   0.434931E-07   0.418310E+01   0.391602E+01   0.101089E+02   0.100255E+02
CV                0.739450E-01   0.238779E+00   0.529204E+01   0.845827E+00   0.200491E+00   0.195746E+00   0.207160E+00   0.206112E+00
Skewness          0.124500E+01  -0.459693E+00   0.296436E+00   0.158265E+01   0.623059E+00   0.601664E+00   0.661464E+00   0.591255E+00
Kurtosis          0.131189E+01  -0.516423E+00   0.270882E+00   0.361843E+01   0.773308E+00   0.615545E+00   0.607915E+00   0.619352E+00
MaxPost           0.120250E+03   0.310793E+02   0.941905E+00   0.270963E-04   0.961700E+01   0.103425E+02   0.156965E+02   0.149074E+02
