a0_min         a0_flood       a1_flood       a2_flood       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.100000E+03   0.330000E+02   0.000000E+00   0.000000E+00   0.500000E-03   0.100000E+02   0.100000E+02   0.100000E+02   0.100000E+02   0.722125E+02
   0.107954E+03   0.348326E+02  -0.413808E+00  -0.134070E+00   0.655303E-03   0.939983E+01   0.891986E+01   0.100550E+02   0.999943E+01   0.729553E+02
   0.114520E+03   0.324942E+02  -0.145039E+00  -0.271793E+00   0.655303E-03   0.101368E+02   0.881923E+01   0.108172E+02   0.116472E+02   0.725302E+02
   0.109907E+03   0.303339E+02  -0.142544E+00  -0.538450E+00   0.655303E-03   0.910907E+01   0.912580E+01   0.104623E+02   0.111166E+02   0.723377E+02
   0.124246E+03   0.326123E+02  -0.243337E-01  -0.545051E+00   0.277057E-02   0.935461E+01   0.852192E+01   0.969729E+01   0.109508E+02   0.730822E+02
   0.124246E+03   0.307291E+02  -0.924447E-01  -0.329073E+00   0.277057E-02   0.900180E+01   0.857049E+01   0.969729E+01   0.973574E+01   0.731945E+02
   0.129143E+03   0.328107E+02  -0.781689E-01  -0.139576E+00   0.270657E-02   0.102220E+02   0.841077E+01   0.851693E+01   0.104389E+02   0.731041E+02
   0.116418E+03   0.344943E+02   0.129106E+00  -0.860595E-01   0.270657E-02   0.105914E+02   0.976827E+01   0.851693E+01   0.113826E+02   0.727123E+02
   0.125094E+03   0.309091E+02   0.321865E+00  -0.198220E-01   0.133046E-02   0.100102E+02   0.841206E+01   0.723917E+01   0.117089E+02   0.719347E+02
   0.141669E+03   0.281520E+02   0.413333E+00   0.957721E-01   0.332167E-02   0.112594E+02   0.880892E+01   0.723917E+01   0.113656E+02   0.718733E+02
   0.147238E+03   0.243152E+02   0.461616E+00   0.129608E+00   0.332167E-02   0.112594E+02   0.856123E+01   0.819881E+01   0.122506E+02   0.720987E+02
   0.162314E+03   0.277761E+02   0.395068E+00   0.175014E+00   0.332167E-02   0.103688E+02   0.814519E+01   0.107456E+02   0.129797E+02   0.718261E+02
   0.156465E+03   0.318034E+02   0.344811E+00   0.685056E-01   0.598629E-02   0.106226E+02   0.808983E+01   0.109789E+02   0.128970E+02   0.710636E+02
   0.165152E+03   0.306883E+02   0.113785E+00   0.356935E-01   0.188799E-02   0.109252E+02   0.737279E+01   0.919073E+01   0.128970E+02   0.713988E+02
   0.173116E+03   0.295407E+02   0.113785E+00  -0.131927E+00   0.343865E-02   0.956013E+01   0.680865E+01   0.107765E+02   0.129466E+02   0.704886E+02
   0.170256E+03   0.263300E+02   0.100466E+00  -0.109599E+00   0.343865E-02   0.103227E+02   0.761839E+01   0.104824E+02   0.124253E+02   0.717766E+02
   0.158187E+03   0.248800E+02   0.256786E+00   0.264914E-01   0.283663E-02   0.108479E+02   0.654391E+01   0.111524E+02   0.124253E+02   0.705769E+02
   0.146703E+03   0.232582E+02   0.190557E+00  -0.235478E+00   0.361861E-02   0.100077E+02   0.654391E+01   0.108273E+02   0.126114E+02   0.705410E+02
   0.147301E+03   0.213094E+02   0.225376E+00  -0.278750E+00   0.361861E-02   0.966885E+01   0.656805E+01   0.115840E+02   0.126665E+02   0.702519E+02
   0.147301E+03   0.173312E+02   0.151604E+00  -0.448086E+00   0.198633E-02   0.894447E+01   0.677220E+01   0.110997E+02   0.124011E+02   0.707570E+02
   0.149306E+03   0.194584E+02   0.161396E+00  -0.610819E+00   0.198633E-02   0.894447E+01   0.700219E+01   0.110997E+02   0.110748E+02   0.717805E+02
   0.169841E+03   0.179157E+02   0.148734E+00  -0.434558E+00   0.242598E-02   0.861310E+01   0.761087E+01   0.106073E+02   0.110748E+02   0.725458E+02
   0.182285E+03   0.195847E+02   0.226821E+00  -0.167570E+00   0.242598E-02   0.822557E+01   0.870073E+01   0.123084E+02   0.120745E+02   0.718027E+02
   0.188906E+03   0.174098E+02   0.607848E+00  -0.336857E+00   0.531743E-02   0.850042E+01   0.998682E+01   0.122761E+02   0.123196E+02   0.713072E+02
   0.190961E+03   0.127320E+02   0.536002E+00  -0.110211E+00   0.725568E-02   0.831952E+01   0.945487E+01   0.120089E+02   0.128018E+02   0.706449E+02
