               a0_min         a0_flood       a1_flood       a2_flood       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   
N                 0.562600E+04   0.562600E+04   0.562600E+04   0.562600E+04   0.562600E+04   0.562600E+04   0.562600E+04   0.562600E+04   0.562600E+04
Minimum           0.355184E+02   0.233870E+00  -0.164916E+04  -0.361315E+03   0.473713E-06   0.540926E+01   0.473314E+01   0.458653E+01   0.480935E+01
Maximum           0.380910E+04   0.131618E+04   0.529629E+03   0.726815E+03   0.190994E-01   0.213420E+02   0.194176E+02   0.262714E+02   0.190358E+02
Range             0.377358E+04   0.131595E+04   0.217879E+04   0.108813E+04   0.190989E-01   0.159327E+02   0.146845E+02   0.216849E+02   0.142264E+02
Mean              0.380925E+03   0.215930E+03  -0.740605E+02   0.599341E+02   0.364721E-02   0.102005E+02   0.101972E+02   0.100061E+02   0.102318E+02
Median            0.895089E+02   0.144774E+03   0.112262E+01   0.565817E+01   0.302541E-02   0.999693E+01   0.999797E+01   0.983478E+01   0.100585E+02
Q10%              0.552200E+02   0.266666E+02  -0.693566E+03  -0.852280E+02   0.635227E-03   0.773539E+01   0.768325E+01   0.756780E+01   0.773101E+01
Q25%              0.664882E+02   0.632996E+02  -0.199556E+02  -0.618817E+01   0.155029E-02   0.879552E+01   0.867433E+01   0.863033E+01   0.877695E+01
Q75%              0.200965E+03   0.263031E+03   0.117531E+03   0.899369E+02   0.509153E-02   0.114213E+02   0.114555E+02   0.112108E+02   0.115229E+02
Q90%              0.148642E+04   0.499933E+03   0.331600E+03   0.299156E+03   0.751319E-02   0.128535E+02   0.131164E+02   0.125724E+02   0.128813E+02
St.Dev.           0.677711E+03   0.232482E+03   0.395889E+03   0.172348E+03   0.275547E-02   0.202835E+01   0.214647E+01   0.206464E+01   0.201511E+01
Variance          0.459292E+06   0.540479E+05   0.156728E+06   0.297039E+05   0.759259E-05   0.411419E+01   0.460733E+01   0.426273E+01   0.406065E+01
CV                0.177912E+01   0.107665E+01   0.534548E+01   0.287563E+01   0.755499E+00   0.198848E+00   0.210495E+00   0.206337E+00   0.196945E+00
Skewness          0.245334E+01   0.204403E+01  -0.171270E+01   0.117837E+01   0.113990E+01   0.696739E+00   0.655586E+00   0.852583E+00   0.556058E+00
Kurtosis          0.513545E+01   0.422783E+01   0.276191E+01   0.219167E+01   0.144975E+01   0.116380E+01   0.541119E+00   0.292697E+01   0.319571E+00
MaxPost           0.164516E+03   0.947946E+01   0.531925E+01   0.532603E+01   0.180125E-02   0.984810E+01   0.986523E+01   0.920445E+01   0.928733E+01
