a0_min         a0_flood       a1_flood       a2_flood       a3_flood       a4_flood       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.100000E+03   0.330000E+02   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.500000E-03   0.100000E+02   0.100000E+02   0.100000E+02   0.100000E+02   0.722125E+02
   0.107954E+03   0.348326E+02  -0.413808E+00  -0.134070E+00   0.103536E-01  -0.120035E+00   0.500000E-03   0.101102E+02   0.110673E+02   0.979649E+01   0.932289E+01   0.727774E+02
   0.107954E+03   0.316158E+02  -0.583336E+00   0.235879E+00  -0.269712E+00  -0.250397E+00   0.113551E-02   0.995436E+01   0.111486E+02   0.810677E+01   0.983650E+01   0.720676E+02
   0.121187E+03   0.316158E+02  -0.522024E+00   0.164895E+00  -0.375833E+00   0.363751E-01   0.320674E-02   0.105454E+02   0.111156E+02   0.881185E+01   0.100820E+02   0.727764E+02
   0.115148E+03   0.290913E+02  -0.555192E+00   0.429646E-02  -0.489965E+00  -0.317359E-01   0.320674E-02   0.853282E+01   0.117480E+02   0.861751E+01   0.114181E+02   0.715287E+02
   0.135720E+03   0.289865E+02  -0.510368E+00  -0.179861E-01  -0.264316E+00   0.343052E+00   0.320674E-02   0.837310E+01   0.105676E+02   0.932068E+01   0.101457E+02   0.731545E+02
   0.140822E+03   0.324066E+02  -0.456851E+00   0.454032E+00  -0.190422E+00   0.614552E+00   0.320674E-02   0.967975E+01   0.951961E+01   0.975747E+01   0.105921E+02   0.735479E+02
   0.157976E+03   0.311859E+02  -0.762351E+00   0.323498E+00  -0.480294E+00   0.389926E+00   0.173596E-02   0.116039E+02   0.101207E+02   0.992667E+01   0.978612E+01   0.732462E+02
   0.164687E+03   0.272565E+02  -0.114916E+01   0.380320E+00  -0.596169E+00   0.614004E+00   0.173596E-02   0.124282E+02   0.101207E+02   0.994245E+01   0.103676E+02   0.728106E+02
   0.152735E+03   0.259052E+02  -0.129261E+01   0.359279E+00  -0.461403E+00   0.688049E+00   0.475983E-02   0.115376E+02   0.970469E+01   0.994245E+01   0.110967E+02   0.726250E+02
   0.146887E+03   0.299324E+02  -0.134287E+01   0.252770E+00  -0.283762E+00   0.738803E+00   0.459374E-02   0.117710E+02   0.962195E+01   0.108112E+02   0.107588E+02   0.725132E+02
   0.135335E+03   0.293910E+02  -0.134287E+01   0.313291E+00  -0.427171E+00   0.381166E+00   0.459374E-02   0.125674E+02   0.927419E+01   0.108112E+02   0.992071E+01   0.721430E+02
   0.140504E+03   0.248862E+02  -0.145569E+01   0.630449E+00  -0.417259E+00   0.323964E+00   0.167490E-02   0.125008E+02   0.938583E+01   0.108112E+02   0.106833E+02   0.724976E+02
   0.148601E+03   0.239157E+02  -0.155995E+01   0.389057E+00  -0.505137E+00   0.480284E+00   0.371626E-02   0.123001E+02   0.991099E+01   0.973670E+01   0.113533E+02   0.723481E+02
   0.162233E+03   0.201260E+02  -0.165824E+01   0.322828E+00  -0.767106E+00   0.532416E+00   0.119583E-02   0.107069E+02   0.958582E+01   0.992282E+01   0.114131E+02   0.732985E+02
   0.156327E+03   0.207006E+02  -0.170151E+01   0.338907E-01  -0.944869E+00   0.496159E+00   0.119583E-02   0.107619E+02   0.958582E+01   0.871733E+01   0.110443E+02   0.732120E+02
   0.147860E+03   0.189051E+02  -0.184639E+01   0.747193E-01  -0.104173E+01   0.443079E+00   0.179724E-02   0.114065E+02   0.963478E+01   0.790366E+01   0.996436E+01   0.724719E+02
   0.165714E+03   0.252183E+02  -0.161135E+01  -0.126875E+00  -0.126881E+01   0.709850E+00   0.179724E-02   0.122878E+02   0.978132E+01   0.757230E+01   0.105730E+02   0.721720E+02
