               a0_min         a0_flood       a1_flood       a2_flood       a3_flood       a4_flood       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   
N                 0.562600E+04   0.562600E+04   0.562600E+04   0.562600E+04   0.562600E+04   0.562600E+04   0.562600E+04   0.562600E+04   0.562600E+04   0.562600E+04   0.562600E+04
Minimum           0.340881E+02   0.149982E+00  -0.714229E+03  -0.876929E+03  -0.111575E+04  -0.113655E+04   0.635492E-05   0.518806E+01   0.487549E+01   0.478737E+01   0.466734E+01
Maximum           0.159527E+04   0.329581E+03   0.509053E+03   0.101456E+04   0.816162E+03   0.564543E+03   0.215719E-01   0.198070E+02   0.206850E+02   0.200196E+02   0.198484E+02
Range             0.156118E+04   0.329431E+03   0.122328E+04   0.189149E+04   0.193191E+04   0.170109E+04   0.215655E-01   0.146189E+02   0.158095E+02   0.152322E+02   0.151811E+02
Mean              0.175297E+03   0.111279E+03  -0.501147E+02  -0.604148E+02   0.452040E+02  -0.223995E+03   0.363141E-02   0.102973E+02   0.101889E+02   0.101091E+02   0.101979E+02
Median            0.895041E+02   0.972489E+02  -0.198226E+02   0.853679E+00   0.256651E+02  -0.141474E+03   0.302556E-02   0.101091E+02   0.996871E+01   0.992588E+01   0.100470E+02
Q10%              0.627560E+02   0.180911E+02  -0.240079E+03  -0.374045E+03  -0.137345E+03  -0.656785E+03   0.569846E-03   0.785883E+01   0.786626E+01   0.764504E+01   0.761636E+01
Q25%              0.718174E+02   0.464316E+02  -0.877106E+02  -0.939299E+02   0.527044E+00  -0.393629E+03   0.145403E-02   0.884797E+01   0.876437E+01   0.863607E+01   0.863273E+01
Q75%              0.159003E+03   0.173235E+03  -0.103785E+01   0.190159E+02   0.145817E+03  -0.145462E+02   0.518569E-02   0.114947E+02   0.114171E+02   0.113658E+02   0.115893E+02
Q90%              0.417133E+03   0.219720E+03   0.115779E+03   0.448993E+02   0.325875E+03  -0.482369E+00   0.755811E-02   0.129790E+02   0.128834E+02   0.127712E+02   0.130527E+02
St.Dev.           0.218225E+03   0.753802E+02   0.155191E+03   0.216661E+03   0.262940E+03   0.274926E+03   0.279574E-02   0.204072E+01   0.202786E+01   0.205350E+01   0.207258E+01
Variance          0.476221E+05   0.568217E+04   0.240843E+05   0.469421E+05   0.691377E+05   0.755842E+05   0.781619E-05   0.416453E+01   0.411222E+01   0.421686E+01   0.429559E+01
CV                0.124488E+01   0.677396E+00   0.309672E+01   0.358623E+01   0.581675E+01   0.122737E+01   0.769879E+00   0.198180E+00   0.199027E+00   0.203133E+00   0.203236E+00
Skewness          0.294893E+01   0.436424E+00  -0.574716E+00  -0.441637E+00  -0.135449E+01  -0.606785E+00   0.113053E+01   0.571616E+00   0.624735E+00   0.576387E+00   0.421090E+00
Kurtosis          0.909418E+01  -0.794598E+00   0.266921E+01   0.475525E+01   0.464328E+01   0.706489E-01   0.162841E+01   0.643217E+00   0.804943E+00   0.626208E+00   0.873986E-01
MaxPost           0.250655E+03   0.259152E+01   0.246642E+01   0.405612E+00   0.205237E+01  -0.372801E+01   0.148076E-02   0.955083E+01   0.996560E+01   0.106772E+02   0.951736E+01
