<CdSiteHydro>;<CdStationHydro>;<CdCapteur>;<GrdSerieObsHydro>;<DtObsHydro>;<StObsHydro>;<ResObsHydro>;<QualifObsHydro>;<MethObsHydro>;<ContObsHydro>;<FLG>
"Code du site hydrométrique";"Code de la station hydrométrique";"Code du capteur";"Grandeur observée de la série";"Date d'observation hydrométrique";"Résultat de l'observation hydro";"Résultat de l'observation hydrométrique";"Qualification de la donnée de l'observation hydrométrique";"Méthode d'obtention du résultat de l'observation hydrométrique";"Continuité de la donnée de l'observation hydrométrique";<FLG>
V2942010;V294201001;;Q;"1992-12-31 01:42:00";16;131000;20;10;0;<FLG>
V2942010;V294201001;;Q;"1992-12-31 02:56:00";16;124500;20;10;0;<FLG>
V2942010;V294201001;;Q;"1992-12-31 05:12:00";16;121500;20;10;0;<FLG>
V2942010;V294201001;;Q;"1992-12-31 05:44:00";16;117000;20;10;0;<FLG>
V2942010;V294201001;;Q;"1992-12-31 09:03:00";16;69633;20;10;0;<FLG>
V2942010;V294201001;;Q;"1992-12-31 10:28:00";16;61100;20;10;0;<FLG>
V2942010;V294201001;;Q;"1992-12-31 11:54:00";16;55767;20;10;0;<FLG>
V2942010;V294201001;;Q;"1992-12-31 16:21:00";16;50433;20;10;0;<FLG>
V2942010;V294201001;;Q;"1992-12-31 20:27:00";16;49367;20;10;0;<FLG>
V2942010;V294201001;;Q;"1992-12-31 22:03:00";16;46167;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-01 01:45:00";16;48300;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-01 06:00:00";16;47233;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-01 07:57:00";16;44033;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-01 15:26:00";16;46167;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-01 18:14:00";16;44033;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-01 22:28:00";16;46167;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-02 23:53:00";16;42967;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-03 03:59:00";16;45100;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-03 04:23:00";16;49367;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-03 04:38:00";16;55767;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-03 04:39:00";16;58967;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-03 04:51:00";16;62167;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-03 04:52:00";16;65367;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-03 05:12:00";16;71974;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-03 05:14:00";16;75794;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-03 06:10:00";16;93624;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-03 06:46:00";16;101265;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-03 08:08:00";16;110179;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-03 09:00:00";16;108906;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-03 11:01:00";16;92350;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-03 13:00:00";16;85982;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-03 15:19:00";16;85982;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-03 16:06:00";16;88529;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-03 21:13:00";16;91076;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-03 21:50:00";16;96171;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-03 23:37:00";16;126000;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-04 00:19:00";16;137000;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-04 01:55:00";16;149000;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-04 04:28:00";16;155000;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-04 06:22:00";16;181000;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-04 06:59:00";16;187673;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-04 17:14:00";16;198796;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-05 05:04:00";16;196571;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-05 06:27:00";16;192122;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-06 07:13:00";16;192122;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-06 07:55:00";16;185449;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-06 09:42:00";16;155000;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-06 11:34:00";16;141000;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-06 15:29:00";16;141000;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-06 17:18:00";16;173000;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-06 18:26:00";16;185449;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-06 19:49:00";16;189898;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-07 01:29:00";16;189898;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-07 03:35:00";16;169000;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-07 05:31:00";16;161000;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-07 06:22:00";16;149000;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-07 08:01:00";16;114000;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-07 08:31:00";16;108906;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-07 10:19:00";16;101265;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-07 12:00:00";16;101265;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-07 13:29:00";16;110179;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-07 14:40:00";16;114000;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-07 20:38:00";16;112726;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-07 22:47:00";16;92350;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-07 23:53:00";16;85982;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-08 05:10:00";16;79615;20;10;0;<FLG>
V2942010;V294201001;;Q;"1993-01-08 06:55:00";16;67500;20;10;0;<FLG>
