<CdSiteHydro>;<CdStationHydro>;<CdCapteur>;<GrdSerieObsHydro>;<DtObsHydro>;<StObsHydro>;<ResObsHydro>;<QualifObsHydro>;<MethObsHydro>;<ContObsHydro>;<FLG>
"Code du site hydrométrique";"Code de la station hydrométrique";"Code du capteur";"Grandeur observée de la série";"Date d'observation hydrométrique";"Résultat de l'observation hydro";"Résultat de l'observation hydrométrique";"Qualification de la donnée de l'observation hydrométrique";"Méthode d'obtention du résultat de l'observation hydrométrique";"Continuité de la donnée de l'observation hydrométrique";<FLG>
V3009113;V300911301;;H;"2023-03-22 09:50:00";16;1109;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-22 11:31:07";16;1146;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-22 13:31:07";16;1158;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-22 15:10:00";16;1147;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-22 16:40:00";16;1126;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-22 18:08:53";16;1109;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-22 21:30:00";16;1111;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-23 02:40:00";16;1121;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-23 08:23:20";16;1128;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-23 14:16:40";16;1118;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-23 19:22:13";16;1108;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-24 02:26:40";16;1090;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-24 07:28:53";16;1081;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-24 12:01:07";16;1101;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-24 14:21:07";16;1158;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-24 16:51:07";16;1227;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-24 18:45:33";16;1287;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-24 19:54:27";16;1347;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-24 20:57:47";16;1401;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-24 22:06:40";16;1437;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-25 00:57:47";16;1460;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-25 03:55:33";16;1470;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-25 06:43:20";16;1470;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-25 07:52:13";16;1431;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-25 08:55:33";16;1386;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-25 10:07:47";16;1337;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-25 11:34:27";16;1313;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-25 14:12:13";16;1301;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-25 16:52:13";16;1302;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-25 19:38:53";16;1324;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-25 22:02:13";16;1351;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-26 04:17:47";16;1380;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-26 12:01:07";16;1403;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-26 20:15:33";16;1438;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-27 00:42:13";16;1477;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-27 03:04:27";16;1516;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-27 04:16:40";16;1551;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-27 05:18:53";16;1579;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-27 09:50:00";16;1570;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-27 14:01:07";16;1542;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-27 18:14:27";16;1491;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-27 19:14:27";16;1448;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-27 20:52:13";16;1399;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-27 22:48:53";16;1366;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-28 04:30:00";16;1345;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-28 11:13:20";16;1336;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-28 17:46:40";16;1334;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-28 21:07:47";16;1361;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-28 23:51:07";16;1397;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-29 02:40:00";16;1430;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-29 04:56:40";16;1440;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-29 07:53:20";16;1410;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-29 13:01:07";16;1343;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-29 13:42:13";16;1350;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-29 14:18:53";16;1387;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-29 15:14:27";16;1429;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-29 16:22:13";16;1465;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-29 17:25:33";16;1474;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-29 18:14:27";16;1468;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-29 18:53:20";16;1447;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-29 19:33:20";16;1421;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-29 20:12:13";16;1403;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-29 20:57:47";16;1405;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-29 21:42:13";16;1419;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-29 22:37:47";16;1430;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-29 23:32:13";16;1429;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-30 00:48:53";16;1403;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-30 02:05:33";16;1368;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-30 03:30:00";16;1328;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-30 04:55:33";16;1306;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-30 06:51:07";16;1296;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-30 10:34:27";16;1293;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-30 14:44:27";16;1286;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-30 20:32:13";16;1266;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-31 01:08:53";16;1249;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-31 05:20:00";16;1247;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-31 07:56:40";16;1275;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-31 10:21:07";16;1313;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-31 12:21:07";16;1342;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-31 13:35:33";16;1346;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-31 14:47:47";16;1305;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-31 17:45:33";16;1231;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-31 20:56:40";16;1157;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-03-31 23:36:40";16;1119;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-01 00:24:27";16;1123;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-01 01:00:00";16;1144;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-01 01:38:53";16;1201;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-01 02:18:53";16;1265;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-01 03:00:00";16;1326;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-01 03:36:40";16;1355;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-01 04:31:07";16;1356;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-01 05:55:33";16;1320;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-01 07:28:53";16;1271;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-01 09:56:40";16;1217;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-01 14:32:13";16;1125;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-01 16:02:13";16;1096;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-01 18:06:40";16;1096;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-01 19:53:20";16;1112;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-01 21:35:33";16;1162;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-01 22:27:47";16;1225;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-01 23:23:20";16;1306;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-02 00:04:27";16;1389;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-02 00:47:47";16;1481;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-02 01:30:00";16;1563;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-02 02:17:47";16;1628;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-02 03:11:07";16;1671;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-02 04:11:07";16;1703;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-02 05:08:53";16;1711;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-02 06:24:27";16;1671;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-02 08:35:33";16;1572;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-02 11:03:20";16;1558;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-02 13:57:47";16;1544;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-02 16:56:40";16;1514;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-02 18:01:07";16;1481;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-02 18:36:40";16;1452;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-02 19:03:20";16;1443;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-02 19:26:40";16;1446;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-02 20:02:13";16;1483;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-02 20:58:53";16;1537;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-03 00:01:07";16;1573;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-03 04:55:33";16;1577;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-03 09:53:20";16;1560;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-03 12:53:20";16;1551;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-03 14:03:20";16;1525;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-03 15:14:27";16;1490;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-03 16:58:53";16;1462;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-03 20:17:47";16;1464;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-03 23:51:07";16;1478;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-04 03:31:07";16;1484;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-04 06:54:27";16;1460;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-04 10:43:20";16;1405;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-04 14:56:40";16;1347;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-04 18:32:13";16;1271;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-04 21:10:00";16;1221;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-04 23:07:47";16;1175;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-05 02:30:00";16;1194;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-05 09:02:13";16;1239;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-05 10:18:53";16;1233;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-05 11:36:40";16;1234;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-05 13:08:53";16;1272;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-05 14:27:47";16;1317;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-05 15:52:13";16;1356;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-05 16:55:33";16;1360;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-05 18:26:40";16;1330;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-05 20:14:27";16;1271;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-05 22:01:07";16;1209;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-06 01:36:40";16;1129;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-06 05:06:40";16;1083;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-06 09:07:47";16;1044;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-06 11:40:00";16;1041;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-06 15:53:20";16;1020;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-06 21:57:47";16;991;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-07 06:15:33";16;965;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-07 14:47:47";16;944;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-07 21:17:47";16;924;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-08 00:55:33";16;883;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-08 02:44:27";16;830;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-08 04:38:53";16;741;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-08 06:47:47";16;655;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-08 09:21:07";16;579;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-08 12:37:47";16;534;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-08 16:04:27";16;513;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-08 19:20:00";16;511;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-08 23:12:13";16;543;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-09 02:24:27";16;568;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-09 04:52:13";16;581;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-09 06:38:53";16;523;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-09 09:28:53";16;443;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-09 13:26:40";16;351;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-09 16:26:40";16;306;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-09 18:26:40";16;290;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-09 19:41:07";16;318;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-09 20:51:07";16;359;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-09 22:14:27";16;404;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-09 23:46:40";16;419;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-10 01:37:47";16;419;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-10 03:27:47";16;408;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-10 05:08:53";16;389;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-10 08:06:40";16;357;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-10 12:54:27";16;316;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-10 17:51:07";16;285;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-10 21:10:00";16;277;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-10 22:41:07";16;307;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-11 00:25:33";16;380;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-11 02:55:33";16;513;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-11 05:26:40";16;640;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-11 07:26:40";16;739;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-11 08:35:33";16;786;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-11 09:57:47";16;887;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-11 11:07:47";16;977;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-11 12:26:40";16;1057;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-11 13:20:00";16;1063;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-11 14:16:40";16;1060;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-11 15:38:53";16;1031;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-11 17:23:20";16;976;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-11 19:27:47";16;916;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-11 21:06:40";16;881;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-11 22:12:13";16;879;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-11 23:00:00";16;899;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-11 23:40:00";16;925;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-12 00:27:47";16;949;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-12 01:15:33";16;959;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-12 02:05:33";16;955;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-12 03:20:00";16;911;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-12 04:33:20";16;858;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-12 07:03:20";16;779;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-12 09:47:47";16;725;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-12 12:50:00";16;675;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-12 17:16:40";16;665;20;10;0;<FLG>
V3009113;V300911301;;H;"2023-04-12 21:02:13";16;673;20;10;0;<FLG>
