Station;Fuseau;Chronique;Unite
PORT-GALLAND;UTC+00;DEB;m3/s
DateHeure;Valeur;Qualite;Min;Max
01/01/2016 00:00:00;55.000;v;;
01/01/2016 01:00:00;55.000;v;;
01/01/2016 02:00:00;55.000;v;;
01/01/2016 03:00:00;54.000;v;;
01/01/2016 04:00:00;54.000;v;;
01/01/2016 05:00:00;54.000;v;;
01/01/2016 06:00:00;54.000;v;;
01/01/2016 07:00:00;54.000;v;;
01/01/2016 08:00:00;54.000;v;;
01/01/2016 09:00:00;54.000;v;;
01/01/2016 10:00:00;54.000;v;;
01/01/2016 11:00:00;54.000;v;;
01/01/2016 12:00:00;54.000;v;;
01/01/2016 13:00:00;54.000;v;;
01/01/2016 14:00:00;54.000;v;;
01/01/2016 15:00:00;54.000;v;;
01/01/2016 16:00:00;54.000;v;;
01/01/2016 17:00:00;54.000;v;;
01/01/2016 18:00:00;54.000;v;;
01/01/2016 19:00:00;54.000;v;;
01/01/2016 20:00:00;54.000;v;;
01/01/2016 21:00:00;54.000;v;;
01/01/2016 22:00:00;54.000;v;;
01/01/2016 23:00:00;54.000;v;;
02/01/2016 00:00:00;54.000;v;;
02/01/2016 01:00:00;54.000;v;;
02/01/2016 02:00:00;54.000;v;;
02/01/2016 03:00:00;54.000;v;;
02/01/2016 04:00:00;54.000;v;;
02/01/2016 05:00:00;54.000;v;;
02/01/2016 06:00:00;54.000;v;;
02/01/2016 07:00:00;55.000;v;;
02/01/2016 08:00:00;55.000;v;;
02/01/2016 09:00:00;55.000;v;;
02/01/2016 10:00:00;55.000;v;;
02/01/2016 11:00:00;55.000;v;;
02/01/2016 12:00:00;56.000;v;;
02/01/2016 13:00:00;56.000;v;;
02/01/2016 14:00:00;56.000;v;;
02/01/2016 15:00:00;56.000;v;;
02/01/2016 16:00:00;57.000;v;;
02/01/2016 17:00:00;57.000;v;;
02/01/2016 18:00:00;57.000;v;;
02/01/2016 19:00:00;58.000;v;;
02/01/2016 20:00:00;60.000;v;;
02/01/2016 21:00:00;62.000;v;;
02/01/2016 22:00:00;64.000;v;;
02/01/2016 23:00:00;67.000;v;;
03/01/2016 00:00:00;70.000;v;;
03/01/2016 01:00:00;73.000;v;;
03/01/2016 02:00:00;84.000;v;;
03/01/2016 03:00:00;108.000;v;;
03/01/2016 04:00:00;127.000;v;;
03/01/2016 05:00:00;137.000;v;;
03/01/2016 06:00:00;142.000;v;;
03/01/2016 07:00:00;144.000;v;;
03/01/2016 08:00:00;146.000;v;;
03/01/2016 09:00:00;148.000;v;;
03/01/2016 10:00:00;148.000;v;;
03/01/2016 11:00:00;149.000;v;;
03/01/2016 12:00:00;150.000;v;;
03/01/2016 13:00:00;152.000;v;;
03/01/2016 14:00:00;154.000;v;;
03/01/2016 15:00:00;155.000;v;;
03/01/2016 16:00:00;157.000;v;;
03/01/2016 17:00:00;160.000;v;;
03/01/2016 18:00:00;162.000;v;;
03/01/2016 19:00:00;162.000;v;;
03/01/2016 20:00:00;162.000;v;;
03/01/2016 21:00:00;163.000;v;;
03/01/2016 22:00:00;172.000;v;;
03/01/2016 23:00:00;186.000;v;;
04/01/2016 00:00:00;204.000;v;;
04/01/2016 01:00:00;221.000;v;;
04/01/2016 02:00:00;225.000;v;;
04/01/2016 03:00:00;227.000;v;;
04/01/2016 04:00:00;229.000;v;;
04/01/2016 05:00:00;230.000;v;;
04/01/2016 06:00:00;232.000;v;;
04/01/2016 07:00:00;235.000;v;;
04/01/2016 08:00:00;237.000;v;;
04/01/2016 09:00:00;239.000;v;;
04/01/2016 10:00:00;240.000;v;;
04/01/2016 11:00:00;241.000;v;;
04/01/2016 12:00:00;241.000;v;;
04/01/2016 13:00:00;243.000;v;;
04/01/2016 14:00:00;241.000;v;;
04/01/2016 15:00:00;233.000;v;;
04/01/2016 16:00:00;212.000;v;;
04/01/2016 17:00:00;186.000;v;;
04/01/2016 18:00:00;180.000;v;;
04/01/2016 19:00:00;163.000;v;;
04/01/2016 20:00:00;153.000;v;;
04/01/2016 21:00:00;149.000;v;;
04/01/2016 22:00:00;154.000;v;;
04/01/2016 23:00:00;170.000;v;;
05/01/2016 00:00:00;204.000;v;;
05/01/2016 01:00:00;234.000;v;;
05/01/2016 02:00:00;242.000;v;;
05/01/2016 03:00:00;242.000;v;;
05/01/2016 04:00:00;238.000;v;;
05/01/2016 05:00:00;221.000;v;;
05/01/2016 06:00:00;206.000;v;;
05/01/2016 07:00:00;185.000;v;;
05/01/2016 08:00:00;179.000;v;;
05/01/2016 09:00:00;174.000;v;;
05/01/2016 10:00:00;171.000;v;;
05/01/2016 11:00:00;170.000;v;;
05/01/2016 12:00:00;170.000;v;;
05/01/2016 13:00:00;170.000;v;;
05/01/2016 14:00:00;170.000;v;;
05/01/2016 15:00:00;176.000;v;;
05/01/2016 16:00:00;180.000;v;;
05/01/2016 17:00:00;181.000;v;;
05/01/2016 18:00:00;187.000;v;;
05/01/2016 19:00:00;192.000;v;;
05/01/2016 20:00:00;195.000;v;;
05/01/2016 21:00:00;197.000;v;;
05/01/2016 22:00:00;197.000;v;;
05/01/2016 23:00:00;192.000;v;;
06/01/2016 00:00:00;189.000;v;;
06/01/2016 01:00:00;189.000;v;;
06/01/2016 02:00:00;192.000;v;;
06/01/2016 03:00:00;194.000;v;;
06/01/2016 04:00:00;195.000;v;;
06/01/2016 05:00:00;194.000;v;;
06/01/2016 06:00:00;193.000;v;;
06/01/2016 07:00:00;190.000;v;;
06/01/2016 08:00:00;188.000;v;;
06/01/2016 09:00:00;187.000;v;;
06/01/2016 10:00:00;185.000;v;;
06/01/2016 11:00:00;185.000;v;;
06/01/2016 12:00:00;184.000;v;;
06/01/2016 13:00:00;185.000;v;;
06/01/2016 14:00:00;188.000;v;;
06/01/2016 15:00:00;190.000;v;;
06/01/2016 16:00:00;192.000;v;;
06/01/2016 17:00:00;193.000;v;;
06/01/2016 18:00:00;192.000;v;;
06/01/2016 19:00:00;190.000;v;;
06/01/2016 20:00:00;181.000;v;;
06/01/2016 21:00:00;164.000;v;;
06/01/2016 22:00:00;140.000;v;;
06/01/2016 23:00:00;115.000;v;;
07/01/2016 00:00:00;101.000;v;;
07/01/2016 01:00:00;93.000;v;;
07/01/2016 02:00:00;92.000;v;;
07/01/2016 03:00:00;100.000;v;;
07/01/2016 04:00:00;115.000;v;;
07/01/2016 05:00:00;122.000;v;;
07/01/2016 06:00:00;119.000;v;;
07/01/2016 07:00:00;113.000;v;;
07/01/2016 08:00:00;108.000;v;;
07/01/2016 09:00:00;106.000;v;;
07/01/2016 10:00:00;106.000;v;;
07/01/2016 11:00:00;107.000;v;;
07/01/2016 12:00:00;111.000;v;;
07/01/2016 13:00:00;124.000;v;;
07/01/2016 14:00:00;140.000;v;;
07/01/2016 15:00:00;150.000;v;;
07/01/2016 16:00:00;155.000;v;;
07/01/2016 17:00:00;157.000;v;;
07/01/2016 18:00:00;159.000;v;;
07/01/2016 19:00:00;162.000;v;;
07/01/2016 20:00:00;165.000;v;;
07/01/2016 21:00:00;173.000;v;;
07/01/2016 22:00:00;196.000;v;;
07/01/2016 23:00:00;228.000;v;;
08/01/2016 00:00:00;262.000;v;;
08/01/2016 01:00:00;275.000;v;;
08/01/2016 02:00:00;281.000;v;;
08/01/2016 03:00:00;287.000;v;;
08/01/2016 04:00:00;289.000;v;;
08/01/2016 05:00:00;292.000;v;;
08/01/2016 06:00:00;293.000;v;;
08/01/2016 07:00:00;295.000;v;;
08/01/2016 08:00:00;296.000;v;;
08/01/2016 09:00:00;295.000;v;;
08/01/2016 10:00:00;295.000;v;;
08/01/2016 11:00:00;295.000;v;;
08/01/2016 12:00:00;294.000;v;;
08/01/2016 13:00:00;295.000;v;;
08/01/2016 14:00:00;296.000;v;;
08/01/2016 15:00:00;296.000;v;;
08/01/2016 16:00:00;291.000;v;;
08/01/2016 17:00:00;286.000;v;;
08/01/2016 18:00:00;281.000;v;;
08/01/2016 19:00:00;280.000;v;;
08/01/2016 20:00:00;280.000;v;;
08/01/2016 21:00:00;281.000;v;;
08/01/2016 22:00:00;280.000;v;;
08/01/2016 23:00:00;279.000;v;;
09/01/2016 00:00:00;279.000;v;;
09/01/2016 01:00:00;278.000;v;;
09/01/2016 02:00:00;275.000;v;;
09/01/2016 03:00:00;264.000;v;;
09/01/2016 04:00:00;242.000;v;;
09/01/2016 05:00:00;221.000;v;;
09/01/2016 06:00:00;210.000;v;;
09/01/2016 07:00:00;207.000;v;;
09/01/2016 08:00:00;210.000;v;;
09/01/2016 09:00:00;224.000;v;;
09/01/2016 10:00:00;255.000;v;;
09/01/2016 11:00:00;286.000;v;;
09/01/2016 12:00:00;312.000;v;;
09/01/2016 13:00:00;337.000;v;;
09/01/2016 14:00:00;369.000;v;;
09/01/2016 15:00:00;400.000;v;;
09/01/2016 16:00:00;428.000;v;;
09/01/2016 17:00:00;455.000;v;;
09/01/2016 18:00:00;480.000;v;;
09/01/2016 19:00:00;504.000;v;;
09/01/2016 20:00:00;521.000;v;;
09/01/2016 21:00:00;530.000;v;;
09/01/2016 22:00:00;536.000;v;;
09/01/2016 23:00:00;538.000;v;;
10/01/2016 00:00:00;539.000;v;;
10/01/2016 01:00:00;539.000;v;;
10/01/2016 02:00:00;538.000;v;;
10/01/2016 03:00:00;533.000;v;;
10/01/2016 04:00:00;522.000;v;;
10/01/2016 05:00:00;509.000;v;;
10/01/2016 06:00:00;499.000;v;;
10/01/2016 07:00:00;492.000;v;;
10/01/2016 08:00:00;487.000;v;;
10/01/2016 09:00:00;477.000;v;;
10/01/2016 10:00:00;461.000;v;;
10/01/2016 11:00:00;452.000;v;;
10/01/2016 12:00:00;451.000;v;;
10/01/2016 13:00:00;453.000;v;;
10/01/2016 14:00:00;451.000;v;;
10/01/2016 15:00:00;446.000;v;;
10/01/2016 16:00:00;436.000;v;;
10/01/2016 17:00:00;425.000;v;;
10/01/2016 18:00:00;417.000;v;;
10/01/2016 19:00:00;412.000;v;;
10/01/2016 20:00:00;410.000;v;;
10/01/2016 21:00:00;410.000;v;;
10/01/2016 22:00:00;407.000;v;;
10/01/2016 23:00:00;404.000;v;;
11/01/2016 00:00:00;401.000;v;;
11/01/2016 01:00:00;395.000;v;;
11/01/2016 02:00:00;391.000;v;;
11/01/2016 03:00:00;391.000;v;;
11/01/2016 04:00:00;391.000;v;;
11/01/2016 05:00:00;393.000;v;;
11/01/2016 06:00:00;397.000;v;;
11/01/2016 07:00:00;408.000;v;;
