X Y Z label profile_id header_val
869703.993 6524222.4484 188.2443 NA 1 41211
869694.4841 6524224.5704 188.4233 NA 1 41211
869684.9752 6524226.6924 188.6301 NA 1 41211
869675.4663 6524228.8145 188.5062 NA 1 41211
869665.9573 6524230.9365 188.2359 NA 1 41211
869656.4484 6524233.0586 187.8237 NA 1 41211
869646.9395 6524235.1806 187.7199 NA 1 41211
869637.4306 6524237.3027 187.7452 NA 1 41211
869627.9217 6524239.4247 187.8169 NA 1 41211
869618.4128 6524241.5468 188.0068 NA 1 41211
869608.9039 6524243.6688 188.188 NA 1 41211
869599.395 6524245.7909 188.4419 NA 1 41211
869589.8861 6524247.9129 188.4491 NA 1 41211
869580.3771 6524250.0349 188.3965 NA 1 41211
869570.8682 6524252.157 188.4476 NA 1 41211
869561.3593 6524254.279 188.4448 NA 1 41211
869551.8504 6524256.4011 188.6137 NA 1 41211
869542.3415 6524258.5231 188.063 NA 1 41211
869532.8326 6524260.6452 187.5423 NA 1 41211
869523.3237 6524262.7672 187.2829 NA 1 41211
869513.8148 6524264.8893 187.3213 NA 1 41211
869504.3059 6524267.0113 187.5343 NA 1 41211
869494.7969 6524269.1333 187.6617 NA 1 41211
869485.288 6524271.2554 187.6392 NA 1 41211
869475.7791 6524273.3774 187.6185 NA 1 41211
869466.2702 6524275.4995 187.5735 NA 1 41211
869456.7613 6524277.6215 187.47 NA 1 41211
869447.2524 6524279.7436 187.4233 NA 1 41211
869437.7435 6524281.8656 187.6382 NA 1 41211
869428.2346 6524283.9877 187.9596 NA 1 41211
869418.7257 6524286.1097 188.0938 NA 1 41211
869409.2167 6524288.2318 188.1165 NA 1 41211
869399.7078 6524290.3538 187.8266 NA 1 41211
869390.1989 6524292.4758 187.4033 NA 1 41211
869380.69 6524294.5979 186.6128 NA 1 41211
869371.1811 6524296.7199 185.8852 NA 1 41211
869367.857 6524297.177 185.53 rg 1 41211
869360.688 6524298.736 184.653 NA 1 41211
869353.413 6524300.313 184.551 NA 1 41211
869346.137 6524301.891 184.518 NA 1 41211
869338.862 6524303.469 184.46 NA 1 41211
869331.587 6524305.046 184.37 NA 1 41211
869324.344 6524306.617 183.837 NA 1 41211
869317.075 6524308.193 183.803 NA 1 41211
869309.799 6524309.771 183.794 NA 1 41211
869302.525 6524311.349 183.744 NA 1 41211
869295.484 6524312.886 182.912 NA 1 41211
869288.243 6524314.458 182.466 NA 1 41211
869280.973 6524316.035 182.27 axe 1 41211
869274.21 6524317.232 182.423 NA 1 41211
869267.448 6524318.429 182.644 NA 1 41211
869260.694 6524319.624 182.986 NA 1 41211
869253.931 6524320.821 183.106 NA 1 41211
869247.17 6524322.018 183.267 NA 1 41211
869240.41 6524323.214 183.509 NA 1 41211
869233.659 6524324.408 183.707 NA 1 41211
869226.936 6524325.596 184.017 NA 1 41211
869220.214 6524326.783 184.332 NA 1 41211
869213.492 6524327.971 184.659 NA 1 41211
869206.77 6524329.158 185.002 NA 1 41211
869200.049 6524330.346 185.38 rd 1 41211
869184.7903 6524333.52 186.3647 NA 1 41211
869175.1471 6524335.5346 186.1166 NA 1 41211
869165.5039 6524337.5492 186.2221 NA 1 41211
869155.8607 6524339.5638 186.3671 NA 1 41211
869146.2175 6524341.5784 186.4289 NA 1 41211
869136.5742 6524343.593 186.4624 NA 1 41211
869126.931 6524345.6076 186.3026 NA 1 41211
869117.2878 6524347.6222 186.1624 NA 1 41211
869107.6446 6524349.6368 186.1724 NA 1 41211
869098.0014 6524351.6514 186.1801 NA 1 41211
869088.3582 6524353.666 186.4683 NA 1 41211
869078.7149 6524355.6806 186.5598 NA 1 41211
869069.0717 6524357.6952 186.3593 NA 1 41211
869059.4285 6524359.7098 186.3045 NA 1 41211
869049.7853 6524361.7244 186.2368 NA 1 41211
869040.1421 6524363.739 186.2067 NA 1 41211
869030.4989 6524365.7536 186.6274 NA 1 41211
869020.8556 6524367.7682 186.7307 NA 1 41211
869011.2124 6524369.7828 186.6029 NA 1 41211
869001.5692 6524371.7974 186.9099 NA 1 41211
868991.926 6524373.812 187.8754 NA 1 41211
868982.2828 6524375.8266 188.2156 NA 1 41211
868972.6396 6524377.8412 187.8214 NA 1 41211
868962.9963 6524379.8558 187.7866 NA 1 41211
868953.3531 6524381.8704 187.5023 NA 1 41211
868943.7099 6524383.885 187.1747 NA 1 41211
868934.0667 6524385.8996 187.182 NA 1 41211
868924.4235 6524387.9141 187.1927 NA 1 41211
868914.7802 6524389.9287 187.2936 NA 1 41211
868905.137 6524391.9433 187.496 NA 1 41211
868895.4938 6524393.9579 187.7696 NA 1 41211
868885.8506 6524395.9725 187.8731 NA 1 41211
868876.2074 6524397.9871 187.8561 NA 1 41211
868866.5642 6524400.0017 187.8526 NA 1 41211
868856.9209 6524402.0163 187.5949 NA 1 41211
869703.1573 6524217.295 188.2411 NA 2 41227
869693.6405 6524219.3772 188.427 NA 2 41227
869684.1236 6524221.4594 188.6159 NA 2 41227
869674.6067 6524223.5417 188.4974 NA 2 41227
869665.0898 6524225.6239 188.2386 NA 2 41227
869655.5729 6524227.7062 187.8434 NA 2 41227
869646.0561 6524229.7884 187.7432 NA 2 41227
869636.5392 6524231.8707 187.7733 NA 2 41227
869627.0223 6524233.953 187.8495 NA 2 41227
869617.5055 6524236.0353 188.0339 NA 2 41227
869607.9886 6524238.1175 188.2007 NA 2 41227
869598.4718 6524240.1998 188.4295 NA 2 41227
869588.9549 6524242.282 188.405 NA 2 41227
869579.438 6524244.3642 188.3426 NA 2 41227
869569.9211 6524246.4465 188.3718 NA 2 41227
869560.4042 6524248.5287 188.3384 NA 2 41227
869550.8874 6524250.611 188.4703 NA 2 41227
869541.3705 6524252.6932 187.9584 NA 2 41227
869531.8537 6524254.7755 187.4923 NA 2 41227
869522.3368 6524256.8577 187.2697 NA 2 41227
869512.8199 6524258.94 187.3121 NA 2 41227
869503.3031 6524261.0222 187.5097 NA 2 41227
869493.7861 6524263.1044 187.6396 NA 2 41227
869484.2693 6524265.1867 187.6329 NA 2 41227
869474.7524 6524267.2689 187.6277 NA 2 41227
869465.2355 6524269.3512 187.596 NA 2 41227
869455.7187 6524271.4334 187.5048 NA 2 41227
869446.2018 6524273.5157 187.4615 NA 2 41227
869436.685 6524275.598 187.6571 NA 2 41227
869427.1681 6524277.6803 187.9465 NA 2 41227
869417.6512 6524279.7625 188.064 NA 2 41227
869408.1343 6524281.8448 188.0687 NA 2 41227
869398.6174 6524283.927 187.7972 NA 2 41227
869389.1006 6524286.0092 187.3788 NA 2 41227
869379.5837 6524288.0915 186.6334 NA 2 41227
869370.0669 6524290.1737 185.9582 NA 2 41227
869366.6991 6524290.5265 185.5048 rg 2 41227
869359.8036 6524292.0144 184.6209 NA 2 41227
869352.7976 6524293.521 184.5171 NA 2 41227
869345.7906 6524295.0286 184.491 NA 2 41227
869338.7845 6524296.5362 184.4419 NA 2 41227
869331.7784 6524298.0428 184.3618 NA 2 41227
869324.8019 6524299.544 183.8713 NA 2 41227
869317.8014 6524301.0497 183.8429 NA 2 41227
869310.7944 6524302.5573 183.8418 NA 2 41227
869303.7894 6524304.0649 183.8036 NA 2 41227
869299.9955 6524304.8869 183.3064 NA 2 41227
869297.0347 6524305.5285 182.9182 NA 2 41227
869290.0652 6524307.0297 182.4543 NA 2 41227
