wse,slope,width,area_total,time_str,reach_q,wse_units,slope_units,width_units,area_total_units
204.543,-0.0001025635,100.510113,972886.3,2023-03-29 00:23:08,2,m,m/m,m,m^2
204.2423,-0.000160467,102.035443,987650.7,2023-03-30 00:13:46,2,m,m/m,m,m^2
203.7975,-2.99451e-05,100.279837,970657.4,2023-03-31 00:04:23,1,m,m/m,m,m^2
203.8837,-0.0001485508,98.141806,949962.3,2023-04-01 23:45:38,1,m,m/m,m,m^2
203.5726,-0.0001513234,101.626665,983694.0,2023-04-02 23:36:16,1,m,m/m,m,m^2
203.5793,-9.88916e-05,98.019527,948778.7,2023-04-03 23:26:54,1,m,m/m,m,m^2
203.5238,-0.00016051,99.416467,962300.4,2023-04-04 23:17:31,1,m,m/m,m,m^2
203.2712,-0.0001693859,99.230198,960497.4,2023-04-05 23:08:09,1,m,m/m,m,m^2
203.5358,-2.11029e-05,101.474519,982221.3,2023-04-06 22:58:47,1,m,m/m,m,m^2
203.5419,-3.89161e-05,99.394194,962084.8,2023-04-07 22:49:26,1,m,m/m,m,m^2
203.7942,8.347625e-05,100.972186,977359.0,2023-04-08 22:40:04,1,m,m/m,m,m^2
202.9927,-0.0002283345,99.932515,967295.5,2023-04-09 22:30:42,1,m,m/m,m,m^2
203.1481,-6.48901e-05,99.142064,959644.3,2023-04-10 22:21:20,1,m,m/m,m,m^2
203.5484,-6.75323e-05,100.953086,977174.1,2023-04-11 22:11:58,1,m,m/m,m,m^2
203.3705,-0.0001190888,100.079251,968715.8,2023-04-12 22:02:36,1,m,m/m,m,m^2
203.3277,-0.0001747142,102.03651,987661.1,2023-04-13 21:53:14,1,m,m/m,m,m^2
203.7459,-9.97386e-05,98.338321,951864.5,2023-04-14 21:43:52,1,m,m/m,m,m^2
203.709,-0.0001131008,99.277321,960953.5,2023-04-15 21:34:30,1,m,m/m,m,m^2
203.6314,-7.11343e-05,99.544488,963539.6,2023-04-16 21:25:08,1,m,m/m,m,m^2
203.0737,-0.0002465887,106.226302,1028216.1,2023-04-17 21:15:46,1,m,m/m,m,m^2
203.1663,-0.0001293642,98.728443,955640.7,2023-04-18 21:06:24,1,m,m/m,m,m^2
203.5009,-7.48598e-05,99.493727,963048.2,2023-04-19 20:57:02,1,m,m/m,m,m^2
203.492,-0.0001577934,99.892977,966912.8,2023-04-20 20:47:39,1,m,m/m,m,m^2
203.3652,-0.0001136901,97.792053,946576.9,2023-04-22 20:28:55,1,m,m/m,m,m^2
203.5587,-0.0001580793,98.720549,955564.3,2023-04-23 20:19:33,1,m,m/m,m,m^2
203.8427,-0.0001139285,105.21915,1018467.4,2023-04-24 20:10:11,1,m,m/m,m,m^2
203.761,-1.83759e-05,99.865148,966643.4,2023-04-25 20:00:49,1,m,m/m,m,m^2
203.6142,-8.02098e-05,100.927527,976926.7,2023-04-26 19:51:27,1,m,m/m,m,m^2
203.4679,-0.0001015516,100.224843,970125.1,2023-04-27 19:42:05,1,m,m/m,m,m^2
203.3252,-0.0001145928,102.165572,988910.3,2023-04-28 19:32:42,1,m,m/m,m,m^2
203.4088,-0.0001178059,99.589497,963975.2,2023-04-29 19:23:20,1,m,m/m,m,m^2
203.1612,-0.0001366157,99.804544,966056.8,2023-04-30 19:13:58,1,m,m/m,m,m^2
203.0858,-0.0001528113,98.339959,951880.3,2023-05-01 19:04:36,1,m,m/m,m,m^2
203.4936,-0.0001294647,104.041689,1007070.2,2023-05-02 18:55:13,1,m,m/m,m,m^2
203.446,-0.0001337245,99.326793,961432.4,2023-05-03 18:45:51,1,m,m/m,m,m^2
203.6273,-0.0001199073,99.743439,965465.3,2023-05-04 18:36:29,1,m,m/m,m,m^2
203.1988,-0.0001987976,99.627453,964342.6,2023-05-05 18:27:06,1,m,m/m,m,m^2
203.068,-0.0001217578,97.72086,945887.8,2023-05-06 18:17:44,1,m,m/m,m,m^2
203.2363,-0.0001350127,98.650115,954882.5,2023-05-07 18:08:22,1,m,m/m,m,m^2
203.3665,-0.0001154674,115.010185,1113239.6,2023-05-08 17:59:00,1,m,m/m,m,m^2
203.8196,-7.87477e-05,101.143786,979019.9,2023-05-09 17:49:38,1,m,m/m,m,m^2
203.9568,-0.0001450699,101.438141,981869.2,2023-05-10 17:40:16,1,m,m/m,m,m^2
203.7688,-0.0001011804,132.261153,1280220.1,2023-05-11 17:30:53,1,m,m/m,m,m^2
