"Date";"t_minutes";"Q";"id_time_interval"
2023-03-22 09:50:00;50;1.109;1
2023-03-22 11:31:07;151.116666666667;1.146;1
2023-03-22 13:31:07;271.116666666667;1.158;1
2023-03-22 15:10:00;370;1.147;1
2023-03-22 16:40:00;460;1.126;1
2023-03-22 18:08:53;548.883333333333;1.109;1
2023-03-22 21:30:00;750;1.111;1
2023-03-23 02:40:00;1060;1.121;1
2023-03-23 08:23:20;1403.33333333333;1.128;1
2023-03-23 14:16:40;1756.66666666667;1.118;1
2023-03-23 19:22:13;2062.21666666667;1.108;1
2023-03-24 02:26:40;2486.66666666667;1.09;1
2023-03-24 07:28:53;2788.88333333333;1.081;1
2023-03-24 12:01:07;3061.11666666667;1.101;1
2023-03-24 14:21:07;3201.11666666667;1.158;1
2023-03-24 16:51:07;3351.11666666667;1.227;1
2023-03-24 18:45:33;3465.55;1.287;1
2023-03-24 19:54:27;3534.45;1.347;1
2023-03-24 20:57:47;3597.78333333333;1.401;1
2023-03-24 22:06:40;3666.66666666667;1.437;1
2023-03-25 00:57:47;3837.78333333333;1.46;1
2023-03-25 03:55:33;4015.55;1.47;1
2023-03-25 06:43:20;4183.33333333333;1.47;1
2023-03-25 07:52:13;4252.21666666667;1.431;1
2023-03-25 08:55:33;4315.55;1.386;1
2023-03-25 10:07:47;4387.78333333333;1.337;1
2023-03-25 11:34:27;4474.45;1.313;1
2023-03-25 14:12:13;4632.21666666667;1.301;1
2023-03-25 16:52:13;4792.21666666667;1.302;1
2023-03-25 19:38:53;4958.88333333333;1.324;1
2023-03-25 22:02:13;5102.21666666667;1.351;1
2023-03-26 04:17:47;5477.78333333333;1.38;1
2023-03-26 12:01:07;5941.11666666667;1.403;1
2023-03-26 20:15:33;6435.55;1.438;1
2023-03-27 00:42:13;6702.21666666667;1.477;1
2023-03-27 03:04:27;6844.45;1.516;1
2023-03-27 04:16:40;6916.66666666667;1.551;1
2023-03-27 05:18:53;6978.88333333333;1.579;1
2023-03-27 09:50:00;7250;1.57;1
2023-03-27 14:01:07;7501.11666666667;1.542;1
2023-03-27 18:14:27;7754.45;1.491;1
2023-03-27 19:14:27;7814.45;1.448;1
2023-03-27 20:52:13;7912.21666666667;1.399;1
2023-03-27 22:48:53;8028.88333333333;1.366;1
2023-03-28 04:30:00;8370;1.345;1
2023-03-28 11:13:20;8773.33333333333;1.336;1
2023-03-28 17:46:40;9166.66666666667;1.334;1
2023-03-28 21:07:47;9367.78333333333;1.361;1
2023-03-28 23:51:07;9531.11666666667;1.397;1
2023-03-29 02:40:00;9700;1.43;1
2023-03-29 04:56:40;9836.66666666667;1.44;1
2023-03-29 07:53:20;10013.3333333333;1.41;1
2023-03-29 13:01:07;10321.1166666667;1.343;1
2023-03-29 13:42:13;10362.2166666667;1.35;1
2023-03-29 14:18:53;10398.8833333333;1.387;1
2023-03-29 15:14:27;10454.45;1.429;1
2023-03-29 16:22:13;10522.2166666667;1.465;1
2023-03-29 17:25:33;10585.55;1.474;1
2023-03-29 18:14:27;10634.45;1.468;1
2023-03-29 18:53:20;10673.3333333333;1.447;1
2023-03-29 19:33:20;10713.3333333333;1.421;1
2023-03-29 20:12:13;10752.2166666667;1.403;1
2023-03-29 20:57:47;10797.7833333333;1.405;1
2023-03-29 21:42:13;10842.2166666667;1.419;1
2023-03-29 22:37:47;10897.7833333333;1.43;1
