"Date";"t_minutes";"Q";"id_time_interval"
2023-03-22 09:00:00;0;464;1
2023-03-22 10:00:00;60;490;1
2023-03-22 11:00:00;120;481;1
2023-03-22 12:00:00;180;478;1
2023-03-22 13:00:00;240;478;1
2023-03-22 14:00:00;300;469;1
2023-03-22 15:00:00;360;444;1
2023-03-22 16:00:00;420;433;1
2023-03-22 17:00:00;480;436;1
2023-03-22 18:00:00;540;436;1
2023-03-22 19:00:00;600;441;1
2023-03-22 20:00:00;660;443;1
2023-03-22 21:00:00;720;444;1
2023-03-22 22:00:00;780;443;1
2023-03-22 23:00:00;840;449;1
2023-03-23;900;462;1
2023-03-23 01:00:00;960;467;1
2023-03-23 02:00:00;1020;467;1
2023-03-23 03:00:00;1080;462;1
2023-03-23 04:00:00;1140;458;1
2023-03-23 05:00:00;1200;457;1
2023-03-23 06:00:00;1260;457;1
2023-03-23 07:00:00;1320;457;1
2023-03-23 08:00:00;1380;457;1
2023-03-23 09:00:00;1440;458;1
2023-03-23 10:00:00;1500;462;1
2023-03-23 11:00:00;1560;465;1
2023-03-23 12:00:00;1620;466;1
2023-03-23 13:00:00;1680;467;1
2023-03-23 14:00:00;1740;463;1
2023-03-23 15:00:00;1800;455;1
2023-03-23 16:00:00;1860;456;1
2023-03-23 17:00:00;1920;467;1
2023-03-23 18:00:00;1980;469;1
2023-03-23 19:00:00;2040;465;1
2023-03-23 20:00:00;2100;464;1
2023-03-23 21:00:00;2160;459;1
2023-03-23 22:00:00;2220;457;1
2023-03-23 23:00:00;2280;457;1
2023-03-24;2340;456;1
2023-03-24 01:00:00;2400;457;1
2023-03-24 02:00:00;2460;457;1
2023-03-24 03:00:00;2520;457;1
2023-03-24 04:00:00;2580;457;1
2023-03-24 05:00:00;2640;455;1
2023-03-24 06:00:00;2700;447;1
2023-03-24 07:00:00;2760;442;1
2023-03-24 08:00:00;2820;440;1
2023-03-24 09:00:00;2880;444;1
2023-03-24 10:00:00;2940;457;1
2023-03-24 11:00:00;3000;483;1
2023-03-24 12:00:00;3060;492;1
2023-03-24 13:00:00;3120;496;1
2023-03-24 14:00:00;3180;496;1
2023-03-24 15:00:00;3240;497;1
2023-03-24 16:00:00;3300;511;1
2023-03-24 17:00:00;3360;540;1
2023-03-24 18:00:00;3420;561;1
2023-03-24 19:00:00;3480;597;1
2023-03-24 20:00:00;3540;611;1
2023-03-24 21:00:00;3600;611;1
2023-03-24 22:00:00;3660;606;1
2023-03-24 23:00:00;3720;604;1
2023-03-25;3780;603;1
2023-03-25 01:00:00;3840;604;1
2023-03-25 02:00:00;3900;613;1
2023-03-25 03:00:00;3960;620;1
