X1_obs         X2_obs         X3_obs         X4_obs         X1_true        X2_true        X3_true        X4_true        Y1_obs         Y2_obs         Y3_obs         Y4_obs         Y5_obs         Y1_unbiased    Y2_unbiased    Y3_unbiased    Y4_unbiased    Y5_unbiased    Y1_sim         Y2_sim         Y3_sim         Y4_sim         Y5_sim         Y1_res         Y2_res         Y3_res         Y4_res         Y5_res         Y1_stdres      Y2_stdres      Y3_stdres      Y4_stdres      Y5_stdres      
   0.100000E+01   0.100000E+01   0.100000E+01   0.180000E+05   0.100000E+01   0.100000E+01   0.100000E+01   0.180000E+05   0.127851E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127851E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127969E+01   0.120000E+00   0.226160E+00   0.102312E+03   0.900000E+02  -0.118138E-02  -0.999900E+04  -0.999900E+04  -0.231246E+01  -0.999900E+04  -0.980444E+00  -0.999900E+04  -0.999900E+04  -0.230931E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.200000E+01   0.180000E+05   0.100000E+01   0.100000E+01   0.200000E+01   0.180000E+05   0.127872E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127872E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127966E+01   0.120000E+00   0.224821E+00   0.101818E+03   0.900000E+02  -0.945412E-03  -0.999900E+04  -0.999900E+04  -0.181840E+01  -0.999900E+04  -0.784609E+00  -0.999900E+04  -0.999900E+04  -0.181592E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.300000E+01   0.180000E+05   0.100000E+01   0.100000E+01   0.300000E+01   0.180000E+05   0.127898E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127898E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127964E+01   0.120000E+00   0.223360E+00   0.101362E+03   0.900000E+02  -0.661547E-03  -0.999900E+04  -0.999900E+04  -0.136212E+01  -0.999900E+04  -0.549026E+00  -0.999900E+04  -0.999900E+04  -0.136027E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.400000E+01   0.180000E+05   0.100000E+01   0.100000E+01   0.400000E+01   0.180000E+05   0.127835E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127835E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127961E+01   0.120000E+00   0.222054E+00   0.100944E+03   0.900000E+02  -0.125454E-02  -0.999900E+04  -0.999900E+04  -0.943635E+00  -0.999900E+04  -0.104116E+01  -0.999900E+04  -0.999900E+04  -0.942352E-01  -0.999900E+04
   0.100000E+01   0.100000E+01   0.500000E+01   0.180000E+05   0.100000E+01   0.100000E+01   0.500000E+01   0.180000E+05   0.127969E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127969E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127958E+01   0.120000E+00   0.220629E+00   0.100563E+03   0.900000E+02   0.114721E-03  -0.999900E+04  -0.999900E+04  -0.562933E+00  -0.999900E+04   0.952082E-01  -0.999900E+04  -0.999900E+04  -0.562168E-01  -0.999900E+04
   0.100000E+01   0.100000E+01   0.600000E+01   0.180000E+05   0.100000E+01   0.100000E+01   0.600000E+01   0.180000E+05   0.127939E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127939E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127955E+01   0.120000E+00   0.219355E+00   0.100220E+03   0.900000E+02  -0.162381E-03  -0.999900E+04  -0.999900E+04  -0.220018E+00  -0.999900E+04  -0.134762E+00  -0.999900E+04  -0.999900E+04  -0.219719E-01  -0.999900E+04
   0.100000E+01   0.100000E+01   0.700000E+01   0.180000E+05   0.100000E+01   0.100000E+01   0.700000E+01   0.180000E+05   0.127930E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127930E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127952E+01   0.120000E+00   0.217963E+00   0.999149E+02   0.900000E+02  -0.219996E-03  -0.999900E+04  -0.999900E+04   0.851102E-01  -0.999900E+04  -0.182577E+00  -0.999900E+04  -0.999900E+04   0.849945E-02  -0.999900E+04
   0.100000E+01   0.100000E+01   0.900000E+01   0.180000E+05   0.100000E+01   0.100000E+01   0.900000E+01   0.180000E+05   0.127765E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127765E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127947E+01   0.120000E+00   0.215359E+00   0.994180E+02   0.900000E+02  -0.182070E-02  -0.999900E+04  -0.999900E+04   0.582008E+00  -0.999900E+04  -0.151103E+01  -0.999900E+04  -0.999900E+04   0.581217E-01  -0.999900E+04
   0.100000E+01   0.100000E+01   0.100000E+02   0.180000E+05   0.100000E+01   0.100000E+01   0.100000E+02   0.180000E+05   0.127842E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127842E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127944E+01   0.120000E+00   0.214143E+00   0.992262E+02   0.900000E+02  -0.102348E-02  -0.999900E+04  -0.999900E+04   0.773778E+00  -0.999900E+04  -0.849402E+00  -0.999900E+04  -0.999900E+04   0.772726E-01  -0.999900E+04
   0.100000E+01   0.100000E+01   0.110000E+02   0.180000E+05   0.100000E+01   0.100000E+01   0.110000E+02   0.180000E+05   0.127991E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127991E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127941E+01   0.120000E+00   0.212814E+00   0.990722E+02   0.900000E+02   0.499320E-03  -0.999900E+04  -0.999900E+04   0.927761E+00  -0.999900E+04   0.414392E+00  -0.999900E+04  -0.999900E+04   0.926500E-01  -0.999900E+04
   0.100000E+01   0.100000E+01   0.120000E+02   0.180000E+05   0.100000E+01   0.100000E+01   0.120000E+02   0.180000E+05   0.128071E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.128071E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127939E+01   0.120000E+00   0.211625E+00   0.989560E+02   0.900000E+02   0.132798E-02  -0.999900E+04  -0.999900E+04   0.104396E+01  -0.999900E+04   0.110210E+01  -0.999900E+04  -0.999900E+04   0.104254E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.130000E+02   0.180000E+05   0.100000E+01   0.100000E+01   0.130000E+02   0.180000E+05   0.127979E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127979E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127936E+01   0.120000E+00   0.210325E+00   0.988776E+02   0.900000E+02   0.425865E-03  -0.999900E+04  -0.999900E+04   0.112237E+01  -0.999900E+04   0.353431E+00  -0.999900E+04  -0.999900E+04   0.112084E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.140000E+02   0.180000E+05   0.100000E+01   0.100000E+01   0.140000E+02   0.180000E+05   0.128144E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.128144E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127933E+01   0.120000E+00   0.209162E+00   0.988370E+02   0.900000E+02   0.210750E-02  -0.999900E+04  -0.999900E+04   0.116299E+01  -0.999900E+04   0.174904E+01  -0.999900E+04  -0.999900E+04   0.116141E+00  -0.999900E+04
   0.100000E+01   0.300000E+01   0.190000E+02   0.180000E+05   0.100000E+01   0.300000E+01   0.190000E+02   0.180000E+05   0.128035E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.128035E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127919E+01   0.160000E+00   0.270967E+00   0.991581E+02   0.900000E+02   0.116619E-02  -0.999900E+04  -0.999900E+04   0.841852E+00  -0.999900E+04   0.967838E+00  -0.999900E+04  -0.999900E+04   0.840708E-01  -0.999900E+04
   0.100000E+01   0.300000E+01   0.210000E+02   0.180000E+05   0.100000E+01   0.300000E+01   0.210000E+02   0.180000E+05   0.128056E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.128056E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127910E+01   0.160000E+00   0.268110E+00   0.995419E+02   0.900000E+02   0.146822E-02  -0.999900E+04  -0.999900E+04   0.458144E+00  -0.999900E+04   0.121850E+01  -0.999900E+04  -0.999900E+04   0.457521E-01  -0.999900E+04
   0.100000E+01   0.300000E+01   0.220000E+02   0.180000E+05   0.100000E+01   0.300000E+01   0.220000E+02   0.180000E+05   0.127858E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127858E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127906E+01   0.160000E+00   0.266568E+00   0.997888E+02   0.900000E+02  -0.478122E-03  -0.999900E+04  -0.999900E+04   0.211174E+00  -0.999900E+04  -0.396799E+00  -0.999900E+04  -0.999900E+04   0.210887E-01  -0.999900E+04
   0.100000E+01   0.300000E+01   0.230000E+02   0.180000E+05   0.100000E+01   0.300000E+01   0.230000E+02   0.180000E+05   0.127999E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127999E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127901E+01   0.160000E+00   0.265194E+00   0.100073E+03   0.900000E+02   0.978921E-03  -0.999900E+04  -0.999900E+04  -0.725405E-01  -0.999900E+04   0.812419E+00  -0.999900E+04  -0.999900E+04  -0.724418E-02  -0.999900E+04
   0.100000E+01   0.300000E+01   0.240000E+02   0.180000E+05   0.100000E+01   0.300000E+01   0.240000E+02   0.180000E+05   0.127715E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127715E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127897E+01   0.160000E+00   0.263687E+00   0.100393E+03   0.900000E+02  -0.182479E-02  -0.999900E+04  -0.999900E+04  -0.392999E+00  -0.999900E+04  -0.151441E+01  -0.999900E+04  -0.999900E+04  -0.392464E-01  -0.999900E+04
   0.200000E+01   0.200000E+01   0.100000E+01   0.180000E+05   0.200000E+01   0.200000E+01   0.100000E+01   0.180000E+05   0.128767E+01  -0.999900E+04  -0.999900E+04   0.730000E+02  -0.999900E+04   0.128767E+01  -0.999900E+04  -0.999900E+04   0.730000E+02  -0.999900E+04   0.128777E+01   0.700000E-01   0.126762E+00   0.795751E+02   0.700000E+02  -0.938478E-04  -0.999900E+04  -0.999900E+04  -0.657510E+01  -0.999900E+04  -0.778854E-01  -0.999900E+04  -0.999900E+04  -0.656616E+00  -0.999900E+04
   0.200000E+01   0.200000E+01   0.200000E+01   0.180000E+05   0.200000E+01   0.200000E+01   0.200000E+01   0.180000E+05   0.128522E+01  -0.999900E+04  -0.999900E+04   0.730000E+02  -0.999900E+04   0.128522E+01  -0.999900E+04  -0.999900E+04   0.730000E+02  -0.999900E+04   0.128775E+01   0.700000E-01   0.126020E+00   0.785634E+02   0.700000E+02  -0.252776E-02  -0.999900E+04  -0.999900E+04  -0.556344E+01  -0.999900E+04  -0.209782E+01  -0.999900E+04  -0.999900E+04  -0.555587E+00  -0.999900E+04
   0.200000E+01   0.200000E+01   0.300000E+01   0.180000E+05   0.200000E+01   0.200000E+01   0.300000E+01   0.180000E+05   0.128669E+01  -0.999900E+04  -0.999900E+04   0.730000E+02  -0.999900E+04   0.128669E+01  -0.999900E+04  -0.999900E+04   0.730000E+02  -0.999900E+04   0.128773E+01   0.700000E-01   0.125293E+00   0.776646E+02   0.700000E+02  -0.103400E-02  -0.999900E+04  -0.999900E+04  -0.466461E+01  -0.999900E+04  -0.858131E+00  -0.999900E+04  -0.999900E+04  -0.465827E+00  -0.999900E+04
   0.200000E+01   0.200000E+01   0.400000E+01   0.180000E+05   0.200000E+01   0.200000E+01   0.400000E+01   0.180000E+05   0.128722E+01  -0.999900E+04  -0.999900E+04   0.730000E+02  -0.999900E+04   0.128722E+01  -0.999900E+04  -0.999900E+04   0.730000E+02  -0.999900E+04   0.128771E+01   0.700000E-01   0.124578E+00   0.768786E+02   0.700000E+02  -0.488643E-03  -0.999900E+04  -0.999900E+04  -0.387863E+01  -0.999900E+04  -0.405531E+00  -0.999900E+04  -0.999900E+04  -0.387336E+00  -0.999900E+04
   0.200000E+01   0.200000E+01   0.500000E+01   0.180000E+05   0.200000E+01   0.200000E+01   0.500000E+01   0.180000E+05   0.128694E+01  -0.999900E+04  -0.999900E+04   0.730000E+02  -0.999900E+04   0.128694E+01  -0.999900E+04  -0.999900E+04   0.730000E+02  -0.999900E+04   0.128769E+01   0.700000E-01   0.123803E+00   0.762055E+02   0.700000E+02  -0.745854E-03  -0.999900E+04  -0.999900E+04  -0.320549E+01  -0.999900E+04  -0.618994E+00  -0.999900E+04  -0.999900E+04  -0.320113E+00  -0.999900E+04
   0.200000E+01   0.200000E+01   0.700000E+01   0.180000E+05   0.200000E+01   0.200000E+01   0.700000E+01   0.180000E+05   0.128898E+01  -0.999900E+04  -0.999900E+04   0.730000E+02  -0.999900E+04   0.128898E+01  -0.999900E+04  -0.999900E+04   0.730000E+02  -0.999900E+04   0.128765E+01   0.700000E-01   0.122424E+00   0.751977E+02   0.700000E+02   0.133111E-02  -0.999900E+04  -0.999900E+04  -0.219771E+01  -0.999900E+04   0.110471E+01  -0.999900E+04  -0.999900E+04  -0.219472E+00  -0.999900E+04
   0.200000E+01   0.200000E+01   0.900000E+01   0.180000E+05   0.200000E+01   0.200000E+01   0.900000E+01   0.180000E+05   0.128828E+01  -0.999900E+04  -0.999900E+04   0.730000E+02  -0.999900E+04   0.128828E+01  -0.999900E+04  -0.999900E+04   0.730000E+02  -0.999900E+04   0.128761E+01   0.700000E-01   0.121074E+00   0.746413E+02   0.700000E+02   0.674269E-03  -0.999900E+04  -0.999900E+04  -0.164129E+01  -0.999900E+04   0.559584E+00  -0.999900E+04  -0.999900E+04  -0.163906E+00  -0.999900E+04
   0.200000E+01   0.200000E+01   0.110000E+02   0.180000E+05   0.200000E+01   0.200000E+01   0.110000E+02   0.180000E+05   0.128902E+01  -0.999900E+04  -0.999900E+04   0.730000E+02  -0.999900E+04   0.128902E+01  -0.999900E+04  -0.999900E+04   0.730000E+02  -0.999900E+04   0.128757E+01   0.700000E-01   0.119747E+00   0.745362E+02   0.700000E+02   0.145140E-02  -0.999900E+04  -0.999900E+04  -0.153622E+01  -0.999900E+04   0.120454E+01  -0.999900E+04  -0.999900E+04  -0.153413E+00  -0.999900E+04
   0.200000E+01   0.200000E+01   0.120000E+02   0.180000E+05   0.200000E+01   0.200000E+01   0.120000E+02   0.180000E+05   0.128944E+01  -0.999900E+04  -0.999900E+04   0.730000E+02  -0.999900E+04   0.128944E+01  -0.999900E+04  -0.999900E+04   0.730000E+02  -0.999900E+04   0.128755E+01   0.700000E-01   0.119091E+00   0.746529E+02   0.700000E+02   0.189445E-02  -0.999900E+04  -0.999900E+04  -0.165294E+01  -0.999900E+04   0.157223E+01  -0.999900E+04  -0.999900E+04  -0.165070E+00  -0.999900E+04
   0.200000E+01   0.200000E+01   0.140000E+02   0.180000E+05   0.200000E+01   0.200000E+01   0.140000E+02   0.180000E+05   0.128922E+01  -0.999900E+04  -0.999900E+04   0.730000E+02  -0.999900E+04   0.128922E+01  -0.999900E+04  -0.999900E+04   0.730000E+02  -0.999900E+04   0.128751E+01   0.700000E-01   0.117800E+00   0.752249E+02   0.700000E+02   0.171286E-02  -0.999900E+04  -0.999900E+04  -0.222490E+01  -0.999900E+04   0.142152E+01  -0.999900E+04  -0.999900E+04  -0.222188E+00  -0.999900E+04
   0.200000E+01   0.200000E+01   0.150000E+02   0.180000E+05   0.200000E+01   0.200000E+01   0.150000E+02   0.180000E+05   0.128764E+01  -0.999900E+04  -0.999900E+04   0.730000E+02  -0.999900E+04   0.128764E+01  -0.999900E+04  -0.999900E+04   0.730000E+02  -0.999900E+04   0.128749E+01   0.700000E-01   0.117100E+00   0.756801E+02   0.700000E+02   0.154097E-03  -0.999900E+04  -0.999900E+04  -0.268014E+01  -0.999900E+04   0.127887E+00  -0.999900E+04  -0.999900E+04  -0.267650E+00  -0.999900E+04
   0.200000E+01   0.200000E+01   0.160000E+02   0.180000E+05   0.200000E+01   0.200000E+01   0.160000E+02   0.180000E+05   0.128779E+01  -0.999900E+04  -0.999900E+04   0.730000E+02  -0.999900E+04   0.128779E+01  -0.999900E+04  -0.999900E+04   0.730000E+02  -0.999900E+04   0.128747E+01   0.700000E-01   0.116475E+00   0.762482E+02   0.700000E+02   0.321203E-03  -0.999900E+04  -0.999900E+04  -0.324822E+01  -0.999900E+04   0.266571E+00  -0.999900E+04  -0.999900E+04  -0.324380E+00  -0.999900E+04
