Kmin_MC_Up_a0 Kmin_MC_Up_a1 Kmin_MC_Up_a2 Kmin_TR_a0    Kmin_TR_a1    Kmin_TR_a2    Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.950000E+02  0.000000E+00  0.000000E+00  0.750000E+02  0.000000E+00  0.000000E+00  0.500000E-03  0.100000E+02  0.100000E+02  0.100000E+01  0.150000E+02  0.813220E+02
  0.102557E+03  0.000000E+00  0.000000E+00  0.699724E+02  0.414143E+00 -0.480138E+01  0.500000E-03  0.101102E+02  0.110673E+02  0.979649E+00  0.139843E+02  0.824655E+02
  0.981153E+02  0.000000E+00  0.000000E+00  0.699724E+02  0.630995E+01 -0.560636E+01  0.500000E-03  0.117579E+02  0.106060E+02  0.914188E+00  0.140030E+02  0.806231E+02
  0.981153E+02  0.000000E+00  0.000000E+00  0.699724E+02  0.592818E+01 -0.560636E+01  0.500000E-03  0.123227E+02  0.912897E+01  0.779408E+00  0.137148E+02  0.805970E+02
  0.981153E+02  0.252397E+01 -0.603139E+01  0.699724E+02 -0.495763E+00 -0.560636E+01  0.159445E-03  0.134026E+02  0.912897E+01  0.842650E+00  0.134233E+02  0.878508E+02
  0.981153E+02  0.252397E+01 -0.628548E+01  0.716533E+02 -0.138706E+01  0.341961E+01  0.159445E-03  0.123145E+02  0.872715E+01  0.854773E+00  0.106534E+02  0.877373E+02
  0.100202E+03  0.252397E+01  0.292824E+01  0.716533E+02 -0.138706E+01  0.341961E+01  0.159445E-03  0.123145E+02  0.872715E+01  0.949146E+00  0.119547E+02  0.898568E+02
  0.100202E+03  0.252397E+01  0.557774E+01  0.682131E+02 -0.603696E+01 -0.743011E+01  0.159445E-03  0.111913E+02  0.872715E+01  0.114157E+01  0.128564E+02  0.892411E+02
  0.101809E+03 -0.392360E+01  0.557774E+01  0.682131E+02 -0.286205E+01 -0.119568E+02  0.159445E-03  0.106119E+02  0.984754E+01  0.126264E+01  0.140927E+02  0.890380E+02
  0.101809E+03 -0.392360E+01  0.557774E+01  0.663554E+02 -0.286205E+01 -0.487680E+01  0.159445E-03  0.106119E+02  0.951480E+01  0.128534E+01  0.102980E+02  0.870068E+02
  0.101809E+03  0.881531E+00  0.557774E+01  0.663554E+02 -0.754105E+01 -0.487680E+01  0.159445E-03  0.106806E+02  0.109044E+02  0.128982E+01  0.117520E+02  0.880947E+02
  0.101809E+03  0.881531E+00  0.591825E+00  0.663554E+02 -0.102441E+02 -0.141179E+02  0.159445E-03  0.111812E+02  0.109044E+02  0.125694E+01  0.102538E+02  0.875864E+02
  0.101809E+03  0.881531E+00 -0.516750E+01  0.663554E+02 -0.102441E+02 -0.130560E+02  0.159445E-03  0.108183E+02  0.958974E+01  0.124996E+01  0.102538E+02  0.873828E+02
  0.101809E+03  0.257734E+01 -0.209766E+01  0.663554E+02 -0.102441E+02 -0.130560E+02  0.159445E-03  0.105242E+02  0.906847E+01  0.112927E+01  0.102538E+02  0.876754E+02
  0.101809E+03  0.257734E+01 -0.370304E+01  0.702941E+02 -0.102441E+02 -0.769589E+01  0.159445E-03  0.937584E+01  0.857702E+01  0.109615E+01  0.102538E+02  0.886680E+02
  0.101809E+03 -0.414381E+01 -0.370304E+01  0.702941E+02 -0.875517E+01 -0.721723E+01  0.159445E-03  0.107500E+02  0.731870E+01  0.112502E+01  0.974550E+01  0.874752E+02
  0.102039E+03  0.190995E+01 -0.326256E+01  0.702941E+02 -0.462685E+01 -0.721723E+01  0.237249E-03  0.110998E+02  0.738837E+01  0.112249E+01  0.974550E+01  0.872740E+02
  0.102039E+03  0.373304E+01 -0.326256E+01  0.702941E+02 -0.142758E+02 -0.448587E+01  0.237249E-03  0.110998E+02  0.930146E+01  0.124001E+01  0.974550E+01  0.860017E+02
  0.102039E+03  0.373304E+01 -0.326256E+01  0.707028E+02 -0.142758E+02 -0.713679E+01  0.237249E-03  0.106074E+02  0.930146E+01  0.136445E+01  0.105041E+02  0.870421E+02
  0.105748E+03  0.373304E+01 -0.326256E+01  0.713667E+02 -0.142758E+02 -0.727895E+01  0.237249E-03  0.112695E+02  0.864240E+01  0.155496E+01  0.105041E+02  0.843452E+02
  0.105748E+03 -0.147662E+01 -0.326256E+01  0.719839E+02 -0.781550E+01 -0.727895E+01  0.237249E-03  0.985198E+01  0.828317E+01  0.166828E+01  0.114732E+02  0.865622E+02
  0.104029E+03 -0.147662E+01 -0.540007E+01  0.719839E+02 -0.685127E+01 -0.801846E+01  0.237249E-03  0.797661E+01  0.870979E+01  0.170988E+01  0.114880E+02  0.874725E+02
  0.104029E+03 -0.460714E+00  0.500425E+01  0.716415E+02 -0.685127E+01 -0.600956E+01  0.237249E-03  0.796805E+01  0.983857E+01  0.171133E+01  0.119007E+02  0.883110E+02
  0.104029E+03 -0.113578E+01  0.500425E+01  0.716415E+02  0.239478E+01 -0.600956E+01  0.237249E-03  0.717774E+01  0.983857E+01  0.174418E+01  0.123762E+02  0.872725E+02
  0.995406E+02 -0.113578E+01 -0.102487E+02  0.707710E+02 -0.930372E+01 -0.116683E+02  0.237249E-03  0.717774E+01  0.983863E+01  0.178605E+01  0.123762E+02  0.868214E+02
  0.995406E+02 -0.712062E+01 -0.532004E+00  0.707710E+02 -0.911459E+01 -0.627543E+01  0.237249E-03  0.717774E+01  0.785763E+01  0.177575E+01  0.129172E+02  0.876131E+02
  0.102884E+03 -0.712062E+01 -0.532004E+00  0.707710E+02 -0.911459E+01 -0.130599E+02  0.237249E-03  0.767110E+01  0.880912E+01  0.179513E+01  0.129172E+02  0.872758E+02
  0.102884E+03 -0.102298E+02  0.185917E+01  0.719019E+02  0.614952E+01 -0.130599E+02  0.237249E-03  0.712847E+01  0.864556E+01  0.190758E+01  0.141721E+02  0.824504E+02
  0.102884E+03 -0.102298E+02  0.852698E+01  0.719019E+02  0.614952E+01 -0.130599E+02  0.237249E-03  0.801615E+01  0.939304E+01  0.192203E+01  0.157800E+02  0.820159E+02
  0.104780E+03 -0.102298E+02  0.852698E+01  0.719019E+02  0.614952E+01 -0.130599E+02  0.237249E-03  0.708332E+01  0.881353E+01  0.186275E+01  0.173415E+02  0.792748E+02
  0.102831E+03 -0.893224E+01  0.710030E+01  0.708254E+02  0.409489E+01 -0.138310E+02  0.143824E-03  0.708332E+01  0.870522E+01  0.196336E+01  0.165604E+02  0.832996E+02
  0.102831E+03  0.549078E+01  0.710030E+01  0.752333E+02  0.409489E+01 -0.115014E+02  0.143824E-03  0.776878E+01  0.957252E+01  0.205442E+01  0.146370E+02  0.858225E+02
  0.102831E+03  0.549078E+01  0.710030E+01  0.755258E+02  0.409489E+01 -0.115014E+02  0.143824E-03  0.907233E+01  0.958129E+01  0.202226E+01  0.146370E+02  0.862893E+02
  0.102831E+03  0.549078E+01  0.634404E+01  0.755258E+02  0.347253E+00 -0.784824E+01  0.143824E-03  0.809127E+01  0.873318E+01  0.210828E+01  0.162391E+02  0.873559E+02
  0.100384E+03  0.549078E+01  0.634404E+01  0.755258E+02 -0.253741E+01 -0.784824E+01  0.143824E-03  0.897524E+01  0.102490E+02  0.195723E+01  0.172517E+02  0.878794E+02
  0.100384E+03 -0.265036E+01 -0.140075E+01  0.711206E+02  0.242209E+01 -0.527801E+01  0.143824E-03  0.897524E+01  0.102490E+02  0.195723E+01  0.140756E+02  0.903942E+02
  0.100384E+03 -0.265036E+01 -0.140075E+01  0.711206E+02 -0.908467E+01 -0.527801E+01  0.143824E-03  0.732054E+01  0.110283E+02  0.207398E+01  0.137778E+02  0.896400E+02
  0.102454E+03 -0.393367E+01 -0.140075E+01  0.679871E+02 -0.610494E+01 -0.169914E+02  0.143824E-03  0.828348E+01  0.103625E+02  0.207398E+01  0.138172E+02  0.883447E+02
  0.102454E+03 -0.393367E+01 -0.140075E+01  0.679871E+02 -0.610494E+01 -0.138841E+02  0.143824E-03  0.940877E+01  0.116078E+02  0.222988E+01  0.155974E+02  0.885700E+02
  0.964727E+02 -0.393367E+01 -0.140075E+01  0.714526E+02 -0.550339E+01 -0.148375E+02  0.143824E-03  0.871178E+01  0.103718E+02  0.210889E+01  0.139715E+02  0.885857E+02
  0.960987E+02 -0.393367E+01 -0.140075E+01  0.714526E+02 -0.216491E+01 -0.148375E+02  0.143824E-03  0.941244E+01  0.101022E+02  0.210669E+01  0.132337E+02  0.879246E+02
  0.960987E+02 -0.123851E+01  0.304148E+01  0.714526E+02 -0.289550E+01 -0.143501E+02  0.143824E-03  0.113308E+02  0.882272E+01  0.188996E+01  0.113447E+02  0.871393E+02
  0.960987E+02 -0.123851E+01  0.304148E+01  0.714526E+02 -0.562487E+00 -0.583266E+01  0.143824E-03  0.992255E+01  0.882272E+01  0.188182E+01  0.128738E+02  0.889432E+02
  0.960987E+02 -0.123851E+01  0.304148E+01  0.737311E+02 -0.283733E+00 -0.583266E+01  0.143824E-03  0.810323E+01  0.882272E+01  0.192986E+01  0.128738E+02  0.886531E+02
  0.960987E+02 -0.838624E+01  0.304148E+01  0.737311E+02  0.880799E+00  0.270740E+01  0.143824E-03  0.957662E+01  0.945411E+01  0.184754E+01  0.127278E+02  0.883173E+02
  0.100314E+03 -0.838624E+01 -0.156454E+01  0.737311E+02  0.179755E+01  0.270740E+01  0.143824E-03  0.983312E+01  0.105971E+02  0.185311E+01  0.119607E+02  0.893704E+02
