Kmin_MC_Up_a0  Kmin_MC_Up_a1  Kmin_TR_a0     Kmin_TR_a1     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.101853E+03  -0.301634E+01   0.763800E+02   0.389336E+01   0.486956E-03   0.111957E+02   0.804785E+01   0.137325E+01   0.140777E+02   0.496809E+02  -0.126186E+02   0.000000E+00   0.622995E+02  -0.124599E+03
   0.101335E+03   0.436411E+01   0.677110E+02  -0.290092E+01   0.852568E-04   0.118123E+02   0.134766E+02   0.755706E+00   0.133106E+02   0.464006E+02  -0.139704E+02   0.000000E+00   0.603710E+02  -0.120742E+03
   0.103231E+03  -0.278902E+01   0.710916E+02  -0.165451E+01   0.240398E-03   0.106295E+02   0.121868E+02   0.415619E-01   0.135345E+02   0.490944E+02  -0.128106E+02   0.000000E+00   0.619050E+02  -0.123810E+03
   0.996475E+02  -0.160957E+01   0.720362E+02  -0.477746E+01   0.998047E-03   0.886422E+01   0.116206E+02   0.278844E+01   0.166777E+02   0.490813E+02  -0.127268E+02   0.000000E+00   0.618081E+02  -0.123616E+03
   0.983241E+02   0.309765E+01   0.707052E+02  -0.571205E+01   0.541537E-04   0.122126E+02   0.923447E+01   0.154523E+01   0.173984E+02   0.480833E+02  -0.131092E+02   0.000000E+00   0.611925E+02  -0.122385E+03
   0.992918E+02  -0.148697E+01   0.748587E+02  -0.107135E+01   0.705340E-03   0.152449E+02   0.103136E+02   0.322150E+00   0.177116E+02   0.487514E+02  -0.151852E+02   0.000000E+00   0.639366E+02  -0.127873E+03
   0.100598E+03   0.900506E+00   0.697634E+02  -0.351997E+01   0.467574E-03   0.148784E+02   0.891080E+01   0.186060E+01   0.187142E+02   0.475662E+02  -0.152416E+02   0.000000E+00   0.628078E+02  -0.125616E+03
   0.100151E+03   0.469816E+01   0.676593E+02   0.193815E+01   0.976685E-03   0.115323E+02   0.693931E+01   0.703086E+01   0.243016E+02   0.377364E+02  -0.170795E+02   0.000000E+00   0.548159E+02  -0.109632E+03
   0.101213E+03  -0.725102E+01   0.721484E+02  -0.104947E+01   0.534817E-03   0.115209E+02   0.114899E+02   0.127960E+01   0.169060E+02   0.483655E+02  -0.130576E+02   0.000000E+00   0.614231E+02  -0.122846E+03
   0.101988E+03   0.104500E+01   0.755714E+02   0.295273E+01   0.403888E-03   0.834159E+01   0.127922E+02   0.450131E+01   0.137711E+02   0.469156E+02  -0.132267E+02   0.000000E+00   0.601423E+02  -0.120285E+03
   0.104730E+03  -0.292532E+01   0.721893E+02  -0.269788E+01   0.156452E-03   0.764265E+01   0.150745E+02   0.149408E+01   0.228542E+02   0.423891E+02  -0.177750E+02   0.000000E+00   0.601641E+02  -0.120328E+03
   0.100959E+03   0.663988E+01   0.689227E+02  -0.826884E+01   0.417669E-03   0.940363E+01   0.117632E+02   0.718431E-01   0.125109E+02   0.471870E+02  -0.126949E+02   0.000000E+00   0.598819E+02  -0.119764E+03
   0.984713E+02  -0.966472E+00   0.773309E+02  -0.114107E+01   0.975793E-04   0.899885E+01   0.745651E+01   0.152729E+01   0.170526E+02   0.481692E+02  -0.131377E+02   0.000000E+00   0.613069E+02  -0.122614E+03
   0.100863E+03  -0.323339E+01   0.713361E+02  -0.151477E+01   0.831711E-03   0.910581E+01   0.900792E+01   0.329705E+01   0.164238E+02   0.495411E+02  -0.122284E+02   0.000000E+00   0.617695E+02  -0.123539E+03
   0.976134E+02   0.258622E+01   0.715406E+02  -0.455567E+01   0.495766E-03   0.134128E+02   0.105325E+02   0.416177E+00   0.123910E+02   0.488978E+02  -0.137091E+02   0.000000E+00   0.626069E+02  -0.125214E+03
   0.951062E+02  -0.511417E+01   0.711960E+02  -0.362895E+01   0.101126E-02   0.829422E+01   0.804084E+01   0.231381E+01   0.142894E+02   0.465727E+02  -0.125944E+02   0.000000E+00   0.591671E+02  -0.118334E+03
   0.100773E+03   0.649610E+01   0.741352E+02   0.508524E+01   0.395054E-03   0.104689E+02   0.117865E+02   0.603016E+00   0.110778E+02   0.478058E+02  -0.134064E+02   0.000000E+00   0.612122E+02  -0.122424E+03
