X1_obs         X2_obs         X3_obs         X4_obs         X1_true        X2_true        X3_true        X4_true        Y1_obs         Y2_obs         Y3_obs         Y4_obs         Y5_obs         Y1_unbiased    Y2_unbiased    Y3_unbiased    Y4_unbiased    Y5_unbiased    Y1_sim         Y2_sim         Y3_sim         Y4_sim         Y5_sim         Y1_res         Y2_res         Y3_res         Y4_res         Y5_res         Y1_stdres      Y2_stdres      Y3_stdres      Y4_stdres      Y5_stdres      
   0.100000E+01   0.100000E+01   0.100000E+01   0.180000E+05   0.100000E+01   0.100000E+01   0.100000E+01   0.180000E+05   0.127851E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127851E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127974E+01   0.120000E+00   0.226106E+00   0.967626E+02   0.900000E+02  -0.122621E-02  -0.999900E+04  -0.999900E+04   0.323736E+01  -0.999900E+04  -0.992305E+00  -0.999900E+04  -0.999900E+04   0.539159E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.200000E+01   0.180000E+05   0.100000E+01   0.100000E+01   0.200000E+01   0.180000E+05   0.127872E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127872E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127970E+01   0.120000E+00   0.224770E+00   0.973440E+02   0.900000E+02  -0.982724E-03  -0.999900E+04  -0.999900E+04   0.265598E+01  -0.999900E+04  -0.795267E+00  -0.999900E+04  -0.999900E+04   0.265527E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.300000E+01   0.180000E+05   0.100000E+01   0.100000E+01   0.300000E+01   0.180000E+05   0.127898E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127898E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127967E+01   0.120000E+00   0.223314E+00   0.977993E+02   0.900000E+02  -0.692661E-03  -0.999900E+04  -0.999900E+04   0.220075E+01  -0.999900E+04  -0.560534E+00  -0.999900E+04  -0.999900E+04   0.220016E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.400000E+01   0.180000E+05   0.100000E+01   0.100000E+01   0.400000E+01   0.180000E+05   0.127835E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127835E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127963E+01   0.120000E+00   0.222014E+00   0.981412E+02   0.900000E+02  -0.128065E-02  -0.999900E+04  -0.999900E+04   0.185877E+01  -0.999900E+04  -0.103636E+01  -0.999900E+04  -0.999900E+04   0.185827E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.500000E+01   0.180000E+05   0.100000E+01   0.100000E+01   0.500000E+01   0.180000E+05   0.127969E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127969E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127960E+01   0.120000E+00   0.220595E+00   0.983828E+02   0.900000E+02   0.924287E-04  -0.999900E+04  -0.999900E+04   0.161715E+01  -0.999900E+04   0.747977E-01  -0.999900E+04  -0.999900E+04   0.161672E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.600000E+01   0.180000E+05   0.100000E+01   0.100000E+01   0.600000E+01   0.180000E+05   0.127939E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127939E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127957E+01   0.120000E+00   0.219326E+00   0.985370E+02   0.900000E+02  -0.181573E-03  -0.999900E+04  -0.999900E+04   0.146302E+01  -0.999900E+04  -0.146938E+00  -0.999900E+04  -0.999900E+04   0.146263E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.700000E+01   0.180000E+05   0.100000E+01   0.100000E+01   0.700000E+01   0.180000E+05   0.127930E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127930E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127954E+01   0.120000E+00   0.217938E+00   0.986165E+02   0.900000E+02  -0.236804E-03  -0.999900E+04  -0.999900E+04   0.138347E+01  -0.999900E+04  -0.191633E+00  -0.999900E+04  -0.999900E+04   0.138310E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.900000E+01   0.180000E+05   0.100000E+01   0.100000E+01   0.900000E+01   0.180000E+05   0.127765E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127765E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127948E+01   0.120000E+00   0.215340E+00   0.986034E+02   0.900000E+02  -0.183465E-02  -0.999900E+04  -0.999900E+04   0.139658E+01  -0.999900E+04  -0.148469E+01  -0.999900E+04  -0.999900E+04   0.139620E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.100000E+02   0.180000E+05   0.100000E+01   0.100000E+01   0.100000E+02   0.180000E+05   0.127842E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127842E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127945E+01   0.120000E+00   0.214125E+00   0.985365E+02   0.900000E+02  -0.103660E-02  -0.999900E+04  -0.999900E+04   0.146345E+01  -0.999900E+04  -0.838864E+00  -0.999900E+04  -0.999900E+04   0.146306E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.110000E+02   0.180000E+05   0.100000E+01   0.100000E+01   0.110000E+02   0.180000E+05   0.127991E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127991E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127943E+01   0.120000E+00   0.212797E+00   0.984466E+02   0.900000E+02   0.486803E-03  -0.999900E+04  -0.999900E+04   0.155336E+01  -0.999900E+04   0.393944E+00  -0.999900E+04  -0.999900E+04   0.155294E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.120000E+02   0.180000E+05   0.100000E+01   0.100000E+01   0.120000E+02   0.180000E+05   0.128071E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.128071E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127940E+01   0.120000E+00   0.211609E+00   0.983466E+02   0.900000E+02   0.131582E-02  -0.999900E+04  -0.999900E+04   0.165340E+01  -0.999900E+04   0.106482E+01  -0.999900E+04  -0.999900E+04   0.165296E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.130000E+02   0.180000E+05   0.100000E+01   0.100000E+01   0.130000E+02   0.180000E+05   0.127979E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127979E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127937E+01   0.120000E+00   0.210309E+00   0.982493E+02   0.900000E+02   0.414064E-03  -0.999900E+04  -0.999900E+04   0.175070E+01  -0.999900E+04   0.335080E+00  -0.999900E+04  -0.999900E+04   0.175023E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.140000E+02   0.180000E+05   0.100000E+01   0.100000E+01   0.140000E+02   0.180000E+05   0.128144E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.128144E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127934E+01   0.120000E+00   0.209146E+00   0.981677E+02   0.900000E+02   0.209581E-02  -0.999900E+04  -0.999900E+04   0.183235E+01  -0.999900E+04   0.169603E+01  -0.999900E+04  -0.999900E+04   0.183186E+00  -0.999900E+04
   0.100000E+01   0.300000E+01   0.190000E+02   0.180000E+05   0.100000E+01   0.300000E+01   0.190000E+02   0.180000E+05   0.128035E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.128035E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127920E+01   0.160000E+00   0.270944E+00   0.983869E+02   0.900000E+02   0.115642E-02  -0.999900E+04  -0.999900E+04   0.161313E+01  -0.999900E+04   0.935829E+00  -0.999900E+04  -0.999900E+04   0.161269E+00  -0.999900E+04
   0.100000E+01   0.300000E+01   0.210000E+02   0.180000E+05   0.100000E+01   0.300000E+01   0.210000E+02   0.180000E+05   0.128056E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.128056E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127910E+01   0.160000E+00   0.268090E+00   0.989924E+02   0.900000E+02   0.146095E-02  -0.999900E+04  -0.999900E+04   0.100763E+01  -0.999900E+04   0.118227E+01  -0.999900E+04  -0.999900E+04   0.100736E+00  -0.999900E+04
   0.100000E+01   0.300000E+01   0.220000E+02   0.180000E+05   0.100000E+01   0.300000E+01   0.220000E+02   0.180000E+05   0.127858E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127858E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127906E+01   0.160000E+00   0.266554E+00   0.994567E+02   0.900000E+02  -0.483844E-03  -0.999900E+04  -0.999900E+04   0.543292E+00  -0.999900E+04  -0.391550E+00  -0.999900E+04  -0.999900E+04   0.543146E-01  -0.999900E+04
   0.100000E+01   0.300000E+01   0.230000E+02   0.180000E+05   0.100000E+01   0.300000E+01   0.230000E+02   0.180000E+05   0.127999E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127999E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127902E+01   0.160000E+00   0.265190E+00   0.100045E+03   0.900000E+02   0.974988E-03  -0.999900E+04  -0.999900E+04  -0.452538E-01  -0.999900E+04   0.789007E+00  -0.999900E+04  -0.999900E+04  -0.452417E-02  -0.999900E+04
   0.100000E+01   0.300000E+01   0.240000E+02   0.180000E+05   0.100000E+01   0.300000E+01   0.240000E+02   0.180000E+05   0.127715E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127715E+01  -0.999900E+04  -0.999900E+04   0.100000E+03  -0.999900E+04   0.127897E+01   0.160000E+00   0.263700E+00   0.100770E+03   0.900000E+02  -0.182646E-02  -0.999900E+04  -0.999900E+04  -0.770367E+00  -0.999900E+04  -0.147806E+01  -0.999900E+04  -0.999900E+04  -0.128299E+00  -0.999900E+04
   0.200000E+01   0.200000E+01   0.100000E+01   0.180000E+05   0.200000E+01   0.200000E+01   0.100000E+01   0.180000E+05   0.128767E+01  -0.999900E+04  -0.999900E+04   0.730000E+02  -0.999900E+04   0.128767E+01  -0.999900E+04  -0.999900E+04   0.730000E+02  -0.999900E+04   0.128779E+01   0.700000E-01   0.126719E+00   0.766979E+02   0.700000E+02  -0.118882E-03  -0.999900E+04  -0.999900E+04  -0.369789E+01  -0.999900E+04  -0.962048E-01  -0.999900E+04  -0.999900E+04  -0.527982E+00  -0.999900E+04
   0.200000E+01   0.200000E+01   0.200000E+01   0.180000E+05   0.200000E+01   0.200000E+01   0.200000E+01   0.180000E+05   0.128522E+01  -0.999900E+04  -0.999900E+04   0.730000E+02  -0.999900E+04   0.128522E+01  -0.999900E+04  -0.999900E+04   0.730000E+02  -0.999900E+04   0.128777E+01   0.700000E-01   0.125995E+00   0.760347E+02   0.700000E+02  -0.255100E-02  -0.999900E+04  -0.999900E+04  -0.303467E+01  -0.999900E+04  -0.206439E+01  -0.999900E+04  -0.999900E+04  -0.303386E+00  -0.999900E+04
   0.200000E+01   0.200000E+01   0.300000E+01   0.180000E+05   0.200000E+01   0.200000E+01   0.300000E+01   0.180000E+05   0.128669E+01  -0.999900E+04  -0.999900E+04   0.730000E+02  -0.999900E+04   0.128669E+01  -0.999900E+04  -0.999900E+04   0.730000E+02  -0.999900E+04   0.128775E+01   0.700000E-01   0.125279E+00   0.756406E+02   0.700000E+02  -0.105546E-02  -0.999900E+04  -0.999900E+04  -0.264065E+01  -0.999900E+04  -0.854128E+00  -0.999900E+04  -0.999900E+04  -0.263994E+00  -0.999900E+04
