Kmin_MC_Up_a0  Kmin_TR_a0     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.978564E+02   0.727597E+02   0.130546E-03   0.953877E+01   0.101700E+02   0.261326E-01   0.837019E+01   0.472012E+02
   0.967025E+02   0.751985E+02   0.562987E-03   0.118562E+02   0.108154E+02   0.136232E+01   0.119719E+02   0.493986E+02
   0.101481E+03   0.747772E+02   0.380491E-03   0.104970E+02   0.857601E+01   0.294867E+01   0.143335E+02   0.499837E+02
   0.100224E+03   0.739068E+02   0.382087E-03   0.899314E+01   0.105383E+02   0.122551E+01   0.141345E+02   0.515955E+02
   0.962750E+02   0.694932E+02   0.270136E-03   0.105934E+02   0.899771E+01   0.122551E+01   0.115556E+02   0.482890E+02
   0.100001E+03   0.728884E+02   0.813430E-03   0.130690E+02   0.113670E+02   0.182027E+01   0.157882E+02   0.500900E+02
   0.102955E+03   0.722978E+02   0.255233E-03   0.804340E+01   0.136592E+02   0.165293E+01   0.187458E+02   0.475919E+02
   0.102271E+03   0.730705E+02   0.556824E-03   0.842446E+01   0.924233E+01   0.329763E+00   0.244561E+02   0.481502E+02
   0.993075E+02   0.736160E+02   0.636298E-03   0.113894E+02   0.828818E+01   0.142728E+01   0.222168E+02   0.490493E+02
   0.102820E+03   0.728503E+02   0.343453E-03   0.101091E+02   0.785299E+01   0.321543E+01   0.239589E+02   0.457951E+02
   0.975668E+02   0.721800E+02   0.111109E-02   0.929300E+01   0.107411E+02   0.450092E+00   0.155602E+02   0.501752E+02
   0.102334E+03   0.671132E+02   0.893845E-03   0.976071E+01   0.833698E+01   0.339343E+00   0.178476E+02   0.482354E+02
   0.998505E+02   0.708685E+02   0.457748E-03   0.109563E+02   0.156780E+02   0.866257E+00   0.127314E+02   0.483747E+02
   0.969078E+02   0.723962E+02   0.650952E-03   0.103510E+02   0.140706E+02   0.368613E+00   0.138029E+02   0.494104E+02
   0.101080E+03   0.722251E+02   0.712322E-03   0.102574E+02   0.146155E+02   0.135135E+01   0.201397E+02   0.483260E+02
   0.998882E+02   0.771648E+02   0.730643E-03   0.104887E+02   0.779559E+01   0.259952E+01   0.193817E+02   0.484375E+02
   0.972624E+02   0.711231E+02   0.469048E-03   0.104887E+02   0.118272E+02   0.199939E+01   0.124743E+02   0.496014E+02
   0.981543E+02   0.706930E+02   0.240684E-03   0.972552E+01   0.106190E+02   0.240464E+01   0.147124E+02   0.498370E+02
   0.100016E+03   0.771491E+02   0.871162E-03   0.929381E+01   0.975312E+01   0.235447E+01   0.110749E+02   0.492204E+02
   0.103280E+03   0.740561E+02   0.954385E-04   0.791623E+01   0.847934E+01   0.146367E+01   0.118678E+02   0.488180E+02
   0.103385E+03   0.721329E+02   0.190355E-03   0.119940E+02   0.885451E+01   0.714845E+00   0.155658E+02   0.495329E+02
   0.101798E+03   0.729237E+02   0.772545E-03   0.120570E+02   0.100313E+02   0.582479E-01   0.117252E+02   0.508610E+02
   0.103510E+03   0.755415E+02   0.802570E-03   0.918058E+01   0.142810E+02   0.569082E+00   0.131594E+02   0.484647E+02
   0.100674E+03   0.715582E+02   0.771284E-03   0.976443E+01   0.883710E+01   0.711859E+00   0.906112E+01   0.493213E+02
   0.105206E+03   0.732213E+02   0.465725E-03   0.734650E+01   0.997179E+01   0.391211E+00   0.141796E+02   0.484914E+02
   0.981577E+02   0.731185E+02   0.443137E-03   0.732055E+01   0.107034E+02   0.229983E+01   0.125791E+02   0.496240E+02
   0.100773E+03   0.723901E+02   0.783005E-03   0.866073E+01   0.800955E+01   0.375753E+01   0.171453E+02   0.490724E+02
   0.950107E+02   0.769776E+02   0.102669E-02   0.974426E+01   0.105029E+02   0.117434E+01   0.142630E+02   0.474586E+02
   0.952192E+02   0.734835E+02   0.535534E-03   0.109204E+02   0.945534E+01   0.187561E+01   0.146600E+02   0.490830E+02
   0.997838E+02   0.756561E+02   0.618201E-03   0.165799E+02   0.828046E+01   0.113048E+00   0.116951E+02   0.474268E+02
   0.997838E+02   0.758765E+02   0.261782E-03   0.678413E+01   0.122541E+02   0.214084E+01   0.157072E+02   0.480937E+02
   0.996851E+02   0.745649E+02   0.100701E-02   0.101207E+02   0.104137E+02   0.754623E+00   0.152785E+02   0.512429E+02
   0.981516E+02   0.738378E+02   0.633083E-03   0.747429E+01   0.104137E+02   0.189770E+01   0.168045E+02   0.502474E+02
   0.969256E+02   0.708936E+02   0.469446E-03   0.828474E+01   0.132431E+02   0.490221E+00   0.126130E+02   0.490276E+02
   0.101588E+03   0.737303E+02   0.108656E-02   0.106694E+02   0.711710E+01   0.102223E+01   0.167163E+02   0.492956E+02
   0.101588E+03   0.737169E+02   0.721996E-03   0.124969E+02   0.989482E+01   0.201509E+01   0.113472E+02   0.498879E+02
   0.989288E+02   0.762811E+02   0.341053E-03   0.106870E+02   0.104044E+02   0.993084E+00   0.212206E+02   0.488328E+02
   0.989288E+02   0.723382E+02   0.972506E-03   0.119548E+02   0.103232E+02   0.269059E+00   0.117649E+02   0.504633E+02
   0.999987E+02   0.714141E+02   0.941193E-04   0.153467E+02   0.131900E+02   0.254452E+01   0.155222E+02   0.460991E+02
   0.100891E+03   0.722432E+02   0.354187E-03   0.883625E+01   0.121075E+02   0.142037E+01   0.162265E+02   0.506132E+02
   0.100891E+03   0.717282E+02   0.845235E-03   0.774003E+01   0.952939E+01   0.228885E+01   0.128569E+02   0.504091E+02
   0.984001E+02   0.739365E+02   0.904586E-03   0.143170E+02   0.101768E+02   0.206348E+01   0.144756E+02   0.489622E+02
   0.996702E+02   0.744652E+02   0.738510E-03   0.925215E+01   0.797469E+01   0.127871E+01   0.117121E+02   0.509910E+02
   0.101423E+03   0.758839E+02   0.796421E-03   0.923914E+01   0.853141E+01   0.113728E+01   0.938668E+01   0.488649E+02
   0.987883E+02   0.724351E+02   0.455633E-03   0.921990E+01   0.931414E+01   0.466285E+00   0.148959E+02   0.519483E+02
   0.992940E+02   0.698275E+02   0.745604E-03   0.132083E+02   0.888035E+01   0.262855E+01   0.149545E+02   0.491510E+02
   0.100397E+03   0.705574E+02   0.955155E-03   0.952119E+01   0.876155E+01   0.105188E+01   0.942218E+01   0.488955E+02
   0.993230E+02   0.764927E+02   0.374831E-03   0.123283E+02   0.106770E+02   0.138639E+01   0.173369E+02   0.494996E+02
   0.104613E+03   0.746694E+02   0.628952E-04   0.985734E+01   0.971804E+01   0.172766E+01   0.143221E+02   0.486066E+02
   0.966360E+02   0.717993E+02   0.547943E-03   0.994400E+01   0.134590E+02   0.104045E+01   0.136233E+02   0.493464E+02
   0.100551E+03   0.709149E+02   0.104095E-02   0.807626E+01   0.891481E+01   0.367460E+00   0.150861E+02   0.506902E+02
   0.986473E+02   0.745218E+02   0.922773E-03   0.992456E+01   0.840956E+01   0.755347E+00   0.149085E+02   0.512871E+02
   0.987173E+02   0.802261E+02   0.706288E-03   0.833036E+01   0.962366E+01   0.497545E+01   0.164966E+02   0.452414E+02
   0.100790E+03   0.749014E+02   0.111329E-02   0.109699E+02   0.102234E+02   0.821365E+00   0.148253E+02   0.504604E+02
   0.103685E+03   0.726407E+02   0.817817E-03   0.129242E+02   0.814832E+01   0.644207E+01   0.189921E+02   0.431159E+02
   0.100912E+03   0.794158E+02   0.173023E-03   0.114126E+02   0.127936E+02   0.495346E+01   0.236398E+02   0.411214E+02
   0.955277E+02   0.717614E+02   0.338634E-03   0.141692E+02   0.683686E+01   0.112289E+01   0.176910E+02   0.455211E+02
   0.966133E+02   0.737411E+02   0.803781E-03   0.121303E+02   0.113351E+02   0.310193E+01   0.175946E+02   0.480165E+02
   0.966083E+02   0.713623E+02   0.853359E-03   0.127285E+02   0.120143E+02   0.117230E+01   0.148204E+02   0.488801E+02
   0.981602E+02   0.762192E+02   0.167706E-03   0.917322E+01   0.965340E+01   0.395795E+00   0.170934E+02   0.500233E+02
   0.100442E+03   0.714272E+02   0.966197E-03   0.940888E+01   0.965340E+01   0.117935E+01   0.117068E+02   0.508660E+02
   0.993662E+02   0.720110E+02   0.635742E-03   0.696920E+01   0.139419E+02   0.100282E+00   0.164238E+02   0.491018E+02
   0.953693E+02   0.742644E+02   0.517540E-03   0.986490E+01   0.174262E+02   0.201163E+01   0.113148E+02   0.440845E+02
   0.986955E+02   0.725361E+02   0.686165E-03   0.878376E+01   0.157118E+02   0.280196E+01   0.144359E+02   0.478058E+02
   0.982908E+02   0.716210E+02   0.686165E-03   0.795115E+01   0.100573E+02   0.161488E+01   0.188269E+02   0.501673E+02
   0.973655E+02   0.747797E+02   0.595313E-03   0.103629E+02   0.864585E+01   0.687386E+00   0.135927E+02   0.510999E+02
   0.100530E+03   0.756073E+02   0.509865E-03   0.825693E+01   0.870180E+01   0.117264E+01   0.142957E+02   0.512210E+02
   0.976469E+02   0.692443E+02   0.167848E-03   0.926431E+01   0.126029E+02   0.255016E+01   0.128570E+02   0.477856E+02
   0.976469E+02   0.760272E+02   0.149981E-03   0.125606E+02   0.924372E+01   0.149010E+01   0.118530E+02   0.484961E+02
   0.103455E+03   0.765726E+02   0.703002E-04   0.842978E+01   0.124117E+02   0.117912E+01   0.137845E+02   0.480765E+02
   0.970779E+02   0.741195E+02   0.770149E-03   0.100476E+02   0.868022E+01   0.285162E+01   0.147610E+02   0.498965E+02
   0.100233E+03   0.763528E+02   0.126734E-02   0.998331E+01   0.106287E+02   0.517976E+00   0.132154E+02   0.491636E+02
   0.983264E+02   0.731697E+02   0.668874E-03   0.103672E+02   0.968113E+01   0.598763E+00   0.152771E+02   0.519563E+02
   0.965274E+02   0.756997E+02   0.709892E-03   0.101166E+02   0.101125E+02   0.441377E+01   0.119441E+02   0.473712E+02
   0.102863E+03   0.745860E+02   0.709677E-03   0.764614E+01   0.789720E+01   0.115860E+01   0.137033E+02   0.500627E+02
   0.103808E+03   0.727623E+02   0.930094E-03   0.764614E+01   0.104275E+02   0.176410E+01   0.106344E+02   0.480957E+02
   0.988721E+02   0.709795E+02   0.930094E-03   0.118415E+02   0.794699E+01   0.311710E+01   0.139834E+02   0.489480E+02
   0.100676E+03   0.793424E+02   0.103416E-02   0.100392E+02   0.822047E+01   0.545906E+00   0.124015E+02   0.480550E+02
   0.101014E+03   0.737043E+02   0.474884E-03   0.102631E+02   0.913620E+01   0.669240E+00   0.168824E+02   0.516870E+02
   0.959516E+02   0.748216E+02   0.855942E-03   0.140966E+02   0.109000E+02   0.472131E+00   0.935994E+01   0.457467E+02
   0.101936E+03   0.714596E+02   0.207687E-02   0.127891E+02   0.113501E+02   0.523272E+00   0.137479E+02   0.417307E+02
   0.102192E+03   0.730688E+02   0.805236E-03   0.121837E+02   0.101556E+02   0.413877E+01   0.142189E+02   0.484486E+02
   0.100613E+03   0.680497E+02   0.951679E-03   0.897376E+01   0.115920E+02   0.296097E+01   0.148929E+02   0.483157E+02
   0.101672E+03   0.703196E+02   0.237678E-03   0.927567E+01   0.148309E+02   0.127110E+01   0.131023E+02   0.481716E+02
   0.103577E+03   0.723621E+02   0.311131E-03   0.109242E+02   0.114627E+02   0.640861E+00   0.105365E+02   0.486724E+02
