               Kmin_MC_Up_a0  Kmin_TR_a0     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.942012E+02   0.645431E+02   0.139785E-05   0.471384E+01   0.613684E+01   0.253922E-02   0.837019E+01
Maximum           0.105496E+03   0.805639E+02   0.207687E-02   0.194009E+02   0.182617E+02   0.668992E+01   0.271495E+02
Range             0.112948E+02   0.160208E+02   0.207547E-02   0.146871E+02   0.121249E+02   0.668738E+01   0.187793E+02
Mean              0.999381E+02   0.730401E+02   0.619656E-03   0.101829E+02   0.102885E+02   0.143559E+01   0.153340E+02
Median            0.100095E+03   0.729537E+02   0.635411E-03   0.993380E+01   0.100543E+02   0.119009E+01   0.148117E+02
Q10%              0.969167E+02   0.698334E+02   0.201455E-03   0.777013E+01   0.785427E+01   0.252717E+00   0.113431E+02
Q25%              0.983154E+02   0.713680E+02   0.387646E-03   0.872703E+01   0.875683E+01   0.602491E+00   0.131372E+02
Q75%              0.101522E+03   0.746843E+02   0.831385E-03   0.115185E+02   0.115178E+02   0.204485E+01   0.173238E+02
Q90%              0.102765E+03   0.762805E+02   0.100597E-02   0.130494E+02   0.130591E+02   0.293762E+01   0.200451E+02
St.Dev.           0.218168E+01   0.262709E+01   0.305566E-03   0.207161E+01   0.209861E+01   0.110509E+01   0.332102E+01
Variance          0.475974E+01   0.690158E+01   0.933706E-07   0.429156E+01   0.440416E+01   0.122122E+01   0.110291E+02
CV                0.218303E-01   0.359677E-01   0.493122E+00   0.203440E+00   0.203975E+00   0.769779E+00   0.216579E+00
Skewness         -0.527241E-01   0.613932E-01   0.215014E+00   0.621619E+00   0.715279E+00   0.126284E+01   0.602039E+00
Kurtosis         -0.452706E+00   0.351242E+00   0.232885E+00   0.770468E+00   0.783892E+00   0.205174E+01   0.201213E+00
MaxPost           0.101192E+03   0.728414E+02   0.500557E-03   0.101889E+02   0.934564E+01   0.652833E+00   0.154655E+02
