Kmin_MC_Up_a0 Kmin_MC_Up_a1 Kmin_MC_Up_a2 Kmin_TR_a0    Kmin_TR_a1    Kmin_TR_a2    Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.950000E+02  0.000000E+00  0.000000E+00  0.750000E+02  0.000000E+00  0.000000E+00  0.500000E-03  0.100000E+02  0.100000E+02  0.150000E+02  0.150000E+02  0.145045E+03
  0.102557E+03  0.000000E+00 -0.165523E+02  0.699724E+02  0.414143E+00 -0.480138E+01  0.500000E-03  0.101102E+02  0.110673E+02  0.146947E+02  0.139843E+02  0.144715E+03
  0.981153E+02 -0.779830E+01 -0.233334E+02  0.699724E+02  0.630995E+01 -0.560636E+01  0.500000E-03  0.117579E+02  0.106060E+02  0.137128E+02  0.140030E+02  0.144590E+03
  0.981153E+02 -0.227384E+02 -0.664375E+01  0.660128E+02  0.592818E+01 -0.101464E+02  0.828948E-03  0.123227E+02  0.912897E+01  0.137128E+02  0.137148E+02  0.144621E+03
  0.851652E+02 -0.202145E+02 -0.126751E+02  0.660128E+02 -0.495763E+00 -0.147117E+02  0.828948E-03  0.134026E+02  0.912897E+01  0.146615E+02  0.134233E+02  0.142783E+03
  0.978582E+02 -0.375688E+01 -0.129292E+02  0.676937E+02 -0.138706E+01 -0.568569E+01  0.828948E-03  0.123145E+02  0.872715E+01  0.148433E+02  0.106534E+02  0.143106E+03
  0.999449E+02  0.274524E+01 -0.371550E+01  0.676937E+02  0.174937E+02 -0.272993E+01  0.828948E-03  0.109036E+02  0.967088E+01  0.161446E+02  0.106534E+02  0.143479E+03
  0.109101E+03  0.539474E+01 -0.738511E+01  0.633344E+02  0.664396E+01 -0.129520E+02  0.828948E-03  0.109036E+02  0.883541E+01  0.168306E+02  0.115204E+02  0.143765E+03
  0.109101E+03  0.107641E+02 -0.169109E+02  0.633344E+02  0.211725E+01 -0.156981E+02  0.828948E-03  0.974091E+01  0.907682E+01  0.168306E+02  0.141956E+02  0.144384E+03
  0.109101E+03  0.154159E+02 -0.169109E+02  0.602632E+02 -0.362063E+01 -0.165397E+02  0.828948E-03  0.101111E+02  0.100848E+02  0.154948E+02  0.135716E+02  0.144592E+03
