               Kmin_MC_Up_a0  Kmin_MC_Up_a1  Kmin_MC_Up_a2  Kmin_TR_a0     Kmin_TR_a1     Kmin_TR_a2     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.770399E+02  -0.147314E+03  -0.788141E+02   0.600232E+02  -0.321828E+02  -0.402947E+02   0.336465E-05   0.557086E+01   0.540515E+01   0.898952E+01   0.808926E+01
Maximum           0.110998E+03   0.833274E+02   0.130391E+03   0.783625E+02   0.377452E+02   0.211488E+02   0.173226E-02   0.167277E+02   0.190873E+02   0.260068E+02   0.265837E+02
Range             0.339581E+02   0.230641E+03   0.209205E+03   0.183393E+02   0.699280E+02   0.614435E+02   0.172890E-02   0.111568E+02   0.136822E+02   0.170173E+02   0.184944E+02
Mean              0.101366E+03  -0.374387E+02   0.309491E+02   0.657040E+02   0.142045E+01  -0.121375E+02   0.624056E-03   0.101192E+02   0.101946E+02   0.151460E+02   0.153727E+02
Median            0.103230E+03  -0.398543E+02   0.299994E+02   0.646234E+02   0.138213E+01  -0.114526E+02   0.603733E-03   0.989757E+01   0.100826E+02   0.148849E+02   0.150351E+02
Q10%              0.889916E+02  -0.942305E+02  -0.248221E+02   0.610134E+02  -0.173617E+02  -0.287574E+02   0.209099E-03   0.784004E+01   0.761372E+01   0.113620E+02   0.116954E+02
Q25%              0.964570E+02  -0.745974E+02   0.106777E-01   0.624177E+02  -0.761871E+01  -0.216652E+02   0.434106E-03   0.860007E+01   0.859095E+01   0.129882E+02   0.128887E+02
Q75%              0.108101E+03  -0.320086E+01   0.607103E+02   0.683424E+02   0.102445E+02  -0.353526E+01   0.832207E-03   0.113777E+02   0.114560E+02   0.170958E+02   0.175465E+02
Q90%              0.109916E+03   0.251332E+02   0.895835E+02   0.718066E+02   0.197896E+02   0.535951E+01   0.101004E-02   0.127595E+02   0.130242E+02   0.193137E+02   0.198473E+02
St.Dev.           0.804967E+01   0.467742E+02   0.425335E+02   0.417881E+01   0.135152E+02   0.125339E+02   0.309535E-03   0.199334E+01   0.218872E+01   0.307578E+01   0.317992E+01
Variance          0.647973E+02   0.218782E+04   0.180910E+04   0.174624E+02   0.182661E+03   0.157100E+03   0.958119E-07   0.397339E+01   0.479050E+01   0.946041E+01   0.101119E+02
CV                0.794121E-01   0.124935E+01   0.137430E+01   0.636005E-01   0.951475E+01   0.103266E+01   0.496005E+00   0.196985E+00   0.214694E+00   0.203076E+00   0.206854E+00
Skewness         -0.957948E+00   0.175270E+00  -0.604005E-02   0.801816E+00   0.152533E-02   0.101770E+00   0.256371E+00   0.649556E+00   0.645761E+00   0.479257E+00   0.469051E+00
Kurtosis          0.230814E+00  -0.529258E+00  -0.454071E+00  -0.634143E-01  -0.379086E+00  -0.560755E+00   0.196085E-01   0.291749E+00   0.861911E+00   0.103597E+00  -0.128072E+00
MaxPost           0.110973E+03  -0.819224E+02   0.387110E+02   0.666809E+02  -0.164906E+00  -0.143045E+02   0.508929E-03   0.964994E+01   0.993710E+01   0.161569E+02   0.148971E+02
