Kmin_MC_Up_a0  Kmin_MC_Up_a1  Kmin_MC_Up_a2  Kmin_TR_a0     Kmin_TR_a1     Kmin_TR_a2     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.110852E+03  -0.347592E+02  -0.141344E+02   0.619257E+02   0.885501E+01  -0.305886E+02   0.763660E-03   0.973410E+01   0.147966E+02   0.190042E+02   0.145607E+02   0.142836E+03  -0.172151E+02   0.000000E+00   0.160051E+03  -0.320102E+03
   0.110852E+03  -0.779528E+02   0.798203E+02   0.610722E+02   0.678782E+01   0.673283E+01   0.652887E-03   0.124043E+02   0.123372E+02   0.132525E+02   0.137195E+02   0.144722E+03  -0.156399E+02   0.000000E+00   0.160362E+03  -0.320724E+03
   0.108195E+03  -0.595135E+02   0.807110E+02   0.634263E+02   0.150047E+01  -0.213574E+02   0.773566E-03   0.134147E+02   0.102814E+02   0.148662E+02   0.139222E+02   0.144344E+03  -0.154014E+02   0.000000E+00   0.159745E+03  -0.319491E+03
   0.109533E+03  -0.271590E+02   0.503511E+02   0.632113E+02   0.827517E+01  -0.232192E+02   0.613119E-03   0.805882E+01   0.784538E+01   0.148832E+02   0.149455E+02   0.145142E+03  -0.148538E+02   0.000000E+00   0.159996E+03  -0.319992E+03
   0.105584E+03  -0.808283E+02   0.706047E+02   0.695132E+02   0.184469E+02  -0.688877E+01   0.273820E-03   0.958797E+01   0.131526E+02   0.106510E+02   0.156771E+02   0.143609E+03  -0.163888E+02   0.000000E+00   0.159998E+03  -0.319996E+03
   0.109317E+03  -0.668837E+02   0.249297E+02   0.732733E+02  -0.653906E+01  -0.664844E+01   0.598595E-03   0.759136E+01   0.585223E+01   0.132009E+02   0.124866E+02   0.142936E+03  -0.180438E+02   0.000000E+00   0.160980E+03  -0.321960E+03
   0.107341E+03  -0.105186E+03   0.124805E+03   0.601855E+02  -0.221713E+01  -0.371642E+01   0.936459E-03   0.159376E+02   0.105045E+02   0.152916E+02   0.214026E+02   0.139013E+03  -0.192244E+02   0.000000E+00   0.158237E+03  -0.316475E+03
   0.998793E+02  -0.801339E+02   0.109834E+03   0.631889E+02  -0.180377E+02  -0.389772E+01   0.473511E-03   0.117981E+02   0.996229E+01   0.119684E+02   0.174277E+02   0.142629E+03  -0.153508E+02   0.000000E+00   0.157980E+03  -0.315960E+03
   0.109394E+03  -0.967608E+02   0.116500E+03   0.669152E+02   0.159903E+02  -0.153191E+02   0.499068E-03   0.805710E+01   0.138621E+02   0.123985E+02   0.200413E+02   0.141527E+03  -0.176337E+02   0.000000E+00   0.159161E+03  -0.318321E+03
   0.108892E+03  -0.807110E+02   0.698852E+02   0.694102E+02   0.551090E+01  -0.232576E+02   0.905033E-03   0.108764E+02   0.103792E+02   0.917239E+01   0.116053E+02   0.142618E+03  -0.173298E+02   0.000000E+00   0.159948E+03  -0.319896E+03
   0.110302E+03  -0.111972E+03   0.996207E+02   0.633742E+02   0.159218E+02  -0.992423E+01   0.590723E-03   0.930900E+01   0.117769E+02   0.131848E+02   0.195186E+02   0.144331E+03  -0.157039E+02   0.000000E+00   0.160035E+03  -0.320070E+03
   0.110302E+03  -0.578653E+02   0.485333E+00   0.717911E+02   0.594173E+01  -0.369261E+01   0.783494E-03   0.104941E+02   0.772113E+01   0.136374E+02   0.116871E+02   0.145074E+03  -0.152064E+02   0.000000E+00   0.160280E+03  -0.320561E+03
   0.103397E+03  -0.722490E+02   0.181082E+02   0.640322E+02  -0.750953E+01   0.663117E+01   0.786631E-03   0.702503E+01   0.811449E+01   0.160387E+02   0.199805E+02   0.142388E+03  -0.169839E+02   0.000000E+00   0.159372E+03  -0.318744E+03
   0.102198E+03  -0.165100E+02  -0.347234E+02   0.662388E+02   0.127099E+02  -0.202896E+02   0.189760E-03   0.768403E+01   0.128031E+02   0.179333E+02   0.184705E+02   0.141683E+03  -0.169459E+02   0.000000E+00   0.158629E+03  -0.317258E+03
   0.970854E+02   0.737993E+01  -0.537286E+02   0.651720E+02   0.284599E+02  -0.219974E+02   0.603854E-03   0.688413E+01   0.101844E+02   0.197379E+02   0.184162E+02   0.141718E+03  -0.173438E+02   0.000000E+00   0.159062E+03  -0.318124E+03
   0.106740E+03  -0.619912E+01  -0.214426E+01   0.651202E+02  -0.733343E+01  -0.143328E+02   0.551487E-03   0.683570E+01   0.138069E+02   0.187695E+02   0.158909E+02   0.141500E+03  -0.180082E+02   0.000000E+00   0.159508E+03  -0.319016E+03
   0.105540E+03  -0.295117E+02   0.208018E+02   0.604588E+02  -0.107506E+01  -0.359371E+02   0.865296E-03   0.832960E+01   0.100742E+02   0.112792E+02   0.143835E+02   0.144766E+03  -0.149583E+02   0.000000E+00   0.159724E+03  -0.319449E+03
   0.107421E+03  -0.130140E+02   0.208711E+02   0.641801E+02   0.262234E+02  -0.194827E+02   0.775555E-03   0.949997E+01   0.942616E+01   0.138064E+02   0.216846E+02   0.143606E+03  -0.160401E+02   0.000000E+00   0.159646E+03  -0.319292E+03
   0.106781E+03   0.283578E+02  -0.650813E+01   0.654841E+02  -0.543671E+01  -0.157625E+02   0.259133E-03   0.106472E+02   0.103225E+02   0.123798E+02   0.161211E+02   0.143416E+03  -0.145665E+02   0.000000E+00   0.157982E+03  -0.315965E+03
   0.102808E+03  -0.127313E+03   0.111122E+03   0.645522E+02   0.754412E+01  -0.143448E+02   0.127033E-02   0.776707E+01   0.540515E+01   0.110421E+02   0.183976E+02   0.135574E+03  -0.202581E+02   0.000000E+00   0.155832E+03  -0.311664E+03
   0.102993E+03  -0.292086E+02   0.443491E+02   0.627141E+02   0.991246E+01  -0.383863E+02   0.965186E-04   0.104587E+02   0.119985E+02   0.134156E+02   0.114270E+02   0.143756E+03  -0.153690E+02   0.000000E+00   0.159125E+03  -0.318250E+03
   0.103170E+03  -0.924386E+02   0.701170E+02   0.628014E+02  -0.274108E+02  -0.279484E+02   0.408014E-03   0.803704E+01   0.671496E+01   0.212414E+02   0.973506E+01   0.139437E+03  -0.197319E+02   0.000000E+00   0.159169E+03  -0.318338E+03
   0.103195E+03  -0.901608E+02   0.894895E+02   0.603746E+02   0.168764E+02  -0.246367E+02   0.485034E-04   0.973634E+01   0.131906E+02   0.103072E+02   0.137369E+02   0.142277E+03  -0.166155E+02   0.000000E+00   0.158892E+03  -0.317785E+03
   0.939571E+02  -0.266618E+02  -0.371656E+01   0.600652E+02   0.377452E+02  -0.197105E+02   0.507886E-03   0.878877E+01   0.126504E+02   0.139491E+02   0.147324E+02   0.144525E+03  -0.149892E+02   0.000000E+00   0.159514E+03  -0.319028E+03
   0.999566E+02   0.170198E+02   0.227130E+02   0.626925E+02  -0.173623E+02  -0.200919E+02   0.584347E-03   0.874567E+01   0.101058E+02   0.145032E+02   0.118503E+02   0.144078E+03  -0.145461E+02   0.000000E+00   0.158624E+03  -0.317248E+03
   0.973251E+02  -0.313583E+01   0.116997E+02   0.624106E+02   0.801749E+01  -0.115245E+02   0.124905E-02   0.104256E+02   0.972476E+01   0.162061E+02   0.151759E+02   0.142928E+03  -0.142152E+02   0.000000E+00   0.157143E+03  -0.314286E+03
   0.109835E+03   0.181047E+02   0.413044E+02   0.606228E+02   0.297190E+02  -0.107275E+02   0.131237E-02   0.103992E+02   0.100363E+02   0.167542E+02   0.183542E+02   0.141198E+03  -0.150410E+02   0.000000E+00   0.156239E+03  -0.312478E+03
   0.103457E+03   0.600121E+01   0.528807E+01   0.664220E+02   0.128928E+02  -0.234660E+02   0.889827E-03   0.120534E+02   0.700906E+01   0.191150E+02   0.152012E+02   0.142020E+03  -0.168432E+02   0.000000E+00   0.158863E+03  -0.317726E+03
   0.106223E+03  -0.104688E+02   0.190008E+02   0.667043E+02  -0.616022E+01  -0.296573E+02   0.133322E-03   0.117103E+02   0.110045E+02   0.126581E+02   0.228579E+02   0.141621E+03  -0.175140E+02   0.000000E+00   0.159135E+03  -0.318270E+03
   0.103927E+03  -0.293252E+02  -0.666891E+01   0.607251E+02  -0.987195E+01   0.784939E+01   0.720870E-03   0.998259E+01   0.111780E+02   0.103685E+02   0.166976E+02   0.144054E+03  -0.158554E+02   0.000000E+00   0.159909E+03  -0.319819E+03
   0.110539E+03  -0.903919E+02   0.897592E+02   0.730575E+02   0.151082E+01   0.757704E+00   0.649713E-03   0.101782E+02   0.151297E+02   0.173249E+02   0.157796E+02   0.143448E+03  -0.170698E+02   0.000000E+00   0.160518E+03  -0.321036E+03
   0.107351E+03  -0.118029E+03   0.754338E+02   0.610492E+02  -0.635562E+01  -0.799792E+01   0.872018E-03   0.115081E+02   0.100191E+02   0.129531E+02   0.117128E+02   0.144568E+03  -0.150334E+02   0.000000E+00   0.159601E+03  -0.319203E+03
   0.106325E+03  -0.606241E+02  -0.145235E+00   0.668788E+02  -0.106434E+02  -0.203442E+02   0.891575E-03   0.137941E+02   0.897867E+01   0.123326E+02   0.152715E+02   0.143090E+03  -0.159622E+02   0.000000E+00   0.159052E+03  -0.318104E+03
   0.922498E+02  -0.443398E+02   0.903106E+02   0.697823E+02  -0.114234E+02  -0.269591E+01   0.721904E-03   0.871439E+01   0.105807E+02   0.133534E+02   0.201180E+02   0.141968E+03  -0.156234E+02   0.000000E+00   0.157591E+03  -0.315183E+03
   0.907273E+02  -0.292315E+02   0.665486E+02   0.611954E+02  -0.303248E+02  -0.142198E+02   0.767451E-03   0.857641E+01   0.805020E+01   0.105913E+02   0.145271E+02   0.142042E+03  -0.156636E+02   0.000000E+00   0.157706E+03  -0.315411E+03
   0.104125E+03  -0.339550E+02   0.418712E+02   0.660607E+02  -0.208232E+02  -0.114737E+02   0.542947E-03   0.138374E+02   0.136281E+02   0.158270E+02   0.174702E+02   0.142555E+03  -0.176878E+02   0.000000E+00   0.160243E+03  -0.320486E+03
