Kmin_MC_Up_a0  Kmin_TR_a0     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.343862E+02   0.284938E+02   0.656626E-02   0.927218E+01   0.116602E+02   0.185047E+01   0.167770E+02   0.785320E+01
   0.343862E+02   0.268926E+02   0.666629E-02   0.132954E+02   0.108722E+02   0.113027E+01   0.146098E+02   0.714410E+01
   0.343253E+02   0.273411E+02   0.564059E-02   0.131002E+02   0.112030E+02   0.105685E+01   0.108468E+02   0.634755E+01
   0.344243E+02   0.269878E+02   0.609123E-02   0.863434E+01   0.981335E+01   0.105685E+01   0.104907E+02   0.787683E+01
   0.346175E+02   0.275167E+02   0.693371E-02   0.127890E+02   0.102373E+02   0.105685E+01   0.180557E+02   0.751852E+01
   0.346485E+02   0.283350E+02   0.699477E-02   0.140584E+02   0.107141E+02   0.333699E-01   0.122762E+02   0.577788E+01
   0.344685E+02   0.266767E+02   0.688327E-02   0.113446E+02   0.102431E+02   0.642235E+00   0.121808E+02   0.798677E+01
   0.345637E+02   0.278806E+02   0.496038E-02   0.796162E+01   0.111985E+02   0.138126E+01   0.109677E+02   0.640936E+01
   0.343982E+02   0.269715E+02   0.628470E-02   0.104307E+02   0.932164E+01   0.637899E+00   0.109677E+02   0.827176E+01
   0.345840E+02   0.275474E+02   0.515554E-02   0.116957E+02   0.665566E+01   0.126313E+01   0.200953E+02   0.530050E+01
   0.347546E+02   0.265086E+02   0.603941E-02   0.138654E+02   0.118309E+02   0.169966E+01   0.108492E+02   0.327150E+01
   0.345486E+02   0.272725E+02   0.660870E-02   0.924669E+01   0.957297E+01   0.342043E+01   0.181767E+02   0.639000E+01
   0.344926E+02   0.276750E+02   0.669095E-02   0.903537E+01   0.865080E+01   0.115344E+01   0.124841E+02   0.950471E+01
   0.345597E+02   0.274642E+02   0.782662E-02   0.925274E+01   0.967681E+01   0.224567E+01   0.116780E+02   0.682794E+01
   0.344637E+02   0.270294E+02   0.604266E-02   0.131252E+02   0.142353E+02   0.245825E+00   0.119180E+02   0.633152E+01
   0.343493E+02   0.270294E+02   0.544733E-02   0.806429E+01   0.150005E+02   0.396719E+00   0.122169E+02   0.507246E+01
   0.344776E+02   0.279240E+02   0.644783E-02   0.623407E+01   0.871083E+01   0.895076E+00   0.100717E+02   0.609312E+01
   0.344776E+02   0.278714E+02   0.643100E-02   0.921530E+01   0.125665E+02   0.148188E+01   0.151326E+02   0.884415E+01
   0.344776E+02   0.278787E+02   0.619072E-02   0.130384E+02   0.951102E+01   0.122865E+01   0.134688E+02   0.884656E+01
