Kmin_MC_Up_a0  Kmin_MC_Up_a1  Kmin_TR_a0     Kmin_TR_a1     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.351849E+02  -0.249939E+01   0.304760E+02  -0.482621E+01   0.118564E-02   0.939122E+01   0.956311E+01   0.268850E+00   0.166282E+02   0.507614E+02
   0.351849E+02  -0.249939E+01   0.305823E+02  -0.410775E+01   0.133265E-02   0.834336E+01   0.131564E+02   0.791839E+00   0.180534E+02   0.498814E+02
   0.352009E+02  -0.249939E+01   0.305024E+02  -0.416941E+01   0.124350E-02   0.881418E+01   0.106111E+02   0.150479E-01   0.155090E+02   0.522968E+02
   0.352024E+02  -0.256385E+01   0.308414E+02  -0.439391E+01   0.922869E-03   0.125765E+02   0.778459E+01   0.223411E+00   0.186458E+02   0.493929E+02
   0.352799E+02  -0.254838E+01   0.304221E+02  -0.402249E+01   0.127567E-02   0.121339E+02   0.820321E+01   0.931976E+00   0.149762E+02   0.484152E+02
   0.352547E+02  -0.249678E+01   0.308173E+02  -0.569637E+01   0.136353E-02   0.155147E+02   0.770477E+01   0.900359E+00   0.129456E+02   0.453383E+02
   0.351045E+02  -0.243790E+01   0.307725E+02  -0.390881E+01   0.136353E-02   0.909011E+01   0.793565E+01   0.131389E+01   0.155550E+02   0.490257E+02
   0.351989E+02  -0.237330E+01   0.304919E+02  -0.411724E+01   0.817116E-03   0.126212E+02   0.815357E+01   0.781028E+00   0.123384E+02   0.512520E+02
   0.352139E+02  -0.242283E+01   0.304919E+02  -0.461915E+01   0.701738E-03   0.125319E+02   0.938018E+01   0.124905E+01   0.138693E+02   0.517792E+02
   0.351764E+02  -0.242283E+01   0.305451E+02  -0.484381E+01   0.906199E-03   0.806037E+01   0.110420E+02   0.141080E+01   0.154369E+02   0.527312E+02
   0.351199E+02  -0.239592E+01   0.306276E+02  -0.359487E+01   0.689719E-03   0.942242E+01   0.985270E+01   0.205418E+00   0.178134E+02   0.510986E+02
   0.351530E+02  -0.239592E+01   0.301417E+02  -0.329851E+01   0.684163E-03   0.120362E+02   0.997537E+01   0.374681E+00   0.155427E+02   0.520550E+02
   0.351672E+02  -0.247008E+01   0.303865E+02  -0.322199E+01   0.105538E-02   0.114851E+02   0.822669E+01   0.161010E+01   0.147160E+02   0.517583E+02
   0.351672E+02  -0.247008E+01   0.305436E+02  -0.322199E+01   0.600851E-03   0.138671E+02   0.847426E+01   0.983202E+00   0.170769E+02   0.490151E+02
   0.351672E+02  -0.258721E+01   0.301089E+02  -0.296434E+01   0.126202E-02   0.919977E+01   0.977121E+01   0.350982E+00   0.146667E+02   0.473544E+02
   0.351672E+02  -0.258721E+01   0.305974E+02  -0.327838E+01   0.126202E-02   0.101999E+02   0.984365E+01   0.167001E+01   0.151386E+02   0.495183E+02
   0.351770E+02  -0.258721E+01   0.306162E+02  -0.343042E+01   0.113651E-02   0.824374E+01   0.116822E+02   0.359744E-01   0.215035E+02   0.480855E+02
   0.351987E+02  -0.241340E+01   0.306162E+02  -0.398399E+01   0.806825E-03   0.117600E+02   0.116402E+02   0.842078E-01   0.190293E+02   0.502892E+02
   0.351283E+02  -0.232456E+01   0.305060E+02  -0.499613E+01   0.693502E-03   0.697174E+01   0.855480E+01   0.157443E+01   0.208321E+02   0.501794E+02
   0.351283E+02  -0.232456E+01   0.304990E+02  -0.337708E+01   0.109044E-02   0.977248E+01   0.101732E+02   0.299564E+00   0.136613E+02   0.524210E+02
   0.351283E+02  -0.232456E+01   0.304990E+02  -0.497287E+01   0.590725E-03   0.104976E+02   0.104290E+02   0.140166E+01   0.140219E+02   0.529639E+02
   0.351590E+02  -0.232456E+01   0.302905E+02  -0.440662E+01   0.426685E-03   0.776109E+01   0.536599E+01   0.371733E+00   0.170381E+02   0.484953E+02
   0.351551E+02  -0.229442E+01   0.302040E+02  -0.461046E+01   0.710624E-03   0.989706E+01   0.137600E+02   0.302511E+00   0.138396E+02   0.521840E+02
   0.352194E+02  -0.233424E+01   0.302984E+02  -0.461046E+01   0.109202E-02   0.766306E+01   0.608110E+01   0.406712E+00   0.122751E+02   0.481863E+02
   0.351398E+02  -0.233542E+01   0.305285E+02  -0.456941E+01   0.103111E-02   0.101640E+02   0.827442E+01   0.901187E+00   0.215503E+02   0.519434E+02
   0.351267E+02  -0.225765E+01   0.305277E+02  -0.456941E+01   0.954224E-03   0.737225E+01   0.918689E+01   0.707726E+00   0.145523E+02   0.534551E+02
   0.351267E+02  -0.227839E+01   0.305277E+02  -0.475961E+01   0.954224E-03   0.163135E+02   0.918689E+01   0.533103E+00   0.173816E+02   0.506613E+02
   0.351267E+02  -0.226764E+01   0.305277E+02  -0.516001E+01   0.106141E-02   0.980692E+01   0.104137E+02   0.314369E+01   0.137707E+02   0.520048E+02
   0.351668E+02  -0.242081E+01   0.304352E+02  -0.423191E+01   0.110799E-02   0.989235E+01   0.104077E+02   0.158494E+01   0.207941E+02   0.514797E+02
   0.351668E+02  -0.229184E+01   0.300502E+02  -0.384467E+01   0.110799E-02   0.907953E+01   0.116758E+02   0.122808E+01   0.126703E+02   0.522617E+02
   0.351424E+02  -0.229184E+01   0.303177E+02  -0.384467E+01   0.615056E-03   0.118039E+02   0.660902E+01   0.395842E+00   0.171387E+02   0.514905E+02
   0.351319E+02  -0.229224E+01   0.305044E+02  -0.552603E+01   0.840414E-03   0.886830E+01   0.892584E+01   0.186953E+01   0.146428E+02   0.522232E+02
   0.351320E+02  -0.232797E+01   0.306037E+02  -0.552603E+01   0.345163E-04   0.116986E+02   0.892584E+01   0.364845E+00   0.129102E+02   0.493394E+02
   0.351423E+02  -0.232797E+01   0.301622E+02  -0.421741E+01   0.618105E-03   0.772764E+01   0.123337E+02   0.364845E+00   0.167800E+02   0.514388E+02
   0.351395E+02  -0.224920E+01   0.303590E+02  -0.416111E+01   0.821132E-03   0.950349E+01   0.123337E+02   0.113663E+01   0.106322E+02   0.521596E+02
   0.351993E+02  -0.237040E+01   0.306351E+02  -0.489794E+01   0.808306E-03   0.900574E+01   0.104834E+02   0.223678E+01   0.107158E+02   0.508256E+02
   0.351321E+02  -0.237040E+01   0.305351E+02  -0.489794E+01   0.674339E-03   0.982202E+01   0.938847E+01   0.210798E+01   0.226721E+02   0.495717E+02
   0.351660E+02  -0.234087E+01   0.304276E+02  -0.478777E+01   0.853240E-03   0.107625E+02   0.123880E+02   0.311246E+00   0.151096E+02   0.535674E+02
   0.351694E+02  -0.233763E+01   0.304276E+02  -0.382608E+01   0.853240E-03   0.973019E+01   0.103584E+02   0.125264E+00   0.166355E+02   0.534131E+02
   0.351069E+02  -0.233763E+01   0.305293E+02  -0.412334E+01   0.954232E-03   0.883517E+01   0.834745E+01   0.222162E+01   0.185814E+02   0.513856E+02
