               Kmin_MC_Up_a0  Kmin_MC_Up_a1  Kmin_MC_Up_a2  Kmin_TR_a0     Kmin_TR_a1     Kmin_TR_a2     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.349432E+02  -0.234498E+01  -0.154310E+01   0.296183E+02  -0.620741E+01  -0.637126E+01   0.258479E-05   0.486470E+01   0.593418E+01   0.490569E-02   0.896028E+01
Maximum           0.351768E+02  -0.159292E+01  -0.290093E+00   0.313193E+02  -0.469294E+00   0.324176E+01   0.163827E-02   0.194130E+02   0.195638E+02   0.638961E+01   0.270086E+02
Range             0.233600E+00   0.752060E+00   0.125301E+01   0.170100E+01   0.573812E+01   0.961302E+01   0.163569E-02   0.145483E+02   0.136296E+02   0.638470E+01   0.180483E+02
Mean              0.350702E+02  -0.198743E+01  -0.905220E+00   0.304518E+02  -0.338293E+01  -0.139307E+01   0.373366E-03   0.101230E+02   0.103707E+02   0.121957E+01   0.151960E+02
Median            0.350705E+02  -0.199052E+01  -0.905428E+00   0.304428E+02  -0.340250E+01  -0.135679E+01   0.323852E-03   0.991052E+01   0.101341E+02   0.100692E+01   0.150123E+02
Q10%              0.350241E+02  -0.212787E+01  -0.116334E+01   0.301424E+02  -0.427629E+01  -0.332994E+01   0.715321E-04   0.769021E+01   0.794176E+01   0.195698E+00   0.115339E+02
Q25%              0.350454E+02  -0.207696E+01  -0.104098E+01   0.303091E+02  -0.381117E+01  -0.230262E+01   0.163032E-03   0.866362E+01   0.889903E+01   0.496466E+00   0.128296E+02
Q75%              0.350939E+02  -0.190840E+01  -0.768358E+00   0.306013E+02  -0.288006E+01  -0.432251E+00   0.529616E-03   0.114033E+02   0.114547E+02   0.175121E+01   0.171313E+02
Q90%              0.351179E+02  -0.183193E+01  -0.640245E+00   0.307101E+02  -0.246854E+01   0.247969E+00   0.740786E-03   0.126946E+02   0.129507E+02   0.248563E+01   0.191826E+02
St.Dev.           0.365375E-01   0.115441E+00   0.212411E+00   0.244913E+00   0.751783E+00   0.141055E+01   0.271256E-03   0.206432E+01   0.208815E+01   0.960378E+00   0.307083E+01
Variance          0.133499E-02   0.133266E-01   0.451184E-01   0.599826E-01   0.565178E+00   0.198964E+01   0.735800E-07   0.426141E+01   0.436039E+01   0.922326E+00   0.942999E+01
CV                0.104184E-02   0.580856E-01   0.234651E+00   0.804266E-02   0.222228E+00   0.101254E+01   0.726516E+00   0.203924E+00   0.201351E+00   0.787474E+00   0.202081E+00
Skewness         -0.143371E-01   0.137705E+00  -0.783067E-01   0.202966E+00  -0.496133E-01  -0.666543E-01   0.102001E+01   0.703070E+00   0.876712E+00   0.145692E+01   0.620429E+00
Kurtosis          0.113570E+00  -0.102957E+00   0.182171E+00   0.941401E+00   0.113134E+01   0.121950E+00   0.135452E+01   0.129090E+01   0.156115E+01   0.376529E+01   0.514281E+00
MaxPost           0.350742E+02  -0.199783E+01  -0.923173E+00   0.303638E+02  -0.294744E+01  -0.211728E+01   0.747031E-04   0.104274E+02   0.112934E+02   0.828533E-01   0.123309E+02
