Kmin_MC_Up_a0  Kmin_MC_Up_a1  Kmin_MC_Up_a2  Kmin_MC_Up_a3  Kmin_TR_a0     Kmin_TR_a1     Kmin_TR_a2     Kmin_TR_a3     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.350671E+02  -0.194471E+01  -0.127279E+01   0.156560E+00   0.303377E+02  -0.202963E+01  -0.361927E+01   0.449500E+01   0.112194E-03   0.147586E+02   0.114825E+02   0.378739E+00   0.139159E+02   0.624164E+02
   0.350098E+02  -0.179785E+01  -0.127545E+01   0.493789E+00   0.302297E+02  -0.284253E+01  -0.223843E+01   0.245084E+01   0.830097E-03   0.141799E+02   0.110684E+02   0.924476E-01   0.177919E+02   0.610645E+02
   0.350263E+02  -0.180295E+01  -0.133884E+01   0.222875E+00   0.306198E+02  -0.255172E+01  -0.253053E+01   0.550755E+01   0.411332E-04   0.948405E+01   0.150615E+02   0.985344E+00   0.179285E+02   0.599334E+02
   0.350619E+02  -0.195261E+01  -0.112614E+01   0.729805E+00   0.304310E+02  -0.290078E+01  -0.132461E+01   0.663461E+00   0.107493E-04   0.851845E+01   0.877831E+01   0.204377E+01   0.148470E+02   0.627390E+02
   0.350195E+02  -0.179301E+01  -0.932114E+00   0.103497E+00   0.303840E+02  -0.369826E+01  -0.595103E+00   0.570763E+01   0.120350E-04   0.145982E+02   0.135016E+02   0.659306E+00   0.175042E+02   0.603860E+02
   0.350299E+02  -0.194819E+01  -0.932114E+00  -0.123274E+00   0.303840E+02  -0.300545E+01  -0.249630E+01   0.378389E+01   0.428112E-03   0.983088E+01   0.128639E+02   0.181506E+01   0.175685E+02   0.626063E+02
   0.350017E+02  -0.195899E+01  -0.763359E+00   0.205557E+00   0.306119E+02  -0.278953E+01   0.108814E+00   0.483872E+01   0.428112E-03   0.950673E+01   0.793791E+01   0.206296E+01   0.161401E+02   0.602048E+02
   0.350017E+02  -0.184490E+01  -0.139155E+01   0.409458E+00   0.303491E+02  -0.776369E+00  -0.116756E+01   0.714611E+01   0.183328E-03   0.108099E+02   0.109330E+02   0.166507E+01   0.151043E+02   0.648867E+02
   0.350108E+02  -0.185394E+01  -0.112034E+01   0.586338E+00   0.302109E+02  -0.201475E+01  -0.116756E+01   0.704896E+01   0.245100E-03   0.789845E+01   0.113517E+02   0.473567E-01   0.183074E+02   0.653902E+02
   0.350108E+02  -0.180220E+01  -0.132348E+01   0.332797E+00   0.305046E+02  -0.193686E+01   0.916115E+00   0.614286E+01   0.271776E-03   0.103643E+02   0.779323E+01   0.182119E+00   0.121517E+02   0.646789E+02
   0.349864E+02  -0.176764E+01  -0.132348E+01   0.380986E+00   0.306290E+02  -0.166933E+01   0.916115E+00   0.741474E+01   0.271776E-03   0.691423E+01   0.111092E+02   0.165366E+01   0.179930E+02   0.617708E+02
   0.349660E+02  -0.173193E+01  -0.132348E+01   0.446763E+00   0.306290E+02  -0.230496E+01  -0.118435E+01   0.729733E+01   0.548908E-03   0.116044E+02   0.884208E+01   0.466314E-01   0.147047E+02   0.633874E+02
   0.350048E+02  -0.173193E+01  -0.131787E+01   0.405059E+00   0.305772E+02  -0.335593E+01  -0.224720E+00   0.186997E+01   0.207532E-03   0.121968E+02   0.121837E+02   0.120382E+01   0.217424E+02   0.615571E+02
   0.350047E+02  -0.187840E+01  -0.132109E+01   0.383967E+00   0.308067E+02  -0.309390E+01  -0.224720E+00   0.271105E+01   0.236161E-03   0.908640E+01   0.120418E+02   0.645687E+00   0.119838E+02   0.641721E+02
   0.350057E+02  -0.184812E+01  -0.137419E+01   0.574102E+00   0.307929E+02  -0.268407E+01   0.101153E+01   0.670958E+01   0.375496E-03   0.102209E+02   0.965478E+01   0.333001E+00   0.127876E+02   0.645420E+02
   0.350085E+02  -0.179561E+01  -0.143876E+01   0.428028E+00   0.307278E+02  -0.277069E+01  -0.538076E-01   0.227206E+01   0.356170E-03   0.925950E+01   0.114276E+02   0.575416E+00   0.115895E+02   0.639123E+02
   0.350085E+02  -0.176566E+01  -0.137849E+01   0.493857E+00   0.303723E+02  -0.341595E+01  -0.334184E+00   0.190906E+01   0.939194E-04   0.991647E+01   0.934044E+01   0.586318E+00   0.128509E+02   0.643881E+02
   0.350081E+02  -0.176566E+01  -0.135463E+01   0.493857E+00   0.304963E+02  -0.321476E+01  -0.508384E+00   0.497837E+01   0.390884E-05   0.122967E+02   0.111201E+02   0.151725E+01   0.195750E+02   0.639619E+02
   0.350047E+02  -0.189189E+01  -0.119736E+01   0.231717E+00   0.304268E+02  -0.247095E+01  -0.243363E+01   0.951974E+00   0.390884E-05   0.121761E+02   0.710513E+01   0.120345E+01   0.151470E+02   0.623153E+02
