X1_obs         X2_obs         X3_obs         X4_obs         X1_true        X2_true        X3_true        X4_true        Y1_obs         Y2_obs         Y3_obs         Y4_obs         Y5_obs         Y1_unbiased    Y2_unbiased    Y3_unbiased    Y4_unbiased    Y5_unbiased    Y1_sim         Y2_sim         Y3_sim         Y4_sim         Y5_sim         Y1_res         Y2_res         Y3_res         Y4_res         Y5_res         Y1_stdres      Y2_stdres      Y3_stdres      Y4_stdres      Y5_stdres      
   0.100000E+01   0.100000E+01   0.100000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.100000E+01   0.108000E+05   0.109560E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109560E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109549E+02   0.500000E+01   0.214665E+01   0.379731E+02   0.180000E+02   0.104650E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.104442E+01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.200000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.200000E+01   0.108000E+05   0.109506E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109506E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109508E+02   0.500000E+01   0.212923E+01   0.369116E+02   0.180000E+02  -0.187637E-03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.187263E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.300000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.300000E+01   0.108000E+05   0.109455E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109455E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109459E+02   0.500000E+01   0.211390E+01   0.362393E+02   0.180000E+02  -0.436241E-03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.435372E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.400000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.400000E+01   0.108000E+05   0.109398E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109398E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109408E+02   0.500000E+01   0.209965E+01   0.358709E+02   0.180000E+02  -0.999869E-03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.997878E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.500000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.500000E+01   0.108000E+05   0.109362E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109362E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109356E+02   0.500000E+01   0.208570E+01   0.357291E+02   0.180000E+02   0.651305E-03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.650008E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.600000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.600000E+01   0.108000E+05   0.109312E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109312E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109306E+02   0.500000E+01   0.207155E+01   0.357448E+02   0.180000E+02   0.697954E-03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.696564E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.700000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.700000E+01   0.108000E+05   0.109266E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109266E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109258E+02   0.500000E+01   0.205690E+01   0.358571E+02   0.180000E+02   0.850915E-03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.849221E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.900000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.900000E+01   0.108000E+05   0.109163E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109163E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109172E+02   0.500000E+01   0.202583E+01   0.361679E+02   0.180000E+02  -0.898601E-03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.896812E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.100000E+02   0.108000E+05   0.100000E+01   0.100000E+01   0.100000E+02   0.108000E+05   0.109129E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109129E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109134E+02   0.500000E+01   0.200955E+01   0.362853E+02   0.180000E+02  -0.457267E-03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.456356E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.110000E+02   0.108000E+05   0.100000E+01   0.100000E+01   0.110000E+02   0.108000E+05   0.109103E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109103E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109098E+02   0.500000E+01   0.199297E+01   0.363367E+02   0.180000E+02   0.557577E-03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.556467E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
