Kmin_MC_Up_a0 Kmin_TR_a0    Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.340000E+02  0.280000E+02  0.500000E-03  0.100000E+02  0.100000E+02  0.100000E+01  0.150000E+02 -0.631844E+03
  0.340000E+02  0.280000E+02  0.500000E-03  0.975932E+01  0.799930E+01  0.960025E+00  0.152304E+02 -0.632215E+03
  0.343745E+02  0.280000E+02  0.500000E-03  0.908221E+01  0.799930E+01  0.862546E+00  0.139589E+02 -0.489793E+03
  0.343745E+02  0.280000E+02  0.500000E-03  0.984446E+01  0.964707E+01  0.816415E+00  0.129770E+02 -0.489435E+03
  0.343745E+02  0.280000E+02  0.500000E-03  0.984446E+01  0.995363E+01  0.780923E+00  0.121811E+02 -0.489645E+03
  0.343745E+02  0.280000E+02  0.109105E-02  0.981146E+01  0.106587E+02  0.805478E+00  0.112753E+02 -0.244253E+03
  0.343745E+02  0.275356E+02  0.109105E-02  0.924080E+01  0.103182E+02  0.913467E+00  0.112753E+02 -0.237523E+03
  0.343745E+02  0.275356E+02  0.242715E-02  0.112980E+02  0.102864E+02  0.935879E+00  0.111082E+02 -0.329678E+02
  0.343745E+02  0.275356E+02  0.242715E-02  0.108962E+02  0.104076E+02  0.751218E+00  0.114376E+02 -0.325579E+02
  0.343745E+02  0.275356E+02  0.410759E-02  0.120088E+02  0.106730E+02  0.742936E+00  0.133976E+02  0.131278E+02
  0.343745E+02  0.275356E+02  0.455396E-02  0.120088E+02  0.103031E+02  0.590186E+00  0.124186E+02  0.162808E+02
  0.343745E+02  0.275356E+02  0.455396E-02  0.139330E+02  0.109043E+02  0.607106E+00  0.124186E+02  0.150288E+02
  0.343745E+02  0.275356E+02  0.455396E-02  0.142171E+02  0.103249E+02  0.719145E+00  0.142347E+02  0.151882E+02
  0.343745E+02  0.275356E+02  0.456974E-02  0.147986E+02  0.912967E+01  0.678195E+00  0.142347E+02  0.149141E+02
  0.343745E+02  0.275356E+02  0.493996E-02  0.158066E+02  0.823913E+01  0.636591E+00  0.142347E+02  0.154322E+02
  0.343745E+02  0.275356E+02  0.616034E-02  0.155553E+02  0.823913E+01  0.725411E+00  0.146154E+02  0.166741E+02
  0.343745E+02  0.275356E+02  0.607760E-02  0.164240E+02  0.790124E+01  0.609898E+00  0.143693E+02  0.159120E+02
  0.343745E+02  0.275356E+02  0.536055E-02  0.146358E+02  0.838000E+01  0.689540E+00  0.138476E+02  0.172431E+02
  0.343745E+02  0.275356E+02  0.587744E-02  0.132708E+02  0.781587E+01  0.848119E+00  0.139220E+02  0.180588E+02
  0.343745E+02  0.275356E+02  0.581084E-02  0.133824E+02  0.930579E+01  0.924375E+00  0.151366E+02  0.184440E+02
  0.343745E+02  0.275356E+02  0.581084E-02  0.129430E+02  0.100874E+02  0.992420E+00  0.148356E+02  0.186586E+02
  0.343745E+02  0.275356E+02  0.581084E-02  0.129430E+02  0.893901E+01  0.943275E+00  0.143389E+02  0.186703E+02
  0.343745E+02  0.275356E+02  0.581084E-02  0.113498E+02  0.893901E+01  0.961887E+00  0.144286E+02  0.194197E+02
  0.343745E+02  0.280231E+02  0.559448E-02  0.990508E+01  0.805020E+01  0.943758E+00  0.144286E+02  0.189093E+02
  0.343745E+02  0.280231E+02  0.559448E-02  0.998288E+01  0.840003E+01  0.950725E+00  0.143906E+02  0.190629E+02
  0.343745E+02  0.280231E+02  0.582237E-02  0.998288E+01  0.770088E+01  0.830113E+00  0.149028E+02  0.188544E+02
  0.343745E+02  0.280231E+02  0.582237E-02  0.865664E+01  0.975438E+01  0.783364E+00  0.148078E+02  0.193803E+02
  0.343745E+02  0.284335E+02  0.549101E-02  0.926532E+01  0.926194E+01  0.783364E+00  0.148078E+02  0.180566E+02
  0.343745E+02  0.295267E+02  0.682595E-02  0.750330E+01  0.935047E+01  0.760535E+00  0.147811E+02  0.128561E+02
  0.343745E+02  0.268437E+02  0.682595E-02  0.726282E+01  0.935047E+01  0.695414E+00  0.138020E+02  0.171158E+02
  0.343745E+02  0.268437E+02  0.682595E-02  0.658650E+01  0.808476E+01  0.670393E+00  0.141698E+02  0.159825E+02
  0.343745E+02  0.268437E+02  0.682595E-02  0.678042E+01  0.851899E+01  0.788186E+00  0.145934E+02  0.163723E+02
  0.343745E+02  0.268437E+02  0.673569E-02  0.690446E+01  0.874178E+01  0.800885E+00  0.165442E+02  0.164700E+02
  0.343745E+02  0.268437E+02  0.753779E-02  0.689590E+01  0.987056E+01  0.802340E+00  0.169569E+02  0.151363E+02
  0.343745E+02  0.266074E+02  0.753779E-02  0.689590E+01  0.110263E+02  0.733925E+00  0.174110E+02  0.142053E+02
  0.343745E+02  0.266074E+02  0.786627E-02  0.721291E+01  0.105538E+02  0.782105E+00  0.145510E+02  0.144534E+02
  0.343745E+02  0.266074E+02  0.715892E-02  0.637725E+01  0.106059E+02  0.550672E+00  0.128795E+02  0.146210E+02
  0.343745E+02  0.270166E+02  0.642883E-02  0.629571E+01  0.106295E+02  0.618083E+00  0.130393E+02  0.165928E+02
  0.343745E+02  0.270166E+02  0.632581E-02  0.665636E+01  0.109815E+02  0.867504E+00  0.130393E+02  0.169930E+02
  0.343745E+02  0.270166E+02  0.547776E-02  0.665636E+01  0.110191E+02  0.875433E+00  0.154592E+02  0.169655E+02
