Kmin_MC_Up_a0 Kmin_MC_Up_a1 Kmin_MC_Up_a2 Kmin_TR_a0    Kmin_TR_a1    Kmin_TR_a2    Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.340000E+02  0.000000E+00  0.000000E+00  0.280000E+02  0.000000E+00  0.000000E+00  0.500000E-03  0.100000E+02  0.100000E+02  0.100000E+01  0.150000E+02 -0.631844E+03
  0.340000E+02  0.000000E+00  0.000000E+00  0.280000E+02  0.000000E+00 -0.480138E+01  0.500000E-03  0.101102E+02  0.110673E+02  0.979649E+00  0.139843E+02 -0.579226E+03
  0.340000E+02  0.000000E+00  0.000000E+00  0.280000E+02  0.000000E+00 -0.480138E+01  0.711836E-03  0.995436E+01  0.111486E+02  0.810677E+00  0.147548E+02 -0.465669E+03
  0.340000E+02  0.000000E+00  0.000000E+00  0.280000E+02  0.000000E+00 -0.480138E+01  0.140225E-02  0.105454E+02  0.111156E+02  0.881185E+00  0.151231E+02 -0.198816E+03
  0.340000E+02  0.000000E+00 -0.132674E+01  0.280000E+02  0.000000E+00 -0.480138E+01  0.248214E-02  0.853282E+01  0.117480E+02  0.861751E+00  0.171272E+02 -0.301081E+02
  0.340000E+02  0.000000E+00 -0.132674E+01  0.280000E+02  0.000000E+00 -0.480138E+01  0.248214E-02  0.813101E+01  0.118692E+02  0.677089E+00  0.174567E+02 -0.303170E+02
  0.340000E+02  0.000000E+00 -0.132674E+01  0.280000E+02  0.000000E+00 -0.546392E+01  0.378878E-02  0.813101E+01  0.123060E+02  0.721726E+00  0.174567E+02  0.766183E+01
  0.340000E+02  0.000000E+00 -0.132674E+01  0.280000E+02  0.000000E+00 -0.546392E+01  0.571298E-02  0.873213E+01  0.124752E+02  0.641131E+00  0.174567E+02  0.173861E+02
  0.340000E+02  0.000000E+00 -0.132674E+01  0.280000E+02  0.000000E+00 -0.546392E+01  0.653720E-02  0.873213E+01  0.124910E+02  0.699279E+00  0.156639E+02  0.172527E+02
  0.340000E+02  0.000000E+00 -0.132674E+01  0.298867E+02  0.000000E+00  0.259971E+01  0.564666E-02  0.831609E+01  0.124910E+02  0.772188E+00  0.147866E+02  0.183908E+02
  0.340000E+02  0.000000E+00 -0.132674E+01  0.298867E+02  0.000000E+00  0.215683E+01  0.587999E-02  0.823335E+01  0.133597E+02  0.738400E+00  0.130539E+02  0.179233E+02
  0.340000E+02  0.000000E+00 -0.132674E+01  0.298867E+02  0.000000E+00  0.215683E+01  0.667641E-02  0.788559E+01  0.133597E+02  0.654590E+00  0.138292E+02  0.170654E+02
  0.340000E+02  0.000000E+00 -0.132674E+01  0.300255E+02 -0.228810E+01 -0.562676E+01  0.660981E-02  0.799723E+01  0.133597E+02  0.730846E+00  0.150438E+02  0.176673E+02
  0.340000E+02  0.000000E+00 -0.132674E+01  0.300255E+02 -0.228810E+01 -0.183135E+00  0.640914E-02  0.852239E+01  0.122853E+02  0.797847E+00  0.170885E+02  0.192269E+02
  0.340000E+02  0.000000E+00 -0.132674E+01  0.300255E+02 -0.228810E+01 -0.183135E+00  0.481590E-02  0.852239E+01  0.124714E+02  0.803831E+00  0.162027E+02  0.194890E+02
  0.345919E+02 -0.173087E+01 -0.132674E+01  0.300255E+02 -0.228810E+01 -0.183135E+00  0.481590E-02  0.903843E+01  0.109449E+02  0.811611E+00  0.167274E+02  0.294024E+02
  0.348288E+02 -0.173087E+01 -0.132674E+01  0.300255E+02 -0.465007E+00 -0.183135E+00  0.411674E-02  0.783231E+01  0.112863E+02  0.693316E+00  0.167274E+02  0.468943E+02
  0.348288E+02 -0.173087E+01 -0.132674E+01  0.300255E+02 -0.971472E+00 -0.183135E+00  0.426329E-02  0.750094E+01  0.118950E+02  0.644073E+00  0.167274E+02  0.453438E+02
  0.348288E+02 -0.173087E+01 -0.132674E+01  0.300255E+02 -0.971472E+00 -0.183135E+00  0.403500E-02  0.748317E+01  0.975818E+01  0.548252E+00  0.167274E+02  0.475132E+02
  0.348288E+02 -0.173087E+01 -0.132674E+01  0.300255E+02 -0.313127E+00 -0.183135E+00  0.403500E-02  0.680686E+01  0.849247E+01  0.523231E+00  0.170951E+02  0.466177E+02
  0.348288E+02 -0.173087E+01 -0.132674E+01  0.305685E+02 -0.313127E+00 -0.183135E+00  0.403500E-02  0.765175E+01  0.801589E+01  0.514205E+00  0.172812E+02  0.472118E+02
  0.348288E+02 -0.173087E+01 -0.132674E+01  0.304406E+02 -0.313127E+00 -0.183135E+00  0.402644E-02  0.878053E+01  0.803044E+01  0.541719E+00  0.175782E+02  0.478696E+02
  0.348288E+02 -0.173087E+01 -0.132674E+01  0.304406E+02 -0.313127E+00  0.223832E+01  0.323613E-02  0.973954E+01  0.835892E+01  0.573420E+00  0.168695E+02  0.529207E+02
  0.348288E+02 -0.173087E+01 -0.132674E+01  0.304406E+02 -0.313127E+00 -0.444699E+01  0.328819E-02  0.973954E+01  0.724458E+01  0.630152E+00  0.170886E+02  0.517053E+02
  0.348288E+02 -0.173087E+01 -0.113761E+01  0.304406E+02  0.539161E+00 -0.444699E+01  0.130719E-02  0.963652E+01  0.760523E+01  0.665344E+00  0.208300E+02  0.495744E+02
  0.348288E+02 -0.173087E+01 -0.113761E+01  0.304406E+02  0.539161E+00 -0.414588E+01  0.138648E-02  0.112498E+02  0.846546E+01  0.626479E+00  0.212783E+02  0.512710E+02
  0.348288E+02 -0.173087E+01 -0.113761E+01  0.304406E+02 -0.965842E+00 -0.414588E+01  0.149916E-02  0.112630E+02  0.771530E+01  0.709826E+00  0.203188E+02  0.582573E+02
