Kmin_MC_Up_a0  Kmin_MC_Up_a1  Kmin_TR_a0     Kmin_TR_a1     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.351832E+02  -0.233690E+01   0.310136E+02  -0.511057E+01   0.132151E-02   0.124038E+02   0.539070E+01   0.138334E+02   0.141117E+02   0.196691E+03  -0.189984E+02   0.000000E+00   0.215689E+03  -0.431379E+03
   0.351832E+02  -0.234721E+01   0.303253E+02  -0.427603E+01   0.520045E-03   0.985092E+01   0.125170E+02   0.146972E+02   0.129170E+02   0.205479E+03  -0.150187E+02   0.000000E+00   0.220498E+03  -0.440995E+03
   0.351646E+02  -0.230359E+01   0.304750E+02  -0.427603E+01   0.957669E-03   0.826773E+01   0.116681E+02   0.109628E+02   0.195810E+02   0.204138E+03  -0.168452E+02   0.000000E+00   0.220983E+03  -0.441966E+03
   0.351783E+02  -0.231577E+01   0.304357E+02  -0.436827E+01   0.733280E-03   0.142064E+02   0.653100E+01   0.168838E+02   0.177561E+02   0.202981E+03  -0.186140E+02   0.000000E+00   0.221595E+03  -0.443190E+03
   0.351783E+02  -0.235058E+01   0.304008E+02  -0.461706E+01   0.646075E-03   0.990560E+01   0.109987E+02   0.191299E+02   0.173352E+02   0.204781E+03  -0.156507E+02   0.000000E+00   0.220432E+03  -0.440863E+03
   0.352372E+02  -0.238367E+01   0.306971E+02  -0.534494E+01   0.987071E-03   0.119062E+02   0.106561E+02   0.124663E+02   0.134318E+02   0.203369E+03  -0.150156E+02   0.000000E+00   0.218385E+03  -0.436769E+03
   0.351794E+02  -0.235653E+01   0.306544E+02  -0.451063E+01   0.859312E-03   0.122085E+02   0.780374E+01   0.166379E+02   0.130549E+02   0.204727E+03  -0.156198E+02   0.000000E+00   0.220347E+03  -0.440694E+03
   0.351895E+02  -0.228659E+01   0.302490E+02  -0.377489E+01   0.551579E-03   0.125556E+02   0.134395E+02   0.158299E+02   0.169973E+02   0.202255E+03  -0.167350E+02   0.000000E+00   0.218990E+03  -0.437980E+03
   0.350867E+02  -0.219997E+01   0.308322E+02  -0.512227E+01   0.515743E-03   0.105403E+02   0.842852E+01   0.177990E+02   0.917608E+01   0.200064E+03  -0.174079E+02   0.000000E+00   0.217472E+03  -0.434944E+03
   0.351100E+02  -0.218082E+01   0.305481E+02  -0.491790E+01   0.478171E-03   0.817130E+01   0.872118E+01   0.143687E+02   0.106342E+02   0.205693E+03  -0.155819E+02   0.000000E+00   0.221275E+03  -0.442550E+03
   0.351150E+02  -0.214477E+01   0.306035E+02  -0.541256E+01   0.404955E-03   0.139910E+02   0.110015E+02   0.222535E+02   0.211280E+02   0.200723E+03  -0.201652E+02   0.000000E+00   0.220888E+03  -0.441776E+03
   0.350921E+02  -0.211361E+01   0.304763E+02  -0.466316E+01   0.101870E-02   0.767302E+01   0.107722E+02   0.207039E+02   0.150875E+02   0.203642E+03  -0.164441E+02   0.000000E+00   0.220086E+03  -0.440172E+03
   0.350833E+02  -0.216231E+01   0.307367E+02  -0.568408E+01   0.712431E-03   0.881343E+01   0.135651E+02   0.207039E+02   0.106658E+02   0.201099E+03  -0.183349E+02   0.000000E+00   0.219434E+03  -0.438868E+03
   0.351079E+02  -0.221138E+01   0.307355E+02  -0.511949E+01   0.486770E-03   0.912403E+01   0.123457E+02   0.178899E+02   0.200598E+02   0.202949E+03  -0.167518E+02   0.000000E+00   0.219701E+03  -0.439402E+03
   0.351240E+02  -0.220407E+01   0.303443E+02  -0.517107E+01   0.939539E-03   0.124404E+02   0.110793E+02   0.137339E+02   0.168048E+02   0.204816E+03  -0.153939E+02   0.000000E+00   0.220210E+03  -0.440420E+03
   0.351240E+02  -0.221275E+01   0.302311E+02  -0.413803E+01   0.105885E-02   0.780336E+01   0.972487E+01   0.180919E+02   0.164975E+02   0.205210E+03  -0.153993E+02   0.000000E+00   0.220609E+03  -0.441219E+03
   0.351195E+02  -0.219857E+01   0.301046E+02  -0.385795E+01   0.943308E-03   0.825739E+01   0.104106E+02   0.106300E+02   0.159570E+02   0.204897E+03  -0.156366E+02   0.000000E+00   0.220534E+03  -0.441067E+03
   0.351836E+02  -0.219857E+01   0.302389E+02  -0.470785E+01   0.499088E-03   0.110238E+02   0.104648E+02   0.144890E+02   0.140564E+02   0.204610E+03  -0.143173E+02   0.000000E+00   0.218927E+03  -0.437855E+03
   0.351836E+02  -0.229966E+01   0.305110E+02  -0.525360E+01   0.633908E-03   0.970929E+01   0.848308E+01   0.194572E+02   0.178656E+02   0.204956E+03  -0.158800E+02   0.000000E+00   0.220836E+03  -0.441672E+03
   0.351326E+02  -0.224376E+01   0.300942E+02  -0.379838E+01   0.633908E-03   0.843879E+01   0.712325E+01   0.132672E+02   0.133978E+02   0.204904E+03  -0.154634E+02   0.000000E+00   0.220367E+03  -0.440735E+03
   0.351204E+02  -0.225078E+01   0.300942E+02  -0.397481E+01   0.109766E-02   0.998919E+01   0.116852E+02   0.125959E+02   0.138091E+02   0.204017E+03  -0.147291E+02   0.000000E+00   0.218746E+03  -0.437492E+03
   0.351571E+02  -0.226416E+01   0.301839E+02  -0.460436E+01   0.436954E-03   0.115512E+02   0.843026E+01   0.169021E+02   0.142493E+02   0.204300E+03  -0.149387E+02   0.000000E+00   0.219239E+03  -0.438477E+03
   0.351493E+02  -0.227379E+01   0.304226E+02  -0.460436E+01   0.436954E-03   0.877326E+01   0.114122E+02   0.112741E+02   0.165673E+02   0.205917E+03  -0.154516E+02   0.000000E+00   0.221369E+03  -0.442737E+03
   0.350094E+02  -0.206274E+01   0.303344E+02  -0.410079E+01   0.835800E-03   0.931238E+01   0.146124E+02   0.906169E+01   0.164824E+02   0.195880E+03  -0.191078E+02   0.000000E+00   0.214988E+03  -0.429976E+03
   0.350607E+02  -0.202138E+01   0.303344E+02  -0.443236E+01   0.126341E-02   0.129005E+02   0.912750E+01   0.149424E+02   0.160328E+02   0.201924E+03  -0.152584E+02   0.000000E+00   0.217182E+03  -0.434365E+03
   0.350873E+02  -0.202138E+01   0.302340E+02  -0.470545E+01   0.121595E-02   0.102842E+02   0.981031E+01   0.211099E+02   0.152319E+02   0.202320E+03  -0.159043E+02   0.000000E+00   0.218224E+03  -0.436449E+03
   0.350873E+02  -0.212545E+01   0.304575E+02  -0.470545E+01   0.799055E-03   0.645639E+01   0.146358E+02   0.128819E+02   0.175673E+02   0.202295E+03  -0.188186E+02   0.000000E+00   0.221114E+03  -0.442227E+03
   0.351294E+02  -0.212545E+01   0.304409E+02  -0.541130E+01   0.100555E-02   0.102019E+02   0.806530E+01   0.162303E+02   0.131403E+02   0.206141E+03  -0.146927E+02   0.000000E+00   0.220834E+03  -0.441667E+03
   0.351157E+02  -0.212545E+01   0.304409E+02  -0.544698E+01   0.392955E-03   0.106973E+02   0.101532E+02   0.162303E+02   0.217716E+02   0.204113E+03  -0.164680E+02   0.000000E+00   0.220581E+03  -0.441162E+03
   0.351157E+02  -0.219000E+01   0.304409E+02  -0.544698E+01   0.369094E-03   0.123399E+02   0.104439E+02   0.200101E+02   0.206071E+02   0.200902E+03  -0.177962E+02   0.000000E+00   0.218698E+03  -0.437396E+03
   0.350991E+02  -0.213921E+01   0.304409E+02  -0.537383E+01   0.369094E-03   0.906076E+01   0.104552E+02   0.179084E+02   0.128663E+02   0.204811E+03  -0.148646E+02   0.000000E+00   0.219676E+03  -0.439351E+03
   0.350948E+02  -0.225102E+01   0.306053E+02  -0.454940E+01   0.112647E-02   0.838560E+01   0.844075E+01   0.211151E+02   0.144829E+02   0.202190E+03  -0.162465E+02   0.000000E+00   0.218437E+03  -0.436873E+03
   0.350859E+02  -0.206915E+01   0.305138E+02  -0.505729E+01   0.116166E-02   0.815046E+01   0.117157E+02   0.136279E+02   0.164746E+02   0.204038E+03  -0.150745E+02   0.000000E+00   0.219113E+03  -0.438225E+03
   0.350992E+02  -0.214047E+01   0.302745E+02  -0.505729E+01   0.346971E-03   0.944890E+01   0.896404E+01   0.162110E+02   0.139962E+02   0.204603E+03  -0.142290E+02   0.000000E+00   0.218832E+03  -0.437664E+03
   0.351029E+02  -0.214047E+01   0.307670E+02  -0.551261E+01   0.508644E-03   0.950540E+01   0.101435E+02   0.113377E+02   0.165762E+02   0.204780E+03  -0.149841E+02   0.000000E+00   0.219764E+03  -0.439528E+03
   0.351029E+02  -0.228379E+01   0.307069E+02  -0.392497E+01   0.944134E-03   0.903342E+01   0.899822E+01   0.165227E+02   0.171615E+02   0.201851E+03  -0.146976E+02   0.000000E+00   0.216549E+03  -0.433097E+03
   0.350706E+02  -0.209315E+01   0.305254E+02  -0.488244E+01   0.893822E-03   0.115811E+02   0.956200E+01   0.125000E+02   0.214746E+02   0.203540E+03  -0.166595E+02   0.000000E+00   0.220199E+03  -0.440399E+03
   0.350799E+02  -0.209315E+01   0.308419E+02  -0.557861E+01   0.116545E-02   0.104067E+02   0.983732E+01   0.190855E+02   0.104864E+02   0.201578E+03  -0.163183E+02   0.000000E+00   0.217896E+03  -0.435793E+03
   0.351532E+02  -0.223397E+01   0.308058E+02  -0.557861E+01   0.853910E-03   0.100296E+02   0.687184E+01   0.126136E+02   0.160587E+02   0.204910E+03  -0.157772E+02   0.000000E+00   0.220687E+03  -0.441374E+03
   0.351532E+02  -0.219437E+01   0.307399E+02  -0.559267E+01   0.328080E-03   0.107736E+02   0.107507E+02   0.133028E+02   0.163062E+02   0.204576E+03  -0.145743E+02   0.000000E+00   0.219150E+03  -0.438301E+03
