               Kmin_MC_Up_a0  Kmin_MC_Up_a1  Kmin_MC_Up_a2  Kmin_TR_a0     Kmin_TR_a1     Kmin_TR_a2     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.349524E+02  -0.226347E+01  -0.150188E+01   0.295673E+02  -0.639546E+01  -0.470257E+01   0.151346E-05   0.491005E+01   0.575646E+01   0.811405E+01   0.724978E+01
Maximum           0.352068E+02  -0.158229E+01   0.374425E-01   0.312798E+02  -0.186996E+01   0.245008E+01   0.126373E-02   0.162523E+02   0.199998E+02   0.251648E+02   0.306925E+02
Range             0.254400E+00   0.681180E+00   0.153932E+01   0.171250E+01   0.452550E+01   0.715265E+01   0.126222E-02   0.113423E+02   0.142433E+02   0.170508E+02   0.234427E+02
Mean              0.350747E+02  -0.192588E+01  -0.698336E+00   0.303413E+02  -0.386107E+01  -0.103924E+01   0.407234E-03   0.101761E+02   0.102093E+02   0.153095E+02   0.153094E+02
Median            0.350742E+02  -0.192490E+01  -0.703928E+00   0.303431E+02  -0.381773E+01  -0.116463E+01   0.397862E-03   0.998699E+01   0.101159E+02   0.151799E+02   0.150078E+02
Q10%              0.350264E+02  -0.205926E+01  -0.938135E+00   0.300150E+02  -0.490560E+01  -0.263686E+01   0.824969E-04   0.790270E+01   0.771521E+01   0.117096E+02   0.113026E+02
Q25%              0.350502E+02  -0.199908E+01  -0.827080E+00   0.301581E+02  -0.439353E+01  -0.199351E+01   0.209354E-03   0.886524E+01   0.874422E+01   0.131890E+02   0.129474E+02
Q75%              0.351009E+02  -0.185234E+01  -0.587638E+00   0.304998E+02  -0.331304E+01  -0.158849E+00   0.584478E-03   0.113308E+02   0.114762E+02   0.169060E+02   0.172381E+02
Q90%              0.351225E+02  -0.177911E+01  -0.446313E+00   0.306786E+02  -0.286212E+01   0.667383E+00   0.746160E-03   0.125996E+02   0.127814E+02   0.194018E+02   0.195899E+02
St.Dev.           0.374655E-01   0.110511E+00   0.189299E+00   0.261326E+00   0.799949E+00   0.127368E+01   0.252085E-03   0.182779E+01   0.204001E+01   0.300940E+01   0.328972E+01
Variance          0.140366E-02   0.122126E-01   0.358342E-01   0.682915E-01   0.639918E+00   0.162227E+01   0.635469E-07   0.334082E+01   0.416164E+01   0.905649E+01   0.108223E+02
CV                0.106816E-02   0.573820E-01   0.271072E+00   0.861290E-02   0.207183E+00   0.122559E+01   0.619018E+00   0.179617E+00   0.199819E+00   0.196571E+00   0.214882E+00
Skewness         -0.730484E-01   0.119766E+00   0.872614E-02   0.323237E+00  -0.280766E+00   0.208170E+00   0.451114E+00   0.322702E+00   0.617036E+00   0.548918E+00   0.684630E+00
Kurtosis          0.335516E+00   0.203149E+00   0.615445E+00   0.417320E+00  -0.825076E-01  -0.173564E+00  -0.357863E+00   0.916695E-01   0.870931E+00   0.375613E+00   0.106864E+01
MaxPost           0.350596E+02  -0.192579E+01  -0.775015E+00   0.303598E+02  -0.341339E+01  -0.131078E+01   0.297491E-03   0.985002E+01   0.890229E+01   0.177811E+02   0.133051E+02
