               Kmin_MC_Up_a0  Kmin_MC_Up_a1  Kmin_MC_Up_a2  Kmin_MC_Up_a3  Kmin_TR_a0     Kmin_TR_a1     Kmin_TR_a2     Kmin_TR_a3     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.349218E+02  -0.225056E+01  -0.141582E+01  -0.852549E+00   0.294400E+02  -0.725748E+01  -0.684149E+01  -0.508074E+01   0.265351E-05   0.553823E+01   0.616769E+01   0.895586E+01   0.743789E+01
Maximum           0.351702E+02  -0.151016E+01  -0.213577E+00   0.110189E+01   0.313868E+02  -0.562922E+00   0.475593E+01   0.914249E+01   0.138179E-02   0.174589E+02   0.172333E+02   0.274494E+02   0.265013E+02
Range             0.248400E+00   0.740400E+00   0.120224E+01   0.195444E+01   0.194680E+01   0.669456E+01   0.115974E+02   0.142232E+02   0.137914E-02   0.119207E+02   0.110656E+02   0.184935E+02   0.190634E+02
Mean              0.350553E+02  -0.187449E+01  -0.806154E+00   0.128588E+00   0.302171E+02  -0.322733E+01  -0.166969E+01   0.271434E+01   0.411808E-03   0.103161E+02   0.100682E+02   0.153045E+02   0.152421E+02
Median            0.350558E+02  -0.188225E+01  -0.792304E+00   0.146792E+00   0.301622E+02  -0.318321E+01  -0.170138E+01   0.265848E+01   0.382972E-03   0.101037E+02   0.983196E+01   0.151047E+02   0.148344E+02
Q10%              0.349884E+02  -0.206179E+01  -0.114559E+01  -0.277139E+00   0.298275E+02  -0.444930E+01  -0.360042E+01  -0.362379E+00   0.690297E-04   0.781579E+01   0.770326E+01   0.115253E+02   0.113399E+02
Q25%              0.350208E+02  -0.198657E+01  -0.986428E+00  -0.104186E+00   0.299999E+02  -0.376388E+01  -0.279324E+01   0.136428E+01   0.182639E-03   0.888297E+01   0.850898E+01   0.131237E+02   0.129440E+02
Q75%              0.350875E+02  -0.177344E+01  -0.645338E+00   0.358482E+00   0.303874E+02  -0.255065E+01  -0.725010E+00   0.410512E+01   0.592395E-03   0.115359E+02   0.114111E+02   0.171513E+02   0.171931E+02
Q90%              0.351181E+02  -0.167595E+01  -0.505201E+00   0.522811E+00   0.306247E+02  -0.194651E+01   0.386451E+00   0.568897E+01   0.827410E-03   0.132642E+02   0.130014E+02   0.195099E+02   0.197309E+02
St.Dev.           0.490149E-01   0.146361E+00   0.246457E+00   0.319317E+00   0.336524E+00   0.104170E+01   0.157809E+01   0.227032E+01   0.277540E-03   0.209019E+01   0.201722E+01   0.313754E+01   0.323357E+01
Variance          0.240246E-02   0.214215E-01   0.607412E-01   0.101963E+00   0.113249E+00   0.108514E+01   0.249036E+01   0.515435E+01   0.770284E-07   0.436890E+01   0.406918E+01   0.984415E+01   0.104560E+02
CV                0.139822E-02   0.780802E-01   0.305720E+00   0.248326E+01   0.111369E-01   0.322775E+00   0.945137E+00   0.836417E+00   0.673955E+00   0.202615E+00   0.200356E+00   0.205008E+00   0.212147E+00
Skewness         -0.551969E-01   0.245712E+00  -0.971682E-01   0.300952E-01   0.746293E+00  -0.562156E+00   0.360532E+00   0.934181E-03   0.583520E+00   0.603799E+00   0.549839E+00   0.619229E+00   0.577933E+00
Kurtosis         -0.423441E+00  -0.594234E+00  -0.382432E+00  -0.133531E+00   0.968562E+00   0.120919E+01   0.581833E+00   0.217522E+00  -0.339978E+00   0.349336E+00  -0.129353E+00   0.545151E+00   0.350243E+00
MaxPost           0.350494E+02  -0.184435E+01  -0.919093E+00   0.282644E+00   0.304426E+02  -0.370749E+01  -0.114071E+01   0.207722E+01   0.989717E-04   0.943939E+01   0.101899E+02   0.153939E+02   0.132573E+02
