Kmin_MC_Up_a0  Kmin_TR_a0     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.341202E+02   0.283284E+02   0.717079E-02   0.112127E+02   0.724403E+01   0.146286E+01   0.176727E+02   0.212935E+02
   0.344360E+02   0.292866E+02   0.819274E-02   0.877355E+01   0.790917E+01   0.181004E+01   0.126426E+02   0.174468E+02
   0.344360E+02   0.273991E+02   0.555751E-02   0.892398E+01   0.672479E+01   0.328080E+01   0.109702E+02   0.201290E+02
   0.343462E+02   0.279709E+02   0.632546E-02   0.896512E+01   0.130690E+02   0.116852E+01   0.118467E+02   0.242862E+02
   0.343484E+02   0.279709E+02   0.602162E-02   0.118185E+02   0.769833E+01   0.682612E+00   0.236422E+02   0.223314E+02
   0.342940E+02   0.279709E+02   0.562605E-02   0.142378E+02   0.108264E+02   0.840152E+00   0.120161E+02   0.238820E+02
   0.341836E+02   0.270257E+02   0.607188E-02   0.117596E+02   0.121256E+02   0.117823E+01   0.162503E+02   0.221682E+02
   0.344146E+02   0.273485E+02   0.523441E-02   0.125524E+02   0.827271E+01   0.922142E+00   0.165059E+02   0.245370E+02
   0.341205E+02   0.279929E+02   0.638688E-02   0.927430E+01   0.728317E+01   0.119424E+01   0.950396E+01   0.211252E+02
   0.341205E+02   0.285688E+02   0.573637E-02   0.739739E+01   0.989471E+01   0.130127E+01   0.132655E+02   0.225778E+02
   0.344158E+02   0.267388E+02   0.749553E-02   0.988422E+01   0.110167E+02   0.126563E+01   0.150218E+02   0.229374E+02
   0.341027E+02   0.267388E+02   0.585206E-02   0.104293E+02   0.750969E+01   0.676934E+00   0.126917E+02   0.189289E+02
   0.341027E+02   0.280066E+02   0.567527E-02   0.990451E+01   0.101993E+02   0.151011E+00   0.169636E+02   0.237637E+02
   0.344336E+02   0.277958E+02   0.700582E-02   0.111555E+02   0.114199E+02   0.132408E+00   0.141840E+02   0.247762E+02
   0.342306E+02   0.266511E+02   0.736828E-02   0.781243E+01   0.802697E+01   0.175160E+01   0.174649E+02   0.199611E+02
   0.342306E+02   0.279821E+02   0.524095E-02   0.922243E+01   0.973511E+01   0.971419E+00   0.189833E+02   0.244101E+02
   0.345166E+02   0.278834E+02   0.595501E-02   0.842568E+01   0.845590E+01   0.768723E+00   0.121833E+02   0.240150E+02
   0.344479E+02   0.274043E+02   0.860031E-02   0.791652E+01   0.105884E+02   0.260058E+00   0.156512E+02   0.212864E+02
   0.342857E+02   0.275441E+02   0.556047E-02   0.931661E+01   0.106660E+02   0.163548E-01   0.153715E+02   0.264904E+02
   0.342853E+02   0.280790E+02   0.671464E-02   0.856903E+01   0.980992E+01   0.407942E-01   0.154160E+02   0.257769E+02
   0.342853E+02   0.280766E+02   0.653612E-02   0.103077E+02   0.993730E+01   0.859704E+00   0.165669E+02   0.256184E+02
   0.342853E+02   0.280766E+02   0.638521E-02   0.131690E+02   0.802594E+01   0.945262E+00   0.146034E+02   0.243846E+02
   0.345714E+02   0.278541E+02   0.603782E-02   0.115553E+02   0.111719E+02   0.176722E+01   0.123173E+02   0.218550E+02
   0.345654E+02   0.269612E+02   0.572462E-02   0.872219E+01   0.929590E+01   0.135058E+01   0.205168E+02   0.222717E+02
   0.345654E+02   0.273611E+02   0.582198E-02   0.947505E+01   0.119201E+02   0.196362E+01   0.132507E+02   0.226845E+02
   0.341464E+02   0.286595E+02   0.612214E-02   0.972336E+01   0.863211E+01   0.425198E+00   0.159547E+02   0.242945E+02
   0.341453E+02   0.284412E+02   0.634054E-02   0.879645E+01   0.904683E+01   0.912924E+00   0.121081E+02   0.241607E+02
   0.343815E+02   0.278468E+02   0.580228E-02   0.913717E+01   0.590135E+01   0.454345E+00   0.136790E+02   0.236667E+02
   0.344497E+02   0.284393E+02   0.802223E-02   0.122557E+02   0.125901E+02   0.850665E+00   0.122296E+02   0.199611E+02
   0.344497E+02   0.274884E+02   0.690501E-02   0.735907E+01   0.121321E+02   0.735029E+00   0.166864E+02   0.236014E+02
   0.343179E+02   0.271979E+02   0.561458E-02   0.867940E+01   0.165955E+02   0.321162E+00   0.131603E+02   0.223875E+02
   0.341893E+02   0.281761E+02   0.689785E-02   0.105435E+02   0.841012E+01   0.102167E+01   0.176330E+02   0.239040E+02
   0.342777E+02   0.287396E+02   0.609687E-02   0.806561E+01   0.942526E+01   0.292617E-01   0.139249E+02   0.245743E+02
   0.342777E+02   0.269233E+02   0.506703E-02   0.847402E+01   0.877025E+01   0.133524E+01   0.161794E+02   0.227256E+02
   0.340443E+02   0.296190E+02   0.822344E-02   0.659886E+01   0.100053E+02   0.696464E+00   0.170411E+02   0.168260E+02
   0.343901E+02   0.279991E+02   0.641450E-02   0.807767E+01   0.110396E+02   0.116293E+01   0.123354E+02   0.247854E+02
   0.343174E+02   0.278164E+02   0.644679E-02   0.106747E+02   0.122990E+02   0.894374E+00   0.156342E+02   0.252874E+02
   0.342613E+02   0.268831E+02   0.586689E-02   0.101163E+02   0.120926E+02   0.862069E+00   0.115447E+02   0.232093E+02
   0.344034E+02   0.277173E+02   0.601566E-02   0.866824E+01   0.673144E+01   0.839026E+00   0.183068E+02   0.240789E+02
   0.341905E+02   0.278031E+02   0.656849E-02   0.914370E+01   0.785755E+01   0.640464E-01   0.131848E+02   0.249904E+02
   0.341905E+02   0.282426E+02   0.534661E-02   0.100116E+02   0.927146E+01   0.404637E+00   0.143344E+02   0.250941E+02
   0.341624E+02   0.279699E+02   0.484045E-02   0.106176E+02   0.989074E+01   0.404637E+00   0.167283E+02   0.227991E+02
   0.343416E+02   0.279699E+02   0.603826E-02   0.863864E+01   0.803562E+01   0.102531E+01   0.148376E+02   0.257837E+02
   0.342710E+02   0.279699E+02   0.532724E-02   0.990968E+01   0.962466E+01   0.770716E+00   0.165817E+02   0.257720E+02
   0.342710E+02   0.280680E+02   0.614234E-02   0.106874E+02   0.100332E+02   0.170401E+01   0.159046E+02   0.251137E+02
   0.341310E+02   0.286768E+02   0.554120E-02   0.702490E+01   0.107235E+02   0.115732E+01   0.167846E+02   0.216124E+02
   0.341310E+02   0.268610E+02   0.742445E-02   0.810240E+01   0.106548E+02   0.112637E+01   0.137242E+02   0.206569E+02
   0.341674E+02   0.277145E+02   0.585021E-02   0.123547E+02   0.100567E+02   0.889125E+00   0.142475E+02   0.243946E+02
   0.343056E+02   0.277145E+02   0.478475E-02   0.711115E+01   0.128826E+02   0.221080E+00   0.102144E+02   0.214729E+02
   0.343056E+02   0.279011E+02   0.626141E-02   0.834120E+01   0.106926E+02   0.747197E+00   0.175376E+02   0.256063E+02
   0.345540E+02   0.271410E+02   0.642711E-02   0.834760E+01   0.889828E+01   0.837985E+00   0.171931E+02   0.241764E+02
   0.345781E+02   0.270645E+02   0.562169E-02   0.101991E+02   0.105123E+02   0.293125E+00   0.148788E+02   0.242501E+02
   0.345065E+02   0.271254E+02   0.662775E-02   0.787355E+01   0.831364E+01   0.153677E+01   0.149691E+02   0.237612E+02
   0.340833E+02   0.284107E+02   0.553968E-02   0.675990E+01   0.117718E+02   0.170412E+00   0.151913E+02   0.212243E+02
   0.343868E+02   0.270751E+02   0.638350E-02   0.899592E+01   0.773533E+01   0.148352E+00   0.194638E+02   0.244456E+02
   0.344396E+02   0.270386E+02   0.649782E-02   0.948996E+01   0.113741E+02   0.135431E+01   0.165082E+02   0.246580E+02
   0.343475E+02   0.283512E+02   0.691546E-02   0.103295E+02   0.732887E+01   0.635610E+00   0.155284E+02   0.239603E+02
   0.343475E+02   0.276037E+02   0.552591E-02   0.100418E+02   0.120938E+02   0.101921E+01   0.196123E+02   0.246256E+02
   0.342604E+02   0.276037E+02   0.666082E-02   0.865543E+01   0.940970E+01   0.252356E+00   0.141428E+02   0.258916E+02
   0.342604E+02   0.276687E+02   0.433576E-02   0.109020E+02   0.950618E+01   0.111118E+01   0.154006E+02   0.214679E+02
   0.343940E+02   0.276002E+02   0.664615E-02   0.102472E+02   0.898494E+01   0.192956E+01   0.178640E+02   0.242238E+02
   0.343782E+02   0.279013E+02   0.502360E-02   0.117980E+02   0.131003E+02   0.653496E+00   0.148544E+02   0.237388E+02
   0.343856E+02   0.276401E+02   0.578030E-02   0.767096E+01   0.801781E+01   0.550598E+00   0.123913E+02   0.254692E+02
   0.342394E+02   0.285879E+02   0.528765E-02   0.116860E+02   0.812703E+01   0.404619E+00   0.151556E+02   0.236985E+02
   0.342394E+02   0.286651E+02   0.536212E-02   0.113642E+02   0.100139E+02   0.198314E+01   0.119066E+02   0.221789E+02
   0.344375E+02   0.272714E+02   0.609408E-02   0.113862E+02   0.993270E+01   0.229989E+01   0.156622E+02   0.241096E+02
   0.345219E+02   0.271696E+02   0.511503E-02   0.845695E+01   0.927990E+01   0.290244E+00   0.144155E+02   0.243714E+02
   0.344067E+02   0.279673E+02   0.693104E-02   0.103319E+02   0.109751E+02   0.127289E+01   0.143840E+02   0.245715E+02
   0.343437E+02   0.265454E+02   0.677750E-02   0.816095E+01   0.809051E+01   0.902032E+00   0.212013E+02   0.211265E+02
   0.345171E+02   0.281761E+02   0.685950E-02   0.758086E+01   0.116296E+02   0.927037E+00   0.116834E+02   0.218234E+02
   0.343519E+02   0.279426E+02   0.550221E-02   0.117553E+02   0.103782E+02   0.486611E+00   0.181853E+02   0.252715E+02
   0.343312E+02   0.271498E+02   0.714450E-02   0.154666E+02   0.111123E+02   0.920730E+00   0.211477E+02   0.198755E+02
   0.345188E+02   0.277750E+02   0.553574E-02   0.849766E+01   0.812609E+01   0.235203E+01   0.122689E+02   0.219618E+02
   0.343574E+02   0.271293E+02   0.533990E-02   0.104004E+02   0.102230E+02   0.526643E+00   0.128452E+02   0.257254E+02
   0.343778E+02   0.276640E+02   0.633464E-02   0.768707E+01   0.104824E+02   0.195331E+01   0.218947E+02   0.223518E+02
   0.343777E+02   0.279200E+02   0.486654E-02   0.734421E+01   0.112218E+02   0.394160E+00   0.177741E+02   0.232813E+02
   0.343777E+02   0.278668E+02   0.571507E-02   0.792491E+01   0.882903E+01   0.491675E+00   0.147133E+02   0.260803E+02
   0.342524E+02   0.278026E+02   0.525726E-02   0.889352E+01   0.729454E+01   0.196073E+00   0.149392E+02   0.250067E+02
   0.343750E+02   0.283879E+02   0.623004E-02   0.831742E+01   0.875369E+01   0.169611E+01   0.966158E+01   0.220654E+02
   0.343486E+02   0.272181E+02   0.563670E-02   0.721901E+01   0.116425E+02   0.624908E+00   0.110687E+02   0.240996E+02
   0.343486E+02   0.270587E+02   0.536287E-02   0.871823E+01   0.127360E+02   0.662416E+00   0.148738E+02   0.246271E+02
   0.343395E+02   0.286857E+02   0.565377E-02   0.884854E+01   0.983338E+01   0.230505E+01   0.134970E+02   0.224615E+02
   0.340068E+02   0.279337E+02   0.688699E-02   0.791696E+01   0.909548E+01   0.199919E+00   0.188452E+02   0.208382E+02
   0.343129E+02   0.279337E+02   0.650689E-02   0.103577E+02   0.745310E+01   0.109597E+01   0.233749E+02   0.221632E+02
   0.343429E+02   0.281198E+02   0.522957E-02   0.105312E+02   0.881150E+01   0.153039E+01   0.138297E+02   0.247650E+02
   0.343429E+02   0.275376E+02   0.507216E-02   0.107855E+02   0.123267E+02   0.186845E+01   0.149875E+02   0.238666E+02
   0.341389E+02   0.276771E+02   0.639992E-02   0.876756E+01   0.913345E+01   0.729216E+00   0.148455E+02   0.245708E+02
   0.342281E+02   0.280211E+02   0.652244E-02   0.130410E+02   0.130216E+02   0.228794E+00   0.233405E+02   0.207886E+02
   0.342828E+02   0.278271E+02   0.638501E-02   0.123649E+02   0.969106E+01   0.150853E+01   0.133317E+02   0.247880E+02
   0.343274E+02   0.274588E+02   0.584963E-02   0.862219E+01   0.833915E+01   0.153758E+00   0.159605E+02   0.263932E+02
   0.343274E+02   0.278020E+02   0.510517E-02   0.130014E+02   0.139208E+02   0.491661E-01   0.170850E+02   0.229561E+02
   0.345047E+02   0.270653E+02   0.794277E-02   0.637640E+01   0.848043E+01   0.241112E+01   0.220392E+02   0.164490E+02
   0.344727E+02   0.273169E+02   0.651221E-02   0.155401E+02   0.854343E+01   0.134769E+01   0.173080E+02   0.218385E+02
   0.342528E+02   0.281432E+02   0.699492E-02   0.104969E+02   0.107785E+02   0.143514E+00   0.137571E+02   0.251083E+02
   0.342243E+02   0.280691E+02   0.684540E-02   0.117601E+02   0.975928E+01   0.342686E+00   0.216912E+02   0.228803E+02
   0.343657E+02   0.280691E+02   0.667242E-02   0.792179E+01   0.115805E+02   0.213669E+01   0.161521E+02   0.231556E+02
   0.341954E+02   0.282295E+02   0.541122E-02   0.102378E+02   0.744154E+01   0.221943E+00   0.190393E+02   0.235979E+02
   0.344566E+02   0.281706E+02   0.640392E-02   0.994119E+01   0.768572E+01   0.114548E+01   0.115611E+02   0.234194E+02
   0.344002E+02   0.269796E+02   0.578987E-02   0.114386E+02   0.100441E+02   0.131438E+01   0.165265E+02   0.249116E+02
   0.340537E+02   0.281492E+02   0.703972E-02   0.120671E+02   0.931808E+01   0.133948E+01   0.125195E+02   0.214960E+02
   0.342937E+02   0.277474E+02   0.526613E-02   0.986406E+01   0.127921E+02   0.856425E+00   0.139309E+02   0.250691E+02
   0.343656E+02   0.280261E+02   0.675622E-02   0.110783E+02   0.831652E+01   0.500603E+00   0.135858E+02   0.252343E+02
   0.343656E+02   0.269757E+02   0.562073E-02   0.942037E+01   0.117696E+02   0.353654E+00   0.165163E+02   0.252695E+02
   0.342706E+02   0.280084E+02   0.590392E-02   0.113376E+02   0.102095E+02   0.838120E+00   0.151881E+02   0.259462E+02
   0.343722E+02   0.280971E+02   0.632425E-02   0.759350E+01   0.904474E+01   0.101667E+01   0.172040E+02   0.247201E+02
   0.343722E+02   0.271695E+02   0.685775E-02   0.116842E+02   0.121028E+02   0.164645E+01   0.131613E+02   0.234728E+02
