Kmin_MC_Up_a0  Kmin_MC_Up_a1  Kmin_MC_Up_a2  Kmin_MC_Up_a3  Kmin_TR_a0     Kmin_TR_a1     Kmin_TR_a2     Kmin_TR_a3     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.351206E+02  -0.201537E+01  -0.860548E+00  -0.695330E-01   0.302172E+02  -0.247953E+01  -0.194448E+01   0.382470E+01   0.657062E-03   0.873505E+01   0.723582E+01   0.455999E+00   0.989879E+01   0.943547E+02  -0.806385E+01   0.000000E+00   0.102419E+03  -0.204837E+03
   0.351114E+02  -0.196495E+01  -0.827739E+00   0.758035E-01   0.302612E+02  -0.325497E+01  -0.239986E+01   0.161994E+01   0.494392E-03   0.732928E+01   0.933492E+01   0.461995E-01   0.140555E+02   0.971876E+02  -0.611598E+01   0.000000E+00   0.103304E+03  -0.206607E+03
   0.350148E+02  -0.188456E+01  -0.849686E+00  -0.764655E-01   0.305404E+02  -0.294883E+01  -0.117098E+01   0.640209E+01   0.725384E-03   0.105803E+02   0.656421E+01   0.373678E+00   0.166051E+02   0.909026E+02  -0.736281E+01   0.000000E+00   0.982654E+02  -0.196531E+03
   0.350658E+02  -0.193940E+01  -0.555871E+00  -0.266319E+00   0.302635E+02  -0.324772E+01   0.173921E+00   0.288066E+01   0.614246E-03   0.132594E+02   0.121172E+02   0.149431E+01   0.957311E+01   0.901265E+02  -0.924374E+01   0.000000E+00   0.993702E+02  -0.198740E+03
   0.350658E+02  -0.204185E+01  -0.386339E+00   0.317374E+00   0.302635E+02  -0.390653E+01  -0.168989E+01   0.153796E+01   0.203436E-03   0.112387E+02   0.106104E+02   0.202919E+01   0.139551E+02   0.924938E+02  -0.562506E+01   0.000000E+00   0.981189E+02  -0.196238E+03
   0.351016E+02  -0.204185E+01  -0.320230E+00  -0.397345E+00   0.299596E+02  -0.303873E+01  -0.207853E+01   0.133391E+01   0.506734E-03   0.112387E+02   0.862382E+01   0.265343E+01   0.152535E+02   0.937499E+02  -0.567519E+01   0.000000E+00   0.994251E+02  -0.198850E+03
   0.350969E+02  -0.204228E+01  -0.320230E+00  -0.525519E+00   0.301487E+02  -0.389629E+01  -0.242741E+01   0.611559E+00   0.454425E-03   0.826111E+01   0.770584E+01   0.140842E+01   0.125122E+02   0.940537E+02  -0.632491E+01   0.000000E+00   0.100379E+03  -0.200757E+03
   0.351589E+02  -0.206378E+01  -0.487921E+00  -0.619027E+00   0.298269E+02  -0.364304E+01  -0.242741E+01   0.360588E+01   0.951540E-03   0.826111E+01   0.810560E+01   0.844662E+00   0.163089E+02   0.905420E+02  -0.601936E+01   0.000000E+00   0.965614E+02  -0.193123E+03
   0.351501E+02  -0.198050E+01  -0.383270E+00  -0.238165E+00   0.298999E+02  -0.364304E+01  -0.281880E+01   0.351756E+01   0.260853E-03   0.147864E+02   0.123428E+02   0.116018E+00   0.135266E+02   0.881688E+02  -0.833959E+01   0.000000E+00   0.965084E+02  -0.193017E+03
   0.350448E+02  -0.198050E+01  -0.573647E+00   0.287100E+00   0.301924E+02  -0.352304E+01  -0.150576E+01   0.282384E+01   0.168909E-04   0.114020E+02   0.901888E+01   0.885472E-01   0.170527E+02   0.958033E+02  -0.595202E+01   0.000000E+00   0.101755E+03  -0.203511E+03
   0.350589E+02  -0.199527E+01  -0.610788E+00   0.296348E+00   0.301924E+02  -0.312030E+01  -0.150576E+01   0.241012E+01   0.167811E-04   0.107350E+02   0.896558E+01   0.527782E+00   0.181240E+02   0.974040E+02  -0.605195E+01   0.000000E+00   0.103456E+03  -0.206912E+03
   0.350603E+02  -0.191027E+01  -0.572530E+00   0.296348E+00   0.301924E+02  -0.367032E+01  -0.122569E+01   0.405962E+01   0.549249E-03   0.107350E+02   0.120566E+02   0.202555E+01   0.130630E+02   0.948762E+02  -0.610049E+01   0.000000E+00   0.100977E+03  -0.201953E+03
   0.350603E+02  -0.199282E+01  -0.739003E+00  -0.508778E-01   0.300203E+02  -0.224393E+01  -0.185086E+01   0.496220E+01   0.520087E-03   0.142385E+02   0.828093E+01   0.699525E+00   0.229139E+02   0.930441E+02  -0.100797E+02   0.000000E+00   0.103124E+03  -0.206248E+03
