Kmin_MC_Up_a0 Kmin_TR_a0    Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.340000E+02  0.280000E+02  0.500000E-03  0.100000E+02  0.100000E+02  0.150000E+02  0.150000E+02 -0.503059E+03
  0.340000E+02  0.280000E+02  0.500000E-03  0.975932E+01  0.799930E+01  0.144004E+02  0.152304E+02 -0.503440E+03
  0.343745E+02  0.280000E+02  0.500000E-03  0.908221E+01  0.799930E+01  0.129382E+02  0.139589E+02 -0.361202E+03
  0.343745E+02  0.280000E+02  0.500000E-03  0.984446E+01  0.964707E+01  0.122462E+02  0.129770E+02 -0.361061E+03
  0.343745E+02  0.280000E+02  0.500000E-03  0.984446E+01  0.995363E+01  0.117139E+02  0.121811E+02 -0.361498E+03
  0.343745E+02  0.280000E+02  0.109105E-02  0.981146E+01  0.106587E+02  0.120822E+02  0.112753E+02 -0.115942E+03
  0.343745E+02  0.275356E+02  0.109105E-02  0.924080E+01  0.103182E+02  0.137020E+02  0.112753E+02 -0.108747E+03
  0.343745E+02  0.275356E+02  0.242715E-02  0.112980E+02  0.102864E+02  0.140382E+02  0.111082E+02  0.958477E+02
  0.343745E+02  0.275356E+02  0.242715E-02  0.108962E+02  0.104076E+02  0.112683E+02  0.114376E+02  0.953877E+02
  0.343745E+02  0.275356E+02  0.410759E-02  0.120088E+02  0.106730E+02  0.111440E+02  0.133976E+02  0.140999E+03
  0.343745E+02  0.275356E+02  0.455396E-02  0.120088E+02  0.103031E+02  0.111440E+02  0.124186E+02  0.144072E+03
  0.343745E+02  0.275356E+02  0.455396E-02  0.139330E+02  0.109043E+02  0.113978E+02  0.124186E+02  0.142966E+03
  0.343745E+02  0.275356E+02  0.455396E-02  0.142171E+02  0.103249E+02  0.130784E+02  0.142347E+02  0.143754E+03
  0.343745E+02  0.275356E+02  0.456974E-02  0.147986E+02  0.912967E+01  0.124642E+02  0.142347E+02  0.143312E+03
  0.343745E+02  0.275356E+02  0.493996E-02  0.158066E+02  0.823913E+01  0.118401E+02  0.142347E+02  0.143589E+03
  0.343745E+02  0.275356E+02  0.616034E-02  0.155553E+02  0.823913E+01  0.131724E+02  0.146154E+02  0.145260E+03
