Kmin_MC_Up_a0  Kmin_TR_a0     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.343298E+02   0.278800E+02   0.528733E-02   0.916936E+01   0.681110E+01   0.208607E+02   0.180164E+02   0.144261E+03  -0.110185E+02   0.000000E+00   0.155279E+03  -0.310559E+03
   0.344170E+02   0.278800E+02   0.655802E-02   0.890581E+01   0.973894E+01   0.155936E+02   0.107365E+02   0.146468E+03  -0.841458E+01   0.000000E+00   0.154883E+03  -0.309765E+03
   0.342595E+02   0.276500E+02   0.607771E-02   0.720567E+01   0.111179E+02   0.159264E+02   0.174790E+02   0.146369E+03  -0.907057E+01   0.000000E+00   0.155440E+03  -0.310879E+03
   0.342595E+02   0.282816E+02   0.599856E-02   0.143286E+02   0.854625E+01   0.130006E+02   0.109298E+02   0.144593E+03  -0.104362E+02   0.000000E+00   0.155029E+03  -0.310058E+03
   0.343137E+02   0.270798E+02   0.710451E-02   0.107259E+02   0.958070E+01   0.179054E+02   0.140286E+02   0.146013E+03  -0.792881E+01   0.000000E+00   0.153942E+03  -0.307884E+03
   0.343137E+02   0.286305E+02   0.647813E-02   0.970365E+01   0.107181E+02   0.167769E+02   0.208183E+02   0.144675E+03  -0.930938E+01   0.000000E+00   0.153984E+03  -0.307969E+03
   0.343017E+02   0.269730E+02   0.645240E-02   0.129176E+02   0.121174E+02   0.153354E+02   0.166512E+02   0.145231E+03  -0.925663E+01   0.000000E+00   0.154488E+03  -0.308975E+03
   0.342456E+02   0.271805E+02   0.708467E-02   0.728139E+01   0.106214E+02   0.138337E+02   0.148203E+02   0.145391E+03  -0.829664E+01   0.000000E+00   0.153688E+03  -0.307375E+03
   0.344383E+02   0.267892E+02   0.576606E-02   0.100655E+02   0.986788E+01   0.142753E+02   0.155491E+02   0.147403E+03  -0.728849E+01   0.000000E+00   0.154691E+03  -0.309383E+03
   0.344042E+02   0.267892E+02   0.769408E-02   0.741952E+01   0.101825E+02   0.132157E+02   0.111915E+02   0.143653E+03  -0.894983E+01   0.000000E+00   0.152603E+03  -0.305206E+03
   0.344042E+02   0.272664E+02   0.815999E-02   0.104715E+02   0.821724E+01   0.122161E+02   0.147669E+02   0.144151E+03  -0.792638E+01   0.000000E+00   0.152077E+03  -0.304155E+03
   0.343571E+02   0.270470E+02   0.575086E-02   0.126229E+02   0.118988E+02   0.897515E+01   0.175801E+02   0.143304E+03  -0.119793E+02   0.000000E+00   0.155283E+03  -0.310567E+03
   0.344488E+02   0.278252E+02   0.769240E-02   0.909933E+01   0.133050E+02   0.131545E+02   0.103854E+02   0.142802E+03  -0.998716E+01   0.000000E+00   0.152789E+03  -0.305578E+03
   0.343101E+02   0.281354E+02   0.563461E-02   0.108814E+02   0.871864E+01   0.191640E+02   0.129557E+02   0.146622E+03  -0.864785E+01   0.000000E+00   0.155270E+03  -0.310540E+03
   0.341781E+02   0.273849E+02   0.706655E-02   0.745510E+01   0.693322E+01   0.143188E+02   0.131224E+02   0.143825E+03  -0.942465E+01   0.000000E+00   0.153250E+03  -0.306499E+03
   0.342812E+02   0.280851E+02   0.659868E-02   0.107212E+02   0.137591E+02   0.146634E+02   0.170314E+02   0.145635E+03  -0.929397E+01   0.000000E+00   0.154929E+03  -0.309858E+03
   0.342835E+02   0.273932E+02   0.688781E-02   0.100313E+02   0.884529E+01   0.157432E+02   0.156032E+02   0.147074E+03  -0.746446E+01   0.000000E+00   0.154538E+03  -0.309077E+03
   0.341165E+02   0.287954E+02   0.598880E-02   0.116427E+02   0.115430E+02   0.150424E+02   0.129031E+02   0.144555E+03  -0.823718E+01   0.000000E+00   0.152792E+03  -0.305584E+03
   0.345325E+02   0.276534E+02   0.608102E-02   0.100467E+02   0.111704E+02   0.150424E+02   0.266524E+02   0.141957E+03  -0.122361E+02   0.000000E+00   0.154193E+03  -0.308386E+03
   0.345143E+02   0.276534E+02   0.568098E-02   0.121137E+02   0.987971E+01   0.161605E+02   0.140910E+02   0.146351E+03  -0.803063E+01   0.000000E+00   0.154382E+03  -0.308763E+03
   0.341571E+02   0.294501E+02   0.704072E-02   0.860001E+01   0.176837E+02   0.183669E+02   0.141828E+02   0.138333E+03  -0.127232E+02   0.000000E+00   0.151056E+03  -0.302112E+03
   0.342827E+02   0.280320E+02   0.524097E-02   0.104858E+02   0.103188E+02   0.165183E+02   0.180024E+02   0.146705E+03  -0.818973E+01   0.000000E+00   0.154895E+03  -0.309789E+03
   0.342130E+02   0.275105E+02   0.734316E-02   0.828217E+01   0.855924E+01   0.175549E+02   0.172329E+02   0.144792E+03  -0.850781E+01   0.000000E+00   0.153300E+03  -0.306600E+03
   0.344771E+02   0.281820E+02   0.524169E-02   0.119741E+02   0.938354E+01   0.162707E+02   0.169404E+02   0.144381E+03  -0.830274E+01   0.000000E+00   0.152684E+03  -0.305367E+03
   0.341493E+02   0.280698E+02   0.570873E-02   0.103148E+02   0.915594E+01   0.135318E+02   0.136124E+02   0.146663E+03  -0.736163E+01   0.000000E+00   0.154025E+03  -0.308049E+03
   0.342277E+02   0.280526E+02   0.657597E-02   0.832578E+01   0.130349E+02   0.173228E+02   0.127921E+02   0.145560E+03  -0.919961E+01   0.000000E+00   0.154760E+03  -0.309519E+03
   0.342620E+02   0.283396E+02   0.695657E-02   0.115634E+02   0.779046E+01   0.170710E+02   0.135151E+02   0.145497E+03  -0.856789E+01   0.000000E+00   0.154065E+03  -0.308130E+03
   0.344161E+02   0.276797E+02   0.538514E-02   0.111005E+02   0.826788E+01   0.124768E+02   0.190733E+02   0.146271E+03  -0.896348E+01   0.000000E+00   0.155234E+03  -0.310469E+03
   0.343586E+02   0.289201E+02   0.661853E-02   0.123194E+02   0.971959E+01   0.154787E+02   0.161505E+02   0.144451E+03  -0.817932E+01   0.000000E+00   0.152630E+03  -0.305261E+03
