Kmin_MC_Up_a0 Kmin_TR_a0    Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.340000E+02  0.280000E+02  0.500000E-03  0.100000E+02  0.100000E+02  0.100000E+01  0.150000E+02 -0.528872E+03
  0.340000E+02  0.280000E+02  0.500000E-03  0.975932E+01  0.799930E+01  0.100000E+01  0.152304E+02 -0.529273E+03
  0.343745E+02  0.280000E+02  0.500000E-03  0.908221E+01  0.799930E+01  0.100000E+01  0.139589E+02 -0.386739E+03
  0.343745E+02  0.280000E+02  0.500000E-03  0.984446E+01  0.964707E+01  0.100000E+01  0.129770E+02 -0.386412E+03
  0.343745E+02  0.280000E+02  0.500000E-03  0.984446E+01  0.995363E+01  0.100000E+01  0.121811E+02 -0.386644E+03
  0.343745E+02  0.280000E+02  0.109105E-02  0.981146E+01  0.106587E+02  0.102455E+01  0.112753E+02 -0.140479E+03
  0.343745E+02  0.275356E+02  0.109105E-02  0.924080E+01  0.103182E+02  0.113254E+01  0.112753E+02 -0.134487E+03
  0.343745E+02  0.275356E+02  0.242715E-02  0.112980E+02  0.102864E+02  0.115496E+01  0.111082E+02  0.706844E+02
  0.343745E+02  0.275356E+02  0.242715E-02  0.108962E+02  0.104076E+02  0.115496E+01  0.114376E+02  0.709726E+02
  0.343745E+02  0.275356E+02  0.410759E-02  0.120088E+02  0.106730E+02  0.114667E+01  0.133976E+02  0.116436E+03
  0.343745E+02  0.287587E+02  0.455396E-02  0.120088E+02  0.103031E+02  0.114667E+01  0.124186E+02  0.122973E+03
  0.343745E+02  0.287587E+02  0.455396E-02  0.139330E+02  0.109043E+02  0.116359E+01  0.124186E+02  0.121953E+03
  0.343745E+02  0.287587E+02  0.455396E-02  0.142171E+02  0.103249E+02  0.127563E+01  0.142347E+02  0.123397E+03
  0.343745E+02  0.287587E+02  0.456974E-02  0.147986E+02  0.912967E+01  0.127563E+01  0.142347E+02  0.123129E+03
  0.343745E+02  0.287587E+02  0.493996E-02  0.158066E+02  0.823913E+01  0.127563E+01  0.142347E+02  0.124241E+03
  0.343745E+02  0.287587E+02  0.616034E-02  0.155553E+02  0.823913E+01  0.136445E+01  0.146154E+02  0.127575E+03
  0.341863E+02  0.287587E+02  0.607760E-02  0.164240E+02  0.790124E+01  0.124894E+01  0.143693E+02  0.126083E+03
  0.341863E+02  0.296060E+02  0.536055E-02  0.146358E+02  0.838000E+01  0.132858E+01  0.138476E+02  0.125763E+03
  0.341863E+02  0.296060E+02  0.587744E-02  0.132708E+02  0.781587E+01  0.148716E+01  0.139220E+02  0.128339E+03
  0.341863E+02  0.296060E+02  0.581084E-02  0.133824E+02  0.930579E+01  0.156342E+01  0.151366E+02  0.128808E+03
  0.341863E+02  0.281464E+02  0.581084E-02  0.129430E+02  0.100874E+02  0.163146E+01  0.148356E+02  0.130524E+03
  0.341863E+02  0.281464E+02  0.648086E-02  0.129430E+02  0.893901E+01  0.158232E+01  0.143389E+02  0.130050E+03
  0.341863E+02  0.288763E+02  0.648086E-02  0.113498E+02  0.893901E+01  0.160093E+01  0.144286E+02  0.131791E+03
  0.341863E+02  0.293637E+02  0.626450E-02  0.990508E+01  0.805020E+01  0.158280E+01  0.144286E+02  0.131163E+03
  0.341863E+02  0.293637E+02  0.626450E-02  0.998288E+01  0.840003E+01  0.158977E+01  0.143906E+02  0.131336E+03
