X1_obs         X2_obs         X3_obs         X4_obs         X1_true        X2_true        X3_true        X4_true        Y1_obs         Y2_obs         Y3_obs         Y4_obs         Y5_obs         Y1_unbiased    Y2_unbiased    Y3_unbiased    Y4_unbiased    Y5_unbiased    Y1_sim         Y2_sim         Y3_sim         Y4_sim         Y5_sim         Y1_res         Y2_res         Y3_res         Y4_res         Y5_res         Y1_stdres      Y2_stdres      Y3_stdres      Y4_stdres      Y5_stdres      
   0.100000E+01   0.100000E+01   0.100000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.100000E+01   0.108000E+05   0.109560E+02  -0.999900E+04  -0.999900E+04   0.360000E+02  -0.999900E+04   0.109560E+02  -0.999900E+04  -0.999900E+04   0.360000E+02  -0.999900E+04   0.109561E+02   0.500000E+01   0.214331E+01   0.361127E+02   0.180000E+02  -0.164668E-03  -0.999900E+04  -0.999900E+04  -0.112709E+00  -0.999900E+04  -0.162629E+00  -0.999900E+04  -0.999900E+04  -0.364370E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.200000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.200000E+01   0.108000E+05   0.109506E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109506E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109506E+02   0.500000E+01   0.212979E+01   0.361602E+02   0.180000E+02   0.193103E-04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.190713E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.300000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.300000E+01   0.108000E+05   0.109455E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109455E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109453E+02   0.500000E+01   0.211567E+01   0.361863E+02   0.180000E+02   0.223702E-03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.220932E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.400000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.400000E+01   0.108000E+05   0.109398E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109398E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109402E+02   0.500000E+01   0.210108E+01   0.361917E+02   0.180000E+02  -0.458182E-03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.452509E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.500000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.500000E+01   0.108000E+05   0.109362E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109362E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109354E+02   0.500000E+01   0.208612E+01   0.361766E+02   0.180000E+02   0.813430E-03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.803359E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.600000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.600000E+01   0.108000E+05   0.109312E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109312E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109308E+02   0.500000E+01   0.207089E+01   0.361417E+02   0.180000E+02   0.440462E-03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.435009E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.700000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.700000E+01   0.108000E+05   0.109266E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109266E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109263E+02   0.500000E+01   0.205546E+01   0.360873E+02   0.180000E+02   0.284433E-03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.280911E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.800000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.800000E+01   0.108000E+05   0.109207E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109207E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109220E+02   0.500000E+01   0.203993E+01   0.360139E+02   0.180000E+02  -0.134722E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.133054E+01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.900000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.900000E+01   0.108000E+05   0.109163E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109163E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109178E+02   0.500000E+01   0.202435E+01   0.359219E+02   0.180000E+02  -0.150132E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.148274E+01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.100000E+02   0.108000E+05   0.100000E+01   0.100000E+01   0.100000E+02   0.108000E+05   0.109129E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109129E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109137E+02   0.500000E+01   0.200877E+01   0.358118E+02   0.180000E+02  -0.778655E-03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.769015E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
