Kmin_MC_Up_a0  Kmin_MC_Up_a1  Kmin_MC_Up_a2  Kmin_MC_Up_a3  Kmin_MC_Up_a4  Kmin_TR_a0     Kmin_TR_a1     Kmin_TR_a2     Kmin_TR_a3     Kmin_TR_a4     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.350311E+02  -0.181717E+01  -0.909128E+00   0.211118E+00  -0.916706E-01   0.302913E+02  -0.374494E+01  -0.167513E+01   0.296382E+01   0.194531E+01   0.110636E-03   0.742147E+01   0.114302E+02   0.112655E+01   0.126648E+02   0.213916E+03
   0.350049E+02  -0.176311E+01  -0.974443E+00   0.211118E+00  -0.768332E+00   0.302023E+02  -0.326565E+01  -0.152839E+01   0.501079E-01   0.195140E+01   0.342206E-03   0.773788E+01   0.104557E+02   0.665965E-01   0.157416E+02   0.212880E+03
   0.350178E+02  -0.183028E+01  -0.936546E+00   0.270631E-01  -0.408963E+00   0.301355E+02  -0.338201E+01  -0.961626E+00   0.132936E+01   0.893269E+00   0.347069E-03   0.119031E+02   0.113666E+02   0.434788E+00   0.144367E+02   0.217794E+03
   0.350016E+02  -0.180548E+01  -0.893438E+00   0.229723E+00  -0.483263E+00   0.301355E+02  -0.345065E+01  -0.692358E+00   0.338676E+00   0.168512E+00   0.227136E-03   0.107812E+02   0.114129E+02   0.892040E+00   0.115152E+02   0.215309E+03
   0.350430E+02  -0.180548E+01  -0.860816E+00   0.175705E+00  -0.111533E+00   0.300893E+02  -0.345065E+01  -0.116059E+01   0.141443E+01   0.690877E+00   0.602278E-03   0.109866E+02   0.100299E+02   0.808898E+00   0.167730E+02   0.217721E+03
   0.350067E+02  -0.180548E+01  -0.684685E+00   0.323293E+00   0.755897E-01   0.300184E+02  -0.319902E+01  -0.125542E+01   0.130469E+01   0.137389E+01   0.319604E-03   0.845438E+01   0.107359E+02   0.318618E+00   0.137682E+02   0.218699E+03
   0.349936E+02  -0.180548E+01  -0.615197E+00   0.594245E+00  -0.849066E+00   0.300218E+02  -0.377518E+01  -0.221018E+01   0.175337E+01   0.264839E+00   0.683801E-04   0.104461E+02   0.700753E+01   0.826134E+00   0.131088E+02   0.207977E+03
   0.349941E+02  -0.182630E+01  -0.615197E+00   0.242574E+00   0.305694E+00   0.298679E+02  -0.298722E+01  -0.116237E+01   0.560606E+00   0.264839E+00   0.683969E-03   0.935512E+01   0.938248E+01   0.245894E+00   0.151820E+02   0.213957E+03
   0.351089E+02  -0.202797E+01  -0.626431E+00  -0.213297E+00   0.305694E+00   0.302068E+02  -0.298722E+01  -0.224041E+00   0.582065E+00  -0.183345E+00   0.289930E-03   0.914991E+01   0.113191E+02   0.750971E+00   0.140572E+02   0.216666E+03
   0.350862E+02  -0.193906E+01  -0.599671E+00   0.769754E-01  -0.117584E+00   0.302068E+02  -0.348386E+01  -0.272681E+01   0.139826E+01   0.141067E+01   0.340289E-03   0.104283E+02   0.119147E+02   0.665312E+00   0.121645E+02   0.213640E+03
