Kmin_MC_Up_a0 Kmin_MC_Up_a1 Kmin_MC_Up_a2 Kmin_MC_Up_a3 Kmin_MC_Up_a4 Kmin_TR_a0    Kmin_TR_a1    Kmin_TR_a2    Kmin_TR_a3    Kmin_TR_a4    Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.340000E+02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.280000E+02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.500000E-03  0.100000E+02  0.100000E+02  0.100000E+01  0.150000E+02 -0.528872E+03
  0.340000E+02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.280000E+02  0.000000E+00  0.000000E+00 -0.452476E-02  0.000000E+00  0.500000E-03  0.953248E+01  0.902521E+01  0.100000E+01  0.150000E+02 -0.528880E+03
  0.340000E+02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.280000E+02  0.000000E+00  0.000000E+00 -0.452476E-02  0.000000E+00  0.500000E-03  0.900188E+01  0.104591E+02  0.106904E+01  0.158866E+02 -0.527059E+03
  0.340000E+02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.280000E+02  0.000000E+00 -0.456530E+01 -0.452476E-02  0.000000E+00  0.500000E-03  0.864907E+01  0.105076E+02  0.106904E+01  0.140641E+02 -0.491219E+03
  0.340000E+02  0.000000E+00  0.000000E+00  0.000000E+00 -0.170666E+00  0.280000E+02 -0.127776E+01 -0.456530E+01 -0.452476E-02  0.000000E+00  0.101018E-02  0.968545E+01  0.105076E+02  0.130505E+01  0.146183E+02 -0.205686E+03
  0.340000E+02  0.000000E+00  0.000000E+00  0.000000E+00 -0.170666E+00  0.280000E+02 -0.127776E+01 -0.456530E+01 -0.452476E-02  0.000000E+00  0.101018E-02  0.856232E+01  0.100174E+02  0.149747E+01  0.155199E+02 -0.202217E+03
  0.345753E+02  0.000000E+00  0.000000E+00  0.000000E+00 -0.170666E+00  0.280000E+02 -0.591278E+01 -0.456530E+01 -0.452476E-02  0.000000E+00  0.328641E-02  0.857810E+01  0.105989E+02  0.149747E+01  0.149057E+02  0.124403E+03
  0.345753E+02  0.000000E+00  0.000000E+00  0.000000E+00 -0.170666E+00  0.280000E+02 -0.591278E+01 -0.456530E+01  0.582824E+01  0.000000E+00  0.450678E-02  0.832681E+01  0.100663E+02  0.158629E+01  0.152864E+02  0.133682E+03
  0.345753E+02  0.000000E+00 -0.661920E+00  0.000000E+00 -0.287375E+01  0.280000E+02 -0.591278E+01 -0.456530E+01  0.582824E+01  0.000000E+00  0.450678E-02  0.880557E+01  0.108627E+02  0.155151E+01  0.152864E+02  0.136949E+03
  0.345753E+02  0.000000E+00 -0.661920E+00  0.000000E+00 -0.287375E+01  0.281388E+02 -0.591278E+01 -0.456530E+01  0.529548E+01  0.893117E+00  0.450678E-02  0.956813E+01  0.116725E+02  0.152210E+01  0.145044E+02  0.138806E+03
  0.345753E+02  0.000000E+00 -0.661920E+00  0.000000E+00 -0.287375E+01  0.281388E+02 -0.591278E+01  0.794843E+00  0.529548E+01  0.893117E+00  0.450678E-02  0.923699E+01  0.103626E+02  0.154817E+01  0.132442E+02  0.144018E+03
  0.345753E+02  0.000000E+00 -0.661920E+00  0.478662E+00 -0.287375E+01  0.286262E+02 -0.591278E+01  0.794843E+00  0.529548E+01  0.893117E+00  0.450678E-02  0.764898E+01  0.108787E+02  0.139552E+01  0.133609E+02  0.142687E+03
  0.345753E+02  0.000000E+00 -0.864394E+00  0.478662E+00  0.180693E+01  0.292643E+02 -0.591278E+01  0.794843E+00  0.529548E+01  0.362448E+01  0.450678E-02  0.787897E+01  0.108787E+02  0.126290E+01  0.164412E+02  0.146825E+03
  0.345753E+02 -0.506465E+00 -0.864394E+00  0.478662E+00 -0.843983E+00  0.292643E+02 -0.591278E+01  0.794843E+00  0.529548E+01  0.362448E+01  0.489722E-02  0.921391E+01  0.911664E+01  0.127175E+01  0.160987E+02  0.155487E+03
  0.345753E+02 -0.506465E+00 -0.864394E+00  0.478662E+00 -0.843983E+00  0.292643E+02 -0.591278E+01  0.794843E+00  0.529548E+01  0.362448E+01  0.489722E-02  0.853760E+01  0.785093E+01  0.124673E+01  0.164665E+02  0.154722E+03
  0.345753E+02 -0.506465E+00 -0.864394E+00  0.478662E+00 -0.843983E+00  0.292643E+02 -0.591278E+01  0.794843E+00  0.148284E+01  0.290238E+01  0.502125E-02  0.876039E+01  0.797792E+01  0.137678E+01  0.163980E+02  0.155527E+03
  0.345753E+02 -0.506465E+00 -0.932879E+00  0.478662E+00 -0.727533E+00  0.292643E+02 -0.432874E+01  0.119775E+00  0.148284E+01  0.290238E+01  0.502125E-02  0.807624E+01  0.828060E+01  0.129775E+01  0.163980E+02  0.158495E+03
  0.345753E+02 -0.506465E+00 -0.932879E+00  0.478662E+00 -0.727533E+00  0.289393E+02 -0.432874E+01  0.119775E+00  0.148284E+01  0.331883E+01  0.270693E-02  0.696189E+01  0.884792E+01  0.131236E+01  0.153028E+02  0.165328E+03
  0.345753E+02 -0.506465E+00 -0.932879E+00  0.133095E+01 -0.727533E+00  0.289393E+02 -0.432874E+01  0.119775E+00  0.148284E+01  0.331883E+01  0.270693E-02  0.604682E+01  0.840680E+01  0.122756E+01  0.141403E+02  0.164213E+03
  0.345753E+02 -0.506465E+00 -0.932879E+00  0.133095E+01 -0.727533E+00  0.289393E+02 -0.432874E+01  0.119775E+00  0.148284E+01  0.331883E+01  0.251880E-02  0.604682E+01  0.851948E+01  0.122888E+01  0.130150E+02  0.163739E+03
  0.345753E+02 -0.506465E+00 -0.932879E+00  0.133095E+01 -0.727533E+00  0.289393E+02 -0.432874E+01  0.119775E+00  0.148284E+01  0.331883E+01  0.251880E-02  0.686350E+01  0.895491E+01  0.116737E+01  0.130292E+02  0.165059E+03
  0.345753E+02 -0.506465E+00 -0.932879E+00  0.133095E+01 -0.727533E+00  0.293935E+02 -0.432874E+01 -0.102851E+01  0.148284E+01  0.254771E+01  0.242538E-02  0.686350E+01  0.884659E+01  0.126798E+01  0.130292E+02  0.166996E+03
  0.345753E+02 -0.506465E+00 -0.932879E+00  0.133095E+01 -0.727533E+00  0.293935E+02 -0.432874E+01 -0.102851E+01  0.148284E+01  0.254771E+01  0.242538E-02  0.777204E+01  0.100283E+02  0.127188E+01  0.156732E+02  0.167950E+03
  0.345753E+02 -0.506465E+00 -0.932879E+00  0.133095E+01 -0.727533E+00  0.293935E+02 -0.432874E+01 -0.178477E+01  0.148284E+01  0.254771E+01  0.242538E-02  0.776875E+01  0.104437E+02  0.115764E+01  0.132505E+02  0.168111E+03
  0.345753E+02 -0.506465E+00 -0.180181E+01  0.133095E+01 -0.727533E+00  0.293935E+02 -0.432874E+01 -0.178477E+01  0.148284E+01  0.238478E+01  0.181907E-02  0.890172E+01  0.998665E+01  0.120970E+01  0.127593E+02  0.176832E+03
  0.345753E+02 -0.506465E+00 -0.180181E+01  0.133095E+01 -0.727533E+00  0.293935E+02 -0.432874E+01 -0.178477E+01  0.148284E+01  0.238478E+01  0.181907E-02  0.685732E+01  0.952109E+01  0.118344E+01  0.110696E+02  0.174736E+03
  0.345753E+02 -0.506465E+00 -0.180181E+01  0.133095E+01 -0.727533E+00  0.302604E+02 -0.432874E+01 -0.178477E+01  0.148284E+01  0.231151E+01  0.181907E-02  0.766238E+01  0.912083E+01  0.120308E+01  0.115796E+02  0.174720E+03
  0.345753E+02 -0.506465E+00 -0.180181E+01  0.133095E+01 -0.727533E+00  0.302604E+02 -0.432874E+01 -0.178477E+01 -0.118888E+01  0.231151E+01  0.181907E-02  0.766238E+01  0.883119E+01  0.134604E+01  0.975107E+01  0.172805E+03
  0.345753E+02 -0.506465E+00 -0.180181E+01  0.133095E+01 -0.727533E+00  0.302604E+02 -0.432874E+01 -0.178477E+01  0.260631E+01  0.231151E+01  0.181907E-02  0.843673E+01  0.897699E+01  0.147523E+01  0.975107E+01  0.174005E+03
  0.345753E+02 -0.506465E+00 -0.180181E+01  0.133095E+01 -0.727533E+00  0.302604E+02 -0.432874E+01 -0.178477E+01  0.260631E+01  0.231151E+01  0.181907E-02  0.843673E+01  0.851309E+01  0.145520E+01  0.975107E+01  0.173854E+03
  0.345753E+02 -0.506465E+00 -0.180181E+01  0.133095E+01 -0.727533E+00  0.302604E+02 -0.432874E+01 -0.150602E+01  0.996810E+00  0.231151E+01  0.181907E-02  0.789073E+01  0.924556E+01  0.156071E+01  0.976883E+01  0.174146E+03
  0.345753E+02 -0.506465E+00 -0.180181E+01  0.133095E+01 -0.727533E+00  0.302604E+02 -0.432874E+01 -0.150602E+01  0.996810E+00  0.153294E+01  0.226282E-02  0.762842E+01  0.866980E+01  0.150489E+01  0.994072E+01  0.174193E+03
  0.345753E+02 -0.506465E+00 -0.180181E+01  0.133095E+01 -0.727533E+00  0.302604E+02 -0.432874E+01 -0.150602E+01  0.996810E+00  0.153294E+01  0.226282E-02  0.762842E+01  0.913369E+01  0.140560E+01  0.100580E+02  0.174306E+03
  0.345753E+02 -0.506465E+00 -0.180181E+01  0.133095E+01 -0.727533E+00  0.302604E+02 -0.432874E+01 -0.150602E+01  0.996810E+00  0.153294E+01  0.199580E-02  0.887972E+01  0.866749E+01  0.139509E+01  0.102131E+02  0.175074E+03
  0.345753E+02 -0.506465E+00 -0.180181E+01  0.133095E+01 -0.727533E+00  0.302604E+02 -0.432874E+01 -0.150602E+01  0.996810E+00  0.153294E+01  0.199580E-02  0.100882E+02  0.951939E+01  0.143735E+01  0.101570E+02  0.175260E+03
  0.345753E+02 -0.506465E+00 -0.180181E+01  0.133095E+01 -0.727533E+00  0.302604E+02 -0.432874E+01 -0.150602E+01  0.996810E+00  0.153294E+01  0.199580E-02  0.910812E+01  0.944844E+01  0.146522E+01  0.120601E+02  0.176412E+03
  0.345753E+02 -0.506465E+00 -0.180181E+01  0.133095E+01 -0.727533E+00  0.302604E+02 -0.432874E+01 -0.244467E+01  0.996810E+00  0.153294E+01  0.199580E-02  0.993379E+01  0.105746E+02  0.147919E+01  0.148432E+02  0.176752E+03
  0.345753E+02 -0.506465E+00 -0.180181E+01  0.133095E+01 -0.727533E+00  0.302604E+02 -0.432874E+01 -0.116654E+01  0.996810E+00  0.292232E+01  0.199580E-02  0.112513E+02  0.954144E+01  0.131602E+01  0.143490E+02  0.176172E+03
  0.345753E+02 -0.506465E+00 -0.180181E+01  0.133095E+01 -0.727533E+00  0.302604E+02 -0.432874E+01 -0.250438E+01  0.996810E+00  0.292232E+01  0.199580E-02  0.112513E+02  0.954144E+01  0.111680E+01  0.105042E+02  0.174498E+03
  0.345753E+02 -0.506465E+00 -0.180181E+01  0.133095E+01 -0.727533E+00  0.302604E+02 -0.432874E+01 -0.250438E+01  0.996810E+00  0.292232E+01  0.180599E-02  0.112973E+02  0.101155E+02  0.119178E+01  0.105042E+02  0.174420E+03
