Kmin_MC_Up_a0  Kmin_MC_Up_a1  Kmin_TR_a0     Kmin_TR_a1     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.351435E+02  -0.227012E+01   0.305824E+02  -0.475781E+01   0.489733E-03   0.860008E+01   0.774508E+01   0.125973E+01   0.164419E+02   0.757649E+02  -0.129353E+02   0.000000E+00   0.887002E+02  -0.177400E+03
   0.351311E+02  -0.226533E+01   0.307265E+02  -0.537886E+01   0.791169E-03   0.895605E+01   0.871816E+01   0.181236E+01   0.185822E+02   0.744454E+02  -0.129713E+02   0.000000E+00   0.874167E+02  -0.174833E+03
   0.351540E+02  -0.218167E+01   0.305463E+02  -0.527875E+01   0.791169E-03   0.132092E+02   0.949840E+01   0.866187E+00   0.144456E+02   0.752992E+02  -0.132525E+02   0.000000E+00   0.885517E+02  -0.177103E+03
   0.351499E+02  -0.223549E+01   0.306896E+02  -0.527875E+01   0.901080E-03   0.795882E+01   0.581626E+01   0.651683E+00   0.177749E+02   0.725410E+02  -0.161264E+02   0.000000E+00   0.886674E+02  -0.177335E+03
   0.351201E+02  -0.223549E+01   0.307123E+02  -0.480273E+01   0.578808E-03   0.796121E+01   0.755033E+01   0.524604E+00   0.155217E+02   0.744580E+02  -0.132207E+02   0.000000E+00   0.876787E+02  -0.175357E+03
   0.351497E+02  -0.224060E+01   0.304318E+02  -0.513084E+01   0.496871E-04   0.959868E+01   0.107454E+02   0.539290E+00   0.133692E+02   0.748012E+02  -0.122111E+02   0.000000E+00   0.870123E+02  -0.174025E+03
   0.351684E+02  -0.221803E+01   0.303869E+02  -0.434100E+01   0.728529E-03   0.858169E+01   0.114155E+02   0.478049E-03   0.116920E+02   0.753595E+02  -0.130618E+02   0.000000E+00   0.884213E+02  -0.176843E+03
   0.352128E+02  -0.240481E+01   0.301535E+02  -0.412621E+01   0.838006E-03   0.118804E+02   0.140534E+02   0.195945E+01   0.121470E+02   0.710924E+02  -0.147206E+02   0.000000E+00   0.858130E+02  -0.171626E+03
   0.351765E+02  -0.227960E+01   0.302567E+02  -0.412621E+01   0.946354E-03   0.128504E+02   0.112652E+02   0.535473E+00   0.131597E+02   0.758264E+02  -0.134609E+02   0.000000E+00   0.892873E+02  -0.178575E+03
   0.351929E+02  -0.232156E+01   0.303257E+02  -0.352627E+01   0.853269E-03   0.777323E+01   0.105584E+02   0.126133E+01   0.106377E+02   0.730895E+02  -0.138091E+02   0.000000E+00   0.868986E+02  -0.173797E+03
   0.351574E+02  -0.232156E+01   0.303046E+02  -0.417434E+01   0.491238E-03   0.788862E+01   0.108815E+02   0.217774E+00   0.149278E+02   0.759764E+02  -0.126792E+02   0.000000E+00   0.886556E+02  -0.177311E+03
   0.351687E+02  -0.229735E+01   0.303389E+02  -0.439927E+01   0.936839E-03   0.609284E+01   0.100601E+02   0.134247E+01   0.130114E+02   0.744169E+02  -0.147344E+02   0.000000E+00   0.891513E+02  -0.178303E+03
   0.351672E+02  -0.221604E+01   0.302726E+02  -0.454654E+01   0.651568E-03   0.103804E+02   0.986086E+01   0.963566E+00   0.158472E+02   0.768999E+02  -0.121800E+02   0.000000E+00   0.890799E+02  -0.178160E+03
   0.351672E+02  -0.221604E+01   0.302726E+02  -0.443362E+01   0.702981E-03   0.839676E+01   0.107013E+02   0.584247E+00   0.161376E+02   0.767380E+02  -0.125162E+02   0.000000E+00   0.892542E+02  -0.178508E+03
