X1_obs         X2_obs         X3_obs         X4_obs         X1_true        X2_true        X3_true        X4_true        Y1_obs         Y2_obs         Y3_obs         Y4_obs         Y5_obs         Y1_unbiased    Y2_unbiased    Y3_unbiased    Y4_unbiased    Y5_unbiased    Y1_sim         Y2_sim         Y3_sim         Y4_sim         Y5_sim         Y1_res         Y2_res         Y3_res         Y4_res         Y5_res         Y1_stdres      Y2_stdres      Y3_stdres      Y4_stdres      Y5_stdres      
   0.100000E+01   0.100000E+01   0.100000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.100000E+01   0.108000E+05   0.109560E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109560E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109561E+02   0.500000E+01   0.214339E+01   0.361679E+02   0.180000E+02  -0.133196E-03  -0.999900E+04  -0.999900E+04  -0.216786E+01  -0.999900E+04  -0.129083E+00  -0.999900E+04  -0.999900E+04  -0.538255E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.200000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.200000E+01   0.108000E+05   0.109506E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109506E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109506E+02   0.500000E+01   0.212973E+01   0.361932E+02   0.180000E+02  -0.716816E-06  -0.999900E+04  -0.999900E+04  -0.219322E+01  -0.999900E+04  -0.694681E-03  -0.999900E+04  -0.999900E+04  -0.273679E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.300000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.300000E+01   0.108000E+05   0.109455E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109455E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109453E+02   0.500000E+01   0.211555E+01   0.362021E+02   0.180000E+02   0.179833E-03  -0.999900E+04  -0.999900E+04  -0.220207E+01  -0.999900E+04   0.174280E+00  -0.999900E+04  -0.999900E+04  -0.274784E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.400000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.400000E+01   0.108000E+05   0.109398E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109398E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109403E+02   0.500000E+01   0.210095E+01   0.361944E+02   0.180000E+02  -0.509680E-03  -0.999900E+04  -0.999900E+04  -0.219443E+01  -0.999900E+04  -0.493942E+00  -0.999900E+04  -0.999900E+04  -0.273831E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.500000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.500000E+01   0.108000E+05   0.109362E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109362E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109355E+02   0.500000E+01   0.208600E+01   0.361703E+02   0.180000E+02   0.764792E-03  -0.999900E+04  -0.999900E+04  -0.217029E+01  -0.999900E+04   0.741176E+00  -0.999900E+04  -0.999900E+04  -0.270818E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.600000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.600000E+01   0.108000E+05   0.109312E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109312E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109308E+02   0.500000E+01   0.207078E+01   0.361296E+02   0.180000E+02   0.400408E-03  -0.999900E+04  -0.999900E+04  -0.212964E+01  -0.999900E+04   0.388044E+00  -0.999900E+04  -0.999900E+04  -0.265746E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.700000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.700000E+01   0.108000E+05   0.109266E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109266E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109264E+02   0.500000E+01   0.205539E+01   0.360725E+02   0.180000E+02   0.256776E-03  -0.999900E+04  -0.999900E+04  -0.207250E+01  -0.999900E+04   0.248847E+00  -0.999900E+04  -0.999900E+04  -0.258615E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.800000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.800000E+01   0.108000E+05   0.109207E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109207E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109220E+02   0.500000E+01   0.203989E+01   0.359988E+02   0.180000E+02  -0.136152E-02  -0.999900E+04  -0.999900E+04  -0.199885E+01  -0.999900E+04  -0.131948E+01  -0.999900E+04  -0.999900E+04  -0.249425E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.900000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.900000E+01   0.108000E+05   0.109163E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109163E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109178E+02   0.500000E+01   0.202433E+01   0.359087E+02   0.180000E+02  -0.150800E-02  -0.999900E+04  -0.999900E+04  -0.190870E+01  -0.999900E+04  -0.146143E+01  -0.999900E+04  -0.999900E+04  -0.238176E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.100000E+02   0.108000E+05   0.100000E+01   0.100000E+01   0.100000E+02   0.108000E+05   0.109129E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109129E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109137E+02   0.500000E+01   0.200877E+01   0.358021E+02   0.180000E+02  -0.777701E-03  -0.999900E+04  -0.999900E+04  -0.180205E+01  -0.999900E+04  -0.753687E+00  -0.999900E+04  -0.999900E+04  -0.224868E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.110000E+02   0.108000E+05   0.100000E+01   0.100000E+01   0.110000E+02   0.108000E+05   0.109103E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109103E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109096E+02   0.500000E+01   0.199326E+01   0.356789E+02   0.180000E+02   0.679648E-03  -0.999900E+04  -0.999900E+04  -0.167891E+01  -0.999900E+04   0.658661E+00  -0.999900E+04  -0.999900E+04  -0.209501E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.120000E+02   0.108000E+05   0.100000E+01   0.100000E+01   0.120000E+02   0.108000E+05   0.109071E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109071E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109057E+02   0.500000E+01   0.197784E+01   0.355393E+02   0.180000E+02   0.145685E-02  -0.999900E+04  -0.999900E+04  -0.153926E+01  -0.999900E+04   0.141187E+01  -0.999900E+04  -0.999900E+04  -0.192075E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.130000E+02   0.108000E+05   0.100000E+01   0.100000E+01   0.130000E+02   0.108000E+05   0.109022E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109022E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109017E+02   0.500000E+01   0.196254E+01   0.353831E+02   0.180000E+02   0.506185E-03  -0.999900E+04  -0.999900E+04  -0.138311E+01  -0.999900E+04   0.490555E+00  -0.999900E+04  -0.999900E+04  -0.172590E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.140000E+02   0.108000E+05   0.100000E+01   0.100000E+01   0.140000E+02   0.108000E+05   0.109000E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109000E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.108978E+02   0.500000E+01   0.194741E+01   0.352105E+02   0.180000E+02   0.214590E-02  -0.999900E+04  -0.999900E+04  -0.121046E+01  -0.999900E+04   0.207964E+01  -0.999900E+04  -0.999900E+04  -0.151046E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.150000E+02   0.108000E+05   0.100000E+01   0.100000E+01   0.150000E+02   0.108000E+05   0.108936E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.108936E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.108940E+02   0.500000E+01   0.193246E+01   0.350213E+02   0.180000E+02  -0.364321E-03  -0.999900E+04  -0.999900E+04  -0.102130E+01  -0.999900E+04  -0.353071E+00  -0.999900E+04  -0.999900E+04  -0.127443E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.160000E+02   0.108000E+05   0.100000E+01   0.100000E+01   0.160000E+02   0.108000E+05   0.108889E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.108889E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.108901E+02   0.500000E+01   0.191771E+01   0.348157E+02   0.180000E+02  -0.120843E-02  -0.999900E+04  -0.999900E+04  -0.815652E+00  -0.999900E+04  -0.117111E+01  -0.999900E+04  -0.999900E+04  -0.101781E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.170000E+02   0.108000E+05   0.100000E+01   0.100000E+01   0.170000E+02   0.108000E+05   0.108850E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.108850E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.108862E+02   0.500000E+01   0.190319E+01   0.345935E+02   0.180000E+02  -0.122643E-02  -0.999900E+04  -0.999900E+04  -0.593498E+00  -0.999900E+04  -0.118856E+01  -0.999900E+04  -0.999900E+04  -0.740594E-01  -0.999900E+04
   0.100000E+01   0.300000E+01   0.190000E+02   0.108000E+05   0.100000E+01   0.300000E+01   0.190000E+02   0.108000E+05   0.108750E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.108750E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.108740E+02   0.600000E+01   0.226146E+01   0.341682E+02   0.180000E+02   0.104051E-02  -0.999900E+04  -0.999900E+04  -0.168176E+00  -0.999900E+04   0.100838E+01  -0.999900E+04  -0.999900E+04  -0.209857E-01  -0.999900E+04
   0.100000E+01   0.300000E+01   0.210000E+02   0.108000E+05   0.100000E+01   0.300000E+01   0.210000E+02   0.108000E+05   0.108580E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.108580E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.108567E+02   0.600000E+01   0.225229E+01   0.336251E+02   0.180000E+02   0.131891E-02  -0.999900E+04  -0.999900E+04   0.374877E+00  -0.999900E+04   0.127818E+01  -0.999900E+04  -0.999900E+04   0.467789E-01  -0.999900E+04
   0.100000E+01   0.300000E+01   0.220000E+02   0.108000E+05   0.100000E+01   0.300000E+01   0.220000E+02   0.108000E+05   0.108469E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.108469E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.108475E+02   0.600000E+01   0.224918E+01   0.333295E+02   0.180000E+02  -0.609036E-03  -0.999900E+04  -0.999900E+04   0.670472E+00  -0.999900E+04  -0.590230E+00  -0.999900E+04  -0.999900E+04   0.836645E-01  -0.999900E+04
   0.100000E+01   0.300000E+01   0.230000E+02   0.108000E+05   0.100000E+01   0.300000E+01   0.230000E+02   0.108000E+05   0.108389E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.108389E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.108380E+02   0.600000E+01   0.224698E+01   0.330179E+02   0.180000E+02   0.868040E-03  -0.999900E+04  -0.999900E+04   0.982113E+00  -0.999900E+04   0.841236E+00  -0.999900E+04  -0.999900E+04   0.122552E+00  -0.999900E+04
   0.100000E+01   0.300000E+01   0.240000E+02   0.108000E+05   0.100000E+01   0.300000E+01   0.240000E+02   0.108000E+05   0.108263E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.108263E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.108282E+02   0.600000E+01   0.224523E+01   0.326902E+02   0.180000E+02  -0.189371E-02  -0.999900E+04  -0.999900E+04   0.130980E+01  -0.999900E+04  -0.183524E+01  -0.999900E+04  -0.999900E+04   0.325208E+00  -0.999900E+04
   0.200000E+01   0.200000E+01   0.100000E+01   0.108000E+05   0.200000E+01   0.200000E+01   0.100000E+01   0.108000E+05   0.108068E+02  -0.999900E+04  -0.999900E+04   0.280000E+02  -0.999900E+04   0.108068E+02  -0.999900E+04  -0.999900E+04   0.280000E+02  -0.999900E+04   0.108053E+02   0.200000E+01   0.108683E+01   0.333356E+02   0.180000E+02   0.149168E-02  -0.999900E+04  -0.999900E+04  -0.533561E+01  -0.999900E+04   0.144562E+01  -0.999900E+04  -0.999900E+04  -0.106243E+01  -0.999900E+04
   0.200000E+01   0.200000E+01   0.200000E+01   0.108000E+05   0.200000E+01   0.200000E+01   0.200000E+01   0.108000E+05   0.108025E+02  -0.999900E+04  -0.999900E+04   0.280000E+02  -0.999900E+04   0.108025E+02  -0.999900E+04  -0.999900E+04   0.280000E+02  -0.999900E+04   0.108038E+02   0.200000E+01   0.107185E+01   0.331597E+02   0.180000E+02  -0.132569E-02  -0.999900E+04  -0.999900E+04  -0.515969E+01  -0.999900E+04  -0.128476E+01  -0.999900E+04  -0.999900E+04  -0.643849E+00  -0.999900E+04
   0.200000E+01   0.200000E+01   0.300000E+01   0.108000E+05   0.200000E+01   0.200000E+01   0.300000E+01   0.108000E+05   0.108021E+02  -0.999900E+04  -0.999900E+04   0.280000E+02  -0.999900E+04   0.108021E+02  -0.999900E+04  -0.999900E+04   0.280000E+02  -0.999900E+04   0.108023E+02   0.200000E+01   0.105722E+01   0.329584E+02   0.180000E+02  -0.175317E-03  -0.999900E+04  -0.999900E+04  -0.495843E+01  -0.999900E+04  -0.169903E+00  -0.999900E+04  -0.999900E+04  -0.618735E+00  -0.999900E+04
   0.200000E+01   0.200000E+01   0.400000E+01   0.108000E+05   0.200000E+01   0.200000E+01   0.400000E+01   0.108000E+05   0.108009E+02  -0.999900E+04  -0.999900E+04   0.280000E+02  -0.999900E+04   0.108009E+02  -0.999900E+04  -0.999900E+04   0.280000E+02  -0.999900E+04   0.108008E+02   0.200000E+01   0.104295E+01   0.327318E+02   0.180000E+02   0.615804E-04  -0.999900E+04  -0.999900E+04  -0.473183E+01  -0.999900E+04   0.596789E-01  -0.999900E+04  -0.999900E+04  -0.590458E+00  -0.999900E+04
   0.200000E+01   0.200000E+01   0.500000E+01   0.108000E+05   0.200000E+01   0.200000E+01   0.500000E+01   0.108000E+05   0.107989E+02  -0.999900E+04  -0.999900E+04   0.280000E+02  -0.999900E+04   0.107989E+02  -0.999900E+04  -0.999900E+04   0.280000E+02  -0.999900E+04   0.107994E+02   0.200000E+01   0.102903E+01   0.324799E+02   0.180000E+02  -0.459755E-03  -0.999900E+04  -0.999900E+04  -0.447988E+01  -0.999900E+04  -0.445558E+00  -0.999900E+04  -0.999900E+04  -0.559020E+00  -0.999900E+04
   0.200000E+01   0.200000E+01   0.600000E+01   0.108000E+05   0.200000E+01   0.200000E+01   0.600000E+01   0.108000E+05   0.107977E+02  -0.999900E+04  -0.999900E+04   0.280000E+02  -0.999900E+04   0.107977E+02  -0.999900E+04  -0.999900E+04   0.280000E+02  -0.999900E+04   0.107979E+02   0.200000E+01   0.101546E+01   0.322026E+02   0.180000E+02  -0.189368E-03  -0.999900E+04  -0.999900E+04  -0.420260E+01  -0.999900E+04  -0.183520E+00  -0.999900E+04  -0.999900E+04  -0.524419E+00  -0.999900E+04
   0.200000E+01   0.200000E+01   0.700000E+01   0.108000E+05   0.200000E+01   0.200000E+01   0.700000E+01   0.108000E+05   0.107977E+02  -0.999900E+04  -0.999900E+04   0.280000E+02  -0.999900E+04   0.107977E+02  -0.999900E+04  -0.999900E+04   0.280000E+02  -0.999900E+04   0.107965E+02   0.200000E+01   0.100225E+01   0.319000E+02   0.180000E+02   0.118445E-02  -0.999900E+04  -0.999900E+04  -0.389997E+01  -0.999900E+04   0.114788E+01  -0.999900E+04  -0.999900E+04  -0.486656E+00  -0.999900E+04
   0.200000E+01   0.200000E+01   0.800000E+01   0.108000E+05   0.200000E+01   0.200000E+01   0.800000E+01   0.108000E+05   0.107949E+02  -0.999900E+04  -0.999900E+04   0.280000E+02  -0.999900E+04   0.107949E+02  -0.999900E+04  -0.999900E+04   0.280000E+02  -0.999900E+04   0.107950E+02   0.200000E+01   0.989369E+00   0.315720E+02   0.180000E+02  -0.112076E-03  -0.999900E+04  -0.999900E+04  -0.357200E+01  -0.999900E+04  -0.108615E+00  -0.999900E+04  -0.999900E+04  -0.445730E+00  -0.999900E+04
   0.200000E+01   0.200000E+01   0.900000E+01   0.108000E+05   0.200000E+01   0.200000E+01   0.900000E+01   0.108000E+05   0.107938E+02  -0.999900E+04  -0.999900E+04   0.280000E+02  -0.999900E+04   0.107938E+02  -0.999900E+04  -0.999900E+04   0.280000E+02  -0.999900E+04   0.107936E+02   0.200000E+01   0.976829E+00   0.312187E+02   0.180000E+02   0.219692E-03  -0.999900E+04  -0.999900E+04  -0.321869E+01  -0.999900E+04   0.212908E+00  -0.999900E+04  -0.999900E+04  -0.401642E+00  -0.999900E+04
   0.200000E+01   0.200000E+01   0.100000E+02   0.108000E+05   0.200000E+01   0.200000E+01   0.100000E+02   0.108000E+05   0.107914E+02  -0.999900E+04  -0.999900E+04   0.280000E+02  -0.999900E+04   0.107914E+02  -0.999900E+04  -0.999900E+04   0.280000E+02  -0.999900E+04   0.107921E+02   0.200000E+01   0.964620E+00   0.308400E+02   0.180000E+02  -0.743708E-03  -0.999900E+04  -0.999900E+04  -0.284004E+01  -0.999900E+04  -0.720743E+00  -0.999900E+04  -0.999900E+04  -0.354392E+00  -0.999900E+04
   0.200000E+01   0.200000E+01   0.110000E+02   0.108000E+05   0.200000E+01   0.200000E+01   0.110000E+02   0.108000E+05   0.107914E+02  -0.999900E+04  -0.999900E+04   0.280000E+02  -0.999900E+04   0.107914E+02  -0.999900E+04  -0.999900E+04   0.280000E+02  -0.999900E+04   0.107906E+02   0.200000E+01   0.952735E+00   0.304360E+02   0.180000E+02   0.805947E-03  -0.999900E+04  -0.999900E+04  -0.243604E+01  -0.999900E+04   0.781061E+00  -0.999900E+04  -0.999900E+04  -0.303980E+00  -0.999900E+04
   0.200000E+01   0.200000E+01   0.120000E+02   0.108000E+05   0.200000E+01   0.200000E+01   0.120000E+02   0.108000E+05   0.107903E+02  -0.999900E+04  -0.999900E+04   0.280000E+02  -0.999900E+04   0.107903E+02  -0.999900E+04  -0.999900E+04   0.280000E+02  -0.999900E+04   0.107891E+02   0.200000E+01   0.941170E+00   0.300067E+02   0.180000E+02   0.120024E-02  -0.999900E+04  -0.999900E+04  -0.200671E+01  -0.999900E+04   0.116318E+01  -0.999900E+04  -0.999900E+04  -0.250406E+00  -0.999900E+04
   0.200000E+01   0.200000E+01   0.130000E+02   0.108000E+05   0.200000E+01   0.200000E+01   0.130000E+02   0.108000E+05   0.107869E+02  -0.999900E+04  -0.999900E+04   0.280000E+02  -0.999900E+04   0.107869E+02  -0.999900E+04  -0.999900E+04   0.280000E+02  -0.999900E+04   0.107876E+02   0.200000E+01   0.929920E+00   0.295520E+02   0.180000E+02  -0.679047E-03  -0.999900E+04  -0.999900E+04  -0.155203E+01  -0.999900E+04  -0.658079E+00  -0.999900E+04  -0.999900E+04  -0.193669E+00  -0.999900E+04
   0.200000E+01   0.200000E+01   0.140000E+02   0.108000E+05   0.200000E+01   0.200000E+01   0.140000E+02   0.108000E+05   0.107870E+02  -0.999900E+04  -0.999900E+04   0.280000E+02  -0.999900E+04   0.107870E+02  -0.999900E+04  -0.999900E+04   0.280000E+02  -0.999900E+04   0.107860E+02   0.200000E+01   0.918980E+00   0.290720E+02   0.180000E+02   0.993416E-03  -0.999900E+04  -0.999900E+04  -0.107201E+01  -0.999900E+04   0.962740E+00  -0.999900E+04  -0.999900E+04  -0.133770E+00  -0.999900E+04
   0.200000E+01   0.200000E+01   0.150000E+02   0.108000E+05   0.200000E+01   0.200000E+01   0.150000E+02   0.108000E+05   0.107839E+02  -0.999900E+04  -0.999900E+04   0.280000E+02  -0.999900E+04   0.107839E+02  -0.999900E+04  -0.999900E+04   0.280000E+02  -0.999900E+04   0.107844E+02   0.200000E+01   0.908343E+00   0.285666E+02   0.180000E+02  -0.530788E-03  -0.999900E+04  -0.999900E+04  -0.566648E+00  -0.999900E+04  -0.514398E+00  -0.999900E+04  -0.999900E+04  -0.707088E-01  -0.999900E+04
   0.200000E+01   0.200000E+01   0.160000E+02   0.108000E+05   0.200000E+01   0.200000E+01   0.160000E+02   0.108000E+05   0.107825E+02  -0.999900E+04  -0.999900E+04   0.280000E+02  -0.999900E+04   0.107825E+02  -0.999900E+04  -0.999900E+04   0.280000E+02  -0.999900E+04   0.107828E+02   0.200000E+01   0.898005E+00   0.280359E+02   0.180000E+02  -0.313587E-03  -0.999900E+04  -0.999900E+04  -0.359446E-01  -0.999900E+04  -0.303904E+00  -0.999900E+04  -0.999900E+04  -0.448533E-02  -0.999900E+04
