Kmin_MC_Up_a0 Kmin_MC_Up_a1 Kmin_MC_Up_a2 Kmin_MC_Up_a3 Kmin_TR_a0    Kmin_TR_a1    Kmin_TR_a2    Kmin_TR_a3    Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.340000E+02  0.000000E+00  0.000000E+00  0.000000E+00  0.280000E+02  0.000000E+00  0.000000E+00  0.000000E+00  0.500000E-03  0.100000E+02  0.100000E+02  0.100000E+01  0.150000E+02 -0.629168E+03
  0.340000E+02  0.000000E+00  0.000000E+00  0.000000E+00  0.281760E+02 -0.480138E+01  0.000000E+00  0.439698E+00  0.499434E-03  0.106566E+02  0.929137E+01  0.113438E+01  0.139671E+02 -0.612027E+03
  0.340000E+02  0.000000E+00 -0.804984E+00  0.000000E+00  0.281760E+02 -0.480138E+01  0.000000E+00  0.539492E+00  0.499434E-03  0.119798E+02  0.929137E+01  0.116504E+01  0.134347E+02 -0.603858E+03
  0.340000E+02  0.000000E+00 -0.804984E+00  0.000000E+00  0.281760E+02  0.839318E+00  0.000000E+00  0.539492E+00  0.499434E-03  0.112259E+02  0.115268E+02  0.127007E+01  0.149041E+02 -0.537286E+03
  0.340000E+02  0.000000E+00 -0.804984E+00  0.388593E+00  0.281760E+02  0.839318E+00  0.000000E+00  0.558574E+01  0.570813E-03  0.112259E+02  0.115055E+02  0.139209E+01  0.146646E+02 -0.460105E+03
  0.340000E+02  0.000000E+00 -0.804984E+00  0.388593E+00  0.281760E+02  0.839318E+00  0.000000E+00  0.558574E+01  0.192832E-02  0.981503E+01  0.124492E+02  0.147884E+01  0.130349E+02 -0.816761E+02
  0.340000E+02  0.000000E+00 -0.804984E+00  0.388593E+00  0.281760E+02  0.839318E+00  0.000000E+00  0.558574E+01  0.192832E-02  0.102724E+02  0.130272E+02  0.154521E+01  0.149087E+02 -0.820019E+02
  0.340000E+02  0.000000E+00 -0.804984E+00  0.388593E+00  0.281760E+02  0.839318E+00  0.000000E+00  0.558574E+01  0.274656E-02  0.100247E+02  0.139869E+02  0.163371E+01  0.171700E+02 -0.241934E+02
  0.340000E+02  0.000000E+00 -0.804984E+00  0.388593E+00  0.281760E+02  0.839318E+00  0.000000E+00  0.558574E+01  0.274656E-02  0.108872E+02  0.140555E+02  0.177267E+01  0.172371E+02 -0.245872E+02
  0.340000E+02  0.000000E+00 -0.804984E+00  0.388593E+00  0.281760E+02  0.839318E+00 -0.789763E+01  0.558574E+01  0.497695E-02  0.105584E+02  0.130567E+02  0.164419E+01  0.172371E+02  0.117247E+02
  0.340000E+02  0.000000E+00 -0.804984E+00  0.145041E+01  0.281760E+02 -0.206377E+01 -0.789763E+01  0.502763E+01  0.497695E-02  0.927081E+01  0.132686E+02  0.168257E+01  0.165190E+02  0.122072E+02
  0.340000E+02  0.000000E+00 -0.804984E+00  0.145041E+01  0.281760E+02 -0.206377E+01 -0.789763E+01  0.112804E+02  0.565740E-02  0.907014E+01  0.132686E+02  0.157512E+01  0.175240E+02  0.895388E+01
  0.340000E+02  0.000000E+00 -0.804984E+00 -0.119875E+01  0.281760E+02  0.215113E-01 -0.789763E+01 -0.146548E+01  0.565740E-02  0.925626E+01  0.133285E+02  0.151606E+01  0.177851E+02  0.836618E+01
  0.340000E+02  0.000000E+00 -0.804984E+00 -0.119875E+01  0.281760E+02  0.215113E-01 -0.376932E+01 -0.146548E+01  0.573520E-02  0.960610E+01  0.133981E+02  0.151353E+01  0.164591E+02  0.107122E+02
  0.340000E+02  0.000000E+00 -0.804984E+00 -0.119875E+01  0.281760E+02  0.215113E-01 -0.376932E+01  0.374450E+00  0.658521E-02  0.827985E+01  0.154516E+02  0.146678E+01  0.163641E+02  0.101254E+02
  0.340000E+02  0.000000E+00 -0.804984E+00  0.367071E+01  0.281760E+02  0.215113E-01 -0.376932E+01  0.442039E+01  0.697564E-02  0.961479E+01  0.136896E+02  0.147564E+01  0.160217E+02  0.130354E+02
  0.340000E+02  0.000000E+00 -0.804984E+00  0.367071E+01  0.281760E+02  0.215113E-01 -0.376932E+01  0.442039E+01  0.705793E-02  0.104223E+02  0.136896E+02  0.140800E+01  0.141231E+02  0.130263E+02
  0.340000E+02  0.000000E+00 -0.804984E+00  0.214729E+01  0.281760E+02  0.215113E-01 -0.295461E+00  0.442039E+01  0.734038E-02  0.112672E+02  0.132130E+02  0.139898E+01  0.143092E+02  0.141464E+02
  0.347575E+02  0.000000E+00 -0.804984E+00  0.214729E+01  0.281760E+02  0.215113E-01 -0.363947E+00  0.442039E+01  0.735494E-02  0.115423E+02  0.134110E+02  0.139054E+01  0.143092E+02  0.150968E+02
  0.347575E+02  0.000000E+00 -0.804984E+00  0.456874E+01  0.281760E+02  0.215113E-01  0.226390E+01  0.695649E+01  0.688245E-02  0.120241E+02  0.115044E+02  0.137893E+01  0.143092E+02  0.167703E+02
  0.347575E+02  0.000000E+00 -0.804984E+00  0.456874E+01  0.281760E+02  0.215113E-01  0.343286E+01  0.111574E+01  0.680091E-02  0.120478E+02  0.121785E+02  0.138959E+01  0.132302E+02  0.158992E+02
  0.347575E+02 -0.824118E+00 -0.804984E+00  0.456874E+01  0.281760E+02  0.215113E-01 -0.388773E+01  0.111574E+01  0.595286E-02  0.112727E+02  0.122162E+02  0.139752E+01  0.156501E+02  0.266761E+02
  0.347575E+02 -0.824118E+00 -0.804984E+00  0.456874E+01  0.281760E+02 -0.119865E+01 -0.388773E+01 -0.389258E+00  0.478342E-02  0.113854E+02  0.122294E+02  0.132250E+01  0.169004E+02  0.298516E+02
  0.347575E+02 -0.824118E+00 -0.804984E+00  0.456874E+01  0.281760E+02 -0.119865E+01 -0.388773E+01 -0.389258E+00  0.350271E-02  0.113854E+02  0.122294E+02  0.136604E+01  0.159778E+02  0.312143E+02
  0.347897E+02 -0.824118E+00 -0.804984E+00 -0.173692E+00  0.281760E+02 -0.283928E+01 -0.259015E+01 -0.389258E+00  0.335917E-02  0.111286E+02  0.121330E+02  0.135670E+01  0.148597E+02  0.423400E+02
  0.347897E+02 -0.824118E+00 -0.804984E+00 -0.173692E+00  0.281760E+02 -0.283928E+01 -0.259015E+01  0.194037E+01  0.335917E-02  0.118141E+02  0.130003E+02  0.144777E+01  0.129363E+02  0.420348E+02
  0.347897E+02 -0.824118E+00 -0.804984E+00  0.138364E+00  0.281760E+02 -0.283928E+01 -0.259015E+01  0.201053E+01  0.303752E-02  0.118141E+02  0.132481E+02  0.148899E+01  0.127945E+02  0.432852E+02
  0.347897E+02 -0.824118E+00 -0.804984E+00  0.112016E+00  0.295882E+02 -0.283928E+01 -0.259015E+01  0.201053E+01  0.303752E-02  0.117054E+02  0.139640E+02  0.154924E+01  0.140351E+02  0.415960E+02
  0.347897E+02 -0.824118E+00 -0.804984E+00  0.112016E+00  0.295882E+02 -0.283928E+01 -0.624623E+01  0.201053E+01  0.271005E-02  0.107453E+02  0.138284E+02  0.140167E+01  0.140351E+02  0.442090E+02
  0.347897E+02 -0.824118E+00 -0.804984E+00  0.112016E+00  0.295882E+02 -0.283928E+01 -0.624623E+01  0.201053E+01  0.271005E-02  0.104827E+02  0.127019E+02  0.133452E+01  0.120830E+02  0.446331E+02
  0.347897E+02 -0.824118E+00 -0.804984E+00  0.258902E+01  0.295882E+02 -0.283928E+01 -0.894497E+01  0.193726E+01  0.271005E-02  0.112877E+02  0.123017E+02  0.135416E+01  0.125930E+02  0.445498E+02
  0.347897E+02 -0.824118E+00 -0.804984E+00  0.258902E+01  0.295882E+02 -0.283928E+01 -0.837255E+01  0.193726E+01  0.237608E-02  0.117119E+02  0.117844E+02  0.124306E+01  0.121586E+02  0.453871E+02
  0.347897E+02 -0.824118E+00 -0.804984E+00  0.258902E+01  0.295882E+02 -0.283928E+01 -0.837255E+01  0.193726E+01  0.279339E-02  0.103532E+02  0.122588E+02  0.118197E+01  0.112927E+02  0.448248E+02
  0.347897E+02 -0.824118E+00 -0.804984E+00  0.258902E+01  0.295882E+02 -0.356987E+01 -0.788512E+01  0.193726E+01  0.279339E-02  0.907369E+01  0.100915E+02  0.105604E+01  0.112927E+02  0.459265E+02
  0.347897E+02 -0.824118E+00 -0.804984E+00  0.258902E+01  0.295882E+02 -0.356987E+01 -0.788512E+01  0.193726E+01  0.279339E-02  0.105381E+02  0.883238E+01  0.116222E+01  0.117484E+02  0.459544E+02
  0.347897E+02 -0.824118E+00 -0.804984E+00  0.258902E+01  0.295882E+02 -0.356987E+01 -0.788512E+01  0.193726E+01  0.189993E-02  0.934602E+01  0.948827E+01  0.117677E+01  0.133497E+02  0.451688E+02
  0.347897E+02 -0.824118E+00 -0.804984E+00  0.258902E+01  0.295882E+02 -0.356987E+01 -0.788512E+01  0.193726E+01  0.317338E-02  0.860173E+01  0.108194E+02  0.120242E+01  0.150642E+02  0.449364E+02
  0.347897E+02 -0.824118E+00 -0.804984E+00  0.163888E+00  0.295882E+02 -0.356987E+01 -0.456526E+01 -0.146250E+01  0.237960E-02  0.796215E+01  0.998869E+01  0.130295E+01  0.153450E+02  0.495260E+02
  0.346901E+02 -0.824118E+00 -0.804984E+00  0.120942E+01  0.295882E+02 -0.356987E+01 -0.296001E+01 -0.146250E+01  0.237960E-02  0.933578E+01  0.910068E+01  0.124730E+01  0.147137E+02  0.530189E+02
  0.346901E+02 -0.824118E+00 -0.804984E+00  0.120942E+01  0.295882E+02 -0.356987E+01 -0.296001E+01 -0.405172E+00  0.281619E-02  0.933578E+01  0.105178E+02  0.125622E+01  0.153173E+02  0.513413E+02
  0.346901E+02 -0.824118E+00 -0.804984E+00  0.120942E+01  0.296479E+02 -0.491298E+01 -0.296001E+01  0.571419E+01  0.179518E-02  0.102738E+02  0.105178E+02  0.117031E+01  0.156478E+02  0.500645E+02
  0.346901E+02 -0.824118E+00 -0.804984E+00  0.120942E+01  0.296479E+02 -0.291156E+01 -0.296001E+01 -0.696916E+00  0.172027E-02  0.105319E+02  0.107847E+02  0.106070E+01  0.169316E+02  0.483514E+02
  0.346901E+02 -0.824118E+00 -0.804984E+00  0.120942E+01  0.296479E+02 -0.291156E+01 -0.296001E+01  0.318925E+01  0.289041E-02  0.104126E+02  0.107847E+02  0.115585E+01  0.151160E+02  0.492184E+02
  0.346901E+02 -0.824118E+00 -0.804984E+00  0.120942E+01  0.296479E+02 -0.291156E+01 -0.296001E+01 -0.297157E+01  0.289041E-02  0.116064E+02  0.849683E+01  0.108106E+01  0.143259E+02  0.494180E+02
  0.346901E+02 -0.824118E+00 -0.804984E+00  0.150811E+01  0.296479E+02 -0.291156E+01 -0.253958E+01 -0.297157E+01  0.289041E-02  0.110600E+02  0.849683E+01  0.109991E+01  0.168916E+02  0.491151E+02
  0.346901E+02 -0.824118E+00 -0.804984E+00  0.150811E+01  0.296479E+02 -0.291156E+01 -0.253958E+01 -0.164000E+01  0.207331E-02  0.109304E+02  0.931480E+01  0.113250E+01  0.164311E+02  0.506352E+02
  0.346901E+02 -0.824118E+00 -0.804984E+00  0.150811E+01  0.296479E+02 -0.291156E+01 -0.253958E+01  0.761462E-01  0.207331E-02  0.105926E+02  0.880509E+01  0.113250E+01  0.152338E+02  0.506137E+02
  0.346901E+02 -0.824118E+00 -0.804984E+00  0.150811E+01  0.296479E+02 -0.291156E+01 -0.253958E+01 -0.157521E+01  0.211694E-02  0.113935E+02  0.949250E+01  0.111731E+01  0.147121E+02  0.508125E+02
  0.346901E+02 -0.824118E+00 -0.804984E+00  0.150811E+01  0.296479E+02 -0.291156E+01 -0.225233E+01 -0.157521E+01  0.222832E-02  0.119476E+02  0.919328E+01  0.108576E+01  0.173985E+02  0.500430E+02
  0.346901E+02 -0.824118E+00 -0.804984E+00  0.150811E+01  0.296479E+02 -0.291156E+01 -0.225233E+01 -0.104492E+01  0.222832E-02  0.119476E+02  0.931251E+01  0.979814E+00  0.177097E+02  0.500111E+02
  0.346901E+02 -0.824118E+00 -0.804984E+00  0.150811E+01  0.296479E+02 -0.291156E+01 -0.225233E+01 -0.104492E+01  0.194959E-02  0.120020E+02  0.997690E+01  0.109343E+01  0.172180E+02  0.491976E+02
  0.346901E+02 -0.824118E+00 -0.804984E+00  0.150811E+01  0.296479E+02 -0.291156E+01 -0.225233E+01  0.452133E+01  0.194959E-02  0.120283E+02  0.101244E+02  0.111238E+01  0.164466E+02  0.489860E+02
  0.346901E+02 -0.104760E+01 -0.804984E+00  0.150811E+01  0.296479E+02 -0.339994E+01 -0.225233E+01 -0.373164E+01  0.194959E-02  0.118696E+02  0.960357E+01  0.984148E+00  0.165224E+02  0.529476E+02
  0.346901E+02 -0.104760E+01 -0.804984E+00  0.150811E+01  0.296479E+02 -0.339994E+01 -0.149282E+01  0.399794E+01  0.194959E-02  0.120337E+02  0.937744E+01  0.995733E+00  0.141255E+02  0.561213E+02
  0.346901E+02 -0.104760E+01 -0.804984E+00  0.150811E+01  0.296479E+02 -0.339994E+01 -0.149282E+01  0.399794E+01  0.194959E-02  0.105921E+02  0.710649E+01  0.106595E+01  0.160175E+02  0.553218E+02
  0.346901E+02 -0.104760E+01 -0.804984E+00  0.150811E+01  0.296479E+02 -0.339994E+01 -0.271358E+01  0.399794E+01  0.194959E-02  0.115288E+02  0.710649E+01  0.102237E+01  0.163391E+02  0.554942E+02
  0.346901E+02 -0.104760E+01 -0.804984E+00  0.150811E+01  0.296479E+02 -0.339994E+01 -0.271358E+01  0.399794E+01  0.194959E-02  0.115288E+02  0.710649E+01  0.119089E+01  0.173174E+02  0.551412E+02
  0.346901E+02 -0.104760E+01 -0.804984E+00  0.150811E+01  0.296479E+02 -0.339994E+01 -0.271358E+01  0.399794E+01  0.194959E-02  0.113730E+02  0.784536E+01  0.120142E+01  0.166549E+02  0.559758E+02
  0.346901E+02 -0.104760E+01 -0.804984E+00  0.150811E+01  0.296479E+02 -0.339994E+01 -0.271358E+01  0.399794E+01  0.194959E-02  0.122861E+02  0.837097E+01  0.119646E+01  0.137081E+02  0.560859E+02
  0.346901E+02 -0.104760E+01 -0.804984E+00  0.229444E+00  0.296479E+02 -0.339994E+01 -0.271358E+01  0.406978E+01  0.194959E-02  0.113172E+02  0.818235E+01  0.100242E+01  0.137081E+02  0.557944E+02
  0.346901E+02 -0.104760E+01 -0.804984E+00  0.229444E+00  0.296479E+02 -0.339994E+01 -0.274747E+01  0.406978E+01  0.194959E-02  0.113172E+02  0.938118E+01  0.115116E+01  0.153793E+02  0.559858E+02
  0.346901E+02 -0.104760E+01 -0.804984E+00  0.229444E+00  0.296479E+02 -0.339994E+01 -0.484186E+01  0.803134E+01  0.194959E-02  0.993867E+01  0.869494E+01  0.112114E+01  0.167958E+02  0.531517E+02
  0.346901E+02 -0.104760E+01 -0.804984E+00  0.229444E+00  0.296479E+02 -0.339994E+01 -0.258653E+01  0.184476E+01  0.166413E-02  0.958061E+01  0.852778E+01  0.115721E+01  0.185258E+02  0.552145E+02
  0.346901E+02 -0.104760E+01 -0.804984E+00  0.229444E+00  0.296479E+02 -0.339994E+01 -0.355495E+01  0.184476E+01  0.166413E-02  0.915380E+01  0.852778E+01  0.101587E+01  0.191292E+02  0.552839E+02
  0.346901E+02 -0.104760E+01 -0.804984E+00  0.229444E+00  0.296479E+02 -0.339994E+01 -0.209286E+01  0.191713E+01  0.166413E-02  0.888680E+01  0.827874E+01  0.100429E+01  0.205509E+02  0.540998E+02
