               Kmin_MC_Up_a0  Kmin_MC_Up_a1  Kmin_MC_Up_a2  Kmin_MC_Up_a3  Kmin_TR_a0     Kmin_TR_a1     Kmin_TR_a2     Kmin_TR_a3     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.349565E+02  -0.234972E+01  -0.148168E+01  -0.948061E+00   0.295593E+02  -0.488939E+01  -0.505153E+01  -0.284092E+01   0.327751E-06   0.508054E+01   0.561196E+01   0.659700E-02   0.839841E+01
Maximum           0.352089E+02  -0.148575E+01  -0.625560E-01   0.862649E+00   0.309868E+02  -0.753706E+00   0.156385E+01   0.841664E+01   0.161315E-02   0.198743E+02   0.165907E+02   0.503627E+01   0.268101E+02
Range             0.252400E+00   0.863970E+00   0.141912E+01   0.181071E+01   0.142750E+01   0.413568E+01   0.661538E+01   0.112576E+02   0.161282E-02   0.147938E+02   0.109787E+02   0.502967E+01   0.184117E+02
Mean              0.350569E+02  -0.188012E+01  -0.900887E+00   0.434559E-01   0.301538E+02  -0.284296E+01  -0.196975E+01   0.282211E+01   0.351557E-03   0.101494E+02   0.101110E+02   0.107188E+01   0.153843E+02
Median            0.350523E+02  -0.186412E+01  -0.926465E+00   0.617937E-01   0.301533E+02  -0.281228E+01  -0.203155E+01   0.279408E+01   0.319619E-03   0.992037E+01   0.996960E+01   0.921280E+00   0.150964E+02
Q10%              0.350134E+02  -0.204097E+01  -0.115067E+01  -0.302330E+00   0.298520E+02  -0.385286E+01  -0.329474E+01   0.434376E+00   0.704918E-04   0.774878E+01   0.754732E+01   0.161308E+00   0.116501E+02
Q25%              0.350317E+02  -0.192787E+01  -0.103643E+01  -0.141564E+00   0.300012E+02  -0.333622E+01  -0.271895E+01   0.160347E+01   0.154984E-03   0.869478E+01   0.865637E+01   0.403024E+00   0.131712E+02
Q75%              0.350769E+02  -0.181049E+01  -0.786080E+00   0.232730E+00   0.302889E+02  -0.236869E+01  -0.123264E+01   0.407348E+01   0.507433E-03   0.113738E+02   0.114313E+02   0.154300E+01   0.173495E+02
Q90%              0.351077E+02  -0.175277E+01  -0.613853E+00   0.377008E+00   0.304368E+02  -0.190133E+01  -0.506266E+00   0.511730E+01   0.680597E-03   0.128852E+02   0.126006E+02   0.224777E+01   0.192874E+02
St.Dev.           0.390162E-01   0.116399E+00   0.218027E+00   0.274468E+00   0.231890E+00   0.742820E+00   0.110479E+01   0.177727E+01   0.245973E-03   0.204733E+01   0.198407E+01   0.807520E+00   0.307985E+01
Variance          0.152227E-02   0.135488E-01   0.475358E-01   0.753324E-01   0.537729E-01   0.551782E+00   0.122056E+01   0.315868E+01   0.605028E-07   0.419156E+01   0.393655E+01   0.652088E+00   0.948546E+01
CV                0.111294E-02   0.619107E-01   0.242014E+00   0.631600E+01   0.769023E-02   0.261284E+00   0.560878E+00   0.629765E+00   0.699667E+00   0.201720E+00   0.196229E+00   0.753370E+00   0.200195E+00
Skewness          0.494763E+00  -0.927567E+00   0.735446E+00  -0.268834E+00   0.187474E+00  -0.431713E-01   0.145386E+00  -0.183999E-01   0.972828E+00   0.681068E+00   0.393478E+00   0.104573E+01   0.467691E+00
Kurtosis          0.722036E+00   0.173952E+01   0.124354E+01   0.295266E+00   0.202328E+00  -0.187440E+00   0.318927E-01  -0.602093E-01   0.157684E+01   0.124541E+01  -0.374601E-01   0.135791E+01   0.386406E+00
MaxPost           0.350502E+02  -0.186362E+01  -0.953546E+00   0.107834E+00   0.300094E+02  -0.238767E+01  -0.296938E+01   0.449088E+01   0.200470E-03   0.875030E+01   0.883098E+01   0.101334E+01   0.160271E+02
