Kmin_MC_Up_a0  Kmin_MC_Up_a1  Kmin_MC_Up_a2  Kmin_MC_Up_a3  Kmin_MC_Up_a4  Kmin_TR_a0     Kmin_TR_a1     Kmin_TR_a2     Kmin_TR_a3     Kmin_TR_a4     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.351290E+02  -0.209914E+01  -0.542398E+00  -0.364428E+00   0.415416E+00   0.300517E+02  -0.147568E+01  -0.477937E+01   0.298112E+01  -0.390484E+01   0.460763E-03   0.103358E+02   0.130184E+02   0.270103E+00   0.236458E+02   0.817598E+02  -0.162688E+02   0.000000E+00   0.980286E+02  -0.196057E+03
   0.351590E+02  -0.211439E+01  -0.412005E+00  -0.446352E+00   0.415416E+00   0.296511E+02  -0.160803E+01  -0.362503E+01   0.298112E+01  -0.271394E+01   0.255932E-03   0.101571E+02   0.102618E+02   0.183205E+00   0.185381E+02   0.861592E+02  -0.128693E+02   0.000000E+00   0.990285E+02  -0.198057E+03
   0.351331E+02  -0.203097E+01  -0.611523E+00  -0.185051E+00   0.372275E+00   0.297492E+02  -0.232173E+01  -0.277900E+01   0.310677E+01  -0.139740E+01   0.601705E-03   0.972879E+01   0.134946E+02   0.142259E+00   0.119079E+02   0.854432E+02  -0.138838E+02   0.000000E+00   0.993270E+02  -0.198654E+03
   0.351273E+02  -0.200045E+01  -0.591002E+00  -0.363652E+00   0.198524E+00   0.297492E+02  -0.209129E+01  -0.182087E+01   0.160217E+01  -0.852849E+00   0.551950E-03   0.892319E+01   0.144180E+02   0.865889E+00   0.171195E+02   0.824410E+02  -0.144823E+02   0.000000E+00   0.969233E+02  -0.193847E+03
   0.350787E+02  -0.195153E+01  -0.594119E+00  -0.549760E+00   0.401443E+00   0.297492E+02  -0.218204E+01  -0.247586E+01   0.535807E+01  -0.393429E+00   0.548487E-03   0.875135E+01   0.889559E+01   0.736725E+00   0.160631E+02   0.849317E+02  -0.123144E+02   0.000000E+00   0.972461E+02  -0.194492E+03
   0.350639E+02  -0.189464E+01  -0.798117E+00   0.103828E+00   0.424182E+00   0.301106E+02  -0.228831E+01  -0.127799E+01   0.239510E+01  -0.310646E+01   0.286493E-03   0.891057E+01   0.106157E+02   0.140227E+01   0.160432E+02   0.871702E+02  -0.123232E+02   0.000000E+00   0.994934E+02  -0.198987E+03
   0.350635E+02  -0.193566E+01  -0.867573E+00  -0.827614E-01   0.223157E-02   0.302005E+02  -0.286749E+01  -0.330650E+01   0.334580E+01  -0.310646E+01   0.355886E-03   0.148892E+02   0.124451E+02   0.552823E+00   0.107658E+02   0.845447E+02  -0.162830E+02   0.000000E+00   0.100828E+03  -0.201655E+03
   0.350616E+02  -0.197356E+01  -0.809958E+00  -0.827614E-01  -0.807081E-01   0.302919E+02  -0.240215E+01  -0.330650E+01   0.228002E+01   0.187972E+00   0.678767E-03   0.986764E+01   0.817597E+01   0.130862E+01   0.191362E+02   0.832175E+02  -0.133235E+02   0.000000E+00   0.965410E+02  -0.193082E+03
   0.350496E+02  -0.189500E+01  -0.901635E+00  -0.300162E+00  -0.144182E+00   0.302886E+02  -0.304008E+01  -0.197384E+01   0.466163E+01   0.778929E+00   0.231464E-03   0.988367E+01   0.128471E+02   0.116656E+00   0.148534E+02   0.860158E+02  -0.130606E+02   0.000000E+00   0.990764E+02  -0.198153E+03
   0.350783E+02  -0.190097E+01  -0.901635E+00   0.279645E+00  -0.334517E+00   0.300327E+02  -0.301848E+01  -0.199619E+01   0.106324E+01  -0.119645E+01   0.422220E-03   0.126231E+02   0.167393E+02   0.107728E+01   0.111700E+02   0.819892E+02  -0.175797E+02   0.000000E+00   0.995689E+02  -0.199138E+03
   0.350438E+02  -0.190097E+01  -0.710771E+00   0.279645E+00  -0.334517E+00   0.299951E+02  -0.301848E+01  -0.370240E+01   0.381292E+00  -0.634676E+00   0.372762E-03   0.506919E+01   0.100585E+02   0.309565E+00   0.124300E+02   0.811626E+02  -0.173944E+02   0.000000E+00   0.985570E+02  -0.197114E+03
   0.350251E+02  -0.184673E+01  -0.782370E+00   0.244955E+00  -0.835283E+00   0.297735E+02  -0.352654E+01  -0.370240E+01   0.302702E+01  -0.204298E+01   0.409934E-04   0.918862E+01   0.977337E+01   0.950191E+00   0.128794E+02   0.831062E+02  -0.121706E+02   0.000000E+00   0.952768E+02  -0.190554E+03
   0.350169E+02  -0.184673E+01  -0.717327E+00   0.448232E+00  -0.255727E+00   0.297100E+02  -0.261535E+01  -0.380005E+01   0.280713E+01  -0.225328E+01   0.409934E-04   0.902750E+01   0.993150E+01   0.369868E+00   0.192430E+02   0.850087E+02  -0.130911E+02   0.000000E+00   0.980998E+02  -0.196200E+03
