Kmin_MC_Up_a0  Kmin_TR_a0     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.343405E+02   0.284645E+02   0.620152E-02   0.117993E+02   0.612027E+01   0.142360E+02   0.209960E+02   0.128153E+03
   0.343878E+02   0.284645E+02   0.620098E-02   0.117405E+02   0.954873E+01   0.180427E+02   0.109380E+02   0.130622E+03
   0.342270E+02   0.283811E+02   0.604980E-02   0.677040E+01   0.762909E+01   0.161624E+02   0.172718E+02   0.130237E+03
   0.343299E+02   0.271597E+02   0.602376E-02   0.736762E+01   0.110633E+02   0.142346E+02   0.108629E+02   0.131658E+03
   0.343299E+02   0.274748E+02   0.595176E-02   0.863917E+01   0.104133E+02   0.176668E+02   0.132381E+02   0.133375E+03
   0.341756E+02   0.275274E+02   0.783523E-02   0.108035E+02   0.104133E+02   0.182221E+02   0.125377E+02   0.129343E+03
   0.342867E+02   0.278509E+02   0.687549E-02   0.108035E+02   0.107907E+02   0.189067E+02   0.147840E+02   0.131940E+03
   0.343989E+02   0.279326E+02   0.615025E-02   0.114280E+02   0.107404E+02   0.163524E+02   0.129400E+02   0.133023E+03
   0.344342E+02   0.274134E+02   0.685973E-02   0.809284E+01   0.115983E+02   0.144011E+02   0.152461E+02   0.132542E+03
   0.343322E+02   0.280131E+02   0.753640E-02   0.102565E+02   0.106204E+02   0.149586E+02   0.140062E+02   0.131833E+03
   0.344499E+02   0.286203E+02   0.611020E-02   0.101193E+02   0.947467E+01   0.127477E+02   0.110811E+02   0.130358E+03
   0.346080E+02   0.271465E+02   0.760783E-02   0.153725E+02   0.147544E+02   0.154843E+02   0.172665E+02   0.125231E+03
   0.342952E+02   0.277570E+02   0.514388E-02   0.110184E+02   0.673705E+01   0.129812E+02   0.195646E+02   0.130261E+03
   0.344838E+02   0.274579E+02   0.590467E-02   0.122506E+02   0.839831E+01   0.151650E+02   0.151445E+02   0.132860E+03
   0.343571E+02   0.279835E+02   0.724197E-02   0.130179E+02   0.864165E+01   0.179882E+02   0.154302E+02   0.130646E+03
   0.343819E+02   0.270524E+02   0.708541E-02   0.954418E+01   0.739352E+01   0.160121E+02   0.173331E+02   0.131341E+03
   0.342641E+02   0.281024E+02   0.625469E-02   0.113683E+02   0.947768E+01   0.129232E+02   0.134238E+02   0.132973E+03
   0.342641E+02   0.272742E+02   0.666963E-02   0.102337E+02   0.117321E+02   0.175087E+02   0.154816E+02   0.131814E+03
   0.344124E+02   0.272742E+02   0.694794E-02   0.104862E+02   0.105913E+02   0.133506E+02   0.128373E+02   0.132792E+03
   0.343795E+02   0.276860E+02   0.613717E-02   0.917812E+01   0.972230E+01   0.135186E+02   0.121301E+02   0.133777E+03
   0.342745E+02   0.282207E+02   0.461676E-02   0.957764E+01   0.110120E+02   0.173772E+02   0.126526E+02   0.129699E+03
   0.341893E+02   0.276672E+02   0.716752E-02   0.761873E+01   0.827407E+01   0.196951E+02   0.161841E+02   0.129575E+03
   0.342257E+02   0.277740E+02   0.644760E-02   0.146678E+02   0.120262E+02   0.174979E+02   0.160003E+02   0.129805E+03
   0.343181E+02   0.271802E+02   0.565485E-02   0.143822E+02   0.115851E+02   0.156158E+02   0.142384E+02   0.131109E+03
   0.344539E+02   0.271802E+02   0.740217E-02   0.131083E+02   0.787739E+01   0.222069E+02   0.205505E+02   0.126714E+03
   0.345147E+02   0.282380E+02   0.692401E-02   0.904125E+01   0.101900E+02   0.139298E+02   0.146846E+02   0.131397E+03
   0.343631E+02   0.271018E+02   0.762732E-02   0.898919E+01   0.132563E+02   0.111210E+02   0.136214E+02   0.129546E+03
   0.344355E+02   0.282923E+02   0.571716E-02   0.846336E+01   0.125113E+02   0.146901E+02   0.136499E+02   0.131477E+03
   0.344355E+02   0.273670E+02   0.561344E-02   0.116032E+02   0.860445E+01   0.128582E+02   0.318173E+02   0.125511E+03
   0.343291E+02   0.277662E+02   0.721287E-02   0.962767E+01   0.101583E+02   0.238537E+02   0.129298E+02   0.129444E+03
   0.341971E+02   0.277662E+02   0.606033E-02   0.125524E+02   0.741523E+01   0.103109E+02   0.146081E+02   0.129943E+03
   0.342365E+02   0.278528E+02   0.578002E-02   0.871109E+01   0.892349E+01   0.221890E+02   0.141831E+02   0.131051E+03
