Kmin_MC_Up_a0 Kmin_TR_a0    Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.340000E+02  0.280000E+02  0.500000E-03  0.100000E+02  0.100000E+02  0.150000E+02  0.150000E+02 -0.513198E+03
  0.340000E+02  0.280000E+02  0.500000E-03  0.975932E+01  0.799930E+01  0.144004E+02  0.152304E+02 -0.513579E+03
  0.343745E+02  0.280000E+02  0.500000E-03  0.908221E+01  0.799930E+01  0.129382E+02  0.139589E+02 -0.353498E+03
  0.343745E+02  0.280000E+02  0.500000E-03  0.984446E+01  0.964707E+01  0.122462E+02  0.129770E+02 -0.353357E+03
  0.343745E+02  0.280000E+02  0.500000E-03  0.984446E+01  0.995363E+01  0.117139E+02  0.121811E+02 -0.353794E+03
  0.343745E+02  0.280000E+02  0.109105E-02  0.981146E+01  0.106587E+02  0.120822E+02  0.112753E+02 -0.118952E+03
  0.343745E+02  0.275356E+02  0.109105E-02  0.924080E+01  0.103182E+02  0.137020E+02  0.112753E+02 -0.112263E+03
  0.343745E+02  0.275356E+02  0.242715E-02  0.112980E+02  0.102864E+02  0.140382E+02  0.111082E+02  0.836003E+02
  0.343745E+02  0.275356E+02  0.242715E-02  0.108962E+02  0.104076E+02  0.112683E+02  0.114376E+02  0.831403E+02
  0.343745E+02  0.275356E+02  0.410759E-02  0.120088E+02  0.106730E+02  0.111440E+02  0.133976E+02  0.126877E+03
  0.343745E+02  0.275356E+02  0.455396E-02  0.120088E+02  0.103031E+02  0.111440E+02  0.124186E+02  0.129830E+03
  0.343745E+02  0.275356E+02  0.455396E-02  0.139330E+02  0.109043E+02  0.113978E+02  0.124186E+02  0.128724E+03
  0.343745E+02  0.275356E+02  0.455396E-02  0.142171E+02  0.103249E+02  0.130784E+02  0.142347E+02  0.129512E+03
  0.343745E+02  0.275356E+02  0.456974E-02  0.147986E+02  0.912967E+01  0.124642E+02  0.142347E+02  0.129067E+03
  0.343745E+02  0.275356E+02  0.493996E-02  0.158066E+02  0.823913E+01  0.118401E+02  0.142347E+02  0.129292E+03
  0.343745E+02  0.275356E+02  0.616034E-02  0.155553E+02  0.823913E+01  0.131724E+02  0.146154E+02  0.130957E+03
  0.343745E+02  0.275356E+02  0.607760E-02  0.164240E+02  0.790124E+01  0.114397E+02  0.143693E+02  0.129564E+03
  0.343745E+02  0.275356E+02  0.536055E-02  0.146358E+02  0.838000E+01  0.126343E+02  0.138476E+02  0.131373E+03
  0.343745E+02  0.275356E+02  0.587744E-02  0.132708E+02  0.781587E+01  0.150130E+02  0.139220E+02  0.132484E+03
  0.343745E+02  0.275356E+02  0.581084E-02  0.133824E+02  0.930579E+01  0.161569E+02  0.151366E+02  0.132777E+03
  0.343745E+02  0.275356E+02  0.581084E-02  0.129430E+02  0.100874E+02  0.171776E+02  0.148356E+02  0.132821E+03
  0.343745E+02  0.275356E+02  0.581084E-02  0.129430E+02  0.893901E+01  0.164404E+02  0.143389E+02  0.132964E+03
  0.343745E+02  0.275356E+02  0.581084E-02  0.113498E+02  0.893901E+01  0.167196E+02  0.144286E+02  0.133668E+03
  0.343745E+02  0.280231E+02  0.559448E-02  0.990508E+01  0.805020E+01  0.164476E+02  0.144286E+02  0.133197E+03
  0.343745E+02  0.280231E+02  0.559448E-02  0.998288E+01  0.840003E+01  0.165521E+02  0.143906E+02  0.133335E+03
  0.343745E+02  0.280231E+02  0.582237E-02  0.998288E+01  0.770088E+01  0.147429E+02  0.149028E+02  0.133277E+03
  0.343745E+02  0.280231E+02  0.582237E-02  0.865664E+01  0.975438E+01  0.140417E+02  0.148078E+02  0.133771E+03
  0.343745E+02  0.284335E+02  0.549101E-02  0.926532E+01  0.926194E+01  0.140417E+02  0.148078E+02  0.132510E+03
  0.343745E+02  0.295267E+02  0.682595E-02  0.750330E+01  0.935047E+01  0.136993E+02  0.147811E+02  0.127740E+03
  0.343745E+02  0.268437E+02  0.682595E-02  0.726282E+01  0.935047E+01  0.127225E+02  0.138020E+02  0.131497E+03
  0.343745E+02  0.268437E+02  0.682595E-02  0.658650E+01  0.808476E+01  0.123471E+02  0.141698E+02  0.130246E+03
  0.343745E+02  0.268437E+02  0.682595E-02  0.678042E+01  0.851899E+01  0.141140E+02  0.145934E+02  0.130996E+03
  0.343745E+02  0.268437E+02  0.673569E-02  0.690446E+01  0.874178E+01  0.143045E+02  0.165442E+02  0.131096E+03
  0.343745E+02  0.268437E+02  0.753779E-02  0.689590E+01  0.987056E+01  0.143264E+02  0.169569E+02  0.129856E+03
  0.343745E+02  0.266074E+02  0.753779E-02  0.689590E+01  0.110263E+02  0.133001E+02  0.174110E+02  0.128897E+03
  0.343745E+02  0.266074E+02  0.786627E-02  0.721291E+01  0.105538E+02  0.140228E+02  0.145510E+02  0.129288E+03
  0.343745E+02  0.266074E+02  0.715892E-02  0.637725E+01  0.106059E+02  0.140228E+02  0.128795E+02  0.129246E+03
