Kmin_MC_Up_a0  Kmin_TR_a0     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.343405E+02   0.284645E+02   0.620152E-02   0.117993E+02   0.612027E+01   0.142360E+02   0.209960E+02   0.128153E+03  -0.188233E+02   0.000000E+00   0.146976E+03  -0.293953E+03
   0.343878E+02   0.284645E+02   0.620098E-02   0.117405E+02   0.954873E+01   0.180427E+02   0.109380E+02   0.130622E+03  -0.160664E+02   0.000000E+00   0.146688E+03  -0.293377E+03
   0.342270E+02   0.283811E+02   0.604980E-02   0.677040E+01   0.762909E+01   0.161624E+02   0.172718E+02   0.130237E+03  -0.167518E+02   0.000000E+00   0.146989E+03  -0.293978E+03
   0.343299E+02   0.271597E+02   0.602376E-02   0.736762E+01   0.110633E+02   0.142346E+02   0.108629E+02   0.131658E+03  -0.161123E+02   0.000000E+00   0.147770E+03  -0.295541E+03
   0.343299E+02   0.274748E+02   0.595176E-02   0.863917E+01   0.104133E+02   0.176668E+02   0.132381E+02   0.133375E+03  -0.148124E+02   0.000000E+00   0.148187E+03  -0.296375E+03
   0.341756E+02   0.275274E+02   0.783523E-02   0.108035E+02   0.104133E+02   0.182221E+02   0.125377E+02   0.129343E+03  -0.151651E+02   0.000000E+00   0.144508E+03  -0.289016E+03
   0.342867E+02   0.278509E+02   0.687549E-02   0.108035E+02   0.107907E+02   0.189067E+02   0.147840E+02   0.131940E+03  -0.152514E+02   0.000000E+00   0.147191E+03  -0.294383E+03
   0.343989E+02   0.279326E+02   0.615025E-02   0.114280E+02   0.107404E+02   0.163524E+02   0.129400E+02   0.133023E+03  -0.148576E+02   0.000000E+00   0.147881E+03  -0.295761E+03
   0.344342E+02   0.274134E+02   0.685973E-02   0.809284E+01   0.115983E+02   0.144011E+02   0.152461E+02   0.132542E+03  -0.148324E+02   0.000000E+00   0.147374E+03  -0.294749E+03
   0.343322E+02   0.280131E+02   0.753640E-02   0.102565E+02   0.106204E+02   0.149586E+02   0.140062E+02   0.131833E+03  -0.141880E+02   0.000000E+00   0.146021E+03  -0.292042E+03
   0.344499E+02   0.286203E+02   0.611020E-02   0.101193E+02   0.947467E+01   0.127477E+02   0.110811E+02   0.130358E+03  -0.150693E+02   0.000000E+00   0.145427E+03  -0.290855E+03
   0.346080E+02   0.271465E+02   0.760783E-02   0.153725E+02   0.147544E+02   0.154843E+02   0.172665E+02   0.125231E+03  -0.195155E+02   0.000000E+00   0.144747E+03  -0.289493E+03
   0.342952E+02   0.277570E+02   0.514388E-02   0.110184E+02   0.673705E+01   0.129812E+02   0.195646E+02   0.130261E+03  -0.170958E+02   0.000000E+00   0.147357E+03  -0.294714E+03
   0.344838E+02   0.274579E+02   0.590467E-02   0.122506E+02   0.839831E+01   0.151650E+02   0.151445E+02   0.132860E+03  -0.150092E+02   0.000000E+00   0.147869E+03  -0.295738E+03
   0.343571E+02   0.279835E+02   0.724197E-02   0.130179E+02   0.864165E+01   0.179882E+02   0.154302E+02   0.130646E+03  -0.159478E+02   0.000000E+00   0.146594E+03  -0.293188E+03
   0.343819E+02   0.270524E+02   0.708541E-02   0.954418E+01   0.739352E+01   0.160121E+02   0.173331E+02   0.131341E+03  -0.154046E+02   0.000000E+00   0.146746E+03  -0.293491E+03
   0.342641E+02   0.281024E+02   0.625469E-02   0.113683E+02   0.947768E+01   0.129232E+02   0.134238E+02   0.132973E+03  -0.145495E+02   0.000000E+00   0.147522E+03  -0.295045E+03
   0.342641E+02   0.272742E+02   0.666963E-02   0.102337E+02   0.117321E+02   0.175087E+02   0.154816E+02   0.131814E+03  -0.150678E+02   0.000000E+00   0.146882E+03  -0.293764E+03
   0.344124E+02   0.272742E+02   0.694794E-02   0.104862E+02   0.105913E+02   0.133506E+02   0.128373E+02   0.132792E+03  -0.144365E+02   0.000000E+00   0.147228E+03  -0.294457E+03
   0.343795E+02   0.276860E+02   0.613717E-02   0.917812E+01   0.972230E+01   0.135186E+02   0.121301E+02   0.133777E+03  -0.144321E+02   0.000000E+00   0.148209E+03  -0.296418E+03
   0.342745E+02   0.282207E+02   0.461676E-02   0.957764E+01   0.110120E+02   0.173772E+02   0.126526E+02   0.129699E+03  -0.148638E+02   0.000000E+00   0.144563E+03  -0.289126E+03
   0.341893E+02   0.276672E+02   0.716752E-02   0.761873E+01   0.827407E+01   0.196951E+02   0.161841E+02   0.129575E+03  -0.163210E+02   0.000000E+00   0.145896E+03  -0.291792E+03
   0.342257E+02   0.277740E+02   0.644760E-02   0.146678E+02   0.120262E+02   0.174979E+02   0.160003E+02   0.129805E+03  -0.174563E+02   0.000000E+00   0.147261E+03  -0.294523E+03
   0.343181E+02   0.271802E+02   0.565485E-02   0.143822E+02   0.115851E+02   0.156158E+02   0.142384E+02   0.131109E+03  -0.165359E+02   0.000000E+00   0.147645E+03  -0.295290E+03
   0.344539E+02   0.271802E+02   0.740217E-02   0.131083E+02   0.787739E+01   0.222069E+02   0.205505E+02   0.126714E+03  -0.195915E+02   0.000000E+00   0.146305E+03  -0.292611E+03
   0.345147E+02   0.282380E+02   0.692401E-02   0.904125E+01   0.101900E+02   0.139298E+02   0.146846E+02   0.131397E+03  -0.140900E+02   0.000000E+00   0.145487E+03  -0.290974E+03
   0.343631E+02   0.271018E+02   0.762732E-02   0.898919E+01   0.132563E+02   0.111210E+02   0.136214E+02   0.129546E+03  -0.162119E+02   0.000000E+00   0.145758E+03  -0.291516E+03
   0.344355E+02   0.282923E+02   0.571716E-02   0.846336E+01   0.125113E+02   0.146901E+02   0.136499E+02   0.131477E+03  -0.150957E+02   0.000000E+00   0.146573E+03  -0.293145E+03
   0.344355E+02   0.273670E+02   0.561344E-02   0.116032E+02   0.860445E+01   0.128582E+02   0.318173E+02   0.125511E+03  -0.225815E+02   0.000000E+00   0.148092E+03  -0.296185E+03
   0.343291E+02   0.277662E+02   0.721287E-02   0.962767E+01   0.101583E+02   0.238537E+02   0.129298E+02   0.129444E+03  -0.173415E+02   0.000000E+00   0.146786E+03  -0.293571E+03
   0.341971E+02   0.277662E+02   0.606033E-02   0.125524E+02   0.741523E+01   0.103109E+02   0.146081E+02   0.129943E+03  -0.171176E+02   0.000000E+00   0.147061E+03  -0.294121E+03
   0.342365E+02   0.278528E+02   0.578002E-02   0.871109E+01   0.892349E+01   0.221890E+02   0.141831E+02   0.131051E+03  -0.165011E+02   0.000000E+00   0.147552E+03  -0.295104E+03
   0.345130E+02   0.271823E+02   0.622420E-02   0.884999E+01   0.790261E+01   0.201147E+02   0.215790E+02   0.129563E+03  -0.179696E+02   0.000000E+00   0.147533E+03  -0.295065E+03
   0.342807E+02   0.278005E+02   0.690595E-02   0.107459E+02   0.779220E+01   0.196962E+02   0.226793E+02   0.128634E+03  -0.184761E+02   0.000000E+00   0.147110E+03  -0.294220E+03
   0.343482E+02   0.265492E+02   0.573587E-02   0.102556E+02   0.102567E+02   0.128588E+02   0.159925E+02   0.131365E+03  -0.143861E+02   0.000000E+00   0.145751E+03  -0.291502E+03
   0.342887E+02   0.278125E+02   0.470433E-02   0.917746E+01   0.811405E+01   0.149186E+02   0.227967E+02   0.128811E+03  -0.170083E+02   0.000000E+00   0.145819E+03  -0.291639E+03
   0.341850E+02   0.278125E+02   0.527479E-02   0.690012E+01   0.840221E+01   0.142327E+02   0.192546E+02   0.129299E+03  -0.166273E+02   0.000000E+00   0.145926E+03  -0.291853E+03
   0.343902E+02   0.274415E+02   0.859484E-02   0.724487E+01   0.955750E+01   0.148689E+02   0.111067E+02   0.127991E+03  -0.158386E+02   0.000000E+00   0.143830E+03  -0.287659E+03
   0.343537E+02   0.273440E+02   0.612807E-02   0.113987E+02   0.834112E+01   0.144852E+02   0.211086E+02   0.131691E+03  -0.164175E+02   0.000000E+00   0.148109E+03  -0.296217E+03
   0.343537E+02   0.280882E+02   0.461604E-02   0.671885E+01   0.757544E+01   0.150135E+02   0.115695E+02   0.128206E+03  -0.169110E+02   0.000000E+00   0.145117E+03  -0.290234E+03
   0.342949E+02   0.272759E+02   0.602516E-02   0.128677E+02   0.739101E+01   0.212224E+02   0.164852E+02   0.129631E+03  -0.180066E+02   0.000000E+00   0.147638E+03  -0.295275E+03
   0.343803E+02   0.267823E+02   0.602516E-02   0.790700E+01   0.921607E+01   0.177950E+02   0.135133E+02   0.132036E+03  -0.150855E+02   0.000000E+00   0.147121E+03  -0.294243E+03
   0.342749E+02   0.277844E+02   0.509921E-02   0.905767E+01   0.103512E+02   0.126198E+02   0.115417E+02   0.132036E+03  -0.149315E+02   0.000000E+00   0.146967E+03  -0.293935E+03
   0.345851E+02   0.269312E+02   0.601092E-02   0.104416E+02   0.113322E+02   0.181144E+02   0.112962E+02   0.130662E+03  -0.158040E+02   0.000000E+00   0.146466E+03  -0.292932E+03
   0.347581E+02   0.266708E+02   0.587886E-02   0.123756E+02   0.102036E+02   0.175826E+02   0.114395E+02   0.126360E+03  -0.159891E+02   0.000000E+00   0.142349E+03  -0.284698E+03
   0.343339E+02   0.275190E+02   0.664013E-02   0.632948E+01   0.130445E+02   0.106070E+02   0.142803E+02   0.129179E+03  -0.185035E+02   0.000000E+00   0.147682E+03  -0.295365E+03
   0.343339E+02   0.277478E+02   0.532090E-02   0.128199E+02   0.125600E+02   0.173475E+02   0.138720E+02   0.131484E+03  -0.163667E+02   0.000000E+00   0.147851E+03  -0.295701E+03
   0.345414E+02   0.269588E+02   0.464560E-02   0.105551E+02   0.121398E+02   0.847715E+01   0.169150E+02   0.125497E+03  -0.186169E+02   0.000000E+00   0.144114E+03  -0.288228E+03
   0.343248E+02   0.283371E+02   0.528437E-02   0.125854E+02   0.121307E+02   0.136861E+02   0.199949E+02   0.129760E+03  -0.169456E+02   0.000000E+00   0.146706E+03  -0.293411E+03
