Kmin_MC_Up_a0  Kmin_MC_Up_a1  Kmin_TR_a0     Kmin_TR_a1     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.351140E+02  -0.235632E+01   0.303450E+02  -0.415583E+01   0.107593E-02   0.668271E+01   0.126245E+02   0.126981E+02   0.174169E+02   0.187747E+03
   0.351650E+02  -0.223572E+01   0.304013E+02  -0.433776E+01   0.894543E-03   0.976770E+01   0.921689E+01   0.944254E+01   0.170283E+02   0.193001E+03
   0.351280E+02  -0.220007E+01   0.303587E+02  -0.433776E+01   0.842353E-03   0.761584E+01   0.140105E+02   0.172843E+02   0.166074E+02   0.193495E+03
   0.351599E+02  -0.218331E+01   0.303556E+02  -0.459388E+01   0.637998E-03   0.122511E+02   0.102110E+02   0.133317E+02   0.129975E+02   0.194189E+03
   0.351721E+02  -0.232079E+01   0.303126E+02  -0.459388E+01   0.955663E-03   0.111781E+02   0.951986E+01   0.176126E+02   0.117322E+02   0.194273E+03
   0.351465E+02  -0.232079E+01   0.306784E+02  -0.511982E+01   0.125837E-02   0.984474E+01   0.120934E+02   0.145053E+02   0.100673E+02   0.191565E+03
   0.351788E+02  -0.234701E+01   0.307325E+02  -0.506596E+01   0.674354E-03   0.945245E+01   0.125041E+02   0.184917E+02   0.128950E+02   0.193961E+03
   0.351627E+02  -0.234701E+01   0.307325E+02  -0.519850E+01   0.104744E-02   0.118194E+02   0.965174E+01   0.129731E+02   0.167052E+02   0.194086E+03
   0.351837E+02  -0.232273E+01   0.307248E+02  -0.530072E+01   0.855490E-03   0.112053E+02   0.932815E+01   0.129813E+02   0.165884E+02   0.195255E+03
   0.352159E+02  -0.240522E+01   0.306051E+02  -0.518375E+01   0.644615E-03   0.112053E+02   0.925001E+01   0.119390E+02   0.108552E+02   0.192303E+03
   0.351783E+02  -0.240522E+01   0.306462E+02  -0.432579E+01   0.786964E-03   0.723445E+01   0.100424E+02   0.162837E+02   0.138893E+02   0.193741E+03
   0.351379E+02  -0.234514E+01   0.306462E+02  -0.435389E+01   0.771881E-03   0.829452E+01   0.126581E+02   0.117027E+02   0.156067E+02   0.192786E+03
   0.351002E+02  -0.217139E+01   0.305552E+02  -0.511131E+01   0.640294E-03   0.109747E+02   0.928176E+01   0.166021E+02   0.204699E+02   0.194173E+03
   0.351002E+02  -0.216237E+01   0.300722E+02  -0.429029E+01   0.109306E-02   0.116509E+02   0.991212E+01   0.128239E+02   0.189611E+02   0.192561E+03
   0.351002E+02  -0.217308E+01   0.300722E+02  -0.373378E+01   0.974677E-03   0.102110E+02   0.159409E+02   0.153666E+02   0.186231E+02   0.190616E+03
   0.351292E+02  -0.217308E+01   0.300999E+02  -0.424103E+01   0.761029E-03   0.906125E+01   0.848537E+01   0.157292E+02   0.146691E+02   0.195576E+03
   0.351292E+02  -0.217308E+01   0.301419E+02  -0.447339E+01   0.738793E-03   0.775337E+01   0.854306E+01   0.146348E+02   0.940724E+01   0.193037E+03
   0.350995E+02  -0.217308E+01   0.304225E+02  -0.447339E+01   0.863532E-03   0.151715E+02   0.871338E+01   0.176617E+02   0.153434E+02   0.192859E+03
   0.351459E+02  -0.217308E+01   0.302222E+02  -0.447648E+01   0.837890E-03   0.104321E+02   0.756891E+01   0.139632E+02   0.177201E+02   0.194810E+03
   0.351459E+02  -0.217308E+01   0.301984E+02  -0.447648E+01   0.115924E-02   0.898753E+01   0.897141E+01   0.212665E+02   0.219469E+02   0.190649E+03
   0.351362E+02  -0.223282E+01   0.302365E+02  -0.422282E+01   0.543141E-03   0.105392E+02   0.139058E+02   0.141834E+02   0.198359E+02   0.193131E+03
   0.351362E+02  -0.223282E+01   0.302365E+02  -0.447731E+01   0.895669E-03   0.858416E+01   0.106290E+02   0.167127E+02   0.204811E+02   0.194115E+03
   0.351362E+02  -0.224702E+01   0.303025E+02  -0.405782E+01   0.885679E-03   0.104256E+02   0.886779E+01   0.113670E+02   0.195579E+02   0.194313E+03
   0.351594E+02  -0.239071E+01   0.301147E+02  -0.234643E+01   0.117070E-02   0.107569E+02   0.124852E+02   0.113726E+02   0.143841E+02   0.189131E+03
   0.351785E+02  -0.231084E+01   0.301147E+02  -0.371764E+01   0.880345E-03   0.113268E+02   0.885476E+01   0.145400E+02   0.171840E+02   0.194454E+03
