Kmin_MC_Up_a0 Kmin_MC_Up_a1 Kmin_TR_a0    Kmin_TR_a1    Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.340000E+02  0.000000E+00  0.280000E+02  0.000000E+00  0.500000E-03  0.100000E+02  0.100000E+02  0.150000E+02  0.150000E+02 -0.513198E+03
  0.340000E+02  0.000000E+00  0.280000E+02  0.000000E+00  0.551768E-03  0.939983E+01  0.891986E+01  0.150824E+02  0.149992E+02 -0.483445E+03
  0.340000E+02  0.000000E+00  0.280000E+02  0.000000E+00  0.112245E-02  0.101368E+02  0.881923E+01  0.162258E+02  0.174708E+02 -0.197619E+03
  0.340000E+02  0.000000E+00  0.280424E+02  0.000000E+00  0.112245E-02  0.910907E+01  0.912580E+01  0.156934E+02  0.166749E+02 -0.196508E+03
  0.340000E+02  0.000000E+00  0.280424E+02 -0.264056E+00  0.182754E-02  0.935461E+01  0.852192E+01  0.145459E+02  0.164261E+02 -0.133011E+02
  0.340000E+02  0.000000E+00  0.280424E+02 -0.264056E+00  0.182754E-02  0.900180E+01  0.857049E+01  0.145459E+02  0.146036E+02 -0.131169E+02
  0.340000E+02  0.000000E+00  0.282851E+02 -0.264056E+00  0.182754E-02  0.102220E+02  0.841077E+01  0.127754E+02  0.156584E+02 -0.117949E+02
  0.340000E+02  0.000000E+00  0.282851E+02 -0.264056E+00  0.418763E-02  0.105914E+02  0.976827E+01  0.127754E+02  0.170740E+02  0.117938E+03
  0.340000E+02  0.000000E+00  0.282851E+02 -0.264056E+00  0.418763E-02  0.100102E+02  0.841206E+01  0.108588E+02  0.175634E+02  0.116869E+03
  0.340000E+02  0.000000E+00  0.282851E+02 -0.264056E+00  0.485137E-02  0.112594E+02  0.880892E+01  0.108588E+02  0.170485E+02  0.123107E+03
  0.340000E+02  0.000000E+00  0.282851E+02 -0.264056E+00  0.663490E-02  0.112594E+02  0.856123E+01  0.122982E+02  0.183760E+02  0.127895E+03
  0.340000E+02  0.000000E+00  0.282851E+02 -0.264056E+00  0.663490E-02  0.107267E+02  0.916187E+01  0.142365E+02  0.166779E+02  0.128980E+03
  0.340000E+02  0.000000E+00  0.285185E+02 -0.264056E+00  0.667961E-02  0.116961E+02  0.871965E+01  0.156451E+02  0.157431E+02  0.128639E+03
  0.340000E+02  0.000000E+00  0.285185E+02 -0.264056E+00  0.667961E-02  0.113673E+02  0.772082E+01  0.137179E+02  0.157431E+02  0.128343E+03
  0.340000E+02  0.000000E+00  0.285185E+02 -0.264056E+00  0.718146E-02  0.110044E+02  0.772082E+01  0.136133E+02  0.142017E+02  0.128325E+03
  0.340000E+02  0.000000E+00  0.285185E+02 -0.409401E+01  0.718146E-02  0.102496E+02  0.772082E+01  0.142728E+02  0.135065E+02  0.129818E+03
  0.340000E+02  0.000000E+00  0.285185E+02 -0.409401E+01  0.636004E-02  0.110094E+02  0.772082E+01  0.153886E+02  0.137317E+02  0.130123E+03
  0.340000E+02  0.000000E+00  0.285185E+02 -0.409401E+01  0.725900E-02  0.119726E+02  0.772082E+01  0.153886E+02  0.140760E+02  0.129167E+03
  0.340000E+02  0.000000E+00  0.285185E+02 -0.178486E+01  0.692014E-02  0.119967E+02  0.847754E+01  0.154712E+02  0.140760E+02  0.129473E+03
  0.340000E+02  0.000000E+00  0.285185E+02 -0.178486E+01  0.619575E-02  0.122009E+02  0.799326E+01  0.150731E+02  0.143768E+02  0.129312E+03
  0.340000E+02  0.000000E+00  0.285185E+02 -0.178486E+01  0.619575E-02  0.122009E+02  0.916843E+01  0.150731E+02  0.126736E+02  0.129501E+03
  0.340000E+02  0.000000E+00  0.287037E+02 -0.581457E+01  0.636774E-02  0.125991E+02  0.985652E+01  0.150731E+02  0.138300E+02  0.129563E+03
  0.340000E+02  0.000000E+00  0.292086E+02 -0.581457E+01  0.636774E-02  0.125991E+02  0.108562E+02  0.160662E+02  0.128415E+02  0.130378E+03
  0.340000E+02  0.000000E+00  0.292086E+02 -0.361578E+01  0.636774E-02  0.125668E+02  0.111013E+02  0.163745E+02  0.107152E+02  0.129028E+03
  0.340000E+02  0.000000E+00  0.292086E+02 -0.506301E+01  0.636774E-02  0.122996E+02  0.115835E+02  0.165553E+02  0.105765E+02  0.129282E+03
  0.347549E+02  0.000000E+00  0.292086E+02 -0.506301E+01  0.637759E-02  0.122996E+02  0.117612E+02  0.141218E+02  0.121433E+02  0.130499E+03
  0.347549E+02  0.000000E+00  0.292086E+02 -0.119841E+02  0.637759E-02  0.123103E+02  0.109963E+02  0.141218E+02  0.142964E+02  0.130695E+03
  0.347549E+02  0.000000E+00  0.292086E+02 -0.119841E+02  0.637759E-02  0.123103E+02  0.104858E+02  0.129841E+02  0.122998E+02  0.130383E+03
  0.347549E+02  0.000000E+00  0.321529E+02 -0.119841E+02  0.715289E-02  0.102997E+02  0.104859E+02  0.136121E+02  0.122998E+02  0.131257E+03
  0.347549E+02  0.000000E+00  0.321529E+02 -0.119841E+02  0.680978E-02  0.999559E+01  0.972947E+01  0.135612E+02  0.122998E+02  0.131825E+03
  0.347549E+02  0.000000E+00  0.296056E+02 -0.119841E+02  0.680163E-02  0.915482E+01  0.100298E+02  0.115871E+02  0.130398E+02  0.133316E+03
  0.347549E+02  0.000000E+00  0.296056E+02 -0.119841E+02  0.588657E-02  0.947351E+01  0.100298E+02  0.115871E+02  0.145111E+02  0.134426E+03
  0.347549E+02  0.000000E+00  0.296056E+02 -0.119841E+02  0.677473E-02  0.943604E+01  0.895798E+01  0.115871E+02  0.141260E+02  0.133466E+03
  0.347549E+02  0.000000E+00  0.321470E+02 -0.119841E+02  0.677473E-02  0.963559E+01  0.895798E+01  0.130227E+02  0.152696E+02  0.132049E+03
  0.347549E+02  0.000000E+00  0.321470E+02 -0.119841E+02  0.548582E-02  0.963559E+01  0.864099E+01  0.144272E+02  0.137068E+02  0.132028E+03
  0.347417E+02  0.000000E+00  0.321470E+02 -0.158279E+02  0.548582E-02  0.106245E+02  0.864099E+01  0.150804E+02  0.137068E+02  0.135979E+03
  0.347417E+02  0.000000E+00  0.321470E+02 -0.158279E+02  0.548582E-02  0.106134E+02  0.845473E+01  0.159789E+02  0.136393E+02  0.135804E+03
  0.347417E+02  0.000000E+00  0.321470E+02 -0.158279E+02  0.567270E-02  0.106134E+02  0.845473E+01  0.159789E+02  0.146856E+02  0.135830E+03
  0.347417E+02  0.000000E+00  0.321470E+02 -0.158279E+02  0.618705E-02  0.918750E+01  0.798628E+01  0.166639E+02  0.160492E+02  0.135047E+03
  0.347417E+02  0.000000E+00  0.321470E+02 -0.158279E+02  0.592949E-02  0.101401E+02  0.905146E+01  0.170839E+02  0.155083E+02  0.135651E+03
  0.347417E+02  0.000000E+00  0.321470E+02 -0.158279E+02  0.660456E-02  0.866373E+01  0.803381E+01  0.156317E+02  0.146273E+02  0.134684E+03
  0.347417E+02  0.000000E+00  0.321470E+02 -0.124459E+02  0.660456E-02  0.107271E+02  0.803381E+01  0.134173E+02  0.166752E+02  0.132911E+03
  0.347417E+02  0.000000E+00  0.321470E+02 -0.124459E+02  0.660456E-02  0.118947E+02  0.783525E+01  0.137441E+02  0.164346E+02  0.132460E+03
  0.347417E+02  0.000000E+00  0.321470E+02 -0.124459E+02  0.660456E-02  0.128576E+02  0.716944E+01  0.137441E+02  0.164739E+02  0.131409E+03
  0.347417E+02  0.000000E+00  0.321470E+02 -0.124459E+02  0.687858E-02  0.130247E+02  0.829474E+01  0.156121E+02  0.164739E+02  0.131681E+03
  0.347417E+02  0.000000E+00  0.321470E+02 -0.124459E+02  0.734063E-02  0.130999E+02  0.817556E+01  0.156121E+02  0.154285E+02  0.130945E+03
  0.347417E+02  0.000000E+00  0.321470E+02 -0.127608E+02  0.566615E-02  0.121962E+02  0.932591E+01  0.135939E+02  0.163080E+02  0.134221E+03
  0.347417E+02  0.000000E+00  0.320722E+02 -0.127608E+02  0.566615E-02  0.125331E+02  0.988119E+01  0.154924E+02  0.163609E+02  0.134455E+03
  0.347417E+02 -0.101038E+01  0.320722E+02 -0.138197E+02  0.566615E-02  0.117856E+02  0.988119E+01  0.162301E+02  0.178307E+02  0.144902E+03
  0.347417E+02 -0.101038E+01  0.320722E+02 -0.138197E+02  0.566615E-02  0.117856E+02  0.988119E+01  0.160530E+02  0.161305E+02  0.145341E+03
  0.347417E+02 -0.101038E+01  0.320722E+02 -0.138197E+02  0.610546E-02  0.112396E+02  0.106137E+02  0.176357E+02  0.161482E+02  0.143441E+03
  0.347417E+02 -0.101038E+01  0.331607E+02 -0.138197E+02  0.574178E-02  0.100802E+02  0.120870E+02  0.185828E+02  0.149134E+02  0.146593E+03
  0.347417E+02 -0.101038E+01  0.331607E+02 -0.138197E+02  0.518353E-02  0.101948E+02  0.120870E+02  0.168621E+02  0.138610E+02  0.149508E+03
  0.347417E+02 -0.101038E+01  0.331607E+02 -0.138197E+02  0.426378E-02  0.985343E+01  0.120870E+02  0.178565E+02  0.110655E+02  0.152054E+03
