X1_obs         X2_obs         X3_obs         X4_obs         X1_true        X2_true        X3_true        X4_true        Y1_obs         Y2_obs         Y3_obs         Y4_obs         Y5_obs         Y1_unbiased    Y2_unbiased    Y3_unbiased    Y4_unbiased    Y5_unbiased    Y1_sim         Y2_sim         Y3_sim         Y4_sim         Y5_sim         Y1_res         Y2_res         Y3_res         Y4_res         Y5_res         Y1_stdres      Y2_stdres      Y3_stdres      Y4_stdres      Y5_stdres      
   0.100000E+01   0.100000E+01   0.100000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.100000E+01   0.108000E+05   0.109560E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109560E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109541E+02   0.500000E+01   0.214900E+01   0.372406E+02   0.180000E+02   0.189718E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.151599E+01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.200000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.200000E+01   0.108000E+05   0.109506E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109506E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109496E+02   0.500000E+01   0.213248E+01   0.370566E+02   0.180000E+02   0.100541E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.803398E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.300000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.300000E+01   0.108000E+05   0.109455E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109455E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109451E+02   0.500000E+01   0.211610E+01   0.368726E+02   0.180000E+02   0.381058E-03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.304494E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.400000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.400000E+01   0.108000E+05   0.109398E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109398E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109407E+02   0.500000E+01   0.209987E+01   0.366886E+02   0.180000E+02  -0.914992E-03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.731147E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.500000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.500000E+01   0.108000E+05   0.109362E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109362E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109363E+02   0.500000E+01   0.208381E+01   0.365046E+02   0.180000E+02  -0.734876E-04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.587221E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.600000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.600000E+01   0.108000E+05   0.109312E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109312E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109320E+02   0.500000E+01   0.206791E+01   0.363206E+02   0.180000E+02  -0.718252E-03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.573938E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.700000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.700000E+01   0.108000E+05   0.109266E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109266E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109277E+02   0.500000E+01   0.205216E+01   0.361366E+02   0.180000E+02  -0.102019E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.815212E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.800000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.800000E+01   0.108000E+05   0.109207E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109207E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109234E+02   0.500000E+01   0.203659E+01   0.359526E+02   0.180000E+02  -0.268713E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.214722E+01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.900000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.900000E+01   0.108000E+05   0.109163E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109163E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109191E+02   0.500000E+01   0.202118E+01   0.357686E+02   0.180000E+02  -0.279069E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.222997E+01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.100000E+02   0.108000E+05   0.100000E+01   0.100000E+01   0.100000E+02   0.108000E+05   0.109129E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109129E+02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.109149E+02   0.500000E+01   0.200595E+01   0.355846E+02   0.180000E+02  -0.194691E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.155572E+01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
