Kmin_MC_Up_a0 Kmin_TR_a0    Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.340000E+02  0.280000E+02  0.500000E-03  0.100000E+02  0.100000E+02  0.100000E+01  0.150000E+02 -0.604365E+03
  0.340000E+02  0.280000E+02  0.500000E-03  0.975932E+01  0.799930E+01  0.960025E+00  0.152304E+02 -0.604742E+03
  0.343745E+02  0.280000E+02  0.500000E-03  0.908221E+01  0.799930E+01  0.862546E+00  0.139589E+02 -0.386190E+03
  0.343745E+02  0.280000E+02  0.500000E-03  0.984446E+01  0.964707E+01  0.816415E+00  0.129770E+02 -0.385840E+03
  0.344169E+02  0.280000E+02  0.500000E-03  0.984446E+01  0.995363E+01  0.780923E+00  0.121811E+02 -0.380392E+03
  0.344169E+02  0.280000E+02  0.109105E-02  0.981146E+01  0.106587E+02  0.805478E+00  0.112753E+02 -0.193343E+03
  0.344169E+02  0.275356E+02  0.109105E-02  0.924080E+01  0.103182E+02  0.913467E+00  0.112753E+02 -0.191938E+03
  0.344169E+02  0.275356E+02  0.242715E-02  0.112980E+02  0.102864E+02  0.935879E+00  0.111082E+02 -0.328067E+02
  0.344169E+02  0.275356E+02  0.242715E-02  0.108962E+02  0.104076E+02  0.751218E+00  0.114376E+02 -0.324256E+02
  0.344169E+02  0.275356E+02  0.410759E-02  0.120088E+02  0.106730E+02  0.742936E+00  0.133976E+02  0.400196E+01
  0.344169E+02  0.275356E+02  0.455396E-02  0.120088E+02  0.103031E+02  0.590186E+00  0.124186E+02  0.663969E+01
  0.344169E+02  0.275356E+02  0.455396E-02  0.139330E+02  0.109043E+02  0.607106E+00  0.124186E+02  0.538949E+01
  0.344169E+02  0.275356E+02  0.455396E-02  0.142171E+02  0.103249E+02  0.719145E+00  0.142347E+02  0.556277E+01
  0.344169E+02  0.275356E+02  0.456974E-02  0.147986E+02  0.912967E+01  0.678195E+00  0.142347E+02  0.527206E+01
  0.344169E+02  0.275356E+02  0.493996E-02  0.158066E+02  0.823913E+01  0.636591E+00  0.142347E+02  0.561647E+01
  0.344169E+02  0.275356E+02  0.616034E-02  0.155553E+02  0.823913E+01  0.725411E+00  0.146154E+02  0.713461E+01
  0.344169E+02  0.275356E+02  0.607760E-02  0.164240E+02  0.790124E+01  0.609898E+00  0.143693E+02  0.631517E+01
  0.344169E+02  0.283829E+02  0.536055E-02  0.146358E+02  0.838000E+01  0.689540E+00  0.138476E+02  0.665759E+01
  0.344169E+02  0.283829E+02  0.587744E-02  0.132708E+02  0.781587E+01  0.848119E+00  0.139220E+02  0.776862E+01
  0.344169E+02  0.283829E+02  0.581084E-02  0.133824E+02  0.930579E+01  0.924375E+00  0.151366E+02  0.812495E+01
  0.344169E+02  0.269234E+02  0.581084E-02  0.129430E+02  0.100874E+02  0.992420E+00  0.148356E+02  0.783692E+01
  0.344169E+02  0.269234E+02  0.648086E-02  0.129430E+02  0.893901E+01  0.943275E+00  0.143389E+02  0.797855E+01
  0.344169E+02  0.276532E+02  0.564072E-02  0.113498E+02  0.893901E+01  0.961887E+00  0.144286E+02  0.970539E+01
  0.344169E+02  0.281407E+02  0.542436E-02  0.990508E+01  0.805020E+01  0.943758E+00  0.144286E+02  0.918321E+01
  0.344169E+02  0.281407E+02  0.542436E-02  0.998288E+01  0.840003E+01  0.950725E+00  0.143906E+02  0.933805E+01
  0.344169E+02  0.281407E+02  0.565224E-02  0.998288E+01  0.770088E+01  0.830113E+00  0.149028E+02  0.925707E+01
