X1_obs         X2_obs         X3_obs         X4_obs         X1_true        X2_true        X3_true        X4_true        Y1_obs         Y2_obs         Y3_obs         Y4_obs         Y5_obs         Y1_unbiased    Y2_unbiased    Y3_unbiased    Y4_unbiased    Y5_unbiased    Y1_sim         Y2_sim         Y3_sim         Y4_sim         Y5_sim         Y1_res         Y2_res         Y3_res         Y4_res         Y5_res         Y1_stdres      Y2_stdres      Y3_stdres      Y4_stdres      Y5_stdres      
   0.100000E+01   0.100000E+01   0.100000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.100000E+01   0.108000E+05   0.109560E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109560E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109661E+02   0.500000E+01   0.211616E+01   0.345305E+02   0.180000E+02  -0.101411E-01  -0.999900E+04  -0.999900E+04  -0.530500E+00  -0.999900E+04  -0.160069E+01  -0.999900E+04  -0.999900E+04  -0.131575E+00  -0.999900E+04
   0.100000E+01   0.100000E+01   0.200000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.200000E+01   0.108000E+05   0.109506E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109506E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109591E+02   0.500000E+01   0.210674E+01   0.345305E+02   0.180000E+02  -0.854087E-02  -0.999900E+04  -0.999900E+04  -0.530500E+00  -0.999900E+04  -0.134811E+01  -0.999900E+04  -0.999900E+04  -0.661800E-01  -0.999900E+04
   0.100000E+01   0.100000E+01   0.300000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.300000E+01   0.108000E+05   0.109455E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109455E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109523E+02   0.500000E+01   0.209686E+01   0.345305E+02   0.180000E+02  -0.684303E-02  -0.999900E+04  -0.999900E+04  -0.530500E+00  -0.999900E+04  -0.108012E+01  -0.999900E+04  -0.999900E+04  -0.661800E-01  -0.999900E+04
   0.100000E+01   0.100000E+01   0.400000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.400000E+01   0.108000E+05   0.109398E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109398E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109458E+02   0.500000E+01   0.208653E+01   0.345305E+02   0.180000E+02  -0.599140E-02  -0.999900E+04  -0.999900E+04  -0.530500E+00  -0.999900E+04  -0.945699E+00  -0.999900E+04  -0.999900E+04  -0.661800E-01  -0.999900E+04
   0.100000E+01   0.100000E+01   0.500000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.500000E+01   0.108000E+05   0.109362E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109362E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109394E+02   0.500000E+01   0.207576E+01   0.345305E+02   0.180000E+02  -0.317484E-02  -0.999900E+04  -0.999900E+04  -0.530500E+00  -0.999900E+04  -0.501125E+00  -0.999900E+04  -0.999900E+04  -0.661800E-01  -0.999900E+04
   0.100000E+01   0.100000E+01   0.600000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.600000E+01   0.108000E+05   0.109312E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109312E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109333E+02   0.500000E+01   0.206458E+01   0.345305E+02   0.180000E+02  -0.202002E-02  -0.999900E+04  -0.999900E+04  -0.530500E+00  -0.999900E+04  -0.318845E+00  -0.999900E+04  -0.999900E+04  -0.661800E-01  -0.999900E+04
   0.100000E+01   0.100000E+01   0.700000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.700000E+01   0.108000E+05   0.109266E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109266E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109273E+02   0.500000E+01   0.205300E+01   0.345305E+02   0.180000E+02  -0.690223E-03  -0.999900E+04  -0.999900E+04  -0.530500E+00  -0.999900E+04  -0.108947E+00  -0.999900E+04  -0.999900E+04  -0.661800E-01  -0.999900E+04
   0.100000E+01   0.100000E+01   0.900000E+01   0.108000E+05   0.100000E+01   0.100000E+01   0.900000E+01   0.108000E+05   0.109163E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109163E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109160E+02   0.500000E+01   0.202875E+01   0.345305E+02   0.180000E+02   0.287770E-03  -0.999900E+04  -0.999900E+04  -0.530500E+00  -0.999900E+04   0.454224E-01  -0.999900E+04  -0.999900E+04  -0.661800E-01  -0.999900E+04
   0.100000E+01   0.100000E+01   0.100000E+02   0.108000E+05   0.100000E+01   0.100000E+01   0.100000E+02   0.108000E+05   0.109129E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109129E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109107E+02   0.500000E+01   0.201614E+01   0.345305E+02   0.180000E+02   0.225403E-02  -0.999900E+04  -0.999900E+04  -0.530500E+00  -0.999900E+04   0.355782E+00  -0.999900E+04  -0.999900E+04  -0.661800E-01  -0.999900E+04
   0.100000E+01   0.100000E+01   0.110000E+02   0.108000E+05   0.100000E+01   0.100000E+01   0.110000E+02   0.108000E+05   0.109103E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109103E+02  -0.999900E+04  -0.999900E+04   0.340000E+02  -0.999900E+04   0.109055E+02   0.500000E+01   0.200323E+01   0.345305E+02   0.180000E+02   0.484053E-02  -0.999900E+04  -0.999900E+04  -0.530500E+00  -0.999900E+04   0.764042E+00  -0.999900E+04  -0.999900E+04  -0.661800E-01  -0.999900E+04
