Kmin_MC_Up_a0  Kmin_MC_Up_a1  Kmin_MC_Up_a2  Kmin_TR_a0     Kmin_TR_a1     Kmin_TR_a2     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.351186E+02  -0.207744E+01  -0.660553E+00   0.304245E+02  -0.437327E+01  -0.147951E+01   0.154680E-03   0.925752E+01   0.847210E+01   0.132179E+01   0.178324E+02   0.617793E+02
   0.351186E+02  -0.211337E+01  -0.637853E+00   0.303332E+02  -0.393101E+01  -0.147951E+01   0.901475E-04   0.134096E+02   0.972068E+01   0.247333E+00   0.150172E+02   0.620451E+02
   0.351179E+02  -0.211337E+01  -0.686062E+00   0.303332E+02  -0.355469E+01  -0.117846E+01   0.117968E-03   0.870763E+01   0.118081E+02   0.101615E+01   0.183448E+02   0.625503E+02
   0.351179E+02  -0.210687E+01  -0.686374E+00   0.301071E+02  -0.230528E+01  -0.203477E+01   0.229150E-03   0.953555E+01   0.102191E+02   0.145565E+01   0.123597E+02   0.614118E+02
   0.351179E+02  -0.211302E+01  -0.686374E+00   0.303131E+02  -0.291694E+01  -0.208134E+01   0.335337E-03   0.109350E+02   0.975975E+01   0.152300E+01   0.169534E+02   0.627008E+02
   0.350844E+02  -0.191591E+01  -0.958823E+00   0.303219E+02  -0.283520E+01  -0.345494E+01   0.549554E-03   0.877730E+01   0.131677E+02   0.157403E+01   0.150968E+02   0.602565E+02
   0.350750E+02  -0.188322E+01  -0.116696E+01   0.303975E+02  -0.329659E+01  -0.143277E+01   0.707068E-04   0.861426E+01   0.836971E+01   0.705898E+00   0.122498E+02   0.630771E+02
   0.350750E+02  -0.189344E+01  -0.116696E+01   0.305538E+02  -0.399440E+01  -0.233606E+00   0.340838E-03   0.123226E+02   0.914536E+01   0.520842E+00   0.116691E+02   0.618459E+02
   0.350541E+02  -0.199137E+01  -0.795438E+00   0.304294E+02  -0.354091E+01  -0.244453E+01   0.125269E-03   0.110564E+02   0.106520E+02   0.593833E+00   0.167805E+02   0.640717E+02
   0.350388E+02  -0.208050E+01  -0.619027E+00   0.304294E+02  -0.338614E+01  -0.163162E+01   0.213159E-03   0.129622E+02   0.822979E+01   0.405281E+00   0.124632E+02   0.596725E+02
   0.351081E+02  -0.207937E+01  -0.988437E+00   0.304719E+02  -0.326952E+01   0.471333E+00   0.334554E-03   0.116236E+02   0.105030E+02   0.360959E+01   0.194966E+02   0.579105E+02
   0.350679E+02  -0.190140E+01  -0.110532E+01   0.304719E+02  -0.391865E+01  -0.158632E-01   0.859860E-05   0.731603E+01   0.108231E+02   0.766501E-01   0.896028E+01   0.597986E+02
   0.350507E+02  -0.199359E+01  -0.735650E+00   0.304383E+02  -0.391865E+01  -0.210809E+01   0.517560E-03   0.124386E+02   0.852257E+01   0.694618E+00   0.160232E+02   0.623055E+02
   0.350413E+02  -0.202736E+01  -0.710030E+00   0.304383E+02  -0.361994E+01  -0.117617E+01   0.517560E-03   0.930875E+01   0.101104E+02   0.204816E+00   0.169114E+02   0.627655E+02
   0.350413E+02  -0.201982E+01  -0.820768E+00   0.305626E+02  -0.324608E+01  -0.494376E+00   0.375098E-05   0.134148E+02   0.934410E+01   0.317418E+01   0.177390E+02   0.595664E+02
   0.350413E+02  -0.201982E+01  -0.820768E+00   0.304864E+02  -0.324608E+01  -0.494376E+00   0.692995E-03   0.110295E+02   0.143152E+02   0.122789E+01   0.129603E+02   0.598836E+02
   0.351032E+02  -0.208124E+01  -0.139310E+01   0.306319E+02  -0.172352E+01  -0.187874E+01   0.754055E-03   0.601337E+01   0.134624E+02   0.228514E+01   0.150290E+02   0.525233E+02
   0.350850E+02  -0.191734E+01  -0.139654E+01   0.306319E+02  -0.382991E+01  -0.114871E+00   0.103039E-02   0.108089E+02   0.112594E+02   0.862167E+00   0.112501E+02   0.566187E+02
   0.351198E+02  -0.212393E+01  -0.915717E+00   0.307906E+02  -0.428993E+01   0.427480E+00   0.534177E-03   0.998387E+01   0.102480E+02   0.319389E-01   0.122405E+02   0.621110E+02
   0.351098E+02  -0.212393E+01  -0.749215E+00   0.305941E+02  -0.366496E+01  -0.155633E+01   0.227503E-03   0.994000E+01   0.123158E+02   0.234916E+01   0.151422E+02   0.624016E+02
   0.351285E+02  -0.211501E+01  -0.100438E+01   0.310010E+02  -0.462791E+01  -0.717816E+00   0.777246E-03   0.768958E+01   0.913914E+01   0.638961E+01   0.166170E+02   0.516797E+02
   0.350999E+02  -0.202760E+01  -0.105421E+01   0.304809E+02  -0.297029E+01   0.180923E+01   0.416224E-03   0.125405E+02   0.112301E+02   0.710049E+00   0.119475E+02   0.573068E+02
