Kmin_MC_Up_a0  Kmin_TR_a0     Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.341202E+02   0.283284E+02   0.717079E-02   0.112127E+02   0.724403E+01   0.146286E+01   0.176727E+02   0.144911E+02  -0.137993E+02   0.000000E+00   0.282904E+02  -0.565808E+02
   0.344360E+02   0.292866E+02   0.819274E-02   0.877355E+01   0.790917E+01   0.181004E+01   0.126426E+02   0.106444E+02  -0.127749E+02   0.000000E+00   0.234193E+02  -0.468386E+02
   0.344360E+02   0.273991E+02   0.555751E-02   0.892398E+01   0.672479E+01   0.328080E+01   0.109702E+02   0.133266E+02  -0.145742E+02   0.000000E+00   0.279008E+02  -0.558016E+02
   0.343462E+02   0.279709E+02   0.632546E-02   0.896512E+01   0.130690E+02   0.116852E+01   0.118467E+02   0.174838E+02  -0.137074E+02   0.000000E+00   0.311912E+02  -0.623824E+02
   0.343484E+02   0.279709E+02   0.602162E-02   0.118185E+02   0.769833E+01   0.682612E+00   0.236422E+02   0.155290E+02  -0.161965E+02   0.000000E+00   0.317255E+02  -0.634510E+02
   0.342940E+02   0.279709E+02   0.562605E-02   0.142378E+02   0.108264E+02   0.840152E+00   0.120161E+02   0.170796E+02  -0.145092E+02   0.000000E+00   0.315888E+02  -0.631776E+02
   0.341836E+02   0.270257E+02   0.607188E-02   0.117596E+02   0.121256E+02   0.117823E+01   0.162503E+02   0.153658E+02  -0.133518E+02   0.000000E+00   0.287176E+02  -0.574353E+02
   0.344146E+02   0.273485E+02   0.523441E-02   0.125524E+02   0.827271E+01   0.922142E+00   0.165059E+02   0.177346E+02  -0.133873E+02   0.000000E+00   0.311219E+02  -0.622438E+02
   0.341205E+02   0.279929E+02   0.638688E-02   0.927430E+01   0.728317E+01   0.119424E+01   0.950396E+01   0.143228E+02  -0.151257E+02   0.000000E+00   0.294485E+02  -0.588970E+02
   0.341205E+02   0.285688E+02   0.573637E-02   0.739739E+01   0.989471E+01   0.130127E+01   0.132655E+02   0.157754E+02  -0.129353E+02   0.000000E+00   0.287107E+02  -0.574214E+02
   0.344158E+02   0.267388E+02   0.749553E-02   0.988422E+01   0.110167E+02   0.126563E+01   0.150218E+02   0.161350E+02  -0.122497E+02   0.000000E+00   0.283847E+02  -0.567693E+02
   0.341027E+02   0.267388E+02   0.585206E-02   0.104293E+02   0.750969E+01   0.676934E+00   0.126917E+02   0.121265E+02  -0.130290E+02   0.000000E+00   0.251555E+02  -0.503111E+02
   0.341027E+02   0.280066E+02   0.567527E-02   0.990451E+01   0.101993E+02   0.151011E+00   0.169636E+02   0.169613E+02  -0.123725E+02   0.000000E+00   0.293338E+02  -0.586675E+02
   0.344336E+02   0.277958E+02   0.700582E-02   0.111555E+02   0.114199E+02   0.132408E+00   0.141840E+02   0.179738E+02  -0.126392E+02   0.000000E+00   0.306130E+02  -0.612261E+02
   0.342306E+02   0.266511E+02   0.736828E-02   0.781243E+01   0.802697E+01   0.175160E+01   0.174649E+02   0.131587E+02  -0.133845E+02   0.000000E+00   0.265432E+02  -0.530865E+02
   0.342306E+02   0.279821E+02   0.524095E-02   0.922243E+01   0.973511E+01   0.971419E+00   0.189833E+02   0.176077E+02  -0.129561E+02   0.000000E+00   0.305638E+02  -0.611275E+02
   0.345166E+02   0.278834E+02   0.595501E-02   0.842568E+01   0.845590E+01   0.768723E+00   0.121833E+02   0.172126E+02  -0.127563E+02   0.000000E+00   0.299689E+02  -0.599377E+02
   0.344479E+02   0.274043E+02   0.860031E-02   0.791652E+01   0.105884E+02   0.260058E+00   0.156512E+02   0.144840E+02  -0.126559E+02   0.000000E+00   0.271399E+02  -0.542798E+02
   0.342857E+02   0.275441E+02   0.556047E-02   0.931661E+01   0.106660E+02   0.163548E-01   0.153715E+02   0.196880E+02  -0.121844E+02   0.000000E+00   0.318724E+02  -0.637447E+02
   0.342853E+02   0.280790E+02   0.671464E-02   0.856903E+01   0.980992E+01   0.407942E-01   0.154160E+02   0.189746E+02  -0.122099E+02   0.000000E+00   0.311845E+02  -0.623690E+02
   0.342853E+02   0.280766E+02   0.653612E-02   0.103077E+02   0.993730E+01   0.859704E+00   0.165669E+02   0.188160E+02  -0.123029E+02   0.000000E+00   0.311189E+02  -0.622377E+02
   0.342853E+02   0.280766E+02   0.638521E-02   0.131690E+02   0.802594E+01   0.945262E+00   0.146034E+02   0.175822E+02  -0.136334E+02   0.000000E+00   0.312156E+02  -0.624312E+02
   0.345714E+02   0.278541E+02   0.603782E-02   0.115553E+02   0.111719E+02   0.176722E+01   0.123173E+02   0.150526E+02  -0.130025E+02   0.000000E+00   0.280551E+02  -0.561102E+02
   0.345654E+02   0.269612E+02   0.572462E-02   0.872219E+01   0.929590E+01   0.135058E+01   0.205168E+02   0.154693E+02  -0.136740E+02   0.000000E+00   0.291433E+02  -0.582866E+02
   0.345654E+02   0.273611E+02   0.582198E-02   0.947505E+01   0.119201E+02   0.196362E+01   0.132507E+02   0.158821E+02  -0.126560E+02   0.000000E+00   0.285381E+02  -0.570762E+02
   0.341464E+02   0.286595E+02   0.612214E-02   0.972336E+01   0.863211E+01   0.425198E+00   0.159547E+02   0.174921E+02  -0.122586E+02   0.000000E+00   0.297507E+02  -0.595013E+02
   0.341453E+02   0.284412E+02   0.634054E-02   0.879645E+01   0.904683E+01   0.912924E+00   0.121081E+02   0.173583E+02  -0.125059E+02   0.000000E+00   0.298642E+02  -0.597284E+02
   0.343815E+02   0.278468E+02   0.580228E-02   0.913717E+01   0.590135E+01   0.454345E+00   0.136790E+02   0.168643E+02  -0.150192E+02   0.000000E+00   0.318835E+02  -0.637671E+02
   0.344497E+02   0.284393E+02   0.802223E-02   0.122557E+02   0.125901E+02   0.850665E+00   0.122296E+02   0.131587E+02  -0.139751E+02   0.000000E+00   0.271338E+02  -0.542677E+02
   0.344497E+02   0.274884E+02   0.690501E-02   0.735907E+01   0.121321E+02   0.735029E+00   0.166864E+02   0.167990E+02  -0.138215E+02   0.000000E+00   0.306205E+02  -0.612411E+02
   0.343179E+02   0.271979E+02   0.561458E-02   0.867940E+01   0.165955E+02   0.321162E+00   0.131603E+02   0.155851E+02  -0.159503E+02   0.000000E+00   0.315354E+02  -0.630708E+02
   0.341893E+02   0.281761E+02   0.689785E-02   0.105435E+02   0.841012E+01   0.102167E+01   0.176330E+02   0.171016E+02  -0.128223E+02   0.000000E+00   0.299239E+02  -0.598478E+02
   0.342777E+02   0.287396E+02   0.609687E-02   0.806561E+01   0.942526E+01   0.292617E-01   0.139249E+02   0.177719E+02  -0.123862E+02   0.000000E+00   0.301581E+02  -0.603162E+02
   0.342777E+02   0.269233E+02   0.506703E-02   0.847402E+01   0.877025E+01   0.133524E+01   0.161794E+02   0.159232E+02  -0.124526E+02   0.000000E+00   0.283758E+02  -0.567515E+02
   0.340443E+02   0.296190E+02   0.822344E-02   0.659886E+01   0.100053E+02   0.696464E+00   0.170411E+02   0.100236E+02  -0.141199E+02   0.000000E+00   0.241435E+02  -0.482871E+02
   0.343901E+02   0.279991E+02   0.641450E-02   0.807767E+01   0.110396E+02   0.116293E+01   0.123354E+02   0.179830E+02  -0.129040E+02   0.000000E+00   0.308870E+02  -0.617741E+02
   0.343174E+02   0.278164E+02   0.644679E-02   0.106747E+02   0.122990E+02   0.894374E+00   0.156342E+02   0.184850E+02  -0.129677E+02   0.000000E+00   0.314527E+02  -0.629055E+02
   0.342613E+02   0.268831E+02   0.586689E-02   0.101163E+02   0.120926E+02   0.862069E+00   0.115447E+02   0.164070E+02  -0.132937E+02   0.000000E+00   0.297007E+02  -0.594014E+02
   0.344034E+02   0.277173E+02   0.601566E-02   0.866824E+01   0.673144E+01   0.839026E+00   0.183068E+02   0.172765E+02  -0.144142E+02   0.000000E+00   0.316907E+02  -0.633815E+02
   0.341905E+02   0.278031E+02   0.656849E-02   0.914370E+01   0.785755E+01   0.640464E-01   0.131848E+02   0.181880E+02  -0.126193E+02   0.000000E+00   0.308073E+02  -0.616146E+02
   0.341905E+02   0.282426E+02   0.534661E-02   0.100116E+02   0.927146E+01   0.404637E+00   0.143344E+02   0.182917E+02  -0.120215E+02   0.000000E+00   0.303132E+02  -0.606265E+02
   0.341624E+02   0.279699E+02   0.484045E-02   0.106176E+02   0.989074E+01   0.404637E+00   0.167283E+02   0.159967E+02  -0.123972E+02   0.000000E+00   0.283939E+02  -0.567877E+02
   0.343416E+02   0.279699E+02   0.603826E-02   0.863864E+01   0.803562E+01   0.102531E+01   0.148376E+02   0.189813E+02  -0.125352E+02   0.000000E+00   0.315165E+02  -0.630331E+02
   0.342710E+02   0.279699E+02   0.532724E-02   0.990968E+01   0.962466E+01   0.770716E+00   0.165817E+02   0.189696E+02  -0.122420E+02   0.000000E+00   0.312116E+02  -0.624232E+02
   0.342710E+02   0.280680E+02   0.614234E-02   0.106874E+02   0.100332E+02   0.170401E+01   0.159046E+02   0.183113E+02  -0.122707E+02   0.000000E+00   0.305820E+02  -0.611640E+02
   0.341310E+02   0.286768E+02   0.554120E-02   0.702490E+01   0.107235E+02   0.115732E+01   0.167846E+02   0.148100E+02  -0.136509E+02   0.000000E+00   0.284609E+02  -0.569218E+02
   0.341310E+02   0.268610E+02   0.742445E-02   0.810240E+01   0.106548E+02   0.112637E+01   0.137242E+02   0.138545E+02  -0.125108E+02   0.000000E+00   0.263653E+02  -0.527305E+02
   0.341674E+02   0.277145E+02   0.585021E-02   0.123547E+02   0.100567E+02   0.889125E+00   0.142475E+02   0.175922E+02  -0.128022E+02   0.000000E+00   0.303944E+02  -0.607887E+02
   0.343056E+02   0.277145E+02   0.478475E-02   0.711115E+01   0.128826E+02   0.221080E+00   0.102144E+02   0.146705E+02  -0.156727E+02   0.000000E+00   0.303432E+02  -0.606863E+02
   0.343056E+02   0.279011E+02   0.626141E-02   0.834120E+01   0.106926E+02   0.747197E+00   0.175376E+02   0.188039E+02  -0.128586E+02   0.000000E+00   0.316625E+02  -0.633251E+02
   0.345540E+02   0.271410E+02   0.642711E-02   0.834760E+01   0.889828E+01   0.837985E+00   0.171931E+02   0.173740E+02  -0.126941E+02   0.000000E+00   0.300681E+02  -0.601361E+02
   0.345781E+02   0.270645E+02   0.562169E-02   0.101991E+02   0.105123E+02   0.293125E+00   0.148788E+02   0.174477E+02  -0.121426E+02   0.000000E+00   0.295903E+02  -0.591805E+02
   0.345065E+02   0.271254E+02   0.662775E-02   0.787355E+01   0.831364E+01   0.153677E+01   0.149691E+02   0.169588E+02  -0.127592E+02   0.000000E+00   0.297180E+02  -0.594360E+02
   0.340833E+02   0.284107E+02   0.553968E-02   0.675990E+01   0.117718E+02   0.170412E+00   0.151913E+02   0.144219E+02  -0.140796E+02   0.000000E+00   0.285015E+02  -0.570030E+02
